Date,Open,High,Low,Close,Volume
2019-01-02,81.0,83.75,80.0,81.75,33128
2019-01-03,82.0,82.0,79.15,79.5,20260
2019-01-04,79.0,83.9,79.0,82.4,26662
2019-01-07,82.4,85.5,82.4,84.9,71267
2019-01-08,84.0,90.0,84.0,90.0,171975
2019-01-09,90.8,95.5,89.2,94.0,96928
2019-01-10,93.0,100.0,91.5,96.6,73822
2019-01-11,96.0,96.4,93.2,93.5,40322
2019-01-14,92.5,96.45,90.5,94.9,33222
2019-01-15,93.0,94.5,92.15,92.15,9852
2019-01-16,92.0,96.0,92.0,94.4,188884
2019-01-17,92.05,95.3,90.25,93.35,62332
2019-01-18,93.0,95.9,92.5,95.35,55812
2019-01-21,96.0,96.5,93.0,93.0,10223
2019-01-22,92.8,93.8,91.5,93.2,70520
2019-01-23,94.8,94.8,90.0,91.65,35471
2019-01-24,91.65,95.4,91.0,91.7,138653
2019-01-25,91.0,95.1,91.0,92.7,58209
2019-01-28,92.0,93.95,91.15,92.45,20980
2019-01-29,92.45,94.55,90.0,92.95,47632
2019-01-30,90.1,95.6,90.1,95.5,119901
2019-01-31,95.0,95.0,92.0,93.8,76097
2019-02-01,95.9,98.9,94.25,94.85,145211
2019-02-04,94.9,97.5,94.9,95.95,31058
2019-02-05,96.0,96.95,95.5,96.0,54012
2019-02-06,96.0,97.0,93.0,94.0,84657
2019-02-07,93.6,94.0,89.05,91.05,29032
2019-02-08,91.15,91.2,88.7,89.6,58120
2019-02-11,89.65,91.9,89.5,91.3,33351
2019-02-12,90.2,92.5,90.0,91.1,44141
2019-02-13,91.5,93.0,87.05,87.8,39154
2019-02-14,87.15,92.0,87.0,90.2,26358
2019-02-15,90.25,91.5,90.0,90.65,32411
2019-02-18,90.0,90.0,88.6,89.05,15305
2019-02-19,91.0,91.0,86.0,86.4,53621
2019-02-20,85.15,89.95,85.15,87.25,64270
2019-02-21,88.2,89.5,87.6,88.3,24871
2019-02-22,90.15,93.0,88.7,91.85,43311
2019-02-25,93.0,93.0,89.55,90.85,48765
2019-02-26,90.7,90.85,89.45,90.25,21061
2019-02-27,91.0,91.0,85.7,89.0,24840
2019-02-28,89.0,90.5,87.5,87.6,70804
2019-03-01,87.25,91.0,87.0,87.95,11252
2019-03-06,88.05,92.35,87.0,90.1,37718
2019-03-07,90.1,92.45,89.0,90.35,36701
2019-03-08,90.8,97.0,90.1,96.95,82212
2019-03-11,96.5,101.5,96.5,100.3,92222
2019-03-12,100.3,102.5,99.0,99.1,64282
2019-03-13,98.0,101.0,97.8,99.5,19004
2019-03-14,99.75,99.75,95.5,97.65,16298
2019-03-15,96.9,101.1,96.55,101.05,42376
2019-03-18,101.1,101.8,97.8,99.9,15402
2019-03-19,100.0,105.0,100.0,102.8,48906
2019-03-20,102.5,104.5,100.0,101.0,45365
2019-03-21,101.6,103.0,96.3,96.5,10579
2019-03-22,97.0,98.0,93.7,94.0,29128
2019-03-25,93.9,99.5,90.85,98.4,31068
2019-03-26,100.0,100.0,94.0,95.4,21964
2019-03-27,91.55,95.4,91.55,95.1,22653
2019-03-28,95.1,96.9,94.5,95.6,9412
2019-03-29,98.0,98.0,93.1,97.0,80817
2019-04-01,96.95,96.95,92.05,95.4,72533
2019-04-03,95.2,95.2,93.4,93.6,72323
2019-04-04,93.0,95.0,93.0,93.25,17154
2019-04-05,93.15,96.65,93.05,96.35,168770
2019-04-08,97.0,97.0,94.45,94.6,2644
2019-04-09,93.5,95.5,93.0,94.15,196842
2019-04-10,93.95,93.95,92.45,93.95,80686
2019-04-11,92.05,93.85,92.05,93.0,18996
2019-04-12,93.0,95.7,93.0,95.1,19244
2019-04-15,94.0,100.8,94.0,100.0,62878
2019-04-16,101.3,103.5,99.0,101.0,107026
2019-04-17,100.0,101.15,98.6,100.95,76313
2019-04-22,100.85,100.85,95.0,97.5,140819
2019-04-23,97.5,97.5,95.1,96.5,46287
2019-04-24,94.0,94.0,85.0,87.9,101766
2019-04-25,88.0,88.0,80.1,84.8,186916
2019-04-26,84.0,91.4,84.0,90.9,286340
2019-04-29,87.0,88.3,86.0,86.4,157798
2019-04-30,84.75,88.2,83.0,88.0,207666
2019-05-02,87.0,90.0,87.0,89.55,71207
2019-05-03,92.0,94.25,92.0,93.7,49306
2019-05-06,94.5,94.5,89.05,92.95,76248
2019-05-07,93.2,93.2,88.3,88.7,59187
2019-05-08,88.7,92.5,86.55,92.3,21077
2019-05-09,92.3,94.0,91.0,93.55,31017
2019-05-10,95.0,97.8,92.0,92.25,12033
2019-05-13,91.5,91.5,90.55,90.55,16868
2019-05-14,90.55,91.85,87.0,87.0,23929
2019-05-15,87.0,90.5,86.9,88.9,79586
2019-05-16,89.1,91.0,88.3,88.5,12417
2019-05-17,89.0,90.5,85.05,85.3,49658
2019-05-20,85.3,85.8,84.15,85.3,78282
2019-05-21,85.3,86.0,84.0,84.75,84725
2019-05-22,84.8,84.85,82.5,82.9,65423
2019-05-23,82.95,82.95,81.5,81.6,76484
2019-05-24,85.0,89.5,81.0,87.9,38661
2019-05-27,87.0,89.0,86.3,88.5,7638
2019-05-28,89.5,89.5,82.6,83.45,40087
2019-05-29,83.95,86.75,80.3,84.55,17114
2019-05-30,87.95,90.5,84.55,89.4,27657
2019-05-31,90.95,91.35,86.65,89.45,88783
2019-06-03,88.0,91.5,86.65,87.75,39011
2019-06-04,88.0,90.5,87.2,90.1,20488
2019-06-05,90.0,93.0,89.65,92.8,153457
2019-06-06,93.0,93.95,91.75,92.2,161392
2019-06-07,92.5,92.5,90.0,90.05,6378
2019-06-10,90.15,96.0,89.5,94.4,52760
2019-06-11,94.4,100.0,92.95,99.45,23074
2019-06-12,100.0,108.0,100.0,104.7,121905
2019-06-13,104.0,104.0,96.5,101.7,23737
2019-06-14,101.75,101.75,98.9,99.15,17269
2019-06-18,99.45,102.1,99.0,99.25,8929
2019-06-19,98.25,99.25,97.2,97.4,9903
2019-06-21,97.4,97.85,96.5,97.85,17627
2019-06-24,99.9,99.9,96.1,96.5,23077
2019-06-25,96.0,96.0,94.5,95.3,9916
2019-06-26,96.5,102.0,95.0,98.75,75455
2019-06-27,99.0,100.0,96.75,99.45,55492
2019-06-28,99.0,99.45,96.35,99.2,64122
2019-07-01,102.2,102.2,98.05,99.5,16739
2019-07-02,100.0,101.45,100.0,100.9,24044
2019-07-03,101.05,101.05,95.2,98.7,33849
2019-07-04,97.0,99.0,97.0,98.0,967
2019-07-05,98.0,102.0,98.0,100.35,23144
2019-07-10,100.5,101.55,99.0,101.55,120487
2019-07-11,101.5,102.85,100.0,102.6,106336
2019-07-12,102.05,105.95,102.05,104.55,44582
2019-07-15,103.7,103.7,100.7,100.7,43008
2019-07-16,100.6,105.4,100.6,105.0,41841
2019-07-17,105.9,106.0,103.75,105.9,50058
2019-07-18,104.95,104.95,102.05,104.0,8099
2019-07-19,103.95,105.0,102.5,104.6,22868
2019-07-22,105.0,105.0,100.3,101.0,28314
2019-07-23,101.0,101.0,97.0,100.0,186358
2019-07-24,101.5,103.8,100.0,102.1,169881
2019-07-25,103.0,103.0,100.9,101.9,5773
2019-07-26,102.0,106.5,102.0,105.3,32179
2019-07-29,105.0,109.4,105.0,109.0,23871
2019-07-30,110.0,110.0,105.9,108.8,38697
2019-07-31,110.0,111.5,107.0,109.5,38338
2019-08-01,108.7,108.7,104.5,105.0,29432
2019-08-02,104.8,108.5,104.55,108.4,13244
2019-08-05,106.0,106.0,102.4,104.05,44942
2019-08-06,104.3,105.25,102.85,104.0,10109
