Date,Open,High,Low,Close,Volume
2022-06-03,1923.0,1933.0,1923.0,1931.5,20
2022-06-06,1983.5,1985.5,1938.0,1939.0,142
2022-06-07,1955.0,1978.0,1939.0,1957.5,4893
2022-06-08,1954.0,1954.0,1910.0,1917.5,481
2022-06-09,1907.0,1945.5,1907.0,1945.5,53
2022-06-10,1896.5,1926.0,1879.0,1923.0,136
2022-06-13,1864.0,1936.0,1851.5,1928.5,33
2022-06-14,1948.5,1948.5,1906.5,1943.0,116
2022-06-15,1939.0,1971.0,1917.0,1933.5,897
2022-06-16,1836.0,1847.0,1800.0,1807.0,530
2022-06-21,1887.5,1889.0,1867.0,1867.0,212
2022-06-22,1844.5,1852.0,1799.0,1804.0,280
2022-06-23,1800.0,1808.5,1769.0,1805.0,24
2022-06-24,1878.5,1911.5,1862.0,1911.5,101
2022-06-27,1954.5,1961.5,1950.0,1960.0,81
2022-06-28,1990.0,2013.0,1964.5,1965.0,93
2022-06-29,1921.0,1943.5,1915.0,1921.5,206
2022-06-30,1874.0,1974.0,1874.0,1944.5,123
2022-07-01,1807.0,1807.0,1745.0,1774.5,483
2022-07-04,1800.0,1890.0,1780.0,1780.0,88
2022-07-05,1885.5,1930.5,1812.5,1917.0,2239
2022-07-06,1899.0,1980.0,1877.0,1961.0,103
2022-07-07,2037.0,2209.5,2037.0,2193.0,173
2022-07-08,2156.0,2253.0,2156.0,2253.0,101
2022-07-11,2200.0,2200.0,2132.5,2152.0,3708
2022-07-12,2179.0,2185.0,2105.0,2105.0,1626
2022-07-13,2100.0,2139.0,2100.0,2139.0,364
2022-07-14,2136.5,2225.0,2136.5,2210.5,473
2022-07-15,2255.5,2297.5,2255.5,2297.5,62
2022-07-18,2310.0,2340.5,2300.0,2308.0,246
2022-07-19,2376.5,2469.0,2376.5,2465.5,1294
2022-07-20,2548.5,2586.0,2536.5,2585.0,149
2022-07-21,2660.0,2870.0,2660.0,2845.0,92
2022-07-22,2845.0,2845.0,2665.0,2707.5,256
2022-07-25,2658.5,2698.0,2589.0,2669.0,274
2022-07-26,2691.0,2699.5,2650.0,2658.0,213
2022-07-27,2739.0,2739.0,2725.5,2725.5,127
2022-07-28,2600.0,2741.0,2600.0,2741.0,2526
2022-07-29,2766.5,2766.5,2521.0,2589.5,262
2022-08-01,2587.0,2587.0,2510.0,2533.5,88
