Date,Open,High,Low,Close,Volume
2025-08-18,100.9,100.9,100.0,100.15,935073464
2025-08-19,101.0,105.0,100.4,101.05,6003723575
2025-08-20,101.5,101.5,98.7,101.04,6819984348
2025-08-21,102.0,103.9,100.0,101.4,4261262516
2025-08-22,101.4,104.0,101.4,102.0,663020241
2025-08-25,103.0,103.0,100.2,101.25,284001625
2025-08-26,101.2,102.5,100.3,101.5,4852945693
2025-08-27,102.5,102.5,100.92,101.8,2094250680
2025-08-28,102.0,105.0,101.25,102.85,3849739605
2025-08-29,102.8,104.22,102.8,103.45,3269201209
2025-09-01,103.42,104.69,103.0,103.45,556913101
2025-09-02,103.6,104.39,102.7,103.4,2069411320
2025-09-03,103.4,104.27,102.5,103.22,850286005
2025-09-04,103.05,103.9,102.52,103.85,3284425839
2025-09-05,104.65,104.65,103.1,104.1,3233229554
2025-09-08,104.1,104.5,100.0,103.8,1625029269
2025-09-09,102.85,104.8,102.3,104.8,2252617969
2025-09-10,105.4,107.0,104.0,105.75,4645037905
2025-09-11,106.6,106.6,104.5,105.2,7631078215
2025-09-12,104.6,106.0,103.65,105.5,4977033714
2025-09-15,105.5,106.5,105.0,105.2,886802960
2025-09-16,105.12,106.17,105.12,105.5,5452594883
2025-09-17,105.3,106.2,105.3,105.5,3611278498
2025-09-18,105.7,105.7,102.06,104.0,2089828775
2025-09-19,102.5,105.25,102.0,103.7,1370379157
2025-09-22,103.25,107.0,102.0,105.6,1882710724
2025-09-23,106.5,106.5,104.75,105.55,2556515644
2025-09-24,105.95,107.8,102.5,106.1,3305853852
2025-09-25,105.25,107.5,105.25,106.3,2440465337
2025-09-26,106.16,109.2,106.16,106.9,6248363071
2025-09-29,107.25,108.9,106.22,108.0,5865028444
2025-09-30,109.0,109.0,106.5,107.75,9436928638
2025-10-01,107.75,109.0,107.0,107.85,3185554305
2025-10-02,108.0,108.75,107.0,107.8,272334996
2025-10-03,108.5,108.7,106.8,108.65,2035812155
2025-10-06,111.0,111.0,107.77,108.5,723697486
2025-10-07,108.0,109.45,107.28,108.0,371649485
2025-10-08,108.77,108.77,105.0,107.45,521124138
2025-10-09,108.7,109.0,106.9,108.6,2422706677
2025-10-13,108.6,110.9,107.6,108.5,134367460
2025-10-14,109.0,109.2,107.2,107.65,1600471629
2025-10-15,108.2,108.95,107.05,107.75,738989951
2025-10-16,107.75,111.0,107.55,109.45,4130690687
2025-10-17,109.8,112.5,107.88,110.4,4841760894
2025-10-20,110.4,111.0,109.0,110.75,4491357469
2025-10-21,110.8,113.7,109.45,110.89,2010391259
2025-10-22,109.7,112.0,109.7,111.1,1370924133
2025-10-23,111.8,111.8,110.32,110.9,2601034054
2025-10-24,111.5,111.75,110.25,111.1,4976415287
2025-10-27,111.1,112.9,111.1,112.0,6297323574
2025-10-28,112.9,112.9,111.0,112.5,1827016723
2025-10-29,112.55,113.0,112.0,113.0,2680448946
2025-10-30,114.0,114.0,112.1,112.85,6626453815
2025-10-31,113.4,113.6,112.6,113.25,2567462008
2025-11-03,113.6,113.6,113.13,113.3,1011033100
2025-11-04,113.65,113.65,113.1,113.44,2423266832
2025-11-05,113.05,115.0,113.05,113.69,10578061356
2025-11-06,113.6,113.9,113.4,113.87,8493990
2025-11-07,113.6,113.9,113.4,113.87,0
