Date,Open,High,Low,Close,Volume
2025-08-29,101.5,101.75,101.5,101.75,313321471
2025-09-01,102.5,112.5,102.5,108.95,14516091
2025-09-02,106.55,113.0,106.55,110.0,70288190
2025-09-03,110.0,110.0,106.65,108.75,23817096
2025-09-04,110.0,117.0,107.5,109.0,17629036
2025-09-05,109.1,116.0,107.75,114.0,7173138
2025-09-08,114.0,139.9,112.5,130.0,15123826
2025-09-09,114.0,116.0,111.05,115.0,9347370
2025-09-10,127.8,127.8,110.0,110.88,25185235
2025-09-11,117.9,117.9,109.1,111.15,4830632
2025-09-12,111.1,120.83,109.25,114.89,43974145
2025-09-15,114.89,120.0,114.89,118.5,16174101
2025-09-16,116.01,117.0,111.6,116.0,16827149
2025-09-17,116.0,120.0,114.0,114.0,20750432
2025-09-18,114.0,114.0,110.0,112.0,22967312
2025-09-19,112.0,112.0,108.95,110.0,382406
2025-09-22,114.0,115.0,106.5,111.9,8095307
2025-09-23,107.0,113.0,106.0,110.0,162412546
2025-09-24,113.5,113.5,105.03,109.0,1846739
2025-09-25,106.02,112.9,106.02,108.3,5104784
2025-09-26,106.3,113.03,106.3,109.99,13177668
2025-09-29,109.99,112.36,106.0,106.01,9957598
2025-09-30,107.0,113.8,107.0,114.0,38737221
2025-10-01,107.0,116.0,107.0,108.0,9824057
2025-10-02,116.0,116.0,107.0,110.0,863919
2025-10-03,107.2,113.0,106.2,107.0,13510128
2025-10-06,111.99,111.99,109.0,109.05,5082200
2025-10-07,109.06,110.0,100.0,107.99,23013991
2025-10-08,108.0,109.0,101.82,107.5,9463104
2025-10-09,108.0,108.0,102.5,107.75,27369736
2025-10-13,108.0,114.99,104.6,108.5,26752293
2025-10-14,108.51,116.0,106.6,109.0,30529013
2025-10-15,107.5,111.0,104.5,110.4,4656132
2025-10-16,110.4,112.5,109.0,112.45,5858538
2025-10-17,113.5,135.35,107.91,112.5,49993268
2025-10-20,112.0,115.0,110.0,112.0,29524407
2025-10-21,112.0,113.0,108.2,112.9,14018207
2025-10-22,112.0,119.5,110.0,113.0,13800882
2025-10-23,113.0,117.9,110.5,116.0,10528003
2025-10-24,116.0,116.0,111.0,115.15,7172002
2025-10-27,115.15,130.0,108.1,120.0,22016243
2025-10-28,120.0,121.0,114.0,119.89,13051984
2025-10-29,121.0,121.0,113.5,119.95,5518843
2025-10-30,121.0,121.1,116.0,119.0,89254130
2025-10-31,116.0,127.0,115.25,115.5,740657218
2025-11-03,117.0,120.5,117.0,118.0,157278049
2025-11-04,119.0,119.0,115.8,118.5,60520347
2025-11-05,120.0,121.0,116.0,118.0,152935543
2025-11-06,118.9,119.7,117.0,118.9,7465724
2025-11-07,118.9,118.9,117.0,118.0,9620613
2025-11-10,119.0,119.0,117.0,117.5,1195611020
2025-11-11,118.5,118.5,117.43,117.9,120011502
2025-11-12,119.0,119.0,116.5,117.65,1354976116
2025-11-13,118.2,118.2,117.1,118.05,186319634
2025-11-14,118.5,118.75,117.85,118.4,271004480
2025-11-17,118.4,122.5,117.9,118.23,869167912
2025-11-18,117.5,122.19,117.5,118.5,91883899
2025-11-19,118.85,120.5,117.22,118.35,77961561
2025-11-20,117.4,119.89,117.4,118.9,54424208
2025-11-21,119.57,120.45,118.0,120.0,4017228
2025-11-25,120.0,120.45,118.0,118.45,413505300
2025-11-26,118.0,119.25,118.0,119.23,25914936
2025-11-27,119.23,119.25,116.7,119.05,17221159
2025-11-28,118.3,119.9,117.12,119.5,1399768581
2025-12-01,119.0,120.0,119.0,119.69,213440735
2025-12-02,119.7,119.95,118.5,119.6,87961369
2025-12-03,119.7,120.2,118.52,119.4,38058141
2025-12-04,119.2,121.95,119.1,119.75,138876046
2025-12-05,119.75,120.24,119.75,119.9,34068515
2025-12-09,119.9,121.92,118.75,119.8,33044076
2025-12-10,119.8,121.6,118.5,119.74,4330063443
2025-12-11,119.55,120.0,119.0,119.77,5179753393
2025-12-12,119.65,120.3,119.0,120.2,3651057681
2025-12-15,119.85,121.94,119.85,120.3,993969294
2025-12-16,120.55,121.0,120.3,120.45,52927215
2025-12-17,120.75,120.75,120.32,120.47,178115756
2025-12-18,120.65,120.74,119.1,120.5,69861775
2025-12-19,121.0,121.15,120.5,120.8,98699111
2025-12-22,120.95,124.0,120.4,121.09,3281873523
2025-12-23,121.6,121.75,120.01,121.36,16411643
2025-12-24,121.15,122.0,120.6,121.5,3008901
2025-12-26,121.5,121.7,120.81,121.5,11770655
2025-12-29,121.1,122.35,120.6,121.4,26508431
2025-12-30,121.1,122.95,120.75,122.9,633284610
2026-01-02,122.5,122.89,120.5,122.0,40107491
2026-01-05,121.3,122.7,119.51,122.27,130306858
2026-01-06,121.4,122.59,120.7,121.9,170373872
2026-01-07,121.8,122.5,120.51,122.0,169634664
2026-01-08,121.4,122.5,121.1,121.8,8082925187
2026-01-09,122.2,122.75,121.7,122.68,87206677
2026-01-12,122.68,122.99,122.0,122.83,165452135
2026-01-13,122.7,123.49,122.32,122.9,49584765
2026-01-14,123.8,123.9,122.0,123.04,326111314
2026-01-15,123.8,123.9,122.0,123.04,0
