Date,Open,High,Low,Close,Volume
2025-11-10,102.0,102.0,101.0,101.8,2433494285
2025-11-11,103.0,103.0,101.8,102.5,2020187557
2025-11-12,103.9,103.9,102.2,102.5,684985596
2025-11-13,102.0,103.0,102.0,102.45,23698703
2025-11-14,102.4,103.4,102.4,102.9,83159109
2025-11-17,103.5,103.95,102.9,103.0,220865027
2025-11-18,102.5,103.5,102.5,103.0,141459758
2025-11-19,102.2,104.0,102.2,103.0,39987157
2025-11-20,103.0,104.1,103.0,103.3,52177970
2025-11-21,103.3,105.79,103.3,103.9,1017879
2025-11-25,103.25,104.0,102.4,102.95,37000853
2025-11-26,102.6,103.5,102.6,103.2,565010016
2025-11-27,102.92,104.35,102.92,103.0,18819696
2025-11-28,102.92,103.99,102.0,103.6,1167397878
2025-12-01,104.9,104.9,103.0,103.9,65878302
2025-12-02,103.0,104.5,103.0,104.2,1062143981
2025-12-03,103.01,105.0,103.01,104.45,310196189
2025-12-04,103.06,106.85,103.06,104.25,67647041
2025-12-05,103.01,105.5,103.01,104.49,54194969
2025-12-09,104.8,105.5,103.3,104.7,6752583
2025-12-10,104.8,104.8,103.9,104.29,29425354
2025-12-11,103.3,106.4,103.3,104.8,147928814
2025-12-12,105.9,105.9,104.2,104.9,223332399
2025-12-15,105.5,106.9,104.9,105.3,142471846
2025-12-16,105.85,106.0,104.7,106.0,350296705
2025-12-17,105.0,107.0,104.15,106.3,123032903
2025-12-18,107.4,107.8,105.3,106.65,37458304
2025-12-19,107.49,107.49,105.8,106.45,1165811099
2025-12-22,105.05,107.7,105.05,106.6,517429493
2025-12-23,107.2,108.05,105.1,106.44,50712245
2025-12-24,106.0,107.0,106.0,106.93,2237746
2025-12-26,107.5,108.5,105.2,106.95,126918655
2025-12-29,106.95,108.9,105.0,106.25,44211519
2025-12-30,105.7,108.9,105.7,106.5,7451111
2026-01-02,106.5,108.9,105.2,105.6,12175841
2026-01-05,105.6,108.85,104.1,105.65,51247267
2026-01-06,104.51,107.48,104.51,106.0,16812042
2026-01-07,104.51,107.1,104.51,105.9,17377485
2026-01-08,105.2,107.0,104.52,106.0,849022206
2026-01-09,105.0,107.95,105.0,106.01,84721879
2026-01-12,105.01,107.35,105.01,106.85,665488933
2026-01-13,105.6,107.75,105.6,106.7,73225391
2026-01-14,105.61,107.75,105.61,107.0,53813612
2026-01-15,105.51,108.15,105.51,106.81,439365533
2026-01-16,107.3,108.0,106.1,107.55,180673170
2026-01-19,108.5,108.5,106.76,107.5,159836238
2026-01-20,107.75,107.75,106.77,107.4,95891302
2026-01-21,107.15,107.75,107.1,107.4,2008588527
2026-01-22,107.27,108.0,107.27,107.7,216698199
2026-01-23,107.95,107.95,106.76,107.7,881478079
2026-01-26,107.7,108.4,107.7,107.79,997041658
2026-01-27,108.2,108.2,107.75,107.75,347531891
2026-01-28,107.9,108.49,107.3,107.7,226635122
2026-01-29,108.25,108.5,107.21,108.2,3992823497
2026-01-30,108.45,109.45,107.9,108.8,1283514197
2026-02-02,109.0,109.99,107.75,108.7,1051191060
2026-02-03,108.25,109.6,108.25,108.99,715660827
2026-02-04,109.0,109.45,108.9,109.1,106735406
2026-02-05,109.5,109.99,109.0,109.2,981592572
2026-02-06,109.2,110.0,109.2,109.5,129912557
2026-02-09,109.5,110.49,109.01,109.85,135149474
2026-02-10,110.0,111.0,109.1,111.0,2024450559
2026-02-11,110.0,110.85,109.2,110.75,64570219
