Date,Open,High,Low,Close,Volume
2025-04-16,0.0,0.0,0.0,100.0,0
2025-04-21,100.0,0.0,0.0,100.0,0
2025-04-22,100.0,0.0,0.0,100.0,0
2025-04-23,100.0,0.0,0.0,100.0,0
2025-04-24,100.0,0.0,0.0,100.0,0
2025-04-25,100.0,0.0,0.0,100.0,0
2025-04-28,100.0,0.0,0.0,100.0,0
2025-04-29,100.0,0.0,0.0,100.0,0
2025-04-30,100.0,0.0,0.0,100.0,0
2025-05-05,100.0,0.0,0.0,100.0,0
2025-05-06,100.0,0.0,0.0,100.0,0
2025-05-07,100.0,0.0,0.0,100.0,0
2025-05-08,100.0,0.0,0.0,100.0,0
2025-05-09,100.0,0.0,0.0,100.0,0
2025-05-12,100.0,0.0,0.0,100.0,0
2025-05-13,100.0,0.0,0.0,100.0,0
2025-05-14,100.0,0.0,0.0,100.0,0
2025-05-15,100.0,0.0,0.0,100.0,0
2025-05-16,100.0,0.0,0.0,100.0,0
2025-05-19,100.0,0.0,0.0,100.0,0
2025-05-20,100.0,0.0,0.0,100.0,0
2025-05-21,100.0,0.0,0.0,100.0,0
2025-05-22,100.0,0.0,0.0,100.0,0
2025-05-23,100.0,0.0,0.0,100.0,0
2025-05-26,100.0,0.0,0.0,100.0,0
2025-05-27,100.0,0.0,0.0,100.0,0
2025-05-28,100.0,0.0,0.0,100.0,0
2025-05-29,100.0,0.0,0.0,100.0,0
2025-05-30,100.0,0.0,0.0,100.0,0
2025-06-02,100.0,0.0,0.0,100.0,0
2025-06-03,100.0,0.0,0.0,100.0,0
2025-06-04,100.0,0.0,0.0,100.0,0
2025-06-05,100.0,0.0,0.0,100.0,0
2025-06-06,100.0,0.0,0.0,100.0,0
2025-06-09,100.0,0.0,0.0,100.0,0
2025-06-10,100.0,0.0,0.0,100.0,0
2025-06-11,100.0,0.0,0.0,100.0,0
2025-06-12,100.0,0.0,0.0,100.0,0
2025-06-13,100.0,0.0,0.0,100.0,0
2025-06-17,100.0,0.0,0.0,100.0,0
2025-06-18,100.0,0.0,0.0,100.0,0
2025-06-19,100.0,0.0,0.0,100.0,0
2025-06-23,100.0,0.0,0.0,100.0,0
2025-06-24,100.0,0.0,0.0,100.0,0
2025-06-25,100.0,0.0,0.0,100.0,0
2025-06-26,100.0,0.0,0.0,100.0,0
2025-06-27,100.0,0.0,0.0,100.0,0
2025-06-30,100.0,0.0,0.0,100.0,0
2025-07-01,100.0,0.0,0.0,100.0,0
2025-07-02,100.0,0.0,0.0,100.0,0
2025-07-03,109.6,109.8,108.6,109.6,1369391599
2025-07-04,109.7,110.75,108.61,109.75,4891762249
2025-07-07,110.75,110.75,109.1,109.9,69744944
2025-07-08,110.75,110.9,109.5,110.15,42773957
2025-07-10,110.5,110.5,109.5,110.0,3806037018
2025-07-11,110.02,111.0,110.02,110.5,13249964
2025-07-14,110.06,111.8,109.5,109.85,139600482
2025-07-15,111.0,111.0,108.25,110.2,14153853
2025-07-16,110.2,110.7,107.0,109.61,1741876376
2025-07-17,109.65,110.65,109.65,110.35,3207443604
2025-07-18,109.95,110.98,109.1,110.11,119783296
2025-07-21,110.94,110.94,104.0,109.05,81999747
2025-07-22,109.05,110.7,106.0,110.25,1014123354
2025-07-23,110.99,111.0,110.26,110.7,507484363
2025-07-24,111.0,113.0,110.4,111.29,169245285
2025-07-25,111.6,111.6,110.91,111.06,191827085
2025-07-28,112.0,112.0,111.1,111.27,69516536
2025-07-29,111.27,111.8,110.5,111.73,85331272
2025-07-30,111.27,111.8,110.5,111.73,0
