Date,Open,High,Low,Close,Volume
2019-01-02,185.830002,190.820007,185.309998,189.740005,4294000
2019-01-03,187.5,187.509995,180.979996,181.179993,5070900
2019-01-04,184.850006,191.25,184.440002,189.759995,4452900
2019-01-07,190.630005,193.020004,189.710007,191.220001,4219200
2019-01-08,189.899994,192.490005,188.5,192.279999,5069700
2019-01-09,194.300003,196.550003,193.279999,195.770004,5471500
2019-01-10,193.029999,197.240005,191.320007,196.949997,3693600
2019-01-11,196.070007,196.699997,194.710007,195.899994,2500100
2019-01-14,194.380005,197.0,194.0,195.429993,3336500
2019-01-15,195.220001,197.350006,193.100006,196.520004,3783000
2019-01-16,197.509995,198.410004,196.5,197.770004,3546300
2019-01-17,197.449997,200.399994,197.100006,199.309998,2764100
2019-01-18,201.179993,202.529999,200.020004,202.0,4866600
2019-01-22,199.789993,201.0,197.649994,199.460007,4457700
2019-01-23,201.050003,201.059998,196.600006,198.350006,3086100
2019-01-24,198.419998,200.199997,197.929993,199.789993,2792000
2019-01-25,202.190002,203.889999,199.789993,202.940002,4677500
2019-01-28,200.740005,200.979996,198.059998,200.160004,3277200
2019-01-29,200.190002,200.669998,197.660004,199.240005,3661900
2019-01-30,200.419998,204.830002,199.899994,204.020004,4079500
2019-01-31,209.800003,212.970001,208.0,211.130005,11316200
2019-02-01,211.990005,214.639999,211.199997,213.770004,6470100
2019-02-04,214.350006,214.949997,213.199997,214.910004,4397500
2019-02-05,215.0,216.699997,214.949997,215.860001,3091500
2019-02-06,215.25,215.899994,213.679993,215.300003,2698000
2019-02-07,213.460007,214.449997,211.600006,213.970001,2742900
2019-02-08,212.0,216.630005,212.0,216.580002,3248400
2019-02-11,216.990005,218.649994,216.339996,217.100006,2974400
2019-02-12,218.559998,219.490005,217.639999,218.910004,3411400
2019-02-13,219.789993,221.279999,219.440002,220.539993,2996600
2019-02-14,219.509995,220.979996,218.619995,219.809998,2875600
2019-02-15,222.190002,222.350006,220.479996,222.110001,2758500
2019-02-19,221.429993,221.960007,220.360001,220.589996,2836700
2019-02-20,221.220001,221.830002,219.399994,221.110001,3103600
2019-02-21,220.210007,221.029999,218.619995,219.309998,3528800
2019-02-22,220.0,223.630005,219.699997,223.320007,3295300
2019-02-25,225.0,225.399994,223.0,223.320007,3359200
2019-02-26,222.160004,225.179993,222.050003,224.0,2852300
2019-02-27,223.039993,224.610001,221.740005,224.570007,2119500
2019-02-28,224.089996,225.600006,223.660004,224.770004,3240400
2019-03-01,226.880005,228.149994,225.360001,227.25,3001400
2019-03-04,227.309998,228.5,223.669998,226.289993,2977700
2019-03-05,226.229996,226.919998,225.289993,226.220001,2779100
