Date,Open,High,Low,Close,Volume
2024-04-10,4800.0,4800.0,4627.0,4627.0,577
2024-04-11,4800.0,4881.5,4666.0,4666.0,1617
2024-04-12,4700.0,5200.0,4599.0,4900.0,425
2024-04-15,5100.0,5186.5,4665.0,4850.0,2332
2024-04-16,4900.0,4900.0,4600.0,4691.0,150
2024-04-17,4795.0,5000.0,4700.0,4700.0,497
2024-04-18,4690.5,4881.5,4690.5,4870.0,361
2024-04-19,4800.0,5000.0,4718.0,5000.0,257
2024-04-22,5000.0,5050.0,4890.0,5050.0,732
2024-04-23,5050.0,5100.0,4860.0,5000.0,1462
2024-04-24,5000.0,5199.0,4570.5,5199.0,216
2024-04-25,5167.0,5170.0,4900.5,5149.0,558
2024-04-26,5250.0,5450.0,5180.0,5181.0,908
2024-04-29,5350.0,5350.0,5112.0,5250.0,398
2024-04-30,5190.0,5600.0,5190.0,5300.0,432
2024-05-02,5400.0,5400.0,5050.0,5213.0,151
2024-05-03,5213.0,5340.0,5000.0,5320.0,656
2024-05-06,5350.0,5450.0,5151.0,5295.0,710
2024-05-07,5222.0,5340.0,5048.0,5240.0,682
2024-05-08,5350.0,5350.0,5048.0,5150.0,248
2024-05-09,5150.0,5150.0,5048.0,5140.0,82
2024-05-10,5140.0,5140.0,5050.0,5140.0,153
2024-05-13,5140.0,5300.0,5115.0,5245.0,80
2024-05-14,5240.0,5300.0,5070.0,5250.0,309
2024-05-15,5250.0,5300.0,5050.5,5250.0,578
2024-05-16,5250.0,5275.0,5070.0,5269.5,279
2024-05-17,5105.0,5285.0,5105.0,5100.0,183
2024-05-20,5161.5,5290.0,5100.0,5280.0,160
2024-05-21,5350.0,5700.0,5300.0,5510.0,200
2024-05-22,5400.0,5880.0,5400.0,5800.0,138
2024-05-23,5750.0,6000.0,5620.0,5750.0,196
2024-05-24,5800.0,5887.0,5450.0,5450.0,313
2024-05-27,5450.0,5590.0,5320.0,5580.0,104
2024-05-28,5500.0,5750.0,5500.0,5581.0,308
2024-05-29,5620.0,5620.0,5400.0,5500.0,152
2024-05-30,5500.0,5500.0,5450.0,5490.0,445
2024-05-31,5500.0,5800.0,5500.0,5620.0,222
2024-06-03,5500.0,5850.0,5500.0,5630.0,154
2024-06-04,5900.0,6100.0,5850.0,5979.5,322
2024-06-05,5979.0,6000.0,5700.0,5960.0,578
2024-06-06,5960.0,5960.0,5850.0,5960.0,30
2024-06-07,6000.0,6050.0,5760.0,5990.0,519
2024-06-10,5990.0,6000.0,5800.0,5865.0,214
2024-06-11,6100.0,6100.0,5700.0,5850.0,380
2024-06-12,5950.0,5950.0,5700.0,5720.0,517
2024-06-13,5699.5,5700.0,5400.5,5600.0,286
2024-06-14,5700.0,5700.0,5273.0,5609.5,371
2024-06-18,5700.0,5700.0,5400.5,5626.0,226
2024-06-19,5570.0,5700.0,5530.0,5700.0,80
2024-06-24,5751.5,6099.5,5751.5,6075.0,289
2024-06-25,6100.0,6230.0,5800.5,5850.5,714
2024-06-26,6034.0,6034.0,5900.5,5975.0,172
2024-06-27,5460.0,6211.0,5460.0,6100.0,336
2024-06-28,6197.5,6203.5,5751.5,5885.0,1294
2024-07-01,5951.0,6150.0,5951.0,6150.0,436
2024-07-02,6451.0,6451.0,6250.0,6400.0,1391
2024-07-03,6400.0,6500.0,6094.0,6390.0,499
2024-07-04,6394.5,6400.0,6100.0,6200.0,489
2024-07-05,6375.0,6375.0,6110.5,6250.0,727
2024-07-08,6475.0,6585.0,6100.0,6134.5,3226
2024-07-10,6270.0,6270.0,5860.0,6150.0,650
2024-07-11,6080.0,6190.0,6070.0,6190.0,666
2024-07-12,6200.0,6520.0,6200.0,6440.0,391
2024-07-15,6430.0,6430.0,5600.0,5780.0,1282
2024-07-16,5780.0,5780.0,5420.0,5640.0,8177
2024-07-17,5800.0,6000.0,5610.0,6000.0,968
2024-07-18,6040.0,6140.0,5860.0,6000.0,1302
2024-07-19,6080.0,6350.0,5850.0,5860.0,993
2024-07-22,5810.0,6000.0,5810.0,5900.0,390
2024-07-23,5900.0,5950.0,5810.0,5850.0,580
2024-07-24,5900.0,6350.0,5820.0,6350.0,465
2024-07-25,6300.0,6300.0,5840.0,6000.0,1310
2024-07-26,5930.0,6000.0,5750.0,6000.0,404
2024-07-29,5910.0,5920.0,5750.0,5820.0,609
2024-07-30,5750.0,5940.0,5410.0,5650.0,2407
2024-07-31,5650.0,5990.0,5650.0,5900.0,985
2024-08-01,5990.0,5990.0,5730.0,5950.0,997
2024-08-02,5900.0,6270.0,5800.0,6100.0,7327
2024-08-05,6150.0,6500.0,6050.0,6120.0,1299
2024-08-06,6150.0,6350.0,5900.0,5900.0,1140
2024-08-07,6190.0,6290.0,5940.0,6100.0,788
2024-08-08,6010.0,6180.0,6010.0,6100.0,512
2024-08-09,6110.0,6200.0,5900.0,6040.0,492
2024-08-12,6100.0,6100.0,5860.0,5920.0,207
2024-08-13,5810.0,6100.0,5810.0,6020.0,115
2024-08-14,6140.0,6150.0,5910.0,6100.0,619
2024-08-15,6100.0,6100.0,5910.0,6100.0,657
2024-08-16,6000.0,6350.0,5800.0,5900.0,1168
2024-08-19,5910.0,6200.0,5910.0,6040.0,530
2024-08-20,6140.0,6190.0,5910.0,6100.0,891
2024-08-21,6190.0,6250.0,6110.0,6200.0,265
2024-08-22,6200.0,6200.0,5900.0,6150.0,861
2024-08-23,6150.0,6240.0,5970.0,6230.0,477
2024-08-26,6230.0,6330.0,6100.0,6100.0,305
2024-08-27,6070.0,6180.0,6050.0,6170.0,52
2024-08-28,6060.0,6120.0,6000.0,6000.0,174
2024-08-29,6010.0,6100.0,5760.0,5880.0,122
2024-08-30,5810.0,6290.0,5780.0,6120.0,186
2024-09-02,6010.0,6300.0,6010.0,6230.0,135
2024-09-03,6200.0,6330.0,6110.0,6110.0,463
2024-09-04,6280.0,6500.0,6280.0,6370.0,1439
2024-09-05,6680.0,6790.0,6350.0,6350.0,483
2024-09-06,6330.0,6440.0,6090.0,6290.0,552
2024-09-09,6440.0,6440.0,6000.0,6220.0,369
2024-09-10,6220.0,6440.0,6150.0,6200.0,539
2024-09-11,6300.0,6300.0,6060.0,6250.0,758
2024-09-12,6240.0,6240.0,6010.0,6100.0,478
2024-09-13,6110.0,6250.0,6110.0,6110.0,327
2024-09-16,6140.0,6240.0,6110.0,6120.0,154
2024-09-17,6100.0,6240.0,6100.0,6140.0,284
2024-09-18,6200.0,6200.0,6150.0,6110.0,122
2024-09-19,6010.0,6190.0,6000.0,6120.0,419
2024-09-20,6140.0,6140.0,5920.0,6040.0,344
2024-09-23,6040.0,6200.0,6000.0,6000.0,432
2024-09-24,6020.0,6200.0,6010.0,6000.0,812
2024-09-25,6160.0,6160.0,5900.0,6050.0,236
2024-09-26,5910.0,6040.0,5910.0,6040.0,50
2024-09-27,6140.0,6150.0,6010.0,6150.0,114
2024-09-30,6150.0,6150.0,5900.0,5950.0,280
2024-10-01,6020.0,6080.0,6000.0,5900.0,1051
2024-10-02,5900.0,6140.0,5800.0,5800.0,209
2024-10-03,5800.0,5920.0,5800.0,5870.0,185
2024-10-04,5800.0,6050.0,5800.0,5900.0,543
2024-10-07,5880.0,5880.0,5650.0,5700.0,189
2024-10-08,5700.0,5800.0,5650.0,5800.0,313
2024-10-09,5820.0,5820.0,5500.0,5650.0,211
2024-10-10,5600.0,5900.0,5600.0,5750.0,42
2024-10-14,5750.0,5990.0,5600.0,5600.0,680
2024-10-15,5700.0,5800.0,5500.0,5550.0,1190
2024-10-16,5500.0,5790.0,5500.0,5680.0,237
2024-10-17,5510.0,5750.0,5500.0,5600.0,236
2024-10-18,5600.0,5900.0,5600.0,5750.0,164
2024-10-21,5510.0,5850.0,5510.0,5800.0,138
2024-10-22,5400.0,5800.0,5400.0,5600.0,385
2024-10-23,5680.0,5680.0,5490.0,5600.0,83
2024-10-24,5800.0,6150.0,5500.0,5570.0,466
2024-10-25,5510.0,5600.0,5440.0,5430.0,270
2024-10-28,5440.0,5440.0,5310.0,5310.0,119
2024-10-29,5400.0,5400.0,5240.0,5300.0,90
2024-10-30,5300.0,5450.0,5300.0,5500.0,456
2024-10-31,5480.0,5480.0,5170.0,5280.0,348
2024-11-01,5280.0,5670.0,5280.0,5350.0,42
2024-11-04,5370.81,5450.0,5350.0,5440.0,60
2024-11-05,5430.0,5460.0,5320.0,5460.0,83
2024-11-06,5250.0,5440.0,5150.0,5250.0,282
2024-11-07,5300.0,5300.0,5100.0,5130.0,4275
2024-11-08,5150.0,5440.0,5050.0,5100.0,5432
2024-11-11,5300.0,5300.0,5050.0,5210.0,1722
2024-11-12,5010.0,5250.0,5010.0,5110.0,2754
2024-11-13,5010.0,5340.0,5000.0,5110.0,3215
2024-11-14,5030.0,5300.0,5030.0,5160.0,3827
2024-11-15,5270.0,5270.0,4830.0,4875.0,4777
2024-11-19,4850.0,4850.0,4675.0,4760.0,1748
2024-11-20,4739.11,4900.0,4715.0,4770.0,646
2024-11-21,4770.0,5000.0,4710.0,4815.0,2751
