Date,Open,High,Low,Close,Volume
2019-01-02,26.5,27.0,26.0,26.3,44955
2019-01-03,26.3,26.5,25.5,26.2,62860
2019-01-04,26.2,27.3,26.0,27.2,88874
2019-01-07,27.2,28.0,26.05,26.95,55138
2019-01-08,27.8,27.8,26.35,26.35,61205
2019-01-09,26.45,27.0,26.0,26.45,130190
2019-01-10,26.5,27.0,26.0,26.7,74304
2019-01-11,27.0,27.2,26.0,26.35,146365
2019-01-14,26.4,28.4,26.4,28.2,544808
2019-01-15,28.7,29.85,28.05,28.05,402483
2019-01-16,28.5,29.75,28.2,29.15,213074
2019-01-17,29.15,30.35,28.5,30.35,129537
2019-01-18,30.8,31.7,30.4,30.7,303153
2019-01-21,30.7,31.0,29.95,30.95,68280
2019-01-22,30.9,30.9,29.5,29.95,92499
2019-01-23,29.95,30.75,29.0,29.75,94652
2019-01-24,29.9,30.85,29.8,29.9,114884
2019-01-25,30.05,30.05,29.25,29.5,46888
2019-01-28,29.5,29.5,28.25,29.3,85420
2019-01-29,29.5,29.5,28.6,29.1,38596
2019-01-30,28.75,30.55,28.6,30.5,117320
2019-01-31,30.5,30.75,30.1,30.65,47572
2019-02-01,30.2,31.5,29.85,30.0,176204
2019-02-04,30.0,30.8,29.75,30.2,100226
2019-02-05,30.9,30.9,29.55,29.65,192649
2019-02-06,29.9,30.0,28.0,28.5,305134
2019-02-07,28.7,28.7,27.5,27.9,159119
2019-02-08,28.0,29.1,27.5,29.1,141235
2019-02-11,29.2,29.7,28.7,28.9,44922
2019-02-12,28.8,29.3,28.6,29.3,107289
2019-02-13,28.95,29.65,28.95,29.35,74018
2019-02-14,30.0,30.0,29.0,29.5,77723
2019-02-15,29.2,29.5,29.0,29.45,28887
2019-02-18,29.0,29.45,28.5,29.0,26217
2019-02-19,29.3,29.45,27.65,28.0,241610
2019-02-20,28.0,28.5,27.55,27.65,110784
2019-02-21,28.0,28.0,27.5,27.7,49480
2019-02-22,27.7,28.5,27.6,28.4,39832
2019-02-25,28.5,28.5,27.9,28.45,21851
2019-02-26,28.2,28.25,27.5,28.0,23343
2019-02-27,28.0,28.0,26.65,27.4,26109
2019-02-28,27.2,27.3,26.6,26.9,66963
2019-03-01,26.9,28.0,26.3,26.8,41084
2019-03-06,26.0,26.85,24.8,24.9,124912
2019-03-07,25.9,25.9,24.85,25.2,97824
2019-03-08,25.0,25.8,24.1,24.9,72298
2019-03-11,25.5,25.5,24.1,24.6,100786
2019-03-12,24.6,25.3,23.6,25.0,141758
2019-03-13,25.0,25.5,24.2,24.7,88912
2019-03-14,24.7,24.7,23.9,23.9,61350
2019-03-15,24.0,24.7,23.9,24.7,119654
2019-03-18,25.8,25.8,24.0,25.0,31206
2019-03-19,25.0,25.0,24.0,24.05,78680
2019-03-20,24.5,24.5,23.7,23.8,40563
2019-03-21,23.8,23.8,23.3,23.6,72246
2019-03-22,23.45,23.6,22.5,23.0,70557
2019-03-25,22.7,23.4,22.0,22.0,88002
2019-03-26,22.5,22.75,21.3,21.5,111607
2019-03-27,21.6,21.6,20.0,21.0,214929
2019-03-28,21.2,22.4,21.0,22.4,123503
2019-03-29,22.35,22.8,22.0,22.8,63437
2019-04-01,22.8,23.4,21.5,22.1,33500
2019-04-03,22.0,22.0,20.5,20.9,56599
2019-04-04,20.9,21.4,20.0,20.15,52456
2019-04-05,20.1,21.0,19.5,20.25,46359
2019-04-08,20.0,20.2,19.75,19.85,48344
2019-04-09,19.85,20.0,18.9,19.05,39404
2019-04-10,18.9,19.9,18.0,19.1,89569
2019-04-11,19.0,19.5,18.5,18.9,56068
2019-04-12,18.9,18.9,18.3,18.5,47341
2019-04-15,18.6,19.0,18.0,18.75,222039
2019-04-16,18.95,18.95,18.0,18.2,50028
2019-04-17,18.2,18.75,17.7,18.2,160697
2019-04-22,17.75,18.3,17.1,18.0,102416
2019-04-23,18.0,18.4,17.7,18.1,15860
2019-04-24,18.2,18.2,16.5,17.0,110436
2019-04-25,16.45,18.45,15.35,16.8,194866
2019-04-26,16.8,17.25,16.3,16.75,157238
2019-04-29,16.7,17.5,16.3,16.4,51978
2019-04-30,16.5,16.9,16.35,16.4,84581
