Date,Open,High,Low,Close,Volume
2019-01-02,355.0,359.0,340.0,355.75,5192
2019-01-03,355.0,355.0,337.0,341.0,9193
2019-01-04,350.0,363.0,340.05,352.4,5244
2019-01-07,365.0,365.0,345.0,347.5,6658
2019-01-08,350.0,351.5,339.0,345.0,2836
2019-01-09,346.0,358.5,346.0,353.0,11595
2019-01-10,343.5,355.0,343.5,350.0,10751
2019-01-11,350.0,365.0,348.0,364.5,10748
2019-01-14,364.0,372.5,356.0,362.5,6493
2019-01-15,358.0,373.0,358.0,366.0,5943
2019-01-16,376.0,378.5,362.0,370.0,3383
2019-01-17,370.0,371.0,364.0,370.5,7500
2019-01-18,370.5,386.0,370.5,384.5,9463
2019-01-21,384.5,401.0,383.5,399.0,10133
2019-01-22,401.0,404.0,372.5,379.0,17993
2019-01-23,380.0,395.0,380.0,395.0,10007
2019-01-24,398.0,405.0,396.5,400.0,8546
2019-01-25,402.0,402.0,389.0,393.5,11306
2019-01-28,393.5,393.5,375.0,384.0,4863
2019-01-29,384.0,389.5,376.0,383.5,5192
2019-01-30,385.0,389.0,380.5,386.0,9397
2019-01-31,387.5,388.5,380.5,384.5,6890
2019-02-01,387.0,390.0,381.5,384.5,5870
2019-02-04,388.0,388.0,375.0,376.5,13349
2019-02-05,385.0,385.0,366.0,373.0,12397
2019-02-06,374.0,382.0,367.0,367.5,8316
2019-02-07,367.5,367.5,360.0,366.0,8922
2019-02-08,371.0,385.0,367.5,383.5,5529
2019-02-11,380.0,394.0,380.0,393.0,6121
2019-02-12,393.0,400.0,390.0,398.0,7507
2019-02-13,398.0,403.0,388.5,393.0,5385
2019-02-14,393.0,393.0,382.0,384.5,7294
2019-02-15,382.5,395.0,382.5,394.5,14024
2019-02-18,395.0,395.0,382.0,387.0,4924
2019-02-19,392.0,392.0,377.5,383.5,3127
2019-02-20,380.5,389.0,376.0,378.5,3892
2019-02-21,371.5,378.5,370.0,370.0,2290
2019-02-22,368.0,374.5,368.0,370.0,5014
2019-02-25,370.0,375.0,361.0,367.5,6518
2019-02-26,365.0,370.0,355.0,368.0,2164
2019-02-27,369.0,371.0,365.0,370.5,3640
2019-02-28,378.0,378.0,367.0,371.5,3193
2019-03-01,375.0,380.0,356.0,377.0,4678
2019-03-06,368.0,373.5,360.0,367.5,3497
2019-03-07,367.0,373.5,347.5,361.5,11094
2019-03-08,353.0,369.5,353.0,360.5,2880
2019-03-11,366.0,366.0,348.0,348.5,7961
2019-03-12,350.0,352.0,328.0,342.5,14496
2019-03-13,345.0,345.0,327.5,336.0,14852
2019-03-14,336.0,338.5,325.5,337.5,7558
2019-03-15,340.0,344.0,329.0,334.0,10325
2019-03-18,340.0,340.0,315.0,319.5,25259
2019-03-19,321.5,326.0,307.0,309.5,11038
2019-03-20,307.0,324.0,307.0,320.5,26215
2019-03-21,325.5,326.0,307.0,312.0,8703
2019-03-22,312.5,312.5,300.0,305.5,14567
2019-03-25,306.0,314.0,300.0,305.0,8254
2019-03-26,305.0,309.5,298.5,301.0,7666
2019-03-27,291.0,295.0,281.0,293.0,18845
2019-03-28,297.0,312.0,297.0,310.0,14242
2019-03-29,315.0,320.0,311.0,311.5,4814
2019-04-01,312.0,320.0,300.0,307.5,11484
2019-04-03,308.0,308.0,295.0,297.0,6497
2019-04-04,296.0,302.0,286.5,289.5,7934
2019-04-05,290.5,295.0,287.5,290.0,6468
2019-04-08,293.0,304.0,288.5,290.0,5138
2019-04-09,290.0,290.0,276.0,277.5,6951
2019-04-10,278.0,292.0,278.0,280.0,10716
2019-04-11,280.0,282.0,270.0,278.5,5788
2019-04-12,280.0,285.0,270.0,284.0,3855
2019-04-15,284.5,284.5,273.0,276.0,8040
2019-04-16,276.0,282.0,274.0,277.0,1052
2019-04-17,277.0,278.0,273.0,274.0,3010
2019-04-22,265.0,269.0,261.0,263.0,4675
