Date,Open,High,Low,Close,Volume
2022-05-31,980.0,985.0,924.0,929.0,4427
2022-06-01,944.5,989.5,944.5,988.0,2309
2022-06-02,971.5,971.5,934.0,952.5,1034
2022-06-05,1011.5,1035.0,989.0,1010.0,2245
2022-06-06,1010.0,1037.5,1002.5,1034.5,20509
2022-06-07,1066.0,1076.5,1045.0,1072.0,23635
2022-06-08,1027.5,1046.5,991.0,1040.0,7491
2022-06-09,1027.0,1038.0,989.5,1035.5,9220
2022-06-12,995.0,995.0,940.0,954.5,26611
2022-06-13,1025.0,1141.0,1024.0,1127.0,8128
2022-06-14,1105.0,1207.0,1098.5,1198.0,21455
2022-06-15,1150.5,1170.5,1110.0,1162.5,6177
2022-06-20,1350.0,1390.5,1332.5,1370.5,7294
2022-06-21,1363.5,1385.5,1325.5,1340.5,2845
2022-06-22,1342.5,1374.5,1314.0,1369.5,3049
2022-06-23,1395.0,1434.0,1376.5,1421.5,5231
2022-06-26,1406.5,1412.0,1346.0,1404.0,3526
2022-06-27,1412.5,1450.5,1363.5,1400.0,2221
2022-06-28,1346.0,1397.5,1339.5,1375.0,2498
2022-06-29,1327.0,1400.0,1326.5,1384.0,2510
2022-06-30,1390.0,1390.0,1317.5,1347.5,4138
2022-07-03,1410.0,1485.0,1385.5,1436.5,393
2022-07-04,1490.0,1536.5,1409.5,1526.0,3838
2022-07-05,1487.5,1487.5,1395.5,1457.0,29664
2022-07-06,1550.0,1677.0,1550.0,1661.5,17217
2022-07-07,1695.0,1724.0,1652.5,1718.0,95552
2022-07-10,1660.0,1660.0,1520.5,1542.5,18709
2022-07-11,1523.0,1582.0,1506.5,1536.5,3211
2022-07-12,1532.5,1568.0,1523.5,1536.5,5695
2022-07-13,1523.0,1566.5,1523.0,1558.5,3487
2022-07-14,1507.0,1560.0,1485.0,1560.0,6165
2022-07-17,1617.0,1627.5,1586.0,1587.0,10674
2022-07-18,1516.5,1565.0,1489.0,1560.5,10773
2022-07-19,1563.0,1596.0,1545.5,1585.5,5325
2022-07-20,1630.0,1744.5,1629.0,1715.5,10808
2022-07-21,1715.0,1715.0,1535.0,1575.5,8242
2022-07-24,1552.5,1599.0,1526.0,1598.0,6411
2022-07-25,1592.5,1607.0,1565.5,1586.5,6463
2022-07-26,1615.0,1624.0,1580.5,1613.0,4415
2022-07-27,1615.5,1615.5,1456.0,1527.0,41358
2022-07-28,1513.5,1540.0,1380.0,1425.0,28816
2022-07-31,1490.0,1490.0,1381.5,1419.5,7404
2022-08-01,1390.0,1494.5,1377.0,1460.0,4227
2022-08-02,1426.5,1470.5,1401.5,1450.5,2661
2022-08-03,1527.0,1550.0,1485.0,1533.5,6464
2022-08-04,1488.0,1506.0,1441.0,1441.5,7649
2022-08-07,1488.5,1489.0,1420.0,1435.5,1676
2022-08-08,1419.5,1419.5,1374.0,1383.5,7849
2022-08-09,1415.0,1452.0,1390.5,1451.0,5033
2022-08-10,1501.0,1570.0,1473.0,1490.5,13773
2022-08-11,1473.0,1517.5,1453.5,1516.5,2453
2022-08-15,1499.5,1499.5,1447.0,1477.0,1562
2022-08-16,1480.0,1480.0,1430.0,1450.5,4588
2022-08-17,1420.5,1474.0,1415.0,1471.5,1829
2022-08-18,1428.5,1445.5,1409.0,1440.0,3088
2022-08-21,1440.0,1451.0,1413.5,1415.5,2580
2022-08-22,1374.0,1404.0,1333.0,1372.0,5202
2022-08-23,1383.5,1442.0,1383.5,1409.0,5605
2022-08-24,1415.0,1530.0,1415.0,1489.0,4634
2022-08-25,1527.0,1548.5,1450.0,1468.5,5571
2022-08-28,1468.0,1488.0,1429.0,1461.0,2859
2022-08-29,1450.0,1469.5,1418.0,1457.0,1866
2022-08-30,1491.0,1491.0,1426.0,1465.0,492
2022-08-31,1480.0,1490.0,1340.0,1363.0,3695
2022-09-04,1358.0,1364.0,1250.0,1339.5,465
2022-09-05,1250.5,1253.0,1215.0,1224.5,4157
2022-09-06,1249.0,1255.0,1224.5,1232.5,3016
2022-09-07,1229.5,1255.0,1221.0,1254.0,1214
2022-09-08,1345.0,1380.0,1340.5,1344.0,4037
2022-09-11,1464.5,1532.5,1453.0,1526.0,6187
2022-09-12,1498.5,1569.5,1495.0,1544.5,9825
2022-09-13,1487.5,1555.5,1472.0,1547.5,1614
2022-09-14,1580.0,1615.0,1560.0,1588.0,4071
2022-09-15,1561.5,1580.0,1500.0,1511.0,4256
2022-09-18,1538.5,1591.0,1517.5,1580.5,3141
2022-09-19,1563.5,1565.0,1519.5,1530.5,1484
2022-09-20,1484.5,1484.5,1400.0,1404.0,9725
2022-09-21,1431.5,1446.5,1411.0,1434.5,2896
2022-09-22,1450.0,1450.0,1355.0,1384.0,1375
2022-09-25,1415.0,1436.0,1351.0,1351.0,2447
2022-09-26,1374.0,1374.0,1289.0,1330.0,4769
2022-09-27,1308.5,1334.5,1283.5,1333.5,5176
2022-09-28,1267.0,1271.0,1176.0,1192.5,21838
2022-09-29,1201.0,1245.0,1187.5,1242.0,7206
2022-10-02,1231.5,1231.5,1178.5,1200.5,3740
2022-10-03,1245.0,1299.0,1245.0,1292.5,11643
2022-10-04,1257.0,1263.0,1217.0,1255.0,4598
2022-10-05,1234.0,1234.0,1130.0,1137.0,877399
2022-10-10,993.5,1024.5,967.5,979.0,35881
2022-10-11,975.0,993.5,958.0,985.0,8737
2022-10-12,978.0,1004.5,940.0,1002.5,9008
2022-10-13,1020.0,1020.0,920.0,924.0,9564
2022-10-16,946.0,979.5,934.0,935.5,7214
2022-10-17,955.0,963.5,924.0,933.0,7124
2022-10-18,887.5,891.0,815.0,824.5,19540
2022-10-19,850.0,864.0,825.0,838.0,3567
2022-10-20,822.5,851.0,810.5,843.5,5828
2022-10-23,782.5,782.5,638.5,717.5,87051
2022-10-24,753.0,813.0,753.0,811.0,69425
2022-10-25,819.5,846.5,803.5,829.0,10920
2022-10-26,785.5,797.5,760.0,769.5,8676
2022-10-27,736.0,745.5,718.0,744.5,7920
2022-10-30,749.5,777.5,744.0,750.0,5947
2022-10-31,780.0,780.0,732.0,738.5,6241
2022-11-01,760.0,760.0,721.0,723.0,13187
2022-11-02,721.5,772.0,710.0,754.5,5637
2022-11-03,790.0,891.0,790.0,890.0,37602
2022-11-06,901.5,938.5,812.0,830.0,23971
2022-11-07,830.0,830.0,760.0,796.5,28105
2022-11-08,770.0,775.5,703.0,712.0,44355
2022-11-09,744.0,820.0,744.0,794.5,89513
2022-11-10,833.0,901.5,806.0,888.0,43764
2022-11-13,905.0,970.0,865.0,873.0,19717
2022-11-14,915.0,940.0,882.0,921.0,32295
2022-11-15,912.0,912.0,845.0,861.0,31695
2022-11-16,877.0,896.5,814.0,894.5,27483
2022-11-17,890.0,905.0,851.0,876.0,21766
2022-11-21,865.0,865.0,810.0,829.0,10939
2022-11-22,840.0,895.0,829.0,865.0,10132
2022-11-23,898.0,898.0,870.0,883.0,1068
2022-11-24,889.0,890.0,824.0,845.0,4172
2022-11-28,857.5,868.0,845.0,855.0,5796
2022-11-29,861.0,1075.0,861.0,1018.5,91768
2022-11-30,1023.0,1024.0,975.0,987.0,85216
2022-12-01,980.0,1080.0,973.0,1072.0,33885
2022-12-04,1125.5,1161.5,1032.0,1058.0,34501
2022-12-05,1050.0,1131.0,1045.0,1126.0,26916
2022-12-06,1105.0,1105.0,1042.0,1071.5,24413
2022-12-11,1090.0,1090.0,1015.5,1036.5,5426
2022-12-12,1067.0,1096.0,999.0,1029.0,8756
2022-12-13,1009.0,1038.5,987.5,995.5,5512
2022-12-14,1019.5,1040.0,970.0,990.0,10759
2022-12-15,1014.5,1026.0,965.0,968.5,10095
2022-12-18,963.5,977.5,907.0,920.5,14117
2022-12-19,900.0,945.0,875.0,920.0,6245
2022-12-20,932.0,982.0,907.0,971.0,15599
2022-12-21,969.5,970.0,910.0,938.0,15940
2022-12-22,970.0,970.0,894.5,913.5,15521
2022-12-25,950.0,950.0,903.0,925.0,521
2022-12-26,910.0,910.0,850.0,853.0,46330
2022-12-27,875.0,880.0,832.5,849.5,68605
2022-12-28,861.0,887.0,841.0,857.5,17749
2022-12-29,860.0,860.0,810.0,839.5,7612
2023-01-01,845.0,860.0,845.0,858.0,2613
2023-01-02,884.0,895.0,814.0,836.0,17547
2023-01-03,840.0,930.0,839.0,901.5,25845
2023-01-04,897.0,930.0,875.5,930.0,13019
2023-01-05,899.0,899.0,811.0,875.0,84957
2023-01-08,877.0,930.0,877.0,897.5,45766
2023-01-09,929.0,945.0,893.0,931.0,15900
2023-01-10,935.0,975.0,918.0,968.5,23364
2023-01-11,977.0,1025.0,947.0,1019.0,29546
2023-01-12,999.0,1035.0,981.5,1030.0,44960
2023-01-15,1080.0,1080.0,1020.0,1028.0,2641
2023-01-16,1018.0,1040.0,1000.0,1033.0,26028
2023-01-17,1026.0,1033.0,959.0,966.0,20620
2023-01-18,969.0,980.0,934.5,962.5,22626
2023-01-19,971.5,1029.0,964.0,998.0,30046
