Date,Open,High,Low,Close,Volume
2025-05-16,7070.0,7100.0,7060.0,7140.0,36
2025-05-19,7150.0,7150.0,6890.0,6970.0,187
2025-05-20,6920.0,6950.0,6880.0,6950.0,165
2025-05-21,6900.0,6990.0,6870.0,6900.0,97
2025-05-22,6970.0,6970.0,6880.0,6900.0,67
2025-05-23,6800.0,6840.0,6780.0,6820.0,121
2025-05-26,6820.0,0.0,0.0,6820.0,0
2025-05-27,6930.0,7020.0,6890.0,6990.0,62
2025-05-28,7000.0,7030.0,6960.0,6950.0,69
2025-05-29,7040.0,7040.0,7040.0,7070.0,2
2025-05-30,7110.0,7140.0,7060.0,7070.0,138
2025-06-02,7030.0,7050.0,6980.0,7030.0,12
2025-06-03,7000.0,7040.0,6990.0,7010.0,49
2025-06-04,7000.0,7040.0,6990.0,7010.0,0
2025-06-05,7150.0,7210.0,7070.0,7110.0,265
2025-06-06,7150.0,7210.0,7140.0,7200.0,528
2025-06-09,7190.0,7200.0,7190.0,7180.0,95
2025-06-10,6990.0,7040.0,6990.0,6970.0,481
2025-06-11,7070.0,7070.0,6930.0,6980.0,18
2025-06-12,6980.0,7030.0,6980.0,6990.0,88
2025-06-13,6850.0,6910.0,6790.0,6880.0,254
2025-06-17,6850.0,6910.0,6790.0,6880.0,0
2025-06-18,6700.0,6700.0,6640.0,6680.0,12
2025-06-19,6700.0,6700.0,6640.0,6680.0,0
2025-06-23,6670.0,6780.0,6660.0,6730.0,26
2025-06-24,6800.0,6900.0,6800.0,6840.0,557
2025-06-25,6870.0,7030.0,6870.0,7040.0,144
2025-06-26,7110.0,7110.0,7030.0,7100.0,296
2025-06-27,7100.0,7180.0,7090.0,7160.0,353
2025-06-30,7150.0,7280.0,7150.0,7280.0,227
2025-07-01,7230.0,7280.0,7140.0,7280.0,102
2025-07-02,7260.0,7350.0,7260.0,7300.0,20
2025-07-03,7490.0,7580.0,7470.0,7590.0,1795
2025-07-04,7490.0,7580.0,7470.0,7590.0,0
2025-07-07,7590.0,7700.0,7520.0,7660.0,2951
2025-07-08,7530.0,7570.0,7430.0,7520.0,1915
2025-07-10,7190.0,7290.0,7150.0,7110.0,2272
2025-07-11,7100.0,7100.0,6930.0,6930.0,493
2025-07-14,7060.0,7240.0,7060.0,7220.0,1323
2025-07-15,7270.0,7270.0,7130.0,7150.0,159
2025-07-16,7050.0,7130.0,7050.0,7150.0,72
2025-07-17,7170.0,7170.0,7150.0,7170.0,22
2025-07-18,7220.0,7270.0,7220.0,7230.0,967
2025-07-21,7300.0,7300.0,7170.0,7200.0,117
2025-07-22,7180.0,7180.0,7060.0,7100.0,56
2025-07-23,7030.0,7100.0,7030.0,7030.0,727
2025-07-24,7500.0,7500.0,7220.0,7410.0,725
2025-07-25,7300.0,7300.0,7200.0,7270.0,3127
2025-07-28,7410.0,7460.0,7390.0,7450.0,279
2025-07-29,7540.0,7570.0,7400.0,7490.0,2873
2025-07-30,7450.0,7450.0,7410.0,7430.0,56
2025-07-31,7430.0,7520.0,7430.0,7550.0,770
2025-08-01,7190.0,7300.0,7190.0,7230.0,290
2025-08-04,6930.0,7300.0,6930.0,7310.0,1530
2025-08-05,7200.0,7200.0,7060.0,7060.0,155
2025-08-06,7070.0,7090.0,7050.0,7050.0,151
2025-08-07,7120.0,7120.0,6720.0,6760.0,277
2025-08-08,6790.0,6850.0,6650.0,6730.0,365
2025-08-11,6800.0,6820.0,6600.0,6600.0,211
2025-08-12,6570.0,6630.0,6510.0,6580.0,504
2025-08-13,6640.0,6650.0,6510.0,6630.0,2098
2025-08-14,6590.0,6590.0,6480.0,6490.0,1153
2025-08-18,6620.0,6750.0,6620.0,6760.0,1309
2025-08-19,6790.0,6800.0,6670.0,6770.0,593
2025-08-20,6730.0,6820.0,6730.0,6800.0,597
2025-08-21,6730.0,6740.0,6720.0,6780.0,154
2025-08-22,6750.0,6930.0,6750.0,6890.0,116
2025-08-25,6900.0,6960.0,6900.0,6960.0,313
2025-08-26,6960.0,6960.0,6770.0,6830.0,1519
2025-08-27,7000.0,7050.0,6960.0,7030.0,680
2025-08-28,7100.0,7300.0,7080.0,7290.0,7176
2025-08-29,7170.0,7220.0,7110.0,7250.0,3123
2025-09-01,6920.0,7120.0,6920.0,7130.0,45
2025-09-02,7190.0,7260.0,7120.0,7260.0,739
2025-09-03,7220.0,7320.0,7140.0,7350.0,1349
2025-09-04,7150.0,7230.0,6990.0,7230.0,404
2025-09-05,7310.0,7360.0,7310.0,7390.0,2873
2025-09-08,7765.0,7895.0,7690.0,7915.0,3862
2025-09-09,7930.0,7930.0,7740.0,7830.0,613
2025-09-10,7860.0,7860.0,7660.0,7730.0,805
2025-09-11,7780.0,7935.0,7765.0,7930.0,1925
2025-09-12,7890.0,7985.0,7880.0,7965.0,127
2025-09-15,8035.0,8250.0,8035.0,8275.0,1297
2025-09-16,8075.0,8075.0,7980.0,8000.0,459
2025-09-17,8035.0,8235.0,8035.0,8270.0,5156
2025-09-18,8390.0,8560.0,8355.0,8610.0,1034
2025-09-19,8645.0,8780.0,8620.0,8760.0,1698
2025-09-22,7810.0,8095.0,7745.0,7950.0,4932
2025-09-23,7815.0,7815.0,7490.0,7670.0,10863
2025-09-24,7655.0,7795.0,7585.0,7560.0,9255
2025-09-25,7365.0,7515.0,7365.0,7520.0,5453
2025-09-26,7465.0,8045.0,7465.0,8025.0,5359
2025-09-29,8100.0,8230.0,8085.0,8155.0,9200
2025-09-30,8100.0,8220.0,8050.0,8265.0,3901
2025-10-01,8490.0,8490.0,8125.0,8350.0,2253
2025-10-02,8350.0,8380.0,8170.0,8235.0,4259
2025-10-03,8305.0,8305.0,8080.0,8105.0,735
2025-10-06,8085.0,8245.0,7910.0,8090.0,3576
2025-10-07,8010.0,8190.0,7965.0,8180.0,223
2025-10-08,8205.0,8320.0,8195.0,8170.0,2814
2025-10-09,8160.0,8225.0,7820.0,7795.0,741
2025-10-13,7575.0,7665.0,7575.0,7725.0,295
2025-10-14,7515.0,7790.0,7515.0,7840.0,324
2025-10-15,7880.0,7880.0,7600.0,7605.0,4678
2025-10-16,7835.0,7850.0,7695.0,7740.0,574
2025-10-17,7745.0,8000.0,7745.0,8160.0,3593
2025-10-20,8260.0,8325.0,8225.0,8330.0,235
2025-10-21,8490.0,8850.0,8490.0,8795.0,852
2025-10-22,8795.0,8885.0,8720.0,8750.0,717
2025-10-23,8780.0,8780.0,8465.0,8510.0,1111
2025-10-24,8520.0,8555.0,8400.0,8485.0,229
2025-10-27,7000.0,8485.0,7000.0,7985.0,74
2025-10-28,8100.0,8210.0,8100.0,8170.0,1176
2025-10-29,7900.0,8005.0,7850.0,7900.0,2005
2025-10-30,7925.0,8360.0,7925.0,8140.0,2516
2025-10-31,8070.0,8070.0,7930.0,8055.0,2251
2025-11-03,8010.0,8105.0,7745.0,8060.0,940
2025-11-04,7970.0,7970.0,7705.0,7730.0,392
2025-11-05,7725.0,7805.0,7650.0,7680.0,651
2025-11-06,7670.0,7670.0,7470.0,7510.0,1151
2025-11-07,7510.0,7510.0,7325.0,7400.0,257
2025-11-10,7315.0,7420.0,7315.0,7465.0,1543
2025-11-11,7455.0,7465.0,7385.0,7455.0,266
2025-11-12,7375.0,7425.0,7250.0,7415.0,447
2025-11-13,7465.0,7465.0,7290.0,7255.0,1529
2025-11-14,7270.0,7450.0,7270.0,7365.0,238
2025-11-17,7270.0,7305.0,7190.0,7155.0,1581
2025-11-18,7200.0,7200.0,7000.0,6965.0,207
2025-11-19,6965.0,7000.0,6960.0,6960.0,116
2025-11-20,6985.0,6985.0,6965.0,7000.0,34
2025-11-21,7000.0,7070.0,7000.0,7115.0,11
2025-11-25,7040.0,7350.0,7040.0,7345.0,803
