Date,Open,High,Low,Close,Volume
2024-03-17,6300.0,6508.5,6290.0,6500.0,12944
2024-03-18,6375.5,6443.5,6300.0,6443.0,12470
2024-03-19,6500.0,6890.0,6484.5,6890.0,44513
2024-03-20,6890.0,6890.0,6684.0,6807.0,134497
2024-03-21,6922.5,7600.0,6724.0,7252.0,17184
2024-03-22,6922.5,7600.0,6724.0,7301.5,17184
2024-03-24,6772.0,7150.0,6670.0,7080.0,54190
2024-03-25,6850.0,7600.0,6741.0,7000.0,44591
2024-03-26,7020.0,7300.0,6498.5,6550.0,74157
2024-03-27,7020.0,7300.0,6498.5,6550.0,74157
2024-04-02,6550.0,7090.0,6400.5,6680.0,29174
2024-04-03,6566.0,7099.0,6500.0,6700.0,22670
2024-04-04,6400.0,7000.0,6400.0,6850.0,15641
2024-04-05,6400.0,7000.0,6400.0,6661.0,15641
2024-04-07,6966.0,7300.0,6670.0,6750.0,23530
2024-04-08,6505.0,6714.5,6205.0,6448.5,12265
2024-04-09,6324.0,6600.0,6200.0,6310.0,6047
2024-04-10,6308.5,6580.0,6117.0,6475.0,3204
2024-04-11,6400.0,6900.0,6340.0,6539.0,5695
2024-04-12,6400.0,6900.0,6340.0,6503.5,5695
2024-04-14,6640.0,7350.0,6500.0,7350.0,7345
2024-04-15,6001.0,7250.0,5800.0,7000.0,4415
2024-04-16,6123.0,6705.5,6100.0,6471.0,9501
2024-04-17,6500.0,6543.0,5642.0,5642.0,6959
2024-04-18,5651.0,6000.0,5565.5,5686.0,8176
2024-04-19,5651.0,6000.0,5565.5,5685.0,8176
2024-04-21,5900.0,5900.0,5525.0,5768.5,3551
2024-04-22,5770.0,5989.0,5686.0,5878.0,6820
2024-04-23,5877.0,5913.5,5540.0,5740.0,9769
2024-04-24,5490.0,5949.5,5490.0,5900.0,2984
2024-04-25,5890.5,6248.0,5890.5,6048.0,10208
2024-04-26,5890.5,6248.0,5890.5,6035.5,10208
2024-04-28,6048.0,6150.5,5900.0,6073.5,5883
2024-04-29,6075.0,6190.0,5850.0,6178.0,6593
2024-04-30,6075.0,6190.0,5850.0,6144.5,6593
2024-05-01,6200.0,6220.0,5950.5,6190.0,10233
2024-05-02,6317.0,6700.0,6317.0,6690.0,25091
2024-05-03,6317.0,6700.0,6317.0,6657.0,25091
2024-05-05,6650.0,6798.5,6425.0,6700.0,18877
2024-05-06,6670.0,6894.5,6510.0,6639.0,10637
2024-05-07,6800.0,6800.0,6400.0,6554.0,7962
2024-05-08,6400.0,6540.0,6190.5,6450.0,15836
2024-05-09,6600.0,6699.5,6300.0,6583.5,16905
2024-05-10,6600.0,6699.5,6300.0,6434.0,16905
2024-05-12,6450.0,6479.5,6060.5,6160.0,11667
2024-05-13,6052.0,6300.0,6052.0,6275.0,18917
2024-05-14,6400.0,6950.0,6400.0,6600.0,23674
2024-05-15,6650.0,6700.0,6422.0,6700.0,14579
2024-05-16,6650.0,6650.0,6340.0,6414.0,11062
2024-05-17,6650.0,6650.0,6340.0,6448.5,11062
2024-05-19,6448.5,6676.5,6401.0,6631.5,12313
2024-05-20,6800.0,7230.0,6704.0,7220.0,24510
2024-05-21,7222.0,7435.0,7195.0,7377.0,42081
2024-05-22,7500.0,7868.0,7009.0,7424.5,10684
2024-05-23,7423.0,7699.5,7200.0,7300.0,6657
2024-05-24,7423.0,7699.5,7200.0,7283.0,6657
2024-05-26,7628.0,7629.0,7300.0,7300.0,396
2024-05-27,7250.0,7597.5,7200.0,7597.5,1809
2024-05-28,7421.0,7621.0,7050.5,7100.5,181
2024-05-29,7170.0,7699.0,7082.0,7396.5,229
2024-05-30,7400.0,7698.0,7219.0,7599.0,672
2024-05-31,7400.0,7700.0,7000.0,7429.5,14459
2024-06-02,7680.0,7850.0,7401.0,7650.0,1329
2024-06-03,7500.0,7799.5,7266.5,7799.5,380
2024-06-04,7410.0,7800.0,7381.5,7697.0,247
2024-06-05,7781.5,8099.0,7747.5,7899.5,1379
2024-06-06,7900.0,8080.0,7700.0,7932.0,1478
2024-06-07,8000.0,8018.5,7350.0,7887.0,8928
2024-06-09,7981.0,7981.0,7500.0,7779.5,9903
2024-06-10,7900.0,7900.0,7450.0,7750.0,7140
2024-06-11,7660.0,7700.0,7450.0,7596.0,11216
2024-06-12,7570.0,7570.0,7100.0,7429.0,12683
2024-06-13,7429.0,7629.0,7210.0,7484.0,6974
2024-06-14,7429.0,7629.0,7210.0,7472.0,6974
2024-06-17,7472.0,7699.5,7400.5,7450.0,6688
2024-06-18,7430.0,7600.0,7250.0,7520.0,3812
2024-06-19,7430.0,7600.0,7250.0,7542.5,3812
2024-06-23,8000.0,8250.0,7579.0,7800.0,27472
2024-06-24,7950.5,8249.5,7701.0,8235.0,28767
2024-06-25,8220.5,8550.0,8220.5,8549.5,23942
2024-06-26,8080.0,8750.0,8080.0,8680.0,37936
2024-06-27,8678.0,8837.0,8513.5,8810.0,17349
2024-06-28,8678.0,8837.0,8513.5,8716.0,17349
2024-06-30,8810.0,8810.0,8367.0,8782.0,25357
2024-07-01,8731.0,9000.0,8654.0,9000.0,22902
2024-07-02,8900.0,9199.0,8531.5,9060.0,13234
