Date,Open,High,Low,Close,Volume
2019-01-02,47.1,50.95,46.9,50.15,708803
2019-01-03,50.15,51.75,49.3,50.05,925905
2019-01-04,50.0,53.9,50.0,52.95,1175402
2019-01-07,52.9,54.4,52.5,52.9,792204
2019-01-08,52.7,54.4,52.6,53.8,979999
2019-01-09,53.7,57.2,53.7,55.3,1150824
2019-01-10,55.0,55.0,52.5,53.5,1794286
2019-01-11,53.5,54.5,52.0,53.35,677240
2019-01-14,52.1,53.75,52.1,53.0,432186
2019-01-15,53.0,53.6,52.6,53.2,463237
2019-01-16,52.65,54.95,52.65,53.8,747251
2019-01-17,54.0,54.1,52.8,53.8,542533
2019-01-18,54.0,55.1,53.9,54.0,812088
2019-01-21,53.05,53.9,52.9,53.7,219099
2019-01-22,53.1,54.0,51.0,52.05,414906
2019-01-23,53.0,53.4,52.1,52.35,326239
2019-01-24,52.5,53.35,51.6,52.6,687664
2019-01-25,52.7,54.2,51.25,51.5,518747
2019-01-28,51.3,51.95,49.45,51.55,411001
2019-01-29,51.5,52.6,51.1,52.55,725792
2019-01-30,53.0,53.7,52.55,53.3,623660
2019-01-31,53.8,53.8,52.6,53.25,328454
2019-02-01,53.4,53.45,52.7,53.25,911598
2019-02-04,53.5,54.1,52.8,53.1,889466
2019-02-05,53.1,56.3,52.5,55.9,1378755
2019-02-06,55.65,56.2,54.8,55.6,1111066
2019-02-07,55.0,55.55,53.9,54.4,474293
2019-02-08,53.6,56.0,53.5,55.45,954275
2019-02-11,55.45,59.45,55.45,58.9,1108535
2019-02-12,59.0,60.4,58.4,58.55,1485155
2019-02-13,59.5,59.9,57.15,57.8,2067083
2019-02-14,58.2,58.8,56.2,57.75,1023213
2019-02-15,57.75,58.8,57.0,57.75,598339
2019-02-18,57.75,57.75,56.6,56.9,144335
2019-02-19,57.0,57.6,53.6,54.1,1330181
2019-02-20,54.6,57.0,54.6,55.5,2104083
2019-02-21,57.0,57.0,53.0,53.25,737095
2019-02-22,53.25,54.45,52.6,53.75,806236
2019-02-25,54.1,54.9,52.0,53.45,468241
2019-02-26,53.0,53.5,52.05,53.25,503347
2019-02-27,53.0,53.25,51.0,51.05,521225
2019-02-28,51.55,51.55,50.4,50.75,1223330
2019-03-01,50.6,52.1,48.5,49.1,1300493
2019-03-06,49.2,49.2,47.0,47.55,977130
2019-03-07,47.75,50.3,47.2,50.1,1040969
2019-03-08,50.15,51.05,48.3,49.85,534020
