Date,Open,High,Low,Close,Volume
2019-10-08,930.0,939.5,920.0,928.0,100886
2019-10-09,934.0,967.0,929.0,959.5,76375
2019-10-10,980.0,980.0,951.0,959.0,112770
2019-10-11,990.0,1005.0,980.0,993.0,83746
2019-10-15,993.0,1010.0,988.5,991.5,82782
2019-10-16,995.0,1035.0,980.0,1029.5,35026
2019-10-17,1030.0,1079.5,1010.0,1072.0,44175
2019-10-18,1104.0,1150.0,1078.0,1080.0,177229
2019-10-21,1084.0,1106.5,1072.0,1104.5,235223
2019-10-22,1150.0,1230.0,1140.0,1211.0,142864
2019-10-23,1329.0,1329.0,1171.0,1206.5,191776
2019-10-24,1206.5,1215.0,1170.0,1207.5,258340
2019-10-25,1300.0,1300.0,1251.0,1281.5,220394
2019-10-28,1350.0,1350.0,1288.0,1314.5,189568
2019-10-29,1320.0,1350.0,1216.0,1228.5,423245
2019-10-30,1220.0,1289.0,1210.0,1285.5,294806
2019-10-31,1285.0,1309.5,1251.0,1299.5,403166
2019-11-01,1350.0,1365.0,1309.0,1323.0,321378
2019-11-04,1349.0,1360.0,1287.0,1290.5,136607
2019-11-05,1303.0,1303.0,1265.0,1281.5,74295
2019-11-06,1290.0,1290.0,1220.0,1267.0,35920
2019-11-07,1250.0,1290.0,1250.0,1285.5,50615
2019-11-08,1258.0,1272.5,1236.0,1238.5,97723
2019-11-11,1238.0,1245.5,1220.0,1225.0,51425
2019-11-12,1206.0,1208.5,1187.0,1208.0,19513
2019-11-13,1203.0,1205.0,1170.0,1179.0,8050
2019-11-14,1179.0,1183.0,1148.0,1148.0,3690
2019-11-15,1144.0,1198.5,1144.0,1173.5,5984
2019-11-19,1165.0,1165.0,1125.0,1138.0,5481
2019-11-20,1138.0,1140.0,1124.0,1128.5,64243
2019-11-21,1124.0,1146.0,1116.0,1139.0,20566
2019-11-22,1150.0,1170.0,1142.5,1150.0,14995
2019-11-25,1170.0,1170.0,1125.0,1130.0,12664
2019-11-26,1126.0,1126.0,1065.0,1085.0,23319
2019-11-27,1085.0,1091.0,1070.0,1083.5,4167
2019-11-28,1080.0,1095.0,1026.0,1095.0,3526
2019-11-29,1065.0,1135.0,1065.0,1130.5,10962
2019-12-02,1135.0,1143.0,1096.0,1115.5,6880
2019-12-03,1100.0,1139.5,1089.5,1100.5,15550
2019-12-04,1109.0,1133.0,1103.0,1133.0,10047
2019-12-05,1150.0,1225.5,1144.0,1215.0,14460
2019-12-06,1224.5,1240.0,1214.5,1239.5,10463
2019-12-09,1240.0,1240.0,1190.0,1203.0,24788
2019-12-10,1220.0,1220.0,1156.5,1167.5,6650
2019-12-11,1150.5,1200.0,1150.5,1198.5,3233
2019-12-12,1200.0,1203.5,1160.0,1189.5,5011
2019-12-13,1190.0,1190.0,1122.0,1135.5,15323
2019-12-16,1145.0,1180.0,1145.0,1172.0,21171
2019-12-17,1169.0,1193.0,1149.0,1170.0,6938
2019-12-18,1149.5,1175.0,1142.5,1160.5,50424
2019-12-19,1165.0,1190.0,1150.0,1168.0,9481
2019-12-20,1168.0,1170.0,1134.5,1135.5,12082
2019-12-23,1146.0,1150.5,1119.5,1137.5,26259
2019-12-26,1140.0,1175.0,1120.5,1173.0,115723
2019-12-27,1179.0,1187.0,1166.0,1175.0,19377
2019-12-30,1230.0,1230.0,1160.0,1189.0,27866
2020-01-02,1192.0,1223.5,1187.0,1217.5,10071
2020-01-03,1250.0,1260.0,1215.0,1215.5,29527
2020-01-06,1223.0,1270.0,1220.0,1259.5,8305
2020-01-07,1268.0,1268.0,1231.0,1251.0,19074
2020-01-08,1251.0,1268.0,1216.0,1251.0,0
2020-01-09,1220.0,1243.0,1207.0,1235.5,12386
2020-01-10,1269.0,1269.0,1212.0,1259.0,6981
2020-01-13,1245.0,1259.0,1228.5,1244.5,13477
2020-01-14,1250.5,1253.0,1229.5,1235.0,14630
2020-01-15,1235.0,1235.0,1203.0,1213.0,7843
2020-01-16,1214.5,1220.0,1201.5,1209.0,4978
2020-01-17,1205.0,1240.0,1205.0,1225.5,12755
2020-01-20,1185.0,1235.0,1185.0,1224.5,4382
2020-01-21,1220.0,1220.0,1194.0,1195.0,6740
2020-01-22,1225.0,1225.0,1200.0,1210.0,9367
2020-01-23,1205.0,1247.0,1185.0,1245.0,15493
2020-01-24,1265.0,1265.0,1211.5,1224.0,15094
2020-01-27,1215.0,1215.0,1144.0,1195.0,2911
2020-01-28,1190.0,1240.0,1190.0,1233.5,14475
2020-01-29,1235.0,1245.5,1204.0,1215.0,7994
2020-01-30,1178.0,1208.0,1175.0,1198.5,13356
2020-01-31,1215.0,1215.0,1186.0,1201.5,6602
2020-02-03,1200.0,1220.0,1179.0,1185.5,3081
2020-02-04,1230.0,1235.0,1208.5,1218.0,8983
2020-02-05,1242.0,1245.0,1209.5,1216.0,12684
2020-02-06,1219.0,1260.0,1219.0,1230.0,21360
2020-02-07,1268.0,1268.0,1210.0,1226.0,3554
2020-02-10,1226.0,1250.0,1195.0,1203.5,3618
2020-02-11,1210.0,1260.0,1210.0,1240.5,15780
2020-02-12,1246.0,1255.0,1224.0,1232.0,9812
2020-02-13,1245.0,1255.0,1206.0,1214.5,6672
2020-02-14,1227.0,1230.0,1207.0,1207.0,5782
2020-02-17,1210.0,1210.0,1187.5,1193.5,1829
2020-02-18,1200.0,1200.0,1176.0,1197.5,7169
2020-02-19,1200.0,1215.0,1198.0,1211.5,15783
2020-02-20,1237.0,1237.0,1170.0,1172.0,15760
2020-02-21,1172.0,1172.0,1113.0,1118.5,12366
2020-02-26,1020.0,1060.0,1010.0,1012.0,14638
2020-02-27,999.0,1008.0,944.0,989.5,49601
2020-02-28,941.0,980.0,940.0,978.5,51822
2020-03-02,974.0,1039.5,974.0,1021.5,14397
2020-03-03,1035.0,1054.0,981.5,993.0,20268
2020-03-04,1029.0,1029.0,993.0,1002.0,26659
2020-03-05,1020.0,1020.0,937.0,940.0,17886
2020-03-06,917.0,917.0,857.0,859.5,112242
2020-03-09,709.0,709.0,598.0,602.5,371906
2020-03-10,667.5,684.0,622.5,673.0,129628
2020-03-11,658.5,658.5,580.0,606.5,132911
2020-03-12,511.0,518.0,439.5,489.0,407477
2020-03-13,542.0,590.0,490.0,556.5,182074
2020-03-16,489.0,530.0,469.5,473.5,136241
2020-03-17,475.0,500.5,457.5,471.5,67614
2020-03-18,444.0,444.0,362.0,375.5,171277
2020-03-19,400.0,453.5,370.0,448.0,134094
2020-03-20,470.0,482.5,430.0,440.0,206967
2020-03-25,475.5,527.0,463.0,505.5,128744
2020-03-26,541.5,541.5,470.0,487.5,117989
2020-03-27,455.0,459.5,440.0,450.5,88269
2020-03-30,444.0,456.5,427.5,454.5,75285
2020-04-01,460.0,485.0,455.0,475.5,110102
2020-04-02,502.0,558.0,502.0,523.5,255024
2020-04-03,526.0,530.0,492.0,511.5,107791
2020-04-06,552.0,553.0,531.0,549.5,71332
2020-04-07,581.0,592.0,567.0,574.0,94824
2020-04-08,580.0,658.0,580.0,646.0,123706
