Date,Open,High,Low,Close,Volume
2025-05-16,5520.0,5560.0,5510.0,5540.0,1971
2025-05-19,5470.0,5540.0,5410.0,5540.0,1063
2025-05-20,5540.0,5550.0,5440.0,5510.0,4138
2025-05-21,5500.0,5500.0,5390.0,5440.0,4093
2025-05-22,5440.0,5570.0,5430.0,5580.0,1074
2025-05-23,5520.0,5550.0,5470.0,5560.0,2602
2025-05-26,5350.0,5360.0,5350.0,5410.0,13
2025-05-27,4615.0,4850.0,4600.0,4850.0,33903
2025-05-28,4685.0,4715.0,4575.0,4620.0,8141
2025-05-29,4670.0,4750.0,4665.0,4705.0,3232
2025-05-30,4620.0,4715.0,4610.0,4660.0,3028
2025-06-02,4565.0,4620.0,4565.0,4610.0,1624
2025-06-03,4620.0,4735.0,4615.0,4710.0,3066
2025-06-04,4720.0,4850.0,4710.0,4795.0,9863
2025-06-05,4785.0,4855.0,4740.0,4770.0,2231
2025-06-06,4775.0,4830.0,4750.0,4830.0,1856
2025-06-09,4900.0,4940.0,4875.0,4885.0,3324
2025-06-10,4855.0,4895.0,4810.0,4900.0,7929
2025-06-11,4925.0,4960.0,4900.0,4935.0,4348
2025-06-12,4925.0,4955.0,4895.0,4940.0,5287
2025-06-13,4880.0,4880.0,4765.0,4815.0,3869
2025-06-17,4915.0,4950.0,4820.0,4860.0,2393
2025-06-18,4860.0,4860.0,4720.0,4770.0,2157
2025-06-19,4770.0,4770.0,4770.0,4780.0,8
2025-06-23,4765.0,4825.0,4690.0,4825.0,574
2025-06-24,5020.0,5120.0,5000.0,5120.0,4019
2025-06-25,5100.0,5160.0,5090.0,5110.0,1631
2025-06-26,5060.0,5100.0,5040.0,5100.0,2422
2025-06-27,5040.0,5070.0,5010.0,5070.0,4280
2025-06-30,4930.0,5110.0,4925.0,5050.0,597
2025-07-01,5080.0,5220.0,5060.0,5190.0,2144
2025-07-02,5190.0,5230.0,5100.0,5160.0,5867
2025-07-03,5160.0,5160.0,5080.0,5090.0,935
2025-07-04,5300.0,5300.0,5060.0,5280.0,436
2025-07-07,5200.0,5370.0,5200.0,5350.0,2940
2025-07-08,5490.0,5510.0,5350.0,5340.0,2152
2025-07-10,5290.0,5360.0,5290.0,5350.0,410
2025-07-11,5450.0,5450.0,5330.0,5310.0,1424
2025-07-14,5290.0,5330.0,5220.0,5330.0,1526
2025-07-15,5430.0,5480.0,5370.0,5390.0,4706
2025-07-16,5320.0,5400.0,5320.0,5350.0,1273
2025-07-17,5420.0,5590.0,5420.0,5520.0,6482
2025-07-18,5710.0,5710.0,5630.0,5630.0,1139
2025-07-21,5820.0,5860.0,5730.0,5730.0,3523
2025-07-22,5780.0,5850.0,5760.0,5810.0,4035
2025-07-23,6090.0,6170.0,6000.0,6000.0,33577
2025-07-24,6050.0,6050.0,5920.0,6010.0,4523
2025-07-25,5990.0,6140.0,5990.0,6140.0,14352
2025-07-28,6220.0,6230.0,6020.0,6090.0,24622
2025-07-29,6060.0,6100.0,5940.0,5950.0,11967
2025-07-30,5950.0,6040.0,5920.0,5930.0,3575
2025-07-31,5950.0,6230.0,5940.0,6190.0,3899
2025-08-01,6060.0,6060.0,5970.0,6030.0,4128
2025-08-04,6030.0,6150.0,6000.0,6080.0,1269
2025-08-05,6160.0,6170.0,6040.0,6080.0,1203
2025-08-06,6060.0,6140.0,6030.0,6110.0,1760
2025-08-07,6140.0,6160.0,6100.0,6110.0,608
2025-08-08,6100.0,6110.0,6030.0,6110.0,1099
2025-08-11,6010.0,6070.0,5950.0,6010.0,1665
2025-08-12,6010.0,6230.0,6010.0,6200.0,966
2025-08-13,6300.0,6300.0,6140.0,6200.0,975
2025-08-14,6140.0,6150.0,5990.0,5990.0,2495
2025-08-18,6230.0,6350.0,6160.0,6160.0,4074
2025-08-19,6160.0,6230.0,6080.0,6210.0,2196
2025-08-20,6250.0,6250.0,6140.0,6200.0,2197
2025-08-21,6300.0,6530.0,6300.0,6480.0,4342
2025-08-22,6750.0,6820.0,6700.0,6740.0,19578
2025-08-25,6900.0,7150.0,6820.0,6970.0,7065
2025-08-26,7000.0,7170.0,6660.0,6740.0,4154
2025-08-27,6620.0,6650.0,6540.0,6650.0,1681
2025-08-28,6610.0,6620.0,6520.0,6580.0,653
2025-08-29,6390.0,6580.0,6350.0,6530.0,2536
2025-09-01,6520.0,7000.0,6520.0,6630.0,292
2025-09-02,6600.0,6700.0,6600.0,6680.0,2366
2025-09-03,6600.0,6870.0,6530.0,6850.0,7838
2025-09-04,6850.0,6900.0,6750.0,6850.0,2347
2025-09-05,6930.0,6970.0,6900.0,6950.0,4257
2025-09-08,6950.0,7345.0,6950.0,7245.0,5348
2025-09-09,7205.0,7350.0,7195.0,7270.0,6258
2025-09-10,7245.0,7245.0,7065.0,7160.0,3620
2025-09-11,7220.0,7340.0,7210.0,7295.0,2638
2025-09-12,7340.0,7440.0,7235.0,7425.0,5844
2025-09-15,7425.0,7665.0,7425.0,7625.0,4172
2025-09-16,7650.0,7710.0,7585.0,7645.0,10254
2025-09-17,7845.0,8100.0,7810.0,8080.0,14257
2025-09-18,7995.0,8330.0,7995.0,8255.0,5352
2025-09-19,8210.0,8210.0,8025.0,8130.0,4740
2025-09-22,7400.0,7655.0,7340.0,7410.0,8031
2025-09-23,7030.0,7365.0,7030.0,7290.0,5179
2025-09-24,7185.0,7450.0,7185.0,7280.0,6463
2025-09-25,7100.0,7370.0,7100.0,7370.0,1498
2025-09-26,7305.0,7665.0,7265.0,7660.0,3737
2025-09-29,7825.0,7825.0,7690.0,7790.0,7295
2025-09-30,7965.0,8120.0,7940.0,8180.0,2195
2025-10-01,8300.0,8475.0,8235.0,8460.0,4156
2025-10-02,8460.0,8605.0,8340.0,8425.0,7720
2025-10-03,8460.0,8465.0,8165.0,8215.0,2584
2025-10-06,8185.0,8275.0,8110.0,8155.0,20442
2025-10-07,8155.0,8310.0,8130.0,8345.0,2490
2025-10-08,8375.0,8425.0,8210.0,8315.0,2440
2025-10-09,8255.0,8255.0,7605.0,7605.0,3289
2025-10-13,7035.0,7405.0,7035.0,7360.0,8420
2025-10-14,7020.0,7570.0,7020.0,7455.0,1407
2025-10-15,7535.0,7620.0,7390.0,7460.0,749
2025-10-16,7435.0,7600.0,7375.0,7560.0,1188
2025-10-17,7430.0,8045.0,7430.0,7995.0,2705
2025-10-20,7985.0,8215.0,7970.0,8220.0,1202
2025-10-21,8155.0,8450.0,8075.0,8455.0,5703
2025-10-22,8500.0,8515.0,8295.0,8345.0,1198
2025-10-23,8410.0,8445.0,8290.0,8295.0,2826
2025-10-24,8320.0,8415.0,8235.0,8355.0,2357
2025-10-27,7900.0,8125.0,7545.0,7930.0,4807
2025-10-28,8160.0,8275.0,8095.0,8240.0,3816
2025-10-29,8240.0,8250.0,8120.0,8230.0,3363
2025-10-30,8055.0,8130.0,8055.0,8120.0,2514
2025-10-31,8015.0,8160.0,8015.0,8085.0,2566
2025-11-03,8100.0,8240.0,8050.0,8195.0,4344
2025-11-04,8100.0,8100.0,8000.0,8090.0,1241
2025-11-05,8100.0,8215.0,8035.0,8200.0,1364
2025-11-06,8200.0,8280.0,8190.0,8245.0,811
2025-11-07,8245.0,8245.0,7955.0,7970.0,3245
