Date,Open,High,Low,Close,Volume
2001-11-26,21.7,21.7,21.7,21.7,600
2002-03-25,74.1,74.15,74.1,74.15,2000
2002-03-26,69.35,69.35,69.35,69.35,2480
2002-04-05,61.2,61.2,61.2,61.2,14800
2002-04-17,56.8,56.8,56.8,56.8,30660
2002-04-30,56.25,56.25,56.25,56.25,5680
2002-05-16,62.05,62.05,62.05,62.05,18600
2002-05-22,67.5,67.5,67.5,67.5,19000
2002-05-28,65.3,65.3,65.3,65.3,2100
2002-06-05,67.05,67.05,67.05,67.05,2540
2002-06-07,70.0,70.05,70.0,70.05,22000
2002-06-21,68.3,68.3,68.3,68.3,3930
2002-06-27,73.55,73.55,73.55,73.55,2660
2002-06-28,75.3,75.3,75.3,75.3,1000
2002-07-25,54.15,54.75,53.2,53.2,140300
2002-07-31,61.5,61.5,61.5,61.5,1700
2002-08-14,56.6,59.0,56.6,59.0,9988
2002-08-15,63.2,63.25,63.2,63.25,4000
2002-08-23,64.4,64.4,64.35,64.35,28800
2002-08-26,62.9,62.9,62.9,62.9,9330
2002-09-05,59.85,59.9,59.85,59.9,6000
2002-09-06,58.8,58.85,58.8,58.85,55200
2002-09-16,58.65,58.65,58.65,58.65,172
2002-09-25,58.05,58.05,58.05,58.05,4450
2002-09-30,58.55,58.55,58.55,58.55,21000
2002-10-07,59.5,59.5,59.5,59.5,2270
2002-10-08,58.8,58.8,58.8,58.8,6040
2002-10-09,58.1,58.2,58.1,58.2,10160
2002-10-15,62.8,62.85,62.25,62.25,19140
2002-10-22,60.65,60.65,60.65,60.65,1660
2002-10-28,61.75,61.75,61.7,61.7,4370
2002-11-04,62.1,62.1,62.1,62.1,4320
2002-11-07,62.85,62.85,62.8,62.8,5000
2002-11-18,62.05,62.4,62.05,62.4,120700
2002-12-26,54.0,54.0,54.0,54.0,74800
2003-02-18,47.35,47.35,47.35,47.35,3680
2003-04-14,47.55,47.55,47.55,47.55,5180
2003-05-27,46.2,46.2,46.2,46.2,2160
2003-05-28,46.0,46.05,46.0,46.05,6450
2003-06-06,46.45,46.45,46.45,46.45,4380
2003-06-09,47.4,47.4,47.35,47.35,8740
2003-06-11,47.25,47.25,47.2,47.2,12700
2003-06-17,50.8,51.65,50.75,51.65,7160
2003-06-25,50.3,50.3,50.25,50.25,12300
2003-07-24,47.0,47.0,46.95,46.95,10800
2003-08-01,47.85,47.85,47.85,47.85,610
2003-08-07,48.9,48.9,48.9,48.9,2000
2003-08-15,46.3,46.35,46.3,46.35,6400
2003-08-19,45.8,46.15,45.8,46.15,61140
2003-08-21,43.95,43.95,43.95,43.95,1210
2003-08-22,45.3,45.3,45.3,45.3,12500
2003-08-26,44.5,44.5,44.5,44.5,27000
2003-08-27,44.95,45.0,44.95,45.0,28700
2003-09-16,46.5,47.0,46.4,47.0,28664
2003-09-22,45.95,45.95,45.95,45.95,13100
2003-11-25,48.75,48.75,48.75,48.75,1500
2003-12-23,51.8,51.8,51.8,51.8,1740
2003-12-29,52.35,52.35,52.35,52.35,2280
2004-01-09,53.1,53.1,53.1,53.1,27600
2004-02-17,55.6,55.6,55.6,55.6,15400
2004-03-01,54.65,54.7,54.65,54.7,3670
2004-03-16,51.8,51.8,51.75,51.75,12160
2004-03-18,50.2,50.2,50.2,50.2,25458
2004-03-31,51.05,51.05,51.05,51.05,1560
2004-04-29,51.7,51.7,51.7,51.7,21938
2004-05-04,52.35,52.35,52.35,52.35,494
2004-05-13,51.15,51.15,51.15,51.15,7700
2004-06-08,54.2,54.2,54.2,54.2,1600
2004-06-09,53.3,53.45,53.3,53.45,2136
2004-06-14,52.05,52.05,52.05,52.05,8018
2004-06-30,51.3,51.3,51.3,51.3,1744
2004-07-01,50.25,50.35,50.25,50.35,4700
2004-07-16,47.7,47.7,47.7,47.7,930
2004-07-19,47.8,47.8,47.8,47.8,620
2004-08-04,48.75,48.75,48.75,48.75,350
2004-08-05,49.6,49.6,49.6,49.6,194
2004-08-06,48.4,48.4,48.4,48.4,116
2004-08-09,47.3,47.3,47.3,47.3,17578
2004-08-20,48.0,48.05,48.0,48.05,6610
2004-08-23,48.4,48.4,48.4,48.4,630
2004-08-26,48.45,48.45,48.45,48.45,2314
2004-08-31,48.6,48.6,48.6,48.6,218
2004-09-01,49.15,49.15,49.15,49.15,1240
2004-09-10,47.6,47.6,47.6,47.6,3744
2004-09-29,45.0,45.0,45.0,45.0,110
2004-10-05,45.0,0.0,0.0,47.2,164
2004-10-07,44.35,44.35,44.3,44.3,3000
2004-10-15,44.3,0.0,41.8,41.8,496
2004-10-19,43.25,43.3,43.25,43.0,28656
2004-11-04,42.8,42.8,42.8,42.8,100
2004-11-05,42.75,42.75,42.75,42.75,3000
2004-11-09,42.3,42.3,42.3,42.3,17440
2004-11-16,40.9,40.9,40.7,40.7,2400
2004-11-17,40.7,41.4,40.7,41.4,2500
2004-11-18,41.5,41.5,41.5,41.5,600
2004-11-19,41.1,41.1,41.1,41.1,1500
2004-11-24,39.4,39.4,39.4,39.4,600
2004-11-30,41.15,41.15,41.15,41.15,400
2004-12-02,42.1,42.1,42.1,42.1,1300
2004-12-03,42.25,42.25,41.7,41.7,5300
2004-12-07,41.35,41.35,40.45,40.45,2090
2004-12-15,40.45,0.0,0.0,41.75,0
2004-12-17,35.25,35.25,35.25,35.25,1000
