Date,Open,High,Low,Close,Volume
2024-03-17,8613.0,8783.0,8598.0,8641.5,4270
2024-03-18,8418.5,8661.0,8332.0,8661.0,3078
2024-03-19,8651.0,9069.5,8620.0,9008.0,3039
2024-03-20,9117.0,9284.0,8935.0,9028.0,3420
2024-03-21,9180.0,9180.0,8757.0,8773.0,2655
2024-03-22,9180.0,9180.0,8757.0,8773.0,2655
2024-03-24,8841.0,9007.0,8807.0,8830.0,6834
2024-03-25,8900.0,9360.0,8900.0,9155.0,1877
2024-03-26,9200.0,9200.0,8812.5,8903.5,4538
2024-03-27,9200.0,9200.0,8812.5,8903.5,4538
2024-04-02,8810.0,9499.0,8300.0,8600.0,2396
2024-04-03,8372.5,8488.5,7947.0,8000.0,10063
2024-04-04,8133.0,8133.0,7897.5,7960.0,5961
2024-04-05,8133.0,8133.0,7897.5,7985.5,5961
2024-04-07,8034.5,8080.0,7887.0,7890.0,1375
2024-04-08,7907.0,8329.0,7773.5,8329.0,5152
2024-04-09,7874.0,7920.0,7800.0,7800.0,1789
2024-04-10,8000.0,8080.0,7800.0,8080.0,1996
2024-04-11,8017.5,8125.5,7880.0,7928.0,832
2024-04-12,8017.5,8125.5,7880.0,7923.5,832
2024-04-14,8100.0,8290.0,7900.0,8200.0,526
2024-04-15,8200.0,8200.0,7644.5,7800.0,560
2024-04-16,8180.0,8180.0,7350.0,7720.0,276
2024-04-17,8000.0,8000.0,7350.0,7548.0,476
2024-04-18,7700.0,7700.0,7200.0,7200.0,2977
2024-04-19,7700.0,7700.0,7200.0,7200.5,2977
2024-04-21,7319.5,7496.5,7209.0,7353.0,518
2024-04-22,7500.0,8000.0,7500.0,7791.0,519
2024-04-23,7815.5,7815.5,7453.0,7600.0,152
2024-04-24,7800.0,8000.0,7791.5,7999.5,213
2024-04-25,8100.0,9100.0,7962.0,8453.5,2021
2024-04-26,8100.0,9100.0,7962.0,8651.0,2021
2024-04-28,8100.0,8600.0,8100.0,8400.0,653
2024-04-29,8400.0,8700.0,7790.5,8700.0,663
2024-04-30,8400.0,8700.0,7790.5,8692.5,663
2024-05-01,8600.0,8600.0,8300.0,8445.0,1726
2024-05-02,8350.0,8900.0,8350.0,8850.0,10380
2024-05-03,8350.0,8900.0,8350.0,8859.5,10380
2024-05-05,8900.0,9600.0,8900.0,9599.0,23146
2024-05-06,8780.0,8780.0,7850.0,7852.5,13508
2024-05-07,7836.0,7872.0,7573.5,7700.0,2829
2024-05-08,7401.0,7887.0,7355.5,7734.5,2328
2024-05-09,7687.0,7687.0,7351.0,7585.0,1787
2024-05-10,7687.0,7687.0,7351.0,7471.5,1787
2024-05-12,7585.0,7800.0,7450.0,7800.0,1433
2024-05-13,7790.0,7900.0,7663.0,7780.5,3511
2024-05-14,7825.0,7900.0,7718.5,7900.0,2210
2024-05-15,7867.5,8000.0,7855.0,7942.0,1156
2024-05-16,7965.0,8119.0,7572.0,7572.0,10432
2024-05-17,7965.0,8119.0,7572.0,7629.0,10432
2024-05-19,7905.0,8586.5,7815.0,8586.5,6554
2024-05-20,8129.5,8483.0,8081.5,8400.0,2613
2024-05-21,8600.0,8890.0,8505.5,8800.0,3546
2024-05-22,8775.0,8971.0,8282.0,8282.0,2162
2024-05-23,8786.0,9000.0,8250.0,8659.0,2200
2024-05-24,8786.0,9000.0,8250.0,8660.0,2200
2024-05-26,8310.0,8310.0,8301.0,8301.0,2
2024-05-27,8320.0,8320.0,8320.0,8320.0,2
2024-05-28,8799.5,8799.5,8000.0,8400.0,1369
2024-05-29,7941.5,7941.5,7941.5,7941.5,15
2024-05-30,9000.0,9000.0,8943.5,8943.5,4
2024-05-31,9250.0,9250.0,8850.0,9034.0,1769
2024-06-02,9350.0,9350.0,9040.0,9040.0,23
2024-06-03,9850.0,9900.0,9650.0,9700.0,40
2024-06-04,9601.0,10450.0,9601.0,10450.0,162
2024-06-05,10780.0,10780.0,10780.0,10780.0,20
2024-06-06,10745.0,10745.0,10745.0,10745.0,7
2024-06-07,10400.0,10400.0,10000.0,10260.5,2144
