Date,Open,High,Low,Close,Volume
2025-05-15,5220.0,5220.0,5220.0,5250.0,38
2025-05-16,5260.0,5300.0,5240.0,5270.0,1675
2025-05-19,5270.0,5270.0,5190.0,5240.0,1546
2025-05-20,5240.0,5300.0,5230.0,5270.0,16100
2025-05-21,5270.0,5340.0,5210.0,5290.0,55548
2025-05-22,5240.0,5300.0,5210.0,5250.0,17920
2025-05-23,5350.0,5350.0,5270.0,5310.0,17826
2025-05-26,5310.0,5310.0,5110.0,5290.0,3168
2025-05-27,5210.0,5250.0,5200.0,5260.0,29521
2025-05-28,5260.0,5310.0,5240.0,5320.0,9667
2025-05-29,5260.0,5390.0,5250.0,5350.0,17982
2025-05-30,5370.0,5550.0,5370.0,5430.0,25345
2025-06-02,5490.0,5490.0,5320.0,5330.0,2852
2025-06-03,5300.0,5340.0,5270.0,5330.0,5929
2025-06-04,5290.0,5330.0,5260.0,5310.0,9476
2025-06-05,5330.0,5370.0,5270.0,5360.0,24895
2025-06-06,5300.0,5330.0,5260.0,5310.0,9606
2025-06-09,5300.0,5310.0,5260.0,5270.0,13138
2025-06-10,5270.0,5310.0,5200.0,5240.0,7991
2025-06-11,5250.0,5290.0,5200.0,5280.0,33887
2025-06-12,5300.0,5300.0,5210.0,5250.0,11458
2025-06-13,5340.0,5350.0,5260.0,5320.0,130940
2025-06-17,5320.0,5320.0,5190.0,5250.0,20876
2025-06-18,5220.0,5230.0,5100.0,5170.0,41639
2025-06-19,5210.0,5330.0,5180.0,5220.0,7491
2025-06-23,5180.0,5270.0,5150.0,5240.0,9291
2025-06-24,5180.0,5200.0,5130.0,5140.0,22708
2025-06-25,5070.0,5160.0,5050.0,5160.0,3940
2025-06-26,5110.0,5160.0,5080.0,5090.0,26912
2025-06-27,5080.0,5120.0,5040.0,5070.0,9302
2025-06-30,5050.0,5150.0,5050.0,5100.0,8832
2025-07-01,5140.0,5260.0,5120.0,5260.0,8920
2025-07-02,5220.0,5260.0,5190.0,5210.0,17659
2025-07-03,5170.0,5200.0,5130.0,5200.0,3927
2025-07-04,5200.0,5310.0,5130.0,5290.0,671
2025-07-07,5210.0,5410.0,5210.0,5390.0,13327
2025-07-08,5420.0,5420.0,5290.0,5330.0,4285
2025-07-10,5340.0,5360.0,5290.0,5320.0,14363
2025-07-11,5340.0,5380.0,5310.0,5350.0,13573
2025-07-14,5390.0,5440.0,5310.0,5410.0,5776
2025-07-15,5410.0,5410.0,5310.0,5310.0,2347
2025-07-16,5300.0,5360.0,5270.0,5340.0,1568
2025-07-17,5320.0,5340.0,5270.0,5340.0,4461
2025-07-18,5340.0,5410.0,5340.0,5360.0,2743
