Date,Open,High,Low,Close,Volume
2008-07-18,12.550000190734863,12.550000190734863,12.5,12.5,803
2008-07-21,12.5,12.5,12.5,12.5,0
2008-07-22,12.5,12.5,12.5,12.5,0
2008-07-23,12.5,12.5,12.5,12.5,0
2008-07-24,12.5,12.5,12.5,12.5,0
2008-07-25,12.5,12.5,12.5,12.5,0
2008-07-28,12.5,12.5,12.5,12.5,0
2008-07-29,12.5,12.5,12.5,12.5,0
2008-07-30,12.5,12.5,12.5,12.5,0
2008-07-31,12.5,12.5,12.5,12.5,0
2008-08-01,12.5,12.5,12.5,12.5,0
2008-08-04,12.5,12.5,12.5,12.5,0
2008-08-05,12.5,12.5,12.5,12.5,0
2008-08-06,12.5,12.5,12.5,12.5,0
2008-08-07,12.5,12.5,12.5,12.5,0
2008-08-08,12.5,12.5,12.5,12.5,0
2008-08-11,12.5,12.5,12.5,12.5,0
2008-08-12,12.5,12.5,12.5,12.5,0
2008-08-13,12.5,12.5,12.5,12.5,0
2008-08-14,12.5,12.5,12.5,12.5,0
2008-08-15,12.5,12.5,12.5,12.5,0
2008-08-19,12.5,12.5,12.5,12.5,0
2008-08-20,12.5,12.5,12.5,12.5,0
2008-08-21,12.5,12.5,12.5,12.5,0
2008-08-22,12.5,12.5,12.5,12.5,0
2008-08-25,12.5,12.5,12.5,12.5,0
2008-08-26,12.5,12.5,12.5,12.5,0
2008-08-27,12.5,12.5,12.5,12.5,0
2008-08-28,12.5,12.5,12.5,12.5,0
2008-08-29,12.5,12.5,12.5,12.5,0
2008-09-01,12.5,12.5,12.5,12.5,0
2008-09-02,12.5,12.5,12.5,12.5,0
2008-09-03,12.5,12.5,12.5,12.5,0
2008-09-04,12.5,12.5,12.5,12.5,0
2008-09-05,12.5,12.5,12.5,12.5,0
2008-09-08,12.5,12.5,12.5,12.5,0
2008-09-09,12.5,12.5,12.5,12.5,0
2008-09-10,12.5,12.5,12.5,12.5,0
2008-09-11,12.5,12.5,12.5,12.5,0
