Date,Open,High,Low,Close,Volume
2019-01-02,98.1,99.21,97.61,98.7,293100
2019-01-03,98.85,98.89,96.62,96.98,450400
2019-01-04,100.23,102.78,99.26,102.23,524200
2019-01-07,103.32,105.73,102.95,104.48,427500
2019-01-08,107.62,109.25,107.4,108.58,762200
2019-01-09,112.16,113.04,111.14,111.19,490600
2019-01-10,109.87,111.29,109.41,110.79,298400
2019-01-11,111.74,111.75,110.41,110.84,250600
2019-01-14,110.61,111.39,110.12,110.88,225800
2019-01-15,112.55,112.84,111.4,112.37,327100
2019-01-16,111.9,113.92,111.81,113.13,329800
2019-01-17,113.56,114.74,112.96,113.71,278900
2019-01-18,114.26,114.48,112.72,113.29,372300
2019-01-22,112.23,112.61,110.59,111.69,276200
2019-01-23,111.21,111.63,109.49,110.2,340100
2019-01-24,110.95,112.47,110.78,112.39,303100
2019-01-25,111.97,112.19,111.05,111.24,339300
2019-01-28,110.11,110.45,108.84,110.42,329000
2019-01-29,110.79,111.04,109.77,110.55,437600
2019-01-30,110.81,112.94,110.41,112.69,707300
2019-01-31,116.04,127.07,116.04,126.3,2257500
2019-02-01,126.07,127.55,125.86,127.13,1079100
2019-02-04,126.01,127.22,125.79,127.22,415500
2019-02-05,127.97,128.17,127.02,127.28,464400
2019-02-06,127.03,127.65,126.75,126.96,191400
2019-02-07,123.37,124.78,123.03,124.59,385500
2019-02-08,123.2,124.32,122.78,124.28,396600
2019-02-11,123.26,123.97,123.23,123.5,332800
2019-02-12,124.1,126.68,124.1,126.44,745200
2019-02-13,125.81,126.15,124.96,125.25,320300
2019-02-14,124.5,125.51,124.16,125.06,313700
2019-02-15,125.68,126.4,125.3,125.98,430000
2019-02-19,125.74,126.91,125.73,126.37,155100
2019-02-20,126.32,126.74,125.57,125.77,221400
2019-02-21,125.6,126.73,125.53,126.3,188200
2019-02-22,126.25,126.59,125.65,126.03,325600
2019-02-25,127.13,128.27,126.77,128.04,441900
2019-02-26,128.07,129.73,128.03,129.05,275300
2019-02-27,128.59,129.11,127.72,128.67,271600
2019-02-28,128.13,128.86,128.03,128.26,261600
2019-03-01,130.29,131.92,129.92,131.8,452000
2019-03-04,131.8,132.16,130.03,130.8,412000
2019-03-05,130.51,131.85,130.39,131.76,239500
2019-03-06,130.44,130.61,129.27,130.11,272900
2019-03-07,128.49,129.06,127.25,128.32,463000
2019-03-08,127.01,128.99,126.82,128.88,250800
