Date,Open,High,Low,Close,Volume
2022-07-25,6450.0,6556.0,6309.0,6554.5,514
2022-07-26,6333.5,6522.5,6330.0,6522.5,12
2022-07-27,6820.0,7054.5,6820.0,6995.0,614
2022-07-28,6998.0,6998.0,6455.0,6711.0,495
2022-07-29,6815.0,6851.0,6065.5,6190.0,514
2022-08-01,6350.0,6500.0,6197.5,6370.0,425
2022-08-02,6500.0,6709.5,6491.0,6522.5,1292
2022-08-03,6741.0,6854.5,6700.0,6792.5,2563
2022-08-04,6916.5,7069.0,6623.0,7061.5,69
2022-08-05,7328.0,7328.0,7036.0,7073.0,785
2022-08-08,7145.0,7145.0,6910.0,7007.5,2021
2022-08-09,6774.5,6916.5,6774.5,6839.5,240
2022-08-10,6833.0,6958.0,6179.0,6953.0,9667
2022-08-11,7592.5,7680.5,7087.5,7124.5,5146
2022-08-12,7281.5,7330.0,7125.0,7295.0,1442
2022-08-16,6608.5,6793.5,6514.0,6764.0,991
2022-08-17,6706.0,6723.0,6493.5,6558.0,1881
2022-08-18,6508.0,6611.5,6465.0,6608.5,55
2022-08-19,6388.0,6448.0,6335.5,6448.0,243
2022-08-22,6441.5,6441.5,6173.0,6214.0,1850
2022-08-23,6263.5,6340.0,6147.5,6168.0,1630
2022-08-24,6247.0,6383.5,6200.0,6205.5,137
2022-08-25,6063.5,6182.0,6043.0,6182.0,27
2022-08-26,6006.0,6006.0,5800.0,5849.5,1853
2022-08-29,5880.0,5880.0,5650.0,5796.5,1024
2022-08-30,5687.5,5803.5,5675.0,5788.5,3470
2022-08-31,6000.0,6000.0,5736.0,5814.0,766
2022-09-01,5603.5,5619.0,5400.0,5619.0,109
2022-09-02,5603.5,5619.0,5400.0,5619.0,0
2022-09-05,5730.0,5730.0,5730.0,5730.0,1
2022-09-06,5387.5,5417.0,5302.0,5417.0,760
2022-09-07,5407.5,5613.0,5402.0,5608.0,120
2022-09-08,5810.0,5956.0,5759.5,5932.5,2806
2022-09-09,6200.0,6404.5,6200.0,6404.5,2556
2022-09-12,6352.0,6500.0,6313.5,6495.0,188
2022-09-13,6150.0,6151.0,6115.0,6136.0,121
2022-09-14,6309.5,6480.0,6250.0,6404.0,3683
2022-09-15,6551.0,6902.0,6248.0,6399.5,16127
2022-09-16,6034.0,6068.5,5871.5,5962.0,5451
2022-09-19,5671.5,5673.5,5551.0,5646.0,2017
2022-09-20,5614.0,5646.0,5500.0,5558.0,1039
2022-09-21,5551.5,5750.0,5500.0,5505.0,3594
2022-09-22,5520.0,5575.5,5455.0,5575.5,1360
2022-09-23,5372.0,5543.0,5372.0,5542.5,3605
2022-09-26,5862.5,5862.5,5510.0,5601.0,335
2022-09-27,5788.0,5832.0,5506.5,5613.5,356
2022-09-28,5743.5,5900.0,5743.5,5900.0,904
2022-09-29,5500.0,5500.0,5410.0,5452.5,7
2022-09-30,5413.5,5592.0,5413.5,5591.5,30
2022-10-03,5356.0,5636.0,5286.5,5635.0,2980
2022-10-04,5791.0,6017.5,5791.0,5969.0,2729
2022-10-05,5784.0,5869.5,5742.0,5839.5,3051
2022-10-06,5910.5,6050.0,5812.0,6046.0,207
2022-10-11,5210.5,5447.0,5162.0,5223.5,7106
2022-10-12,5410.5,5782.5,5410.5,5759.5,2240
2022-10-13,5520.5,5936.5,5294.0,5932.0,2630
2022-10-14,5888.0,5888.0,5559.0,5582.0,459
2022-10-17,6110.0,6743.0,6110.0,6577.5,15074
2022-10-18,6727.0,6729.5,6541.5,6569.0,3077
2022-10-19,6486.0,6518.5,6252.0,6280.5,7320
2022-10-20,6526.0,6550.5,6365.0,6441.0,1329
2022-10-21,6388.0,6538.0,6268.0,6520.5,8593
2022-10-24,6218.0,6371.0,6218.0,6371.0,808
2022-10-25,6847.0,7000.0,6760.5,7000.0,975
2022-10-26,7209.5,7248.0,6956.5,6958.0,1281
2022-10-27,6973.0,7213.0,6973.0,7109.0,295
2022-10-28,7000.0,7046.0,6956.0,7015.5,53
2022-10-31,6911.0,6967.5,6805.0,6920.0,67
2022-11-01,6910.0,6951.5,6727.5,6746.0,96
2022-11-02,6903.0,6903.0,6696.0,6751.5,1078
2022-11-03,6950.0,6950.0,6670.0,6680.5,150
2022-11-04,6422.0,6571.0,6033.5,6182.0,248
2022-11-07,6002.0,6112.5,5809.0,6098.0,591
2022-11-08,6052.5,6163.0,5933.0,5976.5,162
2022-11-09,5479.0,5541.0,4716.0,4723.5,4872
2022-11-10,4800.0,5157.0,4800.0,5088.5,2492
2022-11-11,5155.5,5690.0,5132.0,5629.5,531
2022-11-14,5629.5,5680.0,5429.0,5508.0,638
2022-11-15,5844.0,6010.0,5826.5,5920.0,837
2022-11-16,5920.0,6120.0,5562.0,5591.5,909
2022-11-17,5550.0,5632.0,5265.0,5471.0,2044
2022-11-18,5439.0,5590.0,5165.0,5289.0,289
2022-11-22,5290.0,5290.0,4965.5,5047.5,133
2022-11-23,5254.0,5310.5,5178.0,5242.0,287
2022-11-24,5500.0,5645.0,5420.0,5500.0,78
2022-11-25,5200.0,5450.0,5180.0,5450.0,374
2022-11-28,5160.0,5195.0,4970.0,4970.0,949
2022-11-29,5060.0,5060.0,4805.0,4820.0,172
2022-11-30,4821.0,5200.0,4821.0,5195.0,2729
2022-12-01,5248.0,5455.0,5163.5,5430.0,738
2022-12-02,5455.0,5520.0,5200.0,5518.5,318
2022-12-05,5434.0,5620.0,5171.0,5171.0,726
2022-12-06,5281.0,5343.0,5165.0,5258.0,12580
2022-12-07,5301.0,5301.0,5128.0,5200.0,376
2022-12-12,5390.0,5614.5,5390.0,5507.0,2086
2022-12-13,5800.0,5841.0,5218.0,5428.0,7932
2022-12-14,5360.0,5563.5,5360.0,5430.0,1238
2022-12-15,5500.0,5500.0,4465.5,4612.0,11535
2022-12-16,4625.0,4625.0,4430.0,4585.0,527
2022-12-19,4498.5,4539.5,4373.0,4501.0,924
2022-12-20,4501.0,4520.0,4464.5,4464.5,15
2022-12-21,4541.0,4740.0,4504.0,4691.5,1721
2022-12-22,4600.0,4609.5,4315.0,4392.0,431
2022-12-23,4343.0,4465.0,4260.0,4444.0,1548
2022-12-26,4444.0,4509.5,4444.0,4460.0,21
2022-12-27,4352.0,4518.0,4352.0,4427.5,268
2022-12-28,4405.0,4551.0,4405.0,4549.0,135
2022-12-29,4550.0,4734.0,4550.0,4626.5,1331
2022-12-30,4600.0,4890.0,4535.0,4890.0,652
2023-01-02,4650.0,4880.0,4650.0,4880.0,11
2023-01-03,4982.5,5020.0,4640.5,4752.5,5324
2023-01-04,4872.5,4973.0,4807.0,4928.0,4283
2023-01-05,4919.0,5137.0,4820.5,5114.5,4356
2023-01-06,5175.0,5228.5,4936.0,4980.0,2918
2023-01-09,5110.0,5236.0,5032.5,5150.0,2376
2023-01-10,5109.5,5295.5,5109.5,5276.5,485
2023-01-11,5484.5,5550.0,5376.5,5523.0,14658
2023-01-12,5639.0,5728.5,5476.0,5728.5,1193
2023-01-13,5718.0,5796.0,5666.5,5796.0,1103
2023-01-16,5795.0,5795.0,5500.0,5753.5,75
2023-01-17,6041.0,6900.0,6041.0,6798.0,1900
2023-01-18,6765.5,6765.5,6174.5,6237.5,2024
2023-01-19,6000.0,6064.5,5754.5,6031.0,3355
2023-01-20,6167.0,6430.0,6114.5,6419.0,1816
2023-01-23,6420.0,6640.0,6393.0,6640.0,3897
2023-01-24,6597.0,6670.0,6389.0,6450.0,4185
2023-01-25,6215.5,6539.5,6215.5,6514.0,116
2023-01-26,6756.0,6756.0,6493.5,6637.0,1522
2023-01-27,6749.0,7007.0,6735.0,6987.5,1282
2023-01-30,6968.5,6968.5,6558.0,6562.5,2526
2023-01-31,6626.0,6902.0,6626.0,6813.0,2743
2023-02-01,6893.5,7074.0,6700.5,6931.0,4341
2023-02-02,7200.0,7550.0,7200.0,7375.5,3068
2023-02-03,7151.0,7357.5,6989.0,7007.0,4175
2023-02-06,6886.5,7151.0,6876.5,7107.5,32
2023-02-07,7074.0,7116.5,6908.5,7116.5,1098
2023-02-08,7300.0,7300.0,6862.5,6862.5,771
2023-02-09,7004.0,7136.0,6787.0,6787.0,57
2023-02-10,6588.5,6652.5,6420.0,6445.5,4741
2023-02-13,6439.0,6476.0,6390.0,6401.5,104
2023-02-14,6268.5,6586.5,6268.5,6586.0,8161
2023-02-15,6915.0,8311.5,6915.0,8248.0,9925
2023-02-16,8200.0,8553.0,8006.5,8122.5,15294
2023-02-17,7775.5,7792.5,7480.0,7614.5,7768
2023-02-22,7132.5,7132.5,6820.0,6925.0,3665
2023-02-23,6900.0,7079.5,6636.5,6884.5,1064
2023-02-24,6759.5,6796.5,6630.0,6796.5,429
2023-02-27,6866.5,6906.0,6643.0,6665.0,5117
2023-02-28,6699.0,6832.0,6668.0,6700.5,3619
