Date,Open,High,Low,Close,Volume
2024-04-11,3500.0,3500.0,3500.0,3500.0,237
2024-04-12,3500.0,3500.0,3500.0,3500.0,237
2024-04-14,3500.0,3500.0,3500.0,3500.0,356
2024-04-15,3010.0,3200.0,3000.0,3150.0,4060
2024-04-16,3200.0,3200.0,3010.0,3100.0,1611
2024-04-17,3200.0,3200.0,2950.0,3100.0,3767
2024-04-18,3200.0,3350.0,3088.0,3350.0,29866
2024-04-19,3200.0,3350.0,3088.0,3293.5,29866
2024-04-21,3650.0,4150.0,3486.0,4150.0,45350
2024-04-22,4100.0,4390.0,4018.0,4185.0,39735
2024-04-23,4400.0,4486.0,3650.0,3953.0,16087
2024-04-24,3953.0,4500.0,3664.0,4375.0,14294
2024-04-25,4313.5,4600.0,4200.0,4372.5,8246
2024-04-26,4313.5,4600.0,4200.0,4319.5,8246
2024-04-28,4160.0,4217.5,3915.0,4030.0,8683
2024-04-29,3997.0,3997.0,3600.0,3650.0,20305
2024-04-30,3997.0,3997.0,3600.0,3605.5,20305
2024-05-01,3627.5,3800.0,3601.0,3625.0,12254
2024-05-02,3850.0,4076.0,3809.5,3899.0,8055
2024-05-03,3850.0,4076.0,3809.5,3898.5,8055
2024-05-05,4000.0,4100.5,3869.5,4040.0,6187
2024-05-06,3943.0,3943.0,3660.0,3860.0,4522
2024-05-07,3632.0,3800.0,3632.0,3800.0,2948
2024-05-08,3688.5,3788.0,3688.0,3750.0,1842
2024-05-09,3700.0,3700.0,3330.0,3450.0,20785
2024-05-10,3700.0,3700.0,3330.0,3354.5,20785
2024-05-12,3451.0,3599.0,3365.5,3480.0,8759
2024-05-13,3451.0,3570.0,3372.5,3525.0,1710
2024-05-14,3624.0,4000.0,3565.0,3824.5,20530
2024-05-15,3870.0,3870.0,3500.0,3650.0,8770
2024-05-16,3741.5,3980.0,3632.0,3795.0,9243
2024-05-17,3741.5,3980.0,3632.0,3746.5,9243
2024-05-19,3700.0,4188.0,3689.5,4180.0,16278
2024-05-20,4200.0,4300.0,3915.0,4250.0,14584
