Date,Open,High,Low,Close,Volume
2024-04-11,5150.0,5150.0,5050.0,5150.0,1366
2024-04-12,5240.0,5240.0,5060.0,5060.0,273
2024-04-15,5074.5,5125.0,5060.0,5125.0,339
2024-04-16,5001.0,5001.0,5000.0,5000.0,672
2024-04-17,5000.0,5000.0,4850.0,4880.0,3958
2024-04-18,4880.0,5000.0,4880.0,5000.0,3129
2024-04-19,5000.0,5000.0,4710.0,4710.0,645
2024-04-22,4710.0,4850.0,4629.5,4850.0,552
2024-04-23,4850.0,5150.0,4850.0,5150.0,388
2024-04-24,5200.0,5300.0,5200.0,5200.0,52
2024-04-25,5200.0,5200.0,4950.0,5170.0,742
2024-04-26,4794.0,4919.0,4750.0,4751.0,1532
2024-04-29,5000.0,5150.0,4802.0,5150.0,193
2024-04-30,5132.0,5132.0,4876.0,4876.0,1111
2024-05-02,4973.5,5104.0,4906.0,5069.0,4010
2024-05-03,5140.0,5188.5,5023.0,5028.5,1049
2024-05-06,5300.0,5400.0,5095.0,5250.0,2733
2024-05-07,5250.0,5250.0,5021.0,5025.0,1569
2024-05-08,5079.5,5146.0,4971.0,4997.5,1900
2024-05-09,4950.0,5082.0,4889.5,4959.0,1197
2024-05-10,4959.5,5033.0,4774.0,4790.0,645
2024-05-13,4960.0,5058.5,4949.0,4949.0,1240
2024-05-14,5483.5,5600.0,4951.5,4951.5,5261
2024-05-15,5200.0,5469.0,5140.5,5371.5,2049
2024-05-16,5371.0,5400.0,5162.0,5400.0,1130
2024-05-17,5238.0,5350.0,5180.0,5300.0,2790
2024-05-20,5208.0,5208.0,5032.0,5146.5,4065
2024-05-21,5304.5,5397.5,5147.0,5400.0,1595
2024-05-22,5400.0,5699.5,5225.5,5658.0,4410
2024-05-23,5640.5,5668.5,5407.0,5412.0,1548
2024-05-24,5450.0,5550.0,5288.0,5423.0,5174
2024-05-27,5423.0,5425.0,5051.0,5425.0,272
2024-05-28,5391.5,5440.5,5277.0,5320.0,460
2024-05-29,5320.0,5320.0,5178.5,5320.0,341
2024-05-30,5276.5,5370.0,5224.0,5325.0,397
2024-05-31,5282.0,5490.0,5280.0,5407.0,249
2024-06-03,5606.0,5834.5,5550.0,5580.0,1220
2024-06-04,5636.5,5900.0,5636.5,5830.0,953
2024-06-05,5782.0,5878.0,5728.5,5860.0,746
2024-06-06,6000.0,6036.0,5703.0,5780.5,638
2024-06-07,5800.0,5867.5,5703.5,5423.5,86
2024-06-10,5738.0,5838.5,5694.5,5899.5,2210
2024-06-11,5910.0,5910.0,5685.5,5750.0,545
2024-06-12,5501.0,5852.0,5501.0,5590.0,1336
2024-06-13,5700.0,5700.0,5057.0,5310.0,702
2024-06-14,5255.0,5409.5,5001.5,5399.5,428
2024-06-18,5210.0,5390.0,5115.0,5350.0,1179
2024-06-19,5340.0,5340.0,5050.0,5300.0,197
2024-06-24,5300.0,5600.0,4950.0,5500.0,315
2024-06-25,5266.0,5550.0,5266.0,5500.0,578
2024-06-26,5500.0,5999.5,5500.0,5805.5,1356
2024-06-27,5980.0,6200.0,5865.0,6149.0,2798
2024-06-28,6149.0,6461.5,6140.0,6140.0,2933
2024-07-01,6259.0,6843.5,6259.0,6700.5,1708
2024-07-02,6919.5,6919.5,6504.5,6800.0,1810
2024-07-03,6792.0,6792.0,6537.5,6750.0,1267
2024-07-04,6750.0,6946.0,6610.0,6940.0,1039
2024-07-05,7149.5,7149.5,6521.5,6710.0,3151
2024-07-08,6767.0,6882.0,6402.0,6614.5,1207
2024-07-10,6860.0,6860.0,6210.0,6500.0,1605
2024-07-11,6640.0,6690.0,6340.0,6660.0,1276
2024-07-12,6730.0,6890.0,6650.0,6760.0,23572
2024-07-15,6760.0,6760.0,6050.0,6300.0,16552
2024-07-16,6060.0,6790.0,6050.0,6460.0,9905
2024-07-17,6230.0,6640.0,6230.0,6570.0,496
2024-07-18,6840.0,6950.0,6160.0,6400.0,1344
2024-07-19,6310.0,6710.0,6310.0,6400.0,2049
2024-07-22,6500.0,6500.0,6300.0,6350.0,13125
2024-07-23,6350.0,6470.0,6300.0,6450.0,15314
2024-07-24,6060.0,6060.0,5700.0,5700.0,64850
2024-07-25,5790.0,6040.0,5750.0,5990.0,2576
2024-07-26,5940.0,6000.0,5850.0,5990.0,492
2024-07-29,5920.0,5920.0,5760.0,5840.0,192
2024-07-30,5730.0,5740.0,5570.0,5640.0,1010
2024-07-31,5590.0,5800.0,5510.0,5750.0,1026
2024-08-01,5840.0,5860.0,5480.0,5790.0,2922
2024-08-02,5430.0,5550.0,5390.0,5410.0,2334
2024-08-05,5150.0,5420.0,5080.0,5420.0,1453
2024-08-06,5430.0,5600.0,5300.0,5600.0,374
2024-08-07,5560.0,5830.0,5440.0,5440.0,349
2024-08-08,5680.0,5680.0,5510.0,5510.0,897
2024-08-09,5430.0,5620.0,5430.0,5520.0,189
2024-08-12,5400.0,5400.0,5160.0,5300.0,218
2024-08-13,5200.0,5600.0,5200.0,5600.0,368
2024-08-14,5550.0,5550.0,5300.0,5500.0,865
2024-08-15,5310.0,5860.0,5310.0,5880.0,745
2024-08-16,5940.0,5970.0,5610.0,5900.0,244
