Date,Open,High,Low,Close,Volume
2024-05-20,102.25,102.25,100.8,101.14,8337620658
2024-05-21,101.38,101.38,100.9,101.2,5805309146
2024-05-22,101.2,101.39,100.65,101.0,11707884457
2024-05-23,101.4,101.6,101.04,101.39,21057237146
2024-05-24,101.8,101.84,101.1,101.42,5452714712
2024-05-27,101.8,101.89,101.02,101.4,6047238058
2024-05-28,101.75,101.89,101.08,101.6,2784868350
2024-05-29,101.85,101.99,101.47,101.8,4889328386
2024-05-30,102.0,102.6,100.0,102.23,13793020495
2024-05-31,102.99,102.99,100.64,102.59,4113234829
2024-06-03,102.99,102.99,102.6,102.75,4990239050
2024-06-04,103.14,103.14,101.0,102.8,9250973097
2024-06-05,103.2,103.2,102.8,102.83,3044130464
2024-06-06,103.28,103.28,102.6,102.9,4679410345
2024-06-07,103.0,103.6,102.9,103.21,7876225628
2024-06-10,103.95,103.95,103.15,103.31,2551286089
2024-06-11,103.95,106.0,101.5,103.5,2652132052
2024-06-12,103.5,103.9,103.5,103.7,7032379051
2024-06-13,104.6,104.6,103.7,103.86,25053663827
2024-06-14,104.45,104.45,104.1,104.27,3368238161
2024-06-18,104.53,104.8,104.27,104.3,3528745780
2024-06-19,105.35,105.35,104.3,104.83,18478292702
2024-06-24,105.4,105.4,103.5,104.93,16779778076
2024-06-25,104.97,105.15,104.97,105.07,14033976828
2024-06-26,105.45,105.45,105.05,105.15,12691566265
2024-06-27,105.18,105.45,105.18,105.29,14495503105
2024-06-28,105.18,105.45,105.18,105.29,0
2024-07-01,105.18,105.45,105.18,105.29,0
