Date,Open,High,Low,Close,Volume
2024-09-13,101.2,101.4,100.2,100.4,17222585955
2024-09-16,101.8,101.8,100.4,100.5,13567753712
2024-09-17,101.8,101.95,100.1,100.35,7259488177
2024-09-18,101.7,102.0,100.1,100.42,4554340394
2024-09-19,101.4,101.43,100.2,100.75,10923015382
2024-09-20,101.5,101.5,101.0,101.2,15846088838
2024-09-23,101.9,101.9,101.22,101.82,11114475796
2024-09-24,102.3,102.3,101.55,102.1,21033534612
2024-09-25,102.87,102.87,101.8,101.95,14725879547
2024-09-26,102.42,102.92,101.91,102.0,4839544909
2024-09-27,102.67,102.8,102.01,102.65,3311457845
2024-09-30,103.0,103.85,102.8,103.5,6785072784
2024-10-01,103.4,104.9,103.4,104.65,7943406550
2024-10-02,104.74,105.81,104.0,104.49,3843725763
2024-10-03,105.93,105.93,104.05,104.5,4671115926
2024-10-04,105.06,105.25,104.5,104.86,9248338845
2024-10-07,105.25,105.35,104.4,104.55,4694034327
2024-10-08,104.92,105.1,104.25,104.65,6679794309
2024-10-09,104.67,105.98,104.2,105.1,10080777036
2024-10-10,105.31,107.48,105.17,107.19,20666179456
2024-10-14,108.75,111.17,107.5,107.9,12944273259
2024-10-15,107.85,108.45,107.34,107.46,4818047531
2024-10-16,107.99,108.2,106.9,107.9,1729968477
2024-10-17,108.37,108.77,107.41,108.1,2390153569
2024-10-18,108.78,109.5,108.28,109.27,4360108465
2024-10-21,109.65,111.25,109.27,110.5,8134698386
2024-10-22,111.2,111.6,109.3,109.7,1725547397
2024-10-23,110.0,110.21,109.53,110.0,9319026242
2024-10-24,110.7,111.55,110.0,111.45,8116595970
2024-10-25,112.0,112.88,111.5,111.7,5734667656
2024-10-28,112.44,116.0,112.4,115.0,6501853123
2024-10-29,114.85,117.8,114.85,116.24,7607795735
2024-10-30,116.2,118.49,114.0,115.19,3486223714
2024-10-31,115.19,116.0,114.5,115.7,3096213637
2024-11-01,116.3,118.5,116.3,117.45,6077662278
2024-11-04,117.45,118.35,117.21,118.1,3227298391
2024-11-05,118.1,119.1,117.75,118.21,2568041468
2024-11-06,118.18,119.38,118.04,118.8,1051252455
2024-11-07,118.8,119.9,118.63,119.45,5297675666
2024-11-08,119.45,122.09,119.45,120.56,2918036732
2024-11-11,120.56,121.99,120.56,121.35,2905981035
2024-11-12,121.35,124.0,121.0,123.3,6066015194
2024-11-13,123.3,126.8,123.3,125.5,7748578524
2024-11-14,125.5,126.0,123.0,124.25,1282046956
2024-11-15,124.26,125.0,123.0,123.84,4536116534
2024-11-19,124.0,124.0,122.3,123.8,2148628795
2024-11-20,123.44,125.0,123.0,124.0,1412600965
2024-11-21,123.46,124.5,122.76,123.36,2529055901
2024-11-22,123.36,124.0,123.1,123.78,4096881889
2024-11-25,123.42,123.8,123.3,123.55,2228773095
2024-11-26,123.5,123.91,122.5,123.15,4202517062
2024-11-27,123.15,124.0,122.5,123.35,3016226164
2024-11-28,123.35,123.69,122.73,122.79,794394535
2024-11-29,123.5,123.56,122.2,123.0,546568327
2024-12-02,123.25,123.37,121.51,123.05,463705895
2024-12-03,122.67,126.1,122.45,122.85,1735298154
2024-12-04,122.85,123.0,122.19,122.4,2636501903
2024-12-05,122.0,122.8,121.5,122.3,2340343355
2024-12-06,125.0,125.0,122.3,124.5,4033589816
2024-12-09,124.5,125.0,123.8,124.2,608836981
2024-12-10,124.1,124.48,123.71,124.15,324246770
2024-12-11,124.11,126.5,124.11,126.4,284338362
2024-12-12,126.4,126.72,125.25,126.2,1700374947
2024-12-13,126.0,128.85,126.0,128.0,9517108998
2024-12-16,128.45,128.84,127.5,128.7,15042294498
2024-12-17,128.7,129.09,126.84,127.8,17527522068
2024-12-18,127.85,129.08,126.3,127.6,21505324048
2024-12-19,127.6,128.8,126.45,128.8,17698143994
2024-12-20,128.8,130.5,127.81,129.6,14328007265
2024-12-23,129.6,130.76,128.4,129.65,15992053677
2024-12-24,129.65,131.0,127.98,129.97,21404372
2024-12-26,129.87,130.31,127.3,127.51,15941869208
2024-12-27,127.51,129.1,127.51,128.45,18715566707
2024-12-30,128.46,130.94,128.46,130.15,18724027282
2025-01-02,130.0,132.29,129.5,132.1,15931158438
2025-01-03,133.0,134.75,131.52,132.89,19323373560
2025-01-06,132.89,133.0,131.7,132.6,2237119841
2025-01-07,132.6,134.5,131.82,133.25,1477856633
2025-01-08,133.82,136.05,132.41,133.75,3506467531
2025-01-09,133.65,134.67,133.35,134.0,1931695205
2025-01-10,134.0,134.99,134.0,134.3,3329003791
2025-01-13,134.32,134.7,132.0,133.5,1244681960
2025-01-14,133.78,135.29,133.11,134.25,3261882007
2025-01-15,136.0,136.0,133.62,134.4,5489706854
2025-01-16,134.2,135.06,132.0,133.15,7141783289
2025-01-17,133.85,134.54,132.6,133.4,730796337
2025-01-20,134.69,134.69,133.01,133.75,3013724864
2025-01-21,133.17,134.85,133.16,133.85,5580628707
2025-01-22,134.5,135.59,134.0,134.85,3824698753
2025-01-23,135.5,135.5,133.96,134.95,4240665927
2025-01-24,135.6,136.5,134.12,135.5,1778902253
2025-01-27,135.5,137.56,135.47,136.15,387274285
2025-01-28,137.0,137.1,134.95,136.0,237345924
2025-01-29,136.0,136.68,135.2,135.9,351854141
2025-01-30,136.2,136.2,135.13,135.7,755833098
2025-01-31,137.5,137.5,135.4,135.95,2371471727
2025-02-03,136.49,137.0,135.34,136.59,1977672803
2025-02-04,136.7,137.5,135.5,136.2,2739109818
2025-02-05,135.8,136.5,135.0,135.9,1621397599
2025-02-06,136.3,136.5,135.7,136.29,1754139388
2025-02-07,136.29,137.32,136.0,136.45,3830465479
2025-02-10,136.25,137.0,136.0,136.5,185542995
2025-02-11,136.94,136.94,135.61,136.0,179065844
2025-02-12,136.6,137.0,135.7,136.0,726468285
2025-02-13,135.8,137.06,135.5,135.9,1721501761
2025-02-14,135.55,138.21,135.53,137.0,3090341525
2025-02-17,137.2,138.0,136.52,137.45,442044035
