Date,Open,High,Low,Close,Volume
2024-07-02,100.2,100.2,99.5,99.9,2486809149
2024-07-03,101.0,101.15,100.0,100.4,3727184152
2024-07-04,101.4,102.0,99.7,100.45,1478832478
2024-07-05,101.7,101.7,99.6,101.15,3299595124
2024-07-08,101.9,103.0,98.2,101.9,1881472649
2024-07-10,102.9,103.5,101.0,103.5,5028518333
2024-07-11,105.0,105.5,103.15,103.6,1630770276
2024-07-12,105.0,106.0,102.7,103.71,1677314802
2024-07-15,104.2,107.0,103.1,103.99,1809984477
2024-07-16,103.16,106.5,103.16,104.0,1650908584
2024-07-17,103.53,106.0,103.53,104.1,2495609686
2024-07-18,103.63,106.0,103.2,104.16,1025023182
2024-07-19,105.49,105.49,104.28,104.65,2584281269
2024-07-22,104.56,106.0,104.5,104.75,1967109943
2024-07-23,104.75,106.4,103.6,104.95,613895051
2024-07-24,106.5,109.25,104.68,104.75,4233600647
2024-07-25,105.0,105.0,104.48,104.8,6355834303
2024-07-26,106.0,107.25,105.0,105.35,2413499514
2024-07-29,106.16,107.0,105.35,106.69,7404758977
2024-07-30,110.0,110.0,106.73,107.3,3276073764
2024-07-31,107.44,110.0,107.42,108.4,3657925659
2024-08-01,110.0,110.0,107.91,108.6,3409376729
2024-08-02,109.0,110.0,108.05,108.65,1363957295
2024-08-05,109.7,109.7,106.0,108.4,3350364994
2024-08-06,109.2,109.2,108.4,108.55,9667299281
2024-08-07,109.0,109.5,107.25,108.9,2783952141
2024-08-08,108.9,109.75,108.4,109.75,3529457130
2024-08-09,109.75,110.25,109.15,109.65,2666501144
2024-08-12,110.0,110.25,109.3,109.88,1503482347
2024-08-13,109.5,110.25,109.45,110.1,2855629406
2024-08-14,110.25,110.45,109.67,110.3,3322697497
2024-08-15,110.26,112.0,110.26,110.59,5557787780
2024-08-16,111.35,111.35,111.0,111.2,1707434396
2024-08-19,111.5,113.0,111.0,111.3,1172429929
2024-08-20,111.25,111.75,108.48,111.5,3354773555
2024-08-21,111.5,112.0,111.3,111.51,1241053679
2024-08-22,111.9,112.0,110.77,111.8,3046683366
2024-08-23,111.8,112.99,111.8,112.1,1381922490
2024-08-26,112.95,113.0,112.06,112.35,2373088781
2024-08-27,112.3,113.2,112.1,112.75,9782736074
2024-08-28,113.25,113.25,112.7,112.8,2426095321
2024-08-29,113.8,113.8,112.0,112.6,2291072059
2024-08-30,113.2,113.2,112.5,112.9,4057199896
2024-09-02,113.5,113.5,112.6,112.8,3018602143
2024-09-03,112.98,114.0,112.01,113.15,1826196379
2024-09-04,113.8,113.8,112.75,113.2,3374288779
2024-09-05,113.0,113.8,112.9,113.55,5043968325
2024-09-06,113.5,114.8,113.5,114.14,7607785313
2024-09-09,114.59,114.59,113.93,114.15,4266811684
2024-09-10,114.89,114.89,113.94,114.15,4239678864
2024-09-11,114.88,114.88,113.97,114.15,3533303495
2024-09-12,114.6,114.6,113.55,113.64,20710433316
2024-09-13,113.8,114.4,113.8,114.2,18101018246
2024-09-16,114.5,115.5,114.1,114.27,15757118612
2024-09-17,115.0,115.0,114.1,114.29,6880384733
2024-09-18,114.43,114.95,114.1,114.3,10786400652
2024-09-19,114.8,114.8,114.31,114.54,7848533869
