Date,Open,High,Low,Close,Volume
2024-09-13,100.6,101.4,100.25,100.4,3338413216
2024-09-16,102.0,102.0,100.54,100.7,1369113907
2024-09-17,101.64,101.64,100.26,100.8,1611176922
2024-09-18,101.6,101.6,100.35,100.79,650085435
2024-09-19,101.7,101.7,100.4,100.95,770265325
2024-09-20,100.95,101.95,100.95,101.3,1346990532
2024-09-23,101.75,101.75,101.3,101.49,782609852
2024-09-24,102.01,102.01,101.25,101.6,3713478060
2024-09-25,101.99,102.0,101.61,101.7,1739686597
2024-09-26,102.1,102.1,101.72,101.89,2420261414
2024-09-27,102.21,102.45,101.77,102.5,5315675230
2024-09-30,102.82,103.32,102.54,102.65,9654333797
2024-10-01,103.0,104.9,102.8,103.25,5051614754
2024-10-02,103.59,104.15,103.1,103.5,10664421598
2024-10-03,104.09,104.09,103.2,103.55,3462357971
2024-10-04,103.96,104.21,103.46,103.7,10441227987
2024-10-07,103.94,104.0,103.7,103.8,3381137891
2024-10-08,104.11,104.4,103.87,103.9,2824935695
2024-10-09,104.19,104.7,103.76,104.3,1739216369
2024-10-10,104.96,105.34,104.36,104.85,5639988638
2024-10-14,105.2,106.15,104.46,105.55,7967442399
2024-10-15,105.97,105.97,105.2,105.56,2423537539
2024-10-16,105.5,106.55,105.47,105.6,2321175005
2024-10-17,105.64,106.0,105.5,105.65,594354163
2024-10-18,106.0,106.6,105.93,106.66,4080996895
2024-10-21,106.91,107.69,106.26,106.84,11646752156
2024-10-22,107.3,107.5,106.89,107.14,1574076771
2024-10-23,107.62,107.62,107.18,107.3,2883442388
2024-10-24,107.28,107.72,106.9,107.4,331318462
2024-10-25,108.12,108.12,107.19,107.74,2104432368
2024-10-28,107.76,109.57,107.76,109.5,4987958831
2024-10-29,110.0,110.35,109.1,109.15,3536764693
2024-10-30,109.79,109.79,108.21,109.0,2075616247
2024-10-31,109.0,110.64,108.79,109.35,2298361512
2024-11-01,111.0,111.51,109.41,110.75,2755084055
2024-11-04,111.0,111.6,110.85,111.0,242987973
2024-11-05,111.99,111.99,110.84,111.75,2733494656
2024-11-06,111.58,112.8,111.1,112.08,60427410
2024-11-07,112.99,112.99,111.53,112.2,2574145972
2024-11-08,112.2,113.68,112.2,112.85,2155637136
2024-11-11,112.9,113.94,112.17,112.42,2381475295
2024-11-12,112.6,113.2,112.42,112.78,2027069989
2024-11-13,112.8,115.0,112.75,113.5,4503296934
2024-11-14,114.0,114.2,113.0,113.33,15150112103
2024-11-15,114.9,114.9,112.75,113.85,2470584845
2024-11-19,113.85,114.2,113.0,113.6,6031981704
2024-11-20,113.0,114.5,112.52,113.85,2212602529
2024-11-21,114.0,114.97,113.12,113.36,1698814289
2024-11-22,114.4,114.49,113.36,113.95,2439287437
2024-11-25,113.7,114.95,113.45,113.6,2203455688
2024-11-26,114.45,114.45,113.2,113.7,3708321872
2024-11-27,114.5,114.5,113.67,113.67,1156120162
2024-11-28,113.68,114.5,113.3,113.8,1040256976
2024-11-29,113.41,114.64,113.3,114.15,2837382391
2024-12-02,115.5,115.7,113.84,114.15,642243853
2024-12-03,114.15,114.83,113.77,114.1,12104991014
2024-12-04,114.1,114.5,113.83,114.08,4127399320
2024-12-05,114.08,114.6,113.81,114.1,1380805711
2024-12-06,114.5,116.2,114.5,115.0,1633593329
2024-12-09,115.9,115.9,115.0,115.25,747995216
2024-12-10,116.0,116.0,115.0,115.49,41074901429
2024-12-11,115.03,116.5,115.0,116.0,4886713573
2024-12-12,117.0,117.23,116.01,116.3,4902492045
2024-12-13,116.71,117.5,116.4,117.15,7127161841
2024-12-16,117.5,117.69,116.75,116.95,4936729658
2024-12-17,116.9,117.65,116.3,116.65,2475929255
2024-12-18,117.35,117.35,115.98,116.7,3850450629
2024-12-19,117.0,117.4,116.36,117.15,1199407151
2024-12-20,117.15,117.85,116.67,117.5,4574017725
2024-12-23,117.5,118.2,117.5,117.84,1281090998
2024-12-24,118.7,120.21,117.65,118.4,51477155
2024-12-26,118.4,118.7,117.21,117.6,4384186887
2024-12-27,118.15,118.15,117.4,117.5,1526296917
2024-12-30,118.0,118.08,117.36,117.6,2304062266
2025-01-02,118.05,118.6,118.05,118.45,6768818576
2025-01-03,120.95,120.95,118.5,118.87,8526800872
2025-01-06,119.75,119.75,118.7,119.21,1288597709
2025-01-07,119.81,119.81,119.17,119.72,8169183309
2025-01-08,119.7,120.24,119.4,119.8,1230176751
2025-01-09,120.27,120.27,119.35,119.69,1646768025
2025-01-10,119.55,120.3,119.55,119.94,1982631486
2025-01-13,120.89,120.89,119.5,119.71,11873489718
2025-01-14,121.0,121.0,119.73,120.1,3662098464
2025-01-15,120.1,121.3,119.74,120.25,5893470591
2025-01-16,120.25,121.45,119.83,120.23,3430069933
2025-01-17,120.3,121.01,119.75,120.29,5512216525
2025-01-20,121.2,121.2,119.57,120.58,2375727878
2025-01-21,120.6,121.48,120.26,120.4,2108339556
2025-01-22,120.4,121.1,119.9,120.6,2508701790
2025-01-23,121.0,121.9,119.91,120.85,1933515895
2025-01-24,120.61,121.85,120.61,122.0,9481607506
2025-01-27,121.37,123.2,121.12,121.45,2690848218
2025-01-28,122.0,122.0,121.34,121.5,1678895013
2025-01-29,121.96,122.0,121.5,121.8,829858380
2025-01-30,122.29,122.36,121.5,121.95,6648468749
2025-01-31,122.39,122.65,121.77,122.4,11770909764
2025-02-03,122.77,122.77,122.1,122.19,19985240960
2025-02-04,122.75,122.75,122.1,122.45,18844115367
2025-02-05,122.45,122.7,122.4,122.64,2950783509
2025-02-06,123.02,123.02,122.55,122.65,7678284490
2025-02-07,122.65,123.14,122.63,122.88,1535607034
2025-02-10,123.14,123.2,122.85,122.93,4269190428
2025-02-11,123.1,123.23,122.83,122.95,4557600640
2025-02-12,122.95,123.32,122.64,123.0,15940205711
2025-02-13,123.49,123.49,122.8,123.07,107170728849
2025-02-14,123.89,123.89,123.31,123.49,47723777360
2025-02-17,123.49,123.84,123.09,123.57,42259801616
2025-02-18,123.57,124.1,123.32,123.72,51951683800
2025-02-19,123.7,124.0,123.7,123.8,45107251086
2025-02-20,123.9,124.1,123.81,123.92,37605786456
2025-02-21,124.44,124.44,124.0,124.23,18352674157
2025-02-24,124.77,125.35,124.23,124.31,19130966791
2025-02-25,124.85,124.85,124.2,124.34,14069522362
2025-02-26,124.89,124.89,124.1,124.4,36597154047
2025-02-27,124.8,124.8,124.21,124.46,73775792761
2025-02-28,125.0,125.13,124.55,125.0,30589340982
2025-03-05,125.0,125.4,125.0,125.11,14507825203
2025-03-06,125.0,125.73,125.0,125.21,36312409738
2025-03-07,125.6,125.6,125.33,125.54,19364681346
2025-03-10,125.54,125.7,125.54,125.62,38561879704
2025-03-11,125.62,125.78,125.62,125.74,30641279747
2025-03-12,125.75,126.0,125.75,125.87,89373543452
2025-03-13,125.75,126.0,125.75,125.87,0
