Date,Open,High,Low,Close,Volume
2025-08-18,100.99,101.0,98.0,100.25,43552502
2025-08-19,100.45,104.25,99.5,99.7,502216258
2025-08-20,100.0,102.0,99.65,99.9,502216265
2025-08-21,99.65,100.52,97.1,99.99,24596177134
2025-08-22,101.7,102.3,100.1,100.15,84676983
2025-08-25,100.5,103.0,98.35,100.0,50179782
2025-08-26,101.0,101.0,99.0,100.1,8783381
2025-08-27,99.55,101.99,99.55,101.5,20829922
2025-08-28,101.63,107.75,101.63,106.0,232419315
2025-08-29,106.0,108.0,102.0,106.5,266991518
2025-09-01,106.5,110.0,105.5,106.99,103328004
2025-09-02,107.99,110.0,104.02,105.75,73836885
2025-09-03,107.81,108.75,101.5,101.8,22153336
2025-09-04,103.78,105.5,100.7,104.77,38886413
2025-09-05,105.0,106.0,99.35,101.8,345032171
2025-09-08,101.5,101.5,98.1,101.0,6470893
2025-09-09,101.0,101.79,99.4,101.1,11883779
2025-09-10,102.0,102.95,99.0,102.6,54483008
2025-09-11,101.51,103.9,101.51,103.0,73494055
2025-09-12,102.8,105.5,102.8,105.25,1014431190
2025-09-15,105.25,107.0,103.0,103.85,513743921
2025-09-16,103.85,105.89,101.85,103.15,137943386
2025-09-17,102.0,106.0,101.51,101.5,264951001
2025-09-18,101.5,103.85,99.3,100.5,233121678
2025-09-19,99.3,102.0,98.8,99.04,57008872
2025-09-22,99.5,107.06,99.5,102.26,64497333
2025-09-23,102.26,110.0,101.52,103.0,205156710
2025-09-24,103.0,106.0,103.0,105.5,198519041
2025-09-25,105.7,105.7,104.0,105.0,63994499
2025-09-26,105.0,110.0,103.41,103.7,846753214
2025-09-29,103.4,108.75,99.8,104.95,518591748
2025-09-30,105.0,108.0,104.58,106.0,774670763
2025-10-01,106.0,106.55,102.5,104.58,384230915
2025-10-02,106.0,106.0,102.85,104.5,225276166
2025-10-03,103.5,108.7,102.0,108.2,117763029
2025-10-06,105.1,109.61,105.0,106.6,147485282
2025-10-07,106.6,107.39,104.65,105.0,88012833
2025-10-08,106.98,106.98,101.14,102.5,99608927
2025-10-09,102.2,107.45,102.2,107.4,90889940
2025-10-13,107.1,109.5,105.5,107.0,55838613
2025-10-14,107.9,108.0,103.85,106.7,31996886
2025-10-15,106.7,108.0,104.0,105.0,109864215
2025-10-16,105.5,108.0,105.0,107.47,451645558
2025-10-17,107.5,109.2,105.01,107.0,148912334
2025-10-20,107.0,109.17,106.0,107.0,131245487
2025-10-21,107.35,109.0,106.0,106.25,426240307
2025-10-22,107.5,108.5,105.5,106.0,1088075367
2025-10-23,108.8,108.8,106.0,107.0,3207884775
2025-10-24,108.45,108.45,106.5,107.4,1004864825
2025-10-27,108.8,113.95,105.0,111.49,2856986815
2025-10-28,111.49,112.8,110.09,112.1,133902588
2025-10-29,112.0,112.87,110.3,112.45,167937887
2025-10-30,113.0,114.0,111.75,113.4,379870559
2025-10-31,114.0,116.5,113.4,115.05,643843365
2025-11-03,115.05,119.0,113.0,115.16,464123485
2025-11-04,117.15,118.84,113.5,116.0,257742898
2025-11-05,115.0,117.0,114.41,116.29,284693199
2025-11-06,116.29,117.0,115.1,116.45,60235813
2025-11-07,117.0,117.0,112.9,113.8,875575884
2025-11-10,113.5,114.95,113.3,115.2,1616855660
2025-11-11,115.2,115.98,114.0,114.25,2452783646
2025-11-12,115.97,115.97,113.46,114.0,23382038736
2025-11-13,114.0,115.0,113.88,115.0,1731120666
2025-11-14,115.49,115.49,114.21,114.7,134163723
2025-11-17,115.5,116.2,114.25,114.28,281822549
2025-11-18,115.0,115.7,112.01,114.1,3874677841
2025-11-19,114.1,116.15,112.73,113.95,8318688319
2025-11-20,113.95,114.6,113.3,114.4,23757454194
2025-11-21,115.0,115.0,114.42,114.9,709598299
2025-11-25,115.15,115.78,114.68,114.75,2660434888
2025-11-26,114.75,115.2,114.7,114.9,2606607300
2025-11-27,115.5,115.5,114.84,114.9,7115955174
2025-11-28,114.95,115.97,114.95,115.5,6118642805
2025-12-01,116.15,116.5,115.5,116.0,8667998538
2025-12-02,116.22,116.25,115.79,116.18,11481781378
2025-12-03,116.4,116.4,115.77,116.17,1018274612
2025-12-04,116.85,116.85,115.85,116.2,6965866893
2025-12-05,116.2,117.1,116.2,116.31,2318498267
2025-12-09,117.0,117.45,116.02,116.43,3662912345
2025-12-10,116.5,116.6,116.31,116.5,1738578267
2025-12-11,116.5,116.71,116.25,116.4,9919971455
2025-12-12,116.4,117.2,116.36,117.0,31857518336
2025-12-15,117.0,117.54,116.9,116.95,4779758814
2025-12-16,117.71,117.71,116.58,116.97,4060441344
2025-12-17,117.28,117.64,116.86,116.92,2479949107
2025-12-18,117.35,117.68,116.7,117.18,5762947212
2025-12-19,117.29,117.59,117.11,117.27,3556749191
2025-12-22,117.45,117.9,117.27,117.42,2333075816
2025-12-23,117.5,117.9,117.01,117.27,7477185950
2025-12-24,117.3,117.55,116.9,117.48,478338772
2025-12-26,117.5,117.99,117.25,117.68,7167737013
2025-12-29,117.94,117.99,117.44,117.8,3703162902
2025-12-30,118.01,118.99,117.3,118.0,9328925065
2026-01-02,117.93,118.89,117.8,118.35,9718561861
2026-01-05,118.35,118.7,118.01,118.15,4517722289
2026-01-06,118.47,118.61,118.05,118.05,4335507784
2026-01-07,118.5,118.5,117.52,118.34,5496797510
2026-01-08,118.3,118.66,118.25,118.48,3822623633
2026-01-09,118.57,118.75,118.51,118.75,1044783734
2026-01-12,118.75,118.95,118.75,118.83,5331102162
2026-01-13,118.8,118.99,118.62,118.7,2038781277
2026-01-14,118.74,119.75,118.74,118.98,2929122375
2026-01-15,118.74,119.75,118.74,118.98,0
