Date,Open,High,Low,Close,Volume
2024-09-13,100.35,100.75,100.35,100.36,4068816722
2024-09-16,101.7,101.7,100.3,100.58,1391418853
2024-09-17,101.6,101.6,100.25,100.6,300151348
2024-09-18,101.0,101.0,100.1,100.65,3679568487
2024-09-19,101.5,101.5,100.7,100.95,3222387489
2024-09-20,101.85,101.85,100.94,101.39,511603356
2024-09-23,101.85,101.85,101.2,101.7,3721604410
2024-09-24,102.14,102.14,101.57,101.58,2901970900
2024-09-25,101.94,101.94,101.6,101.79,782486043
2024-09-26,102.1,102.1,101.83,102.0,3357103669
2024-09-27,102.35,102.58,102.0,102.5,2753960429
2024-09-30,102.55,103.32,102.55,103.3,7179522899
2024-10-01,103.69,105.0,103.05,104.0,7327004249
2024-10-02,104.33,104.9,103.88,104.0,7750270546
2024-10-03,104.75,104.75,103.87,104.15,2931194267
2024-10-04,104.66,104.9,104.15,104.4,2899514518
2024-10-07,104.38,105.0,104.1,104.2,1644961724
2024-10-08,104.45,104.5,104.11,104.3,238820206
2024-10-09,104.5,104.73,104.35,104.7,1081914514
2024-10-10,105.0,106.99,104.7,105.98,5817398587
2024-10-14,105.8,107.6,105.8,106.2,6988923705
2024-10-15,106.59,106.99,106.0,106.2,5262490124
2024-10-16,106.61,106.61,106.19,106.2,2530191235
2024-10-17,106.63,107.52,106.21,106.6,2644992971
2024-10-18,107.2,107.2,106.88,107.14,1761573512
2024-10-21,107.46,108.5,107.17,108.2,3290870559
2024-10-22,109.37,109.37,107.99,108.2,2583306902
2024-10-23,108.79,109.07,108.0,108.48,449327846
2024-10-24,108.56,109.12,108.56,108.65,1814263866
2024-10-25,109.28,109.58,108.3,109.15,1598741160
2024-10-28,109.5,111.49,109.05,111.1,1417193182
2024-10-29,111.28,114.5,110.93,111.5,1842871807
2024-10-30,112.28,112.28,110.0,111.6,4360199597
2024-10-31,111.6,112.75,110.8,112.8,6575887333
2024-11-01,112.9,115.09,112.9,113.9,3663349524
2024-11-04,114.14,114.35,113.61,114.0,520028513
2024-11-05,114.5,114.89,113.63,113.95,534066128
2024-11-06,113.78,114.75,113.1,114.1,79759371
2024-11-07,114.12,115.0,113.6,114.65,2596882064
2024-11-08,115.2,115.75,114.65,115.5,2276293323
2024-11-11,116.5,116.7,115.5,115.7,3136658636
2024-11-12,115.7,119.4,114.7,115.95,3708585918
2024-11-13,117.73,118.2,115.66,118.0,3822026902
2024-11-14,117.75,119.2,117.41,117.71,2274836392
2024-11-15,117.8,118.2,116.3,117.6,3796178374
2024-11-19,116.4,118.0,116.1,117.4,5313943776
