Date,Open,High,Low,Close,Volume
2025-08-29,101.5,103.0,101.5,101.99,56701148
2025-09-01,105.0,106.0,100.5,101.95,346004984
2025-09-02,100.0,103.0,100.0,102.0,468724530
2025-09-03,103.0,103.0,100.5,100.5,16624296
2025-09-04,100.5,103.4,99.2,102.0,10519835
2025-09-05,102.0,106.0,99.5,101.95,18518358
2025-09-08,101.95,105.0,99.0,102.0,5965748
2025-09-09,102.9,102.9,99.0,101.98,6796084
2025-09-10,102.5,104.41,101.5,102.7,6311694
2025-09-11,101.91,104.49,101.55,102.5,64767639
2025-09-12,102.8,109.0,100.02,104.29,229690813
2025-09-15,104.29,107.0,103.0,106.95,43202358
2025-09-16,104.35,109.0,104.35,108.99,6475405
2025-09-17,110.0,110.0,104.5,105.0,49214405
2025-09-18,109.1,109.1,102.5,104.0,17948261
2025-09-19,104.0,109.1,100.1,100.41,10979800
2025-09-22,108.45,108.5,102.01,107.0,15739051
2025-09-23,103.53,108.45,103.53,104.28,8675898
2025-09-24,106.0,108.3,105.1,108.0,54787902
2025-09-25,108.0,108.0,104.5,107.95,38408424
2025-09-26,108.44,108.44,103.51,108.0,6342450
2025-09-29,108.0,108.0,104.4,107.95,9945715
2025-09-30,108.0,125.9,104.85,120.0,70680208
2025-10-01,110.0,120.0,106.14,122.9,5008246
2025-10-02,122.0,126.0,111.0,120.0,16454663
2025-10-03,126.0,126.0,115.0,117.0,5422261
2025-10-06,118.0,121.0,114.01,117.0,17527489
2025-10-07,117.0,117.0,114.0,115.0,10392526
2025-10-08,115.0,115.0,108.0,111.0,2280078
2025-10-09,111.0,119.0,111.0,119.0,11505608
2025-10-13,111.0,113.0,111.0,112.0,3293585
2025-10-14,119.45,120.0,111.4,117.5,16779489
2025-10-15,117.5,120.0,105.2,116.0,4204136
2025-10-16,116.0,117.5,115.99,116.1,9590863
2025-10-17,119.0,124.0,114.0,119.0,21249079
2025-10-20,120.0,125.9,119.0,124.13,40133198
2025-10-21,120.0,125.9,118.0,125.9,8309998
2025-10-22,125.0,125.9,119.0,125.9,4718371
2025-10-23,125.9,129.0,119.77,129.0,25985682
2025-10-24,129.0,131.0,125.2,125.85,2897279
2025-10-27,125.85,134.0,111.0,124.0,14070832
2025-10-28,124.0,136.73,119.0,125.99,17156899
2025-10-29,125.99,132.0,122.0,124.11,23687792
2025-10-30,123.01,128.1,123.01,124.0,55569026
2025-10-31,129.95,135.0,123.88,126.0,242383469
2025-11-03,126.0,130.0,126.0,128.7,56560510
2025-11-04,128.5,131.0,119.0,127.95,136349084
2025-11-05,131.0,131.0,120.0,123.0,148963455
2025-11-06,122.51,127.2,120.0,122.5,121735662
2025-11-07,118.83,118.83,114.8,115.1,38507718151
2025-11-10,115.69,115.69,115.0,115.25,9402289699
2025-11-11,115.7,115.86,115.45,115.7,35510803677
2025-11-12,115.95,115.95,115.48,115.75,29295327671
2025-11-13,115.95,115.95,115.6,115.7,32119559715
2025-11-14,115.71,116.05,115.71,115.98,29337999231
2025-11-17,115.98,116.55,115.8,115.99,20079199495
2025-11-18,116.5,116.5,115.85,116.0,36109763321
2025-11-19,116.5,116.5,115.88,116.1,17250019317
2025-11-20,116.45,116.99,116.1,116.58,19058564283
2025-11-21,116.03,117.99,116.03,116.89,81443249
2025-11-25,117.9,117.9,116.46,116.75,6741906553
2025-11-26,116.75,117.5,116.72,116.76,9109253907
2025-11-27,117.2,117.89,116.5,116.55,7658157097
2025-11-28,117.89,117.89,116.6,117.25,22459190165
2025-12-01,117.88,118.2,117.3,118.15,15478635071
2025-12-02,118.6,118.6,117.95,118.2,21004614952
2025-12-03,118.2,119.4,118.2,118.26,15595598785
2025-12-04,118.98,118.98,118.12,118.3,8690928835
2025-12-05,118.9,119.45,118.32,118.59,11844552336
2025-12-09,119.3,119.3,118.4,118.5,21424364811
2025-12-10,119.2,119.3,118.6,119.15,12450115953
2025-12-11,120.0,120.0,118.87,119.1,15076107996
2025-12-12,119.1,119.7,118.8,119.4,8245375123
2025-12-15,120.0,120.0,119.25,119.41,15400087324
2025-12-16,119.4,119.65,118.94,119.35,15609909277
2025-12-17,120.0,120.8,119.35,119.53,11377083987
2025-12-18,119.53,120.5,119.35,119.5,11134513495
2025-12-19,120.42,120.48,119.5,119.6,7713775969
2025-12-22,119.6,120.0,119.48,119.68,10489330258
2025-12-23,119.68,120.75,119.35,119.41,12374574367
2025-12-24,120.59,120.59,119.01,119.84,87278841
2025-12-26,120.79,120.79,119.3,119.5,6060047854
2025-12-29,119.85,119.85,119.1,119.62,10975300747
2025-12-30,120.9,120.95,119.0,118.6,8183541370
2026-01-02,120.0,120.84,119.26,120.2,35852246596
2026-01-05,120.9,121.0,120.2,120.54,10856107935
2026-01-06,121.0,121.0,119.71,120.2,10332178273
2026-01-07,120.2,120.9,119.84,120.6,6820779275
2026-01-08,121.0,121.0,120.5,120.6,2722892309
2026-01-09,120.72,121.25,120.7,120.8,11474923081
2026-01-12,121.4,121.4,120.57,120.78,7173312158
2026-01-13,121.0,121.35,120.49,120.6,9783964272
2026-01-14,121.0,121.18,120.6,120.84,16280439795
2026-01-15,120.9,120.9,120.31,120.35,195728032147
2026-01-16,120.8,120.94,120.65,120.87,82950908999
2026-01-19,121.35,121.35,120.87,121.05,98577593522
2026-01-20,121.3,121.4,121.07,121.23,170847575679
2026-01-21,121.5,121.5,121.24,121.31,95636831688
