Date,Open,High,Low,Close,Volume
2024-08-30,101.0,101.1,100.25,100.6,7980793750
2024-09-02,102.0,102.0,100.55,100.65,12910773231
2024-09-03,100.99,101.8,100.6,100.7,9983194050
2024-09-04,101.4,101.48,100.2,100.6,16093703159
2024-09-05,101.1,101.99,100.67,101.14,14173371603
2024-09-06,101.2,102.0,101.2,101.75,33759497211
2024-09-09,102.3,102.8,101.65,101.7,25472618915
2024-09-10,101.83,102.58,101.73,101.9,10156853686
2024-09-11,102.52,102.7,101.4,101.7,8499759073
2024-09-12,102.0,102.0,101.0,101.25,4574313669
2024-09-13,101.82,102.35,101.26,101.5,3795943458
2024-09-16,102.3,102.47,101.2,101.52,3169314892
2024-09-17,102.47,102.47,101.3,101.55,326888593
2024-09-18,102.27,102.27,101.2,101.63,1664038449
2024-09-19,102.24,102.24,101.5,102.0,2627923659
2024-09-20,102.05,102.38,102.0,102.25,444411273
2024-09-23,102.22,102.9,102.11,102.6,3754886931
2024-09-24,103.0,103.0,102.35,102.75,5189535211
2024-09-25,102.75,103.1,102.73,102.73,2526120701
2024-09-26,103.02,103.54,102.3,102.95,11089477767
2024-09-27,103.4,104.5,102.87,103.5,6467128581
2024-09-30,103.81,104.31,103.53,104.05,5795133968
2024-10-01,104.85,105.5,104.07,105.5,11788414272
2024-10-02,105.59,105.95,105.05,105.38,10043536620
2024-10-03,105.75,105.75,105.12,105.68,12189930114
2024-10-04,106.27,106.43,105.65,106.0,6126895254
2024-10-07,106.34,106.97,104.5,105.4,8262653809
2024-10-08,105.72,106.1,105.0,105.65,10176840450
2024-10-09,105.98,106.9,105.5,106.4,3600642252
2024-10-10,107.0,109.5,106.41,108.5,7205411546
2024-10-14,108.93,110.2,106.5,109.14,9387803764
2024-10-15,109.02,109.6,107.6,108.1,6000055808
2024-10-16,108.53,109.0,107.8,108.2,2347712344
2024-10-17,108.45,109.09,107.7,110.0,8322734057
2024-10-18,109.95,111.09,108.0,109.95,7470523823
2024-10-21,110.35,110.9,110.0,110.74,7033383991
2024-10-22,110.77,111.7,110.6,110.7,7420638876
2024-10-23,111.41,111.41,110.4,110.79,15085498446
2024-10-24,111.66,112.44,110.7,111.95,9847783647
2024-10-25,113.13,113.13,112.33,112.54,10154052857
2024-10-28,112.72,116.5,112.72,115.0,10046856208
2024-10-29,115.9,117.69,115.0,116.15,10212010776
2024-10-30,116.35,117.35,115.25,115.76,3881009373
2024-10-31,115.75,117.18,115.2,116.3,3915243172
2024-11-01,116.5,119.9,116.5,118.35,3329047279
2024-11-04,118.1,119.3,118.1,118.65,2821389459
2024-11-05,118.55,119.2,118.23,118.23,4101477955
2024-11-06,118.23,119.1,118.07,118.95,1066953974
2024-11-07,119.8,121.2,118.8,119.95,5375274559
2024-11-08,121.2,122.29,119.95,121.35,1189576873
2024-11-11,121.35,122.5,121.27,121.35,6697128995
2024-11-12,122.39,124.5,121.0,123.8,8755051924
2024-11-13,124.6,126.2,123.51,125.35,9959231069
2024-11-14,125.35,127.19,123.72,124.99,5803411715
2024-11-15,125.4,126.0,123.36,124.4,6171122952
2024-11-19,124.1,124.8,123.0,123.8,6631404223
2024-11-20,124.8,124.8,123.0,123.9,4516861319
2024-11-21,124.8,124.8,123.1,123.61,15820911380
2024-11-22,123.61,124.4,123.6,123.85,10181204246
2024-11-25,124.4,124.4,123.54,123.95,3018076904
2024-11-26,123.95,124.25,123.1,123.55,7850800343
2024-11-27,123.0,123.8,123.0,123.6,489946894
2024-11-28,123.98,123.98,122.98,123.2,5795063273
2024-11-29,123.78,123.78,122.5,123.0,5910129010
2024-12-02,123.26,123.26,122.51,123.1,6505497859
2024-12-03,122.91,123.99,122.8,123.1,4809714927
2024-12-04,123.3,123.3,122.05,122.56,5879376765
2024-12-05,122.5,122.83,121.55,122.2,6916677589
2024-12-06,122.4,125.0,122.4,124.67,1753154431
2024-12-09,126.0,126.0,124.25,124.74,1626515052
2024-12-10,124.5,125.69,124.3,124.5,1339128675
2024-12-11,124.6,127.45,124.06,126.5,7313717009
2024-12-12,126.5,127.05,125.5,126.5,6358006249
2024-12-13,126.1,128.69,126.1,128.14,4013409928
2024-12-16,127.35,128.68,127.35,128.4,5954348936
2024-12-17,128.63,128.63,127.0,127.5,1338271871
2024-12-18,126.78,128.5,126.25,128.1,6699329175
2024-12-19,127.6,129.25,126.9,129.0,7915286054
2024-12-20,127.9,129.8,126.81,129.3,5709859760
2024-12-23,130.0,130.47,128.37,129.4,2122999481
