Date,Open,High,Low,Close,Volume
2024-04-30,102.0,102.75,101.5,101.95,9560300639
2024-05-02,102.72,106.5,102.72,105.25,13134984451
2024-05-03,107.4,108.0,105.9,106.0,3796097076
2024-05-06,106.0,107.5,105.05,105.25,11764315358
2024-05-07,106.9,106.95,105.1,105.3,5364580582
2024-05-08,106.89,106.89,105.0,105.8,8003451940
2024-05-09,105.95,107.0,105.9,106.8,29949827867
2024-05-10,108.9,108.9,106.9,107.45,10471726904
2024-05-13,107.5,110.5,107.5,108.3,5547301801
2024-05-14,108.3,110.05,108.3,109.1,14016270469
2024-05-15,109.0,109.0,107.15,108.49,10319179999
2024-05-16,112.9,112.9,108.0,108.68,5431574675
2024-05-17,109.0,110.2,109.0,109.6,7131269494
2024-05-20,110.5,112.25,109.4,109.76,4040236929
2024-05-21,111.0,111.5,108.75,109.0,1747775383
2024-05-22,109.6,110.99,105.0,108.3,3407026900
2024-05-23,108.25,110.0,107.7,108.25,1690395016
2024-05-24,109.0,109.49,107.5,107.9,4324916409
2024-05-27,108.4,109.99,107.0,108.2,94946415
2024-05-28,108.85,108.85,105.0,108.35,5451610760
2024-05-29,109.5,109.5,107.0,108.45,9515868027
2024-05-30,109.99,109.99,107.0,109.0,7565548563
2024-05-31,109.0,109.7,108.5,109.11,2921488661
2024-06-03,109.1,111.0,107.07,109.1,7551237548
2024-06-04,109.0,110.5,106.5,107.6,3783172552
2024-06-05,108.0,108.3,106.05,106.82,3735508215
2024-06-06,108.0,108.0,103.25,104.8,7973463085
2024-06-07,105.4,106.4,103.0,106.19,10503244756
2024-06-10,108.0,108.0,105.2,106.2,6292305760
2024-06-11,106.05,108.25,103.3,107.3,7283380686
2024-06-12,109.5,109.5,107.1,107.9,11743834459
2024-06-13,108.5,109.8,103.7,108.95,10351131309
2024-06-14,109.8,110.0,108.5,109.25,8435132345
2024-06-18,112.0,112.0,108.2,108.65,2065424092
2024-06-19,111.9,111.9,108.7,109.3,4198513409
2024-06-24,111.0,111.0,104.0,109.35,3505431445
2024-06-25,109.9,110.98,104.62,108.95,2286665363
2024-06-26,109.0,110.0,108.1,108.8,1743616999
2024-06-27,109.8,111.5,107.9,108.5,1701823201
2024-06-28,108.5,110.75,108.5,109.2,8673066482
2024-07-01,110.0,110.0,108.01,108.4,6599966098
2024-07-02,108.7,109.7,107.66,108.62,9309668895
2024-07-03,109.88,110.04,108.6,109.4,9527903974
2024-07-04,110.3,110.89,106.6,109.45,8247976328
2024-07-05,110.3,111.0,109.45,110.3,7771489584
2024-07-08,110.4,115.0,110.01,111.0,6123116888
2024-07-10,111.99,114.95,111.0,112.35,6340022329
2024-07-11,112.55,117.1,112.31,112.5,6997075141
2024-07-12,112.55,114.0,112.0,112.95,2187713654
2024-07-15,112.95,114.0,109.51,113.0,3128391142
2024-07-16,113.0,115.0,111.7,113.0,4646103754
2024-07-17,111.01,113.8,111.01,113.1,2852910840
2024-07-18,113.78,115.8,112.25,113.36,3320417789
2024-07-19,114.85,115.49,112.75,113.71,3393071908
2024-07-22,114.1,116.5,112.0,113.46,2022277110
2024-07-23,113.46,115.5,112.4,113.85,6742118643
2024-07-24,114.0,117.75,113.9,114.0,6528360961
2024-07-25,115.8,115.8,113.9,114.09,13530091753
2024-07-26,115.0,115.3,114.5,114.65,12664442405
2024-07-29,115.0,115.95,114.49,115.8,21457547719
2024-07-30,115.8,118.0,115.8,116.25,27418275314
2024-07-31,117.0,117.6,116.3,117.4,9352107290
2024-08-01,117.8,119.0,117.3,117.54,32234726895
2024-08-02,117.9,118.0,117.4,117.78,19120716840
2024-08-05,117.78,120.0,116.05,117.48,6138377032
2024-08-06,117.8,118.5,117.45,117.77,10502538332
2024-08-07,118.5,119.0,117.77,118.02,17967027115
2024-08-08,118.75,118.75,117.7,118.3,18191021119
2024-08-09,119.0,119.0,118.0,118.69,13785472713
2024-08-12,119.0,119.1,118.3,118.7,5108106975
2024-08-13,118.7,119.4,118.7,118.95,5448766739
2024-08-14,119.0,119.3,118.02,119.0,4705783402
2024-08-15,119.3,120.0,119.0,119.58,17721752138
2024-08-16,120.0,121.0,119.58,120.0,15072031827
2024-08-19,121.0,121.0,120.0,120.05,7138756888
2024-08-20,120.3,120.6,119.94,120.28,6998974274
2024-08-21,120.85,120.85,120.28,120.57,5761579839
2024-08-22,121.0,121.0,120.5,120.7,9555526451
2024-08-23,120.9,121.75,120.86,121.08,5991778216
2024-08-26,120.95,122.5,120.65,121.3,2609211586
2024-08-27,121.99,121.99,120.9,121.65,7061648388
2024-08-28,122.0,122.1,121.3,121.45,9193712373
2024-08-29,121.9,121.9,120.6,121.25,11779443726
2024-08-30,122.0,123.0,120.86,122.3,10962886804
2024-09-02,122.5,122.5,121.15,122.15,13630889358
2024-09-03,122.4,123.0,122.15,122.29,5926550586
2024-09-04,122.29,122.8,122.0,122.26,11085957942
2024-09-05,122.3,123.3,122.3,122.6,13004759473
2024-09-06,122.86,123.13,122.0,122.94,5720587872
2024-09-09,122.94,124.23,122.25,123.0,7262866181
2024-09-10,124.0,124.0,123.1,123.4,10458550903
2024-09-11,123.5,123.98,123.0,123.2,9654856517
2024-09-12,123.7,123.7,122.7,123.21,18777786101
2024-09-13,124.0,124.15,123.4,123.75,9860205383
2024-09-16,123.8,124.8,123.35,123.9,7699760052
2024-09-17,123.89,124.57,123.4,123.8,7073623048
2024-09-18,123.5,124.1,123.5,123.79,4336552639
2024-09-19,124.0,124.45,123.81,123.9,12770297260
2024-09-20,124.32,125.1,123.9,124.48,18131189985
2024-09-23,125.0,125.0,124.48,124.65,7342632505
2024-09-24,124.65,128.0,124.6,124.81,7752179054
2024-09-25,125.0,125.27,124.85,125.09,38616599172
2024-09-26,125.09,125.79,125.08,125.25,6622790033
2024-09-27,125.55,126.25,125.3,125.85,15352927723
2024-09-30,126.0,126.45,125.95,126.12,24569667575
2024-10-01,126.12,126.7,126.12,126.19,28159127140
2024-10-02,126.54,126.69,125.8,126.27,18390978712
2024-10-03,126.5,126.9,126.33,126.38,16390542810
2024-10-04,127.0,127.0,126.4,126.83,17935522251
2024-10-07,127.0,127.19,126.74,126.98,24856145337
2024-10-08,127.0,127.35,126.98,127.25,13427040902
2024-10-09,127.3,127.99,127.0,127.34,35022625724
2024-10-10,127.57,128.19,127.5,127.95,21779663801
2024-10-14,128.21,128.27,128.0,128.08,35100522039
2024-10-15,128.0,128.97,128.0,128.1,20949957175
2024-10-16,128.3,128.3,128.08,128.21,11874592501
2024-10-17,128.21,128.45,127.9,128.38,15434302177
2024-10-18,128.5,129.4,128.5,129.19,38327408532
2024-10-21,129.35,130.1,129.12,129.17,25276300398
2024-10-22,129.17,129.85,129.17,129.32,20802472980
2024-10-23,129.82,129.82,128.87,129.49,16031815273
2024-10-24,130.0,130.15,129.5,129.68,27964494522
2024-10-25,130.0,130.64,130.0,130.1,16494383848
2024-10-28,131.47,131.47,130.3,130.4,27441832923
2024-10-29,131.0,131.0,130.4,130.52,27228408331
2024-10-30,130.6,130.8,130.6,130.74,23089164152
2024-10-31,131.4,131.4,130.8,130.95,14006108817
2024-11-01,131.2,132.05,131.11,131.76,17088851017
2024-11-04,131.7,132.39,131.5,131.87,11447158907
2024-11-05,131.92,132.39,131.87,132.12,26229683117
2024-11-06,132.2,133.0,131.75,132.2,3857457147
2024-11-07,132.5,132.5,132.14,132.2,51232753976
2024-11-08,132.6,132.88,132.21,132.65,30264153320
2024-11-11,132.7,133.0,132.65,132.82,30720143174
2024-11-12,133.48,133.48,132.8,132.9,21383020393
2024-11-13,133.0,133.34,132.9,133.04,21728181884
2024-11-14,133.05,133.5,133.05,133.14,20672544789
2024-11-15,133.2,133.9,133.2,133.7,15783486340
2024-11-19,133.5,133.98,133.5,133.79,20660414421
2024-11-20,133.51,133.95,133.51,133.93,21448600236
2024-11-21,134.0,134.1,133.25,134.05,15334970704
2024-11-22,134.5,134.94,134.23,134.44,10412994187
2024-11-25,134.5,134.7,134.45,134.56,14749514000
2024-11-26,134.7,134.78,134.64,134.74,43617466431
2024-11-27,134.7,134.9,134.7,134.85,52733365879
2024-11-28,134.7,134.9,134.7,134.85,0
