Date,Open,High,Low,Close,Volume
2024-08-30,101.0,101.0,100.45,100.55,18553418082
2024-09-02,102.0,102.0,100.1,100.75,27881555599
2024-09-03,101.25,101.5,100.65,100.95,29551923131
2024-09-04,101.39,101.5,100.6,100.8,12519251414
2024-09-05,101.4,102.0,100.9,101.11,22444279661
2024-09-06,101.59,101.85,101.32,101.68,3580650367
2024-09-09,101.99,102.1,101.4,101.6,2743070634
2024-09-10,102.2,102.51,101.68,101.79,9508298373
2024-09-11,102.29,102.7,101.2,101.55,10821908384
2024-09-12,102.16,102.6,101.27,101.3,10086465062
2024-09-13,101.6,102.21,101.38,101.41,1200114479
2024-09-16,102.2,102.4,101.42,101.7,8336850740
2024-09-17,102.38,102.38,101.11,101.15,4101055634
2024-09-18,101.93,101.94,100.35,101.75,1632915802
2024-09-19,101.62,102.4,100.28,102.2,6618027113
2024-09-20,102.19,103.0,102.19,102.6,3924962716
2024-09-23,102.6,103.64,102.6,103.1,1861855337
2024-09-24,103.57,105.0,102.62,103.0,3129080082
2024-09-25,103.81,103.82,103.0,103.15,998665240
2024-09-26,103.15,103.58,103.08,103.24,4499772891
2024-09-27,103.47,103.79,103.29,103.65,7329876323
2024-09-30,103.64,104.47,103.64,104.1,17428982415
2024-10-01,104.78,106.5,103.94,105.75,11934993849
2024-10-02,106.19,107.0,105.07,105.4,16804472404
2024-10-03,105.4,106.0,105.0,105.41,11566857480
2024-10-04,105.85,105.97,105.41,105.75,2072671674
2024-10-07,106.17,106.17,105.1,105.85,4159543195
2024-10-08,106.2,106.25,105.45,105.7,8123006680
2024-10-09,106.05,107.0,105.28,106.35,2985207904
2024-10-10,107.0,107.5,106.25,107.39,6199806843
2024-10-14,107.8,109.0,107.45,108.05,6031072911
2024-10-15,108.6,108.6,107.5,107.85,1831140829
2024-10-16,108.29,108.5,107.25,107.95,3710787217
2024-10-17,107.95,108.6,107.95,108.45,3413445951
2024-10-18,108.99,109.59,108.65,109.1,1050645998
2024-10-21,109.37,110.1,109.04,109.85,1200412524
2024-10-22,110.35,110.9,109.86,110.5,9491512967
2024-10-23,111.0,111.38,109.75,110.5,982134976
2024-10-24,111.05,111.05,110.51,110.8,3979951799
2024-10-25,111.19,112.5,110.7,112.1,9098763377
2024-10-28,112.08,114.5,111.81,113.4,3959547645
2024-10-29,114.0,114.95,113.8,114.9,1984256077
2024-10-30,115.15,115.15,113.45,113.95,2035994786
2024-10-31,115.65,115.65,113.72,114.11,15012496325
2024-11-01,115.1,117.15,115.0,116.5,4514271149
2024-11-04,116.3,117.79,116.3,116.55,6637043573
2024-11-05,116.8,117.05,115.38,116.4,3961219951
2024-11-06,117.0,117.0,116.01,116.95,372436896
