Date,Open,High,Low,Close,Volume
2024-12-24,103.5,103.5,103.5,103.0,56030
2024-12-26,104.0,106.1,104.0,106.0,10342760
2024-12-27,106.0,124.0,105.44,106.0,21813345
2024-12-30,107.0,116.0,103.75,108.0,43120282
2025-01-02,110.0,118.0,108.75,114.0,41387556
2025-01-03,115.0,121.0,113.0,114.0,51332336
2025-01-06,115.0,119.0,112.0,113.5,18072713
2025-01-07,114.0,117.0,107.0,112.0,279651281
2025-01-08,110.0,112.89,107.47,111.98,11144926
2025-01-09,111.9,111.9,109.5,111.05,11693501
2025-01-10,112.0,112.0,109.5,109.51,268907576
2025-01-13,109.51,110.2,107.47,109.0,20932196
2025-01-14,109.0,116.8,107.47,114.9,43673039
2025-01-15,114.7,116.3,107.47,111.0,1035799013
2025-01-16,114.0,114.0,106.98,108.1,2401080118
2025-01-17,107.0,109.1,107.0,108.0,3927559617
2025-01-20,107.7,109.49,107.7,108.35,2882037769
2025-01-21,108.35,109.85,108.1,108.45,3886693210
2025-01-22,108.45,109.8,108.0,108.8,3049550437
2025-01-23,110.0,110.0,108.26,108.95,843127904
2025-01-24,110.1,114.2,108.38,110.0,3663536417
2025-01-27,111.75,111.75,108.6,110.15,1314386167
2025-01-28,110.15,111.49,109.44,110.45,192537755
2025-01-29,112.25,112.25,109.46,109.7,728070178
2025-01-30,109.14,111.38,109.14,109.95,1091734979
2025-01-31,112.0,112.0,109.75,109.85,5133417158
2025-02-03,109.8,111.44,109.15,109.75,146413223
2025-02-04,109.75,111.0,109.7,109.8,371702872
2025-02-05,109.8,110.7,109.0,109.8,1013543514
2025-02-06,110.25,110.25,109.68,109.9,92790389
2025-02-07,109.9,110.7,109.63,110.24,5407718374
2025-02-10,110.74,110.74,109.5,109.78,2156462572
2025-02-11,109.83,110.64,109.7,109.84,927150373
2025-02-12,109.23,110.54,109.17,109.5,284651662
2025-02-13,109.66,110.98,109.66,110.1,567225746
2025-02-14,110.7,111.25,109.8,111.15,1942112241
2025-02-17,110.76,112.2,110.43,110.75,1652810679
2025-02-18,110.45,111.55,110.45,111.19,2942478449
2025-02-19,110.66,111.9,110.66,110.94,3366310320
2025-02-20,111.66,111.77,110.49,110.7,218501784
2025-02-21,111.0,111.29,110.26,110.76,57573199
2025-02-24,111.0,111.13,110.41,110.6,49384256
2025-02-25,110.95,110.95,109.88,110.0,383831626
