Date,Open,High,Low,Close,Volume
2021-03-26,9.9,9.9,9.9,9.9,100
2021-03-30,9.862,9.862,9.862,9.862,200
2021-04-01,9.862,9.862,9.862,9.862,100
2021-04-06,9.9,9.95,9.9,9.95,10100
2021-04-07,9.687,9.687,9.687,9.687,100
2021-04-08,9.771,9.8,9.771,9.8,11100
2021-04-09,9.9,9.96,9.77,9.88,100900
2021-04-12,9.887,9.9,9.85,9.9,13500
2021-04-13,9.97,9.97,9.97,9.97,400
2021-04-14,9.99,10.0,9.87,9.87,25100
2021-04-15,9.87,9.87,9.87,9.87,400
2021-04-22,9.8,9.8,9.8,9.8,5600
2021-04-27,9.8,9.8,9.79,9.79,2400
2021-04-28,9.79,9.8,9.76,9.8,15900
2021-04-29,9.8,9.84,9.78,9.84,33700
2021-04-30,9.78,9.98,9.78,9.85,38600
2021-05-03,9.83,9.9,9.83,9.9,6000
2021-05-04,9.82,9.83,9.76,9.76,5600
2021-05-05,9.76,9.82,9.76,9.81,3900
2021-05-06,9.81,9.94,9.8,9.84,252100
2021-05-07,9.8,9.95,9.75,9.82,21200
2021-05-10,9.83,9.84,9.82,9.83,8000
2021-05-11,9.83,9.95,9.81,9.86,1200
2021-05-12,9.86,9.9,9.83,9.85,123200
2021-05-13,9.82,9.82,9.82,9.82,400
2021-05-14,9.79,9.8,9.79,9.8,2800
2021-05-17,9.745,9.8,9.745,9.8,5200
2021-05-18,9.75,9.75,9.75,9.75,9000
2021-05-19,9.67,9.67,9.67,9.67,88800
2021-05-20,9.76,9.76,9.76,9.76,600
2021-05-21,9.62,9.79,9.62,9.79,1700
2021-05-26,9.743,9.79,9.7,9.7,1000
2021-05-27,9.655,9.69,9.615,9.68,19400
2021-05-28,9.63,9.67,9.6,9.67,2600
2021-06-01,9.64,9.68,9.64,9.68,3100
2021-06-02,9.62,9.675,9.61,9.65,102300
2021-06-03,9.67,9.69,9.65,9.69,23100
2021-06-04,9.73,9.74,9.73,9.74,210800
2021-06-08,9.73,9.73,9.69,9.72,4800
2021-06-09,9.715,9.74,9.69,9.74,2600
2021-06-11,9.67,9.68,9.67,9.67,11700
2021-06-14,9.68,9.72,9.658,9.72,26700
2021-06-15,9.7,9.7,9.68,9.68,700
2021-06-16,9.68,9.7,9.68,9.7,9800
2021-06-17,9.7,9.72,9.69,9.72,3000
2021-06-18,9.71,9.72,9.71,9.72,2400
2021-06-21,9.7,9.7,9.7,9.7,200
2021-06-22,9.71,9.94,9.71,9.94,54000
2021-06-25,9.78,9.79,9.71,9.71,41400
2021-06-28,9.815,9.88,9.79,9.81,27900
2021-06-30,9.871,9.871,9.871,9.871,100
2021-07-01,9.9,9.9,9.71,9.71,11000
2021-07-02,9.78,9.78,9.715,9.715,3300
2021-07-06,9.87,9.89,9.85,9.86,2927400
2021-07-07,9.89,9.89,9.85,9.86,364000
2021-07-08,9.87,9.88,9.85,9.85,188700
2021-07-09,9.88,9.88,9.84,9.86,130500
2021-07-12,9.86,9.87,9.85,9.87,75300
2021-07-13,9.87,9.87,9.84,9.84,142400
2021-07-14,9.83,9.86,9.83,9.85,86800
2021-07-15,9.86,9.86,9.85,9.855,15600
2021-07-16,9.85,9.87,9.85,9.86,24700
2021-07-19,9.83,9.85,9.77,9.8,305600
2021-07-20,9.82,9.88,9.8,9.86,396600
