Date,Open,High,Low,Close,Volume
2022-06-06,537.0,541.0,533.0,534.0,453
2022-06-07,544.0,573.0,543.5,563.5,229585
2022-06-08,582.0,585.5,574.0,580.0,68383
2022-06-09,560.5,570.5,543.0,564.0,17824
2022-06-10,533.0,547.5,521.0,541.5,1006
2022-06-13,515.0,528.5,514.0,526.5,316
2022-06-14,542.0,544.0,527.5,528.0,490
2022-06-15,547.0,575.0,540.0,564.5,1557
2022-06-16,535.0,535.5,516.0,524.5,12819
2022-06-21,554.5,568.0,549.0,550.0,711
2022-06-22,547.5,549.0,532.0,532.0,364
2022-06-23,549.0,580.0,548.0,580.0,7255
2022-06-24,591.5,595.0,579.0,591.5,779
2022-06-27,581.5,581.5,559.5,571.5,2019
2022-06-28,589.0,597.5,549.5,559.5,664
2022-06-29,555.0,557.5,533.5,536.0,152
2022-06-30,526.0,537.5,519.0,533.0,342
2022-07-01,555.0,558.0,528.0,538.5,693
2022-07-04,565.0,580.0,565.0,579.0,120
2022-07-05,585.0,647.5,585.0,647.0,1814
2022-07-06,650.0,650.0,621.5,646.5,207
2022-07-07,650.0,703.5,650.0,701.5,1075
2022-07-08,703.0,738.0,703.0,737.5,862
2022-07-11,738.0,738.0,661.0,683.5,542
2022-07-12,669.5,681.0,658.0,658.0,251
2022-07-13,651.5,658.5,632.0,645.0,83
2022-07-14,618.0,638.0,618.0,631.5,152
2022-07-15,632.0,653.0,628.5,652.0,764
2022-07-18,665.0,681.0,660.0,661.5,541
2022-07-19,685.5,729.5,685.5,728.0,2779
2022-07-20,725.0,770.0,725.0,760.5,7178
2022-07-21,799.5,892.0,799.5,875.0,28423
2022-07-22,846.5,846.5,770.0,791.0,1493
2022-07-25,770.0,779.5,750.0,779.5,655
2022-07-26,744.5,756.5,735.0,751.0,259
2022-07-27,765.0,798.0,765.0,793.0,484
2022-07-28,793.0,793.0,727.5,750.0,2405
2022-07-29,773.0,773.0,676.5,691.5,800
2022-08-01,688.0,688.0,662.0,681.5,1733
2022-08-02,689.0,720.5,680.5,720.0,551
2022-08-03,748.5,766.0,740.0,759.0,5347
2022-08-04,761.5,806.0,746.5,792.5,635
2022-08-05,798.0,821.0,773.0,780.0,9386
2022-08-08,786.5,786.5,741.0,763.0,2890
2022-08-09,756.0,756.0,735.5,753.0,193
2022-08-10,773.5,786.0,773.5,782.0,325
2022-08-11,826.5,832.0,791.5,798.0,705
2022-08-12,780.0,797.5,778.0,797.5,616
2022-08-16,740.0,740.0,670.0,688.5,38358
2022-08-17,665.5,665.5,618.5,646.0,31709
2022-08-18,630.0,641.0,616.0,639.5,20008
2022-08-19,630.5,644.5,619.0,641.5,14387
2022-08-22,615.0,617.0,599.0,601.5,7429
2022-08-23,591.5,604.0,574.5,595.5,5354
2022-08-24,621.0,630.0,604.0,610.5,6764
2022-08-25,615.5,634.0,614.5,623.5,9290
2022-08-26,623.5,623.5,579.0,587.5,5048
2022-08-29,583.0,585.0,563.0,566.0,5583
2022-08-30,563.5,581.5,558.0,575.0,1393
2022-08-31,595.5,598.0,567.5,577.0,630
2022-09-01,557.5,561.0,541.5,556.5,911
2022-09-02,557.5,561.0,541.5,556.5,0
2022-09-05,584.0,591.0,575.0,590.0,587
2022-09-06,525.0,525.0,505.5,523.5,3987
2022-09-07,523.5,523.5,508.0,521.0,1912
2022-09-08,520.5,531.5,512.5,530.5,612
2022-09-09,560.0,565.5,553.5,555.0,2774
2022-09-12,565.0,587.0,560.0,584.5,4506
2022-09-13,584.0,584.0,546.5,549.5,1355
2022-09-14,540.0,560.0,535.0,560.0,534
2022-09-15,556.0,566.5,542.0,557.0,2910
2022-09-16,542.0,560.0,539.5,560.0,1599
2022-09-19,546.5,570.0,543.5,570.0,1022
2022-09-20,565.5,565.5,537.0,542.0,1605
2022-09-21,535.0,564.5,535.0,541.0,1174
2022-09-22,536.5,547.0,526.0,546.0,1732
2022-09-23,533.0,533.0,510.0,527.5,1784
2022-09-26,529.5,533.0,516.5,525.5,513
2022-09-27,547.0,547.0,511.5,522.0,3437
2022-09-28,518.0,560.0,518.0,536.0,364
2022-09-29,519.0,527.5,510.0,516.5,2695
2022-09-30,519.0,549.0,519.0,542.5,2845
2022-10-03,530.0,539.5,511.5,534.5,495
2022-10-04,542.5,589.0,542.5,581.0,10136
2022-10-05,565.5,592.0,562.0,589.0,727
2022-10-06,595.0,600.0,582.0,596.0,518
2022-10-11,551.0,564.5,539.5,545.0,896
2022-10-12,553.5,558.0,532.5,557.5,211
2022-10-13,515.0,540.0,500.0,537.5,2365
2022-10-14,528.0,530.5,492.5,493.0,1729
2022-10-17,520.0,534.0,508.0,511.0,1041
2022-10-18,529.0,529.0,503.5,513.5,614
2022-10-19,475.5,479.5,445.0,448.0,4267
