Date,Open,High,Low,Close,Volume
2019-01-02,127.4,127.44,124.8,125.32,6902575
2019-01-03,126.36,128.64,126.2,128.48,3524100
2019-01-04,126.6,126.8,123.68,124.04,3352875
2019-01-07,123.8,124.4,122.32,123.2,1686050
2019-01-08,121.88,123.28,121.68,122.04,1378975
2019-01-09,121.56,122.24,120.92,121.48,1628175
2019-01-10,122.24,122.6,120.84,120.96,2298950
2019-01-11,121.52,121.88,120.96,121.0,1115100
2019-01-14,122.0,122.2,121.32,121.76,995400
2019-01-15,121.56,121.56,120.16,120.4,1467700
2019-01-16,120.08,120.2,119.6,120.08,1123950
2019-01-17,120.6,120.6,118.76,119.16,1461900
2019-01-18,118.32,118.72,117.4,117.64,1882500
2019-01-22,118.4,120.04,118.28,119.24,2476475
2019-01-23,118.72,120.24,118.4,119.08,1224675
2019-01-24,119.12,119.64,118.68,118.92,1030650
2019-01-25,118.04,118.28,117.56,118.0,1199875
2019-01-28,119.04,119.76,118.88,118.96,835075
2019-01-29,118.8,119.48,118.56,119.12,629275
2019-01-30,118.32,118.68,116.76,117.2,1734100
2019-01-31,117.24,117.36,116.0,116.28,1396750
2019-02-01,116.16,116.52,115.68,116.2,1151425
2019-02-04,116.12,116.48,115.28,115.28,6047100
2019-02-05,115.12,115.4,114.76,114.88,1252150
2019-02-06,115.0,115.4,114.8,115.04,753575
2019-02-07,115.88,116.96,115.6,116.2,1823100
2019-02-08,116.84,117.2,116.04,116.08,1190400
2019-02-11,115.8,116.28,115.64,115.96,989000
2019-02-12,115.28,115.32,114.36,114.48,1082425
2019-02-13,114.12,114.36,113.76,114.24,1232050
2019-02-14,114.76,115.08,113.92,114.48,796000
2019-02-15,113.64,113.76,113.24,113.24,1083075
2019-02-19,113.56,113.64,112.72,113.04,1258700
2019-02-20,113.04,113.32,112.64,112.84,695800
2019-02-21,113.16,113.68,113.0,113.24,797550
2019-02-22,113.04,113.12,112.52,112.64,839800
2019-02-25,112.0,112.48,111.72,112.4,1127125
2019-02-26,112.64,112.72,112.2,112.56,1041725
2019-02-27,112.88,113.32,112.48,112.6,832375
2019-02-28,112.8,113.0,112.52,112.88,587300
2019-03-01,112.12,112.8,111.96,112.12,1137275
2019-03-04,111.68,113.6,111.56,112.56,1153050
2019-03-05,112.56,113.0,112.44,112.68,643950
2019-03-06,112.68,113.6,112.68,113.48,1147625
2019-03-07,113.68,114.8,113.64,114.44,2250450
2019-03-08,115.28,115.56,114.6,114.64,1389300
2019-03-11,114.32,114.36,112.92,112.96,1528200
2019-03-12,112.8,112.88,112.36,112.64,955300
2019-03-13,112.2,112.28,111.44,111.84,1646500
2019-03-14,111.92,112.16,111.68,111.92,549100
2019-03-15,111.72,111.84,111.08,111.44,1112525
2019-03-18,111.36,111.48,110.92,111.04,702525
2019-03-19,110.6,111.4,110.24,111.0,1016350
2019-03-20,110.68,111.44,110.24,111.04,1457725
