Date,Open,High,Low,Close,Volume
2021-03-08,1652.0,1668.5,1558.0,1566.0,203
2021-03-09,1580.0,1657.5,1554.5,1646.0,3347
2021-03-10,1648.0,1660.0,1537.0,1555.0,2209
2021-03-11,1562.0,1690.5,1550.0,1620.0,5281
2021-03-12,1613.0,1639.0,1550.0,1605.5,3187
2021-03-15,1615.0,1644.5,1585.0,1642.5,3351
2021-03-16,1676.0,1682.5,1583.0,1612.5,1950
2021-03-17,1605.0,1680.0,1532.5,1667.0,1312
2021-03-18,1628.0,1638.0,1585.0,1588.5,2750
2021-03-19,1600.0,1618.5,1540.0,1583.0,2216
2021-03-22,1595.0,1634.0,1586.0,1630.0,2621
2021-03-23,1647.5,1660.0,1600.0,1626.0,3510
2021-03-25,1572.0,1600.0,1446.0,1475.5,5942
2021-03-26,1492.0,1505.0,1381.5,1452.0,10330
2021-03-29,1470.0,1470.0,1370.0,1405.5,3072
2021-03-30,1417.5,1524.0,1405.5,1477.5,1932
2021-03-31,1485.5,1555.0,1485.5,1549.0,2236
2021-04-05,1622.0,1649.0,1580.0,1603.0,2707
2021-04-06,1615.0,1659.0,1596.5,1638.0,5111
2021-04-07,1647.5,1697.0,1625.0,1655.0,7427
2021-04-08,1685.0,1755.0,1678.0,1741.5,3663
2021-04-09,1737.0,1757.0,1697.5,1741.5,2374
2021-04-12,1726.5,1726.5,1690.0,1705.5,2062
2021-04-13,1738.0,1778.0,1722.0,1763.0,2523
2021-04-14,1771.0,1771.0,1657.0,1676.0,7824
2021-04-15,1686.0,1732.0,1686.0,1710.0,2752
2021-04-16,1689.5,1740.0,1689.5,1707.5,4236
2021-04-19,1716.5,1716.5,1620.0,1625.0,3907
2021-04-20,1625.0,1630.0,1573.5,1610.5,1318
2021-04-21,1612.0,1650.5,1612.0,1630.5,3010
2021-04-22,1638.5,1640.0,1574.0,1599.0,3324
2021-04-23,1587.0,1605.0,1562.0,1595.5,2284
