Date,Open,High,Low,Close,Volume
2024-03-19,3887.5,4056.0,3704.5,3890.0,484
2024-03-20,3878.5,4050.0,3835.0,3939.5,1012
2024-03-21,3973.5,4194.5,3756.0,3820.0,248
2024-03-22,4158.53,4183.0,4142.0,4179.0,227
2024-03-25,4250.0,4250.0,4050.0,4159.0,360
2024-03-26,4159.0,4159.0,4000.0,4050.0,208
2024-03-27,4000.0,4100.0,4000.0,4100.0,22
2024-04-03,4200.0,4400.0,4200.0,4400.0,484
2024-04-04,4250.0,4300.0,4080.66,4300.0,416
2024-04-05,3819.5,4030.0,3770.0,3863.0,2933
2024-04-08,3900.0,3978.0,3770.0,3850.0,267
2024-04-09,3800.0,3923.0,3690.0,3690.0,22
2024-04-10,3700.0,3920.0,3610.0,3920.0,2897
2024-04-11,3950.0,3966.0,3705.5,3966.0,298
2024-04-12,3864.37,3864.37,3700.0,3765.5,17
2024-04-15,3760.0,3823.5,3625.0,3630.0,85
2024-04-16,3630.0,3630.0,3530.0,3550.0,86
2024-04-17,3538.33,3600.0,3510.0,3600.0,199
2024-04-18,3455.0,3480.0,3455.0,3480.0,9
2024-04-19,3425.0,3560.0,3400.0,3450.0,70
2024-04-22,3400.0,3500.0,3400.0,3500.0,28
2024-04-23,3400.0,3550.0,3400.0,3550.0,26
2024-04-24,3600.0,3799.0,3550.0,3550.0,215
2024-04-25,3430.0,3450.0,3425.0,3425.0,29
2024-04-26,3540.0,3540.0,3470.0,3470.0,8
2024-04-29,3727.0,3999.0,3727.0,3999.0,273
2024-04-30,3999.0,3999.0,3735.0,3800.0,43
2024-05-02,3950.0,3990.0,3450.0,3650.0,102
2024-05-03,3646.4,3800.0,3461.0,3800.0,79
2024-05-06,3450.0,4017.0,3450.0,4017.0,3306
2024-05-07,4015.0,4015.0,3800.0,3800.0,38
2024-05-08,3500.0,3500.0,3300.0,3350.0,2253
2024-05-09,3080.0,3300.0,3080.0,3300.0,186
2024-05-10,2500.5,2796.5,2500.0,2700.0,1251
2024-05-13,2600.0,2600.0,2525.0,2580.0,13682
2024-05-14,2580.0,2700.0,2450.0,2494.0,8663
2024-05-15,2505.0,2600.0,2416.0,2528.0,229
2024-05-16,2430.5,2538.0,2420.0,2531.0,1012
2024-05-17,2535.0,2562.5,2401.0,2550.0,2336
2024-05-20,2500.0,2568.0,2307.5,2525.0,2235
2024-05-21,2500.0,2793.0,2500.0,2769.0,1757
2024-05-22,2800.0,3100.0,2769.0,2949.0,2849
2024-05-23,3100.0,3120.0,2948.0,3030.0,756
2024-05-24,3021.0,3050.0,2800.5,2998.0,272
2024-05-27,2998.0,3130.0,2850.0,2995.0,483
2024-05-28,2949.5,2949.5,2652.0,2850.0,654
2024-05-29,2750.0,2850.0,2700.0,2700.0,199
2024-05-30,2700.0,2700.0,2500.0,2570.0,281
2024-05-31,2585.0,2730.0,2585.0,2730.0,126
2024-06-03,2730.0,2900.0,2730.0,2753.5,170
2024-06-04,2753.5,2998.0,2753.5,2870.0,517
2024-06-05,2870.0,3000.0,2849.0,2998.0,287
2024-06-06,2998.0,2998.0,2772.0,2950.0,225
2024-06-07,2950.0,2950.0,2940.0,2930.0,7
2024-06-10,2927.0,2950.0,2800.0,2900.0,146
2024-06-11,2900.0,2900.0,2800.0,2851.0,89
2024-06-12,2860.0,3290.0,2860.0,3259.0,1426
2024-06-13,3240.0,3349.5,2900.0,3290.0,1736
2024-06-14,3105.0,3190.0,2958.5,3140.0,402
2024-06-18,2995.0,2995.0,2950.5,2995.0,226
2024-06-19,2980.0,2980.0,2700.0,2832.0,1938
2024-06-24,2825.0,2880.0,2700.0,2700.0,751
2024-06-25,2700.0,2834.0,2495.0,2516.5,3210
2024-06-26,2495.0,2595.0,2320.0,2594.5,1139
2024-06-27,2595.0,2680.0,2322.0,2415.0,2893
2024-06-28,2415.0,2415.0,1905.0,1950.0,14763
2024-07-01,1950.0,2055.0,1900.0,2055.0,4072
2024-07-02,2115.0,2180.0,2010.0,2050.0,1654
2024-07-03,1799.0,1974.0,1000.0,1700.0,37620
2024-07-04,980.0,1795.0,980.0,1650.0,6914
2024-07-05,1500.0,1530.0,1353.0,1470.0,27503
2024-07-08,985.0,1560.0,933.5,1374.0,23075
2024-07-10,1300.0,1360.0,1160.0,1255.0,12486
2024-07-11,1245.0,1300.0,1170.0,1225.0,6451
2024-07-12,1225.0,1280.0,1150.0,1160.0,16320
