Date,Open,High,Low,Close,Volume
2022-07-25,2808.0,2842.5,2808.0,2842.5,91
2022-07-26,2757.0,2757.0,2721.0,2754.0,88
2022-07-27,2808.0,2915.0,2800.0,2915.0,98
2022-07-28,2840.0,2878.0,2762.5,2875.0,333
2022-07-29,2952.5,2952.5,2661.5,2708.5,150
2022-08-01,2657.5,2657.5,2500.0,2575.0,645
2022-08-02,2624.0,2725.0,2624.0,2700.0,64
2022-08-03,2890.0,2890.0,2755.0,2790.0,10296
2022-08-04,2892.0,3020.0,2806.0,3011.0,1702
2022-08-05,3052.0,3052.0,2935.0,2938.0,634
2022-08-08,2900.0,2985.5,2900.0,2985.5,18
2022-08-09,2936.5,2936.5,2864.5,2864.5,65
2022-08-10,3007.0,3030.0,2999.0,3010.0,68
2022-08-11,3071.0,3071.0,2898.5,2912.0,260
2022-08-12,3000.0,3085.0,3000.0,3066.0,36
2022-08-16,2896.5,2951.5,2892.5,2942.0,87
2022-08-17,2880.5,2880.5,2790.0,2810.5,143
2022-08-18,2810.0,2810.0,2800.0,2803.5,30
2022-08-19,2795.5,2873.5,2790.5,2858.0,29
2022-08-22,2791.0,2791.0,2755.0,2755.0,56
2022-08-23,2839.5,2839.5,2756.0,2758.5,45
2022-08-24,2879.5,2879.5,2820.0,2849.5,19
2022-08-25,2950.0,2950.0,2876.5,2931.0,51
2022-08-26,2931.0,2931.0,2683.5,2683.5,34
2022-08-29,2680.0,2680.0,2676.5,2676.5,13
2022-08-30,2692.0,2692.0,2692.0,2692.0,1860
2022-08-31,2722.0,2722.0,2670.5,2716.5,48
2022-09-01,2490.0,2544.0,2460.0,2542.5,51
2022-09-02,2490.0,2544.0,2460.0,2542.5,0
2022-09-05,2542.5,2542.5,2542.5,2542.5,2
2022-09-06,2418.5,2424.0,2350.0,2380.5,619
2022-09-07,2354.0,2473.5,2354.0,2473.5,277
2022-09-08,2495.0,2635.0,2495.0,2629.5,380
2022-09-09,2640.0,2675.0,2640.0,2675.0,43
2022-09-12,2706.0,2727.0,2673.0,2727.0,440
2022-09-13,2542.5,2558.0,2524.5,2524.5,24
2022-09-14,2511.0,2525.0,2480.0,2511.5,86
2022-09-15,2593.0,2593.0,2492.0,2496.5,79
2022-09-16,2497.5,2497.5,2429.5,2429.5,20
2022-09-19,2429.0,2465.0,2380.0,2465.0,3561
2022-09-20,2435.0,2435.0,2420.0,2420.0,31
2022-09-21,2448.5,2505.0,2446.5,2446.5,3812
2022-09-22,2357.0,2405.0,2350.0,2405.0,4276
2022-09-23,2272.0,2325.0,2247.0,2286.5,176
2022-09-26,2335.5,2335.5,2242.5,2287.0,27
2022-09-27,2326.5,2326.5,2240.0,2295.5,10
2022-09-28,2415.5,2430.0,2363.5,2430.0,13
2022-09-29,2231.0,2293.5,2220.5,2267.5,2972
2022-09-30,2363.0,2440.0,2349.0,2362.0,225
2022-10-03,2328.0,2373.5,2318.0,2373.5,2315
2022-10-04,2467.0,2495.5,2465.0,2474.0,8
2022-10-05,2375.0,2468.0,2375.0,2468.0,71
2022-10-06,2286.5,2292.5,2247.0,2264.5,509
2022-10-11,2007.0,2037.5,1975.0,2019.0,6284
2022-10-12,1973.0,2078.5,1954.5,2044.0,94
2022-10-13,1975.0,2209.5,1970.0,2151.0,180
2022-10-14,2132.5,2132.5,2082.5,2110.0,116
2022-10-17,2190.0,2222.5,2155.5,2173.0,210
2022-10-18,1875.0,1891.5,1654.5,1665.5,12493
2022-10-19,1643.5,1680.5,1621.0,1637.0,2549
2022-10-20,1693.0,1755.0,1639.0,1667.5,192
2022-10-21,1646.5,1650.0,1580.0,1636.0,3484
2022-10-24,1613.0,1680.5,1608.0,1676.5,653
2022-10-25,1677.0,1880.0,1677.0,1871.0,1337
2022-10-26,1857.5,1914.0,1762.5,1766.0,3138
2022-10-27,1774.5,1814.0,1756.5,1759.5,371
2022-10-28,1772.5,1805.0,1745.5,1797.0,392
2022-10-31,1773.0,1789.5,1724.5,1731.0,69
2022-11-01,1751.0,1756.5,1676.5,1690.0,5563
2022-11-02,1650.0,1707.5,1571.0,1571.0,177
2022-11-03,1552.0,1579.0,1546.5,1565.0,49
