Date,Open,High,Low,Close,Volume
2019-01-02,35.490002,37.75,35.34,37.200001,15926100
2019-01-03,37.310001,38.59,36.860001,37.599998,20007900
2019-01-04,38.299999,39.23,38.029999,39.09,19506600
2019-01-07,39.209999,40.470001,38.950001,40.169998,15736900
2019-01-08,40.77,41.0,40.23,40.669998,13070200
2019-01-09,41.259998,41.619999,40.740002,41.240002,17909200
2019-01-10,40.93,41.84,40.75,41.650002,13299600
2019-01-11,41.110001,41.77,40.689999,41.740002,13330500
2019-01-14,41.099998,41.57,40.990002,41.32,11804200
2019-01-15,41.84,42.200001,41.43,41.720001,9398400
2019-01-16,41.5,41.740002,41.200001,41.25,12481600
2019-01-17,40.889999,41.740002,40.529999,41.369999,13889800
2019-01-18,43.849998,44.939999,43.0,44.73,26638600
2019-01-22,43.889999,44.27,43.32,43.959999,21523500
2019-01-23,44.060001,44.189999,42.709999,43.310001,13765800
2019-01-24,43.490002,44.380001,43.189999,43.560001,10990900
2019-01-25,44.0,45.049999,43.98,45.0,15921400
2019-01-28,44.27,44.549999,43.77,44.240002,11225300
2019-01-29,44.68,44.84,43.84,44.0,8097500
2019-01-30,44.169998,45.049999,43.939999,45.0,7961500
2019-01-31,45.0,45.009998,43.73,44.209999,15458100
2019-02-01,44.400002,44.970001,44.200001,44.560001,8583700
2019-02-04,44.220001,44.650002,43.880001,44.599998,12786700
2019-02-05,44.599998,45.27,44.389999,45.139999,10662700
2019-02-06,44.970001,45.220001,44.779999,45.07,6945800
2019-02-07,44.689999,44.869999,42.900002,43.459999,12647300
2019-02-08,43.32,43.5,42.23,42.779999,9173500
2019-02-11,42.48,43.740002,42.459999,43.689999,9541800
2019-02-12,43.860001,44.360001,43.740002,44.060001,8981100
2019-02-13,44.169998,45.130001,44.07,44.419998,11036100
2019-02-14,44.279999,44.52,44.119999,44.139999,9671200
2019-02-15,44.630001,45.099998,44.470001,44.950001,8174900
2019-02-19,44.52,45.799999,44.439999,45.540001,10039200
2019-02-20,45.349998,46.349998,45.349998,45.900002,8565600
2019-02-21,45.860001,45.950001,44.599998,44.720001,9527400
2019-02-22,45.080002,45.139999,44.189999,44.360001,5716500
2019-02-25,44.330002,45.009998,44.25,44.790001,6033300
2019-02-26,44.799999,45.150002,44.259998,44.310001,5853200
2019-02-27,44.400002,44.779999,44.080002,44.349998,7442700
2019-02-28,44.459999,44.540001,43.419998,44.060001,8846900
2019-03-01,44.220001,45.189999,44.220001,45.189999,8811700
2019-03-04,45.43,45.66,44.57,45.240002,6946300
2019-03-05,45.200001,45.27,44.310001,44.790001,7391100
2019-03-06,44.509998,44.709999,43.200001,43.369999,9948900
2019-03-07,43.419998,43.459999,42.450001,42.490002,8086500
2019-03-08,41.73,41.790001,40.880001,41.290001,12739200
2019-03-11,41.790001,42.32,41.439999,42.080002,9494500
2019-03-12,42.150002,42.919998,42.119999,42.59,8230600
2019-03-13,43.009998,43.299999,42.830002,43.150002,8822800
2019-03-14,43.150002,43.5,43.049999,43.09,7934400
2019-03-15,42.700001,43.16,42.34,42.389999,14144900
2019-03-18,42.700001,43.650002,42.470001,43.360001,13518800
2019-03-19,43.779999,43.990002,43.09,43.25,8834700
2019-03-20,43.23,44.599998,43.080002,44.290001,9512500
2019-03-21,44.110001,44.389999,43.779999,44.220001,6168400
2019-03-22,43.75,43.970001,42.310001,42.470001,7892200
2019-03-25,41.759998,42.549999,41.720001,42.470001,6390000
2019-03-26,42.919998,43.720001,42.77,43.049999,6500500
2019-03-27,43.029999,43.279999,42.389999,42.68,5254400
2019-03-28,42.490002,43.68,42.330002,43.619999,7419800
2019-03-29,44.23,44.349998,43.220001,43.57,7984800
2019-04-01,43.98,44.990002,43.720001,44.759998,9717800
2019-04-02,44.900002,45.450001,44.349998,44.490002,6899400
2019-04-03,44.790001,44.830002,43.389999,43.59,7230600
2019-04-04,43.41,44.110001,43.060001,44.099998,6670900
2019-04-05,44.41,45.540001,44.259998,45.0,9149600
2019-04-08,45.150002,46.240002,45.099998,46.169998,11421400
2019-04-09,45.860001,46.040001,45.220001,45.580002,7577500
2019-04-10,45.799999,46.0,45.400002,45.549999,6148800
2019-04-11,45.549999,45.91,44.91,45.310001,5291400
2019-04-12,46.0,46.450001,45.580002,45.650002,8667000
2019-04-15,45.560001,46.830002,45.25,46.400002,11178400
2019-04-16,46.639999,47.549999,46.610001,47.34,7654400
2019-04-17,47.810001,47.959999,47.130001,47.41,8346300
2019-04-18,48.130001,48.880001,45.509998,45.560001,15721600
2019-04-22,45.639999,46.18,45.209999,45.849998,7901000
2019-04-23,45.669998,46.09,45.27,45.889999,8539400
2019-04-24,45.720001,45.810001,44.240002,44.240002,8941800
2019-04-25,44.150002,44.189999,43.169998,43.299999,9404900
2019-04-26,42.950001,43.470001,42.459999,43.299999,8527500
2019-04-29,43.34,44.369999,43.25,43.43,8927300
2019-04-30,43.860001,43.900002,42.389999,42.68,12163700
2019-05-01,42.630001,42.889999,41.34,41.369999,10523300
2019-05-02,40.98,41.549999,40.669998,41.119999,9108300
2019-05-03,41.560001,41.810001,41.110001,41.279999,7184800
2019-05-06,40.84,41.490002,40.700001,41.240002,6571600
2019-05-07,40.759998,40.759998,39.970001,40.599998,10438900
2019-05-08,40.52,40.599998,39.919998,40.27,9237900
2019-05-09,39.919998,40.450001,39.490002,40.27,12928500
2019-05-10,39.900002,40.119999,38.650002,39.560001,12810800
2019-05-13,38.880001,39.150002,37.630001,38.16,16732200
2019-05-14,38.490002,39.970001,38.360001,39.0,12042900
2019-05-15,38.41,39.439999,38.400002,39.330002,10558400
2019-05-16,39.59,40.009998,39.470001,39.860001,7632500
2019-05-17,39.5,39.75,38.939999,39.02,7252400
2019-05-20,38.830002,39.16,38.66,39.119999,5922600
2019-05-21,39.290001,39.73,38.959999,39.5,6716300
2019-05-22,39.16,39.259998,38.009998,38.34,7429900
2019-05-23,37.529999,37.529999,36.799999,37.490002,12398900
2019-05-24,37.650002,37.900002,36.93,37.0,7665200
2019-05-28,37.099998,37.130001,36.439999,36.5,11869600
2019-05-29,36.0,36.27,35.459999,36.18,10072100
2019-05-30,36.040001,36.279999,35.119999,35.18,11763600
2019-05-31,34.720001,34.939999,34.459999,34.689999,11445600
2019-06-03,34.990002,35.650002,34.830002,35.490002,9878700
2019-06-04,35.509998,35.98,35.16,35.73,8021100
2019-06-05,35.810001,35.849998,34.689999,34.939999,9098900
2019-06-06,34.93,35.57,34.66,35.049999,12356100
2019-06-07,35.41,36.150002,35.209999,35.599998,12881200
2019-06-10,35.810001,36.220001,35.380001,35.470001,12121000
2019-06-11,36.09,37.02,35.799999,36.689999,12121500
2019-06-12,36.799999,36.799999,35.5,35.580002,12258800
2019-06-13,36.18,36.959999,35.919998,36.790001,14336200
2019-06-14,36.669998,36.700001,35.639999,35.93,11571500
2019-06-17,35.77,36.73,35.689999,36.66,7574600
2019-06-18,36.689999,37.380001,36.540001,36.93,10127400
2019-06-19,37.099998,37.130001,36.310001,36.509998,10273200
2019-06-20,37.389999,38.349998,37.279999,38.25,13067900
2019-06-21,38.360001,38.91,38.080002,38.880001,16111400
2019-06-24,38.700001,39.18,38.419998,38.650002,9348100
2019-06-25,38.580002,38.740002,38.099998,38.580002,7969100
2019-06-26,39.029999,39.75,38.759998,39.02,8362900
2019-06-27,39.18,39.349998,38.849998,39.110001,6417500
2019-06-28,39.23,39.779999,39.189999,39.740002,9742700
2019-07-01,40.419998,40.630001,39.259998,39.32,13048500
2019-07-02,39.439999,39.439999,38.630001,39.18,8732500
2019-07-03,39.139999,39.509998,38.900002,39.490002,4954500
2019-07-05,39.200001,39.599998,39.080002,39.57,5885500
2019-07-08,39.43,40.099998,39.279999,39.889999,10899100
2019-07-09,39.779999,40.220001,39.549999,40.200001,8699200
2019-07-10,40.610001,40.889999,40.290001,40.619999,7003300
2019-07-11,40.599998,41.0,40.07,40.970001,9695200
2019-07-12,41.110001,41.400002,40.700001,40.810001,6788100
2019-07-15,40.849998,41.0,40.34,40.470001,6903800
2019-07-16,40.349998,40.759998,39.880001,40.07,9257000
2019-07-17,39.82,40.07,38.549999,38.630001,12523600
2019-07-18,38.189999,38.779999,37.959999,38.779999,13563000
2019-07-19,39.34,39.34,37.290001,38.709999,12811700
2019-07-22,39.119999,39.759998,38.619999,39.490002,10961200
2019-07-23,39.549999,40.169998,39.25,39.75,10610500
2019-07-24,39.639999,40.689999,39.580002,40.330002,10763300
2019-07-25,40.59,40.59,39.560001,39.950001,7701100
2019-07-26,39.900002,40.310001,39.68,40.009998,6731100
2019-07-29,39.990002,40.0,38.650002,39.209999,6549500
2019-07-30,38.990002,39.759998,38.59,39.549999,9256500
2019-07-31,39.669998,40.610001,39.310001,39.970001,10673300
2019-08-01,39.380001,39.450001,38.07,38.509998,13280000
2019-08-02,38.509998,38.73,37.189999,37.419998,8738200
2019-08-05,36.689999,36.799999,35.900002,35.990002,10771600
2019-08-06,36.130001,36.389999,34.709999,35.459999,11639900
2019-08-07,34.619999,35.009998,33.939999,34.740002,12162700
2019-08-08,34.939999,35.23,34.360001,35.209999,10805500
2019-08-09,35.209999,35.290001,34.25,34.529999,7866600
2019-08-12,34.369999,34.529999,34.02,34.27,8030000
2019-08-13,34.099998,35.759998,33.860001,34.630001,11075400
2019-08-14,33.77,33.810001,32.200001,32.34,12761500
2019-08-15,32.099998,32.150002,31.110001,31.65,20155700
2019-08-16,31.639999,32.779999,31.6,32.720001,13561300
2019-08-19,33.529999,34.32,33.439999,34.099998,11073600
2019-08-20,33.810001,34.169998,33.540001,33.900002,7770100
2019-08-21,34.240002,34.43,33.619999,33.689999,6427200
2019-08-22,33.959999,34.369999,33.669998,33.709999,6975600
2019-08-23,33.150002,33.330002,31.9,32.029999,13952100
2019-08-26,32.509998,32.639999,31.34,31.59,11611200
2019-08-27,31.93,32.009998,31.15,31.25,10000600
2019-08-28,31.379999,32.099998,31.030001,31.620001,11557000
2019-08-29,31.969999,32.689999,31.84,32.259998,12614300
2019-08-30,32.5,33.119999,32.130001,32.43,12443800
2019-09-03,31.18,31.860001,31.110001,31.719999,9366900
2019-09-04,32.279999,33.43,31.940001,32.98,11018400
2019-09-05,33.369999,34.799999,33.279999,34.060001,12117900
2019-09-06,33.799999,34.48,33.259998,34.200001,11976700
2019-09-09,34.5,36.459999,34.330002,36.23,13461600
2019-09-10,37.049999,38.389999,36.830002,37.459999,19638200
2019-09-11,37.639999,38.830002,37.080002,37.32,17918600
2019-09-12,36.529999,37.060001,35.5,36.900002,13089500
2019-09-13,37.43,38.080002,36.799999,37.330002,8453300
2019-09-16,40.029999,40.25,38.84,39.310001,22533100
2019-09-17,38.919998,38.970001,37.509998,38.169998,13493400
2019-09-18,37.630001,38.439999,37.540001,38.029999,6949000
2019-09-19,38.5,38.580002,37.639999,37.759998,6234900
2019-09-20,37.880001,38.049999,37.169998,37.299999,17917800
2019-09-23,36.810001,37.5,36.599998,37.330002,5849400
2019-09-24,37.130001,37.220001,35.419998,35.560001,12212700
2019-09-25,35.299999,35.549999,34.830002,35.240002,11344800
2019-09-26,35.0,35.099998,34.290001,34.540001,12359300
2019-09-27,34.259998,34.93,34.110001,34.330002,9969900
2019-09-30,34.150002,34.470001,33.810001,34.169998,9583500
2019-10-01,34.360001,34.57,32.669998,32.700001,12617900
2019-10-02,32.639999,32.75,31.65,31.76,13468900
2019-10-03,31.59,32.310001,31.459999,32.049999,11557200
2019-10-04,32.080002,32.41,31.690001,31.879999,10554400
2019-10-07,32.110001,32.619999,31.790001,31.799999,15854500
2019-10-08,31.49,31.860001,30.65,30.709999,16807100
2019-10-09,30.940001,31.16,30.719999,30.9,12176900
2019-10-10,31.01,31.389999,30.709999,31.07,12784900
2019-10-11,31.5,32.919998,31.27,32.48,12652600
2019-10-14,31.99,32.830002,31.74,32.57,9294400
2019-10-15,32.470001,33.509998,32.360001,32.810001,8943600
2019-10-16,32.799999,33.07,31.950001,31.950001,22004600
2019-10-17,32.220001,32.310001,31.77,31.889999,15730800
2019-10-18,32.189999,33.200001,32.09,32.310001,17218300
2019-10-21,32.220001,33.799999,32.220001,33.59,16441100
2019-10-22,33.759998,35.189999,33.459999,34.82,17598700
2019-10-23,34.57,35.650002,34.220001,35.330002,12862300
2019-10-24,35.400002,35.52,34.279999,35.110001,11551700
2019-10-25,35.0,35.310001,34.59,35.09,12383700
2019-10-28,35.389999,35.560001,34.810001,35.02,12727500
2019-10-29,34.75,35.009998,34.200001,34.790001,10308400
2019-10-30,34.66,34.75,33.0,33.099998,13938600
2019-10-31,33.119999,33.119999,32.349998,32.689999,10076000
2019-11-01,33.049999,34.529999,32.970001,34.439999,11094400
2019-11-04,34.9,36.46,34.78,36.24,14089543
2019-11-05,36.43,37.07,36.42,36.72,15646067
2019-11-06,36.6,36.72,35.33,35.56,10618024
2019-11-07,36.14,36.78,35.82,36.08,8814202
2019-11-08,35.76,36.51,35.02,36.34,8279417
2019-11-11,35.75,36.5,35.31,36.41,8774564
2019-11-12,36.5,37.2,36.03,36.21,11646010
2019-11-13,36.0,36.06,34.98,35.03,9719055
2019-11-14,34.96,35.35,34.5,34.71,14042276
2019-11-15,34.94,35.72,34.93,35.36,8764388
2019-11-18,34.98,35.0,34.14,34.69,11408824
2019-11-19,34.52,34.68,34.04,34.31,10168682
2019-11-20,34.36,36.23,34.14,36.14,15687436
2019-11-21,36.42,36.92,36.04,36.62,11131468
2019-11-22,36.7,37.09,36.24,36.61,7225497
2019-11-25,36.3,37.2,36.03,37.08,7453013
2019-11-26,36.98,37.22,36.22,36.39,9404329
2019-11-27,36.41,36.94,36.13,36.77,6404692
2019-11-29,36.28,36.48,35.92,36.2,5445226
2019-12-02,36.45,37.02,36.33,36.36,8526255
2019-12-03,35.16,35.39,34.52,34.99,10351782
2019-12-04,35.48,36.36,35.28,36.19,9731295
2019-12-05,36.4,36.47,35.56,35.85,6797985
2019-12-06,36.06,37.03,36.01,36.89,8478048
2019-12-09,36.54,37.46,36.54,37.16,8547070
2019-12-10,37.23,37.48,36.71,37.34,9425663
2019-12-11,37.5,38.5,37.48,38.4,14712338
2019-12-12,38.42,39.64,38.33,39.07,13310872
2019-12-13,39.35,39.51,38.55,39.0,11676010
2019-12-16,39.11,39.84,39.11,39.4,11780596
2019-12-17,39.5,39.92,39.3,39.46,9430636
2019-12-18,39.2,40.0,38.97,39.62,9019893
2019-12-19,39.59,39.83,39.48,39.61,6996587
2019-12-20,39.93,39.97,39.18,39.43,13363469
2019-12-23,39.44,40.89,39.43,40.79,9661519
2019-12-24,40.74,40.93,40.35,40.65,3860440
2019-12-26,40.86,40.88,39.93,40.07,7606029
2019-12-27,40.13,40.38,39.83,40.0,6628722
2019-12-30,40.01,40.75,40.0,40.4,8056861
2019-12-31,40.01,40.22,39.53,40.2,10647422
2020-01-02,40.52,40.72,40.08,40.17,8688988
2020-01-03,41.0,41.14,40.0,40.56,9157554
2020-01-06,40.61,41.08,40.19,40.82,15133819
2020-01-07,40.53,40.61,39.73,40.61,10952485
2020-01-08,40.28,40.44,39.31,39.41,11160542
2020-01-09,39.52,40.09,38.73,39.86,12040128
2020-01-10,39.73,40.09,39.51,39.83,8087120
2020-01-13,39.83,39.84,38.97,39.23,11571978
2020-01-14,38.98,39.53,38.39,39.53,13714478
2020-01-15,39.2,39.36,38.14,38.33,12631210
2020-01-16,38.57,38.93,38.35,38.78,11710459
2020-01-17,39.01,39.97,38.18,38.37,17412619
2020-01-21,37.63,37.73,36.89,36.95,16699407
2020-01-22,36.8,36.82,36.23,36.68,12382539
2020-01-23,36.07,36.53,35.57,36.43,11645659
2020-01-24,36.22,36.22,35.35,35.77,10155896
2020-01-27,34.55,34.74,33.87,33.96,17281516
2020-01-28,34.22,34.23,33.49,33.96,10657475
2020-01-29,34.3,34.63,33.72,33.73,8917109
2020-01-30,33.14,34.08,33.0,34.04,10483983
2020-01-31,33.49,33.86,33.18,33.51,16811252
2020-02-03,33.44,33.7,33.19,33.46,9070173
2020-02-04,34.23,34.73,33.95,34.07,11605797
2020-02-05,34.77,35.66,34.73,35.07,11137416
2020-02-06,35.22,35.22,34.42,34.51,7907886
2020-02-07,34.0,34.76,33.88,34.42,8515361
2020-02-10,34.12,34.37,33.81,34.35,7163580
2020-02-11,34.15,34.35,33.87,34.29,8788102
2020-02-12,35.22,35.38,34.44,35.05,8954327
2020-02-13,34.84,35.02,33.97,34.67,11041372
2020-02-14,34.81,34.87,34.14,34.42,7858411
2020-02-18,33.9,33.99,32.88,33.65,0
2020-02-19,33.88,34.34,33.64,34.29,6542707
2020-02-20,34.49,34.71,33.78,33.83,7724695
2020-02-21,33.47,33.55,32.87,33.39,7213608
2020-02-24,31.89,31.99,30.81,30.93,16431645
2020-02-25,30.99,31.05,29.22,29.34,18484160
2020-02-26,29.59,29.74,28.38,28.38,19125561
2020-02-27,27.53,28.28,26.82,26.84,23635310
2020-02-28,25.81,27.16,25.45,27.09,26636794
2020-03-02,27.65,27.79,26.17,27.79,23214328
2020-03-03,27.62,27.91,26.27,26.81,21992784
2020-03-04,27.21,27.38,26.26,27.08,15680531
2020-03-05,26.13,26.25,25.24,25.83,15720538
2020-03-06,24.88,25.16,23.52,23.85,23761817
2020-03-09,17.9,17.9,12.91,17.31,86122233
2020-03-10,19.14,19.23,17.13,18.19,40407169
2020-03-11,17.32,18.14,17.05,17.38,33290256
2020-03-12,15.62,16.69,14.41,14.42,47584439
2020-03-13,15.72,15.88,14.32,15.66,15586931
2020-03-16,14.02,16.04,13.26,14.41,24933242
2020-03-17,14.54,14.56,13.11,14.0,25514939
2020-03-18,13.0,13.72,11.89,12.05,28028469
2020-03-19,12.17,14.28,11.87,13.87,25438854
2020-03-20,14.3,14.58,13.1,14.28,32858025
2020-03-23,14.17,14.43,12.6,12.83,24363738
2020-03-24,13.54,14.93,13.5,14.65,25802735
2020-03-25,14.99,15.87,13.58,14.6,24194746
2020-03-26,14.51,15.64,14.38,15.52,22177152
2020-03-27,14.54,14.7,13.74,13.76,21788723
2020-03-30,13.35,13.69,12.95,13.28,25979339
2020-03-31,13.88,13.89,13.3,13.49,25752812
2020-04-01,13.09,13.19,12.17,12.59,25380256
2020-04-02,13.1,14.99,12.95,13.88,33953842
2020-04-03,14.48,14.6,13.78,14.29,24814070
2020-04-06,14.96,15.82,14.53,15.67,24559662
2020-04-07,16.93,17.7,16.25,16.47,29085376
2020-04-08,16.9,17.39,16.43,17.28,16020081
