Date,Open,High,Low,Close,Volume
2025-05-29,5810.0,5810.0,5700.0,5780.0,676
2025-05-30,5798.982,5798.982,5689.191,5769.039,676
2025-06-01,5780.0,5840.0,5750.0,5810.0,2714
2025-06-02,5880.0,5980.0,5870.0,5980.0,3484
2025-06-03,6000.0,6070.0,5960.0,6020.0,6167
2025-06-04,6070.0,6180.0,6000.0,6030.0,4467
2025-06-05,6100.0,6140.0,6060.0,6080.0,4290
2025-06-06,6088.432,6128.356,6048.508,6068.47,4290
2025-06-08,6140.0,6220.0,6140.0,6180.0,4812
2025-06-09,6200.0,6270.0,6200.0,6270.0,4502
2025-06-10,6300.0,6340.0,6180.0,6210.0,2796
2025-06-11,6250.0,6330.0,6220.0,6280.0,2115
2025-06-12,6210.0,6230.0,6080.0,6150.0,3855
2025-06-13,6210.0,6230.0,6080.0,6150.0,3855
2025-06-16,6300.0,6340.0,6160.0,6200.0,1648
2025-06-17,6220.0,6220.0,6100.0,6160.0,8177
2025-06-18,6120.0,6480.0,6120.0,6480.0,380
2025-06-19,6120.0,6480.0,6120.0,6480.0,380
2025-06-22,6210.0,6250.0,6080.0,6190.0,8782
2025-06-23,6420.0,6470.0,6400.0,6470.0,3207
2025-06-24,6520.0,6620.0,6440.0,6620.0,1179
2025-06-25,6720.0,6720.0,6630.0,6650.0,2389
2025-06-26,6750.0,6750.0,6600.0,6710.0,3490
2025-06-27,6750.0,6750.0,6600.0,6710.0,3490
2025-06-29,6710.0,6790.0,6660.0,6750.0,6239
2025-06-30,6750.0,6850.0,6600.0,6820.0,3548
2025-07-01,6870.0,7000.0,6830.0,6990.0,3314
2025-07-02,7010.0,7100.0,6990.0,7100.0,6036
2025-07-03,7200.0,8300.0,6900.0,8060.0,4201
2025-07-04,7200.0,8300.0,6900.0,8130.0,4201
2025-07-06,7100.0,7170.0,7010.0,7170.0,16743
2025-07-07,7270.0,7270.0,7130.0,7150.0,10933
2025-07-08,7270.0,7270.0,7130.0,7170.0,10933
2025-07-09,7200.0,7340.0,7200.0,7330.0,8608
2025-07-10,7340.0,7370.0,7300.0,7300.0,68210
2025-07-11,7340.0,7370.0,7300.0,7330.0,68210
2025-07-13,7230.0,7440.0,7180.0,7430.0,9070
2025-07-14,7550.0,7630.0,7430.0,7430.0,5695
2025-07-15,7320.0,7390.0,7190.0,7390.0,6272
2025-07-16,7390.0,7520.0,7380.0,7510.0,2819
2025-07-17,7510.0,7570.0,7450.0,7500.0,5979
2025-07-18,7510.0,7570.0,7450.0,7500.0,5979
2025-07-20,7590.0,7640.0,7490.0,7490.0,2360
2025-07-21,7290.0,7350.0,7190.0,7240.0,2938
2025-07-22,7200.0,7260.0,7150.0,7260.0,2421
2025-07-23,7270.0,7360.0,7230.0,7360.0,2442
2025-07-24,7380.0,7440.0,7300.0,7440.0,2225
2025-07-25,7380.0,7440.0,7300.0,7440.0,2225
2025-07-27,7500.0,7570.0,7460.0,7540.0,6997
2025-07-28,7700.0,7730.0,7590.0,7610.0,5064
2025-07-29,7660.0,7850.0,7620.0,7830.0,4311
2025-07-30,7790.0,7980.0,7780.0,7870.0,5128
2025-07-31,7690.0,7870.0,7560.0,7790.0,4656
2025-08-01,7690.0,7870.0,7560.0,7790.0,4656
2025-08-03,7790.0,7930.0,7400.0,7900.0,6743
2025-08-04,7920.0,7920.0,7710.0,7760.0,8136
2025-08-05,7690.0,7690.0,7560.0,7680.0,7841
2025-08-06,7860.0,7900.0,7710.0,7750.0,8327
2025-08-07,7750.0,7850.0,7750.0,7850.0,11388
2025-08-08,7750.0,7850.0,7750.0,7840.0,11388
2025-08-10,7890.0,7970.0,7770.0,7800.0,5916
2025-08-11,7800.0,7980.0,7770.0,7980.0,4547
2025-08-12,7960.0,8040.0,7910.0,8000.0,11560
2025-08-13,7910.0,8000.0,7810.0,7940.0,3838
2025-08-14,7910.0,8000.0,7810.0,7940.0,3838
2025-08-17,7760.0,7780.0,7680.0,7760.0,5488
2025-08-18,7760.0,7760.0,7580.0,7600.0,4629
2025-08-19,7540.0,7600.0,7350.0,7600.0,9025
2025-08-20,7550.0,7620.0,7520.0,7580.0,2679
2025-08-21,7660.0,7890.0,7620.0,7860.0,5607
2025-08-22,7660.0,7890.0,7620.0,7840.0,5607
2025-08-24,7850.0,8050.0,7840.0,8010.0,5599
2025-08-25,8010.0,8100.0,7980.0,8070.0,6192
2025-08-26,8010.0,8150.0,7980.0,8110.0,12721
2025-08-27,8100.0,8150.0,7990.0,8070.0,4307
2025-08-28,7920.0,7920.0,7720.0,7830.0,4602
2025-08-29,7920.0,7920.0,7720.0,7830.0,4602
2025-08-31,8190.0,8340.0,7850.0,8210.0,2559
2025-09-01,7860.0,7890.0,7740.0,7870.0,7511
2025-09-02,7820.0,7870.0,7770.0,7860.0,6178
2025-09-03,7850.0,8020.0,7790.0,8020.0,7526
2025-09-04,8120.0,8200.0,8050.0,8160.0,7361
2025-09-05,8120.0,8200.0,8050.0,8140.0,7361
2025-09-07,8720.0,8720.0,8465.0,8560.0,6114
2025-09-08,8575.0,8595.0,8470.0,8585.0,8007
2025-09-09,8560.0,8645.0,8555.0,8615.0,6358
2025-09-10,8740.0,8820.0,8700.0,8820.0,9352
2025-09-11,8925.0,9030.0,8820.0,9025.0,5741
2025-09-12,8925.0,9030.0,8820.0,9030.0,5741
2025-09-14,9090.0,9220.0,8950.0,9220.0,5269
2025-09-15,9130.0,9145.0,9040.0,9065.0,9062
2025-09-16,9080.0,9170.0,8990.0,9165.0,6164
2025-09-17,9445.0,9935.0,9395.0,9910.0,12528
2025-09-18,9910.0,9910.0,9700.0,9890.0,17448
2025-09-19,9910.0,9910.0,9700.0,9890.0,17448
2025-09-21,9700.0,9700.0,9050.0,9285.0,12646
2025-09-22,9020.0,9145.0,8885.0,9120.0,10711
2025-09-23,8915.0,9015.0,8765.0,8965.0,10773
2025-09-24,8815.0,9020.0,8720.0,9020.0,15826
2025-09-25,8990.0,9485.0,8890.0,9485.0,5577
2025-09-26,8990.0,9485.0,8890.0,9480.0,5577
2025-09-28,9605.0,9670.0,9520.0,9630.0,14998
2025-09-29,9665.0,10090.0,9605.0,10090.0,9977
2025-09-30,10260.0,10510.0,10040.0,10450.0,23803
2025-10-01,10530.0,10720.0,10450.0,10460.0,8625
2025-10-02,10570.0,10640.0,10300.0,10300.0,11946
2025-10-03,10570.0,10640.0,10300.0,10300.0,11946
2025-10-05,10450.0,10640.0,10420.0,10420.0,34983
2025-10-06,10460.0,10590.0,10380.0,10520.0,10797
2025-10-07,10570.0,10780.0,10540.0,10750.0,33067
2025-10-08,10800.0,10840.0,10020.0,10020.0,22484
2025-10-09,10800.0,10840.0,10020.0,10080.0,22484
2025-10-12,9225.0,9785.0,9225.0,9730.0,15174
2025-10-13,9570.0,10020.0,9470.0,9835.0,12000
2025-10-14,9950.0,10120.0,9750.0,9945.0,12275
2025-10-15,10130.0,10270.0,9965.0,10250.0,12897
2025-10-16,10210.0,10660.0,10070.0,10640.0,9815
2025-10-17,10190.638,10639.784,10050.903,10589.879,9815
2025-10-19,10820.0,10950.0,10670.0,10890.0,9193
2025-10-20,10890.0,11180.0,10720.0,11180.0,13792
2025-10-21,11100.0,11110.0,10740.0,10940.0,8954
2025-10-22,10860.0,10970.0,10700.0,10750.0,8907
2025-10-23,10840.0,11100.0,10780.0,11100.0,12803
2025-10-24,10840.0,11100.0,10780.0,11040.0,12803
2025-10-26,10770.0,11000.0,8910.0,10680.0,8081
2025-10-27,10520.0,10900.0,10520.0,10850.0,31106
2025-10-28,11080.0,11080.0,10880.0,10980.0,11122
2025-10-29,10970.0,11040.0,10820.0,10890.0,7427
2025-10-30,10900.0,11000.0,10810.0,10960.0,10708
2025-10-31,10900.0,11000.0,10810.0,10970.0,10708
2025-11-02,11000.0,11220.0,10890.0,11220.0,9625
2025-11-03,10920.0,10990.0,10700.0,10780.0,13260
2025-11-04,10710.0,10950.0,10550.0,10940.0,7320
2025-11-05,10900.0,10940.0,10500.0,10660.0,5129
2025-11-06,10540.0,10540.0,10030.0,10210.0,12468
2025-11-07,10540.0,10540.0,10030.0,10210.0,12468
2025-11-09,10470.0,10640.0,10420.0,10640.0,8418
2025-11-10,10600.0,10600.0,10340.0,10410.0,5081
2025-11-11,10370.0,10550.0,10370.0,10470.0,4405
2025-11-12,10500.0,10500.0,10120.0,10180.0,10518
2025-11-13,10100.0,10410.0,9850.0,10350.0,7946
2025-11-14,10100.0,10410.0,9850.0,10340.0,7946
2025-11-16,10390.0,10390.0,10050.0,10080.0,3956
2025-11-17,10050.0,10060.0,9765.0,9895.0,16312
2025-11-18,9795.0,10050.0,9780.0,9950.0,12063
2025-11-19,10170.0,10410.0,9760.0,9860.0,10366
2025-11-20,10170.0,10410.0,9760.0,9845.0,10366
2025-11-21,9685.0,9965.0,9485.0,9890.0,4907
2025-11-24,10200.0,10310.0,9950.0,10310.0,12330
2025-11-25,10360.0,10730.0,10360.0,10680.0,5643
2025-11-26,10970.0,11090.0,10410.0,11040.0,1745
2025-11-27,10930.0,11150.0,10570.0,11030.0,11275
2025-11-28,10930.0,11150.0,10570.0,10890.0,11275
2025-12-01,10770.0,11000.0,10770.0,11000.0,6047
2025-12-02,10930.0,11030.0,10830.0,10990.0,6397
2025-12-03,11020.0,11020.0,10850.0,10910.0,8526
2025-12-04,10890.0,11090.0,10870.0,11060.0,5419
2025-12-05,10890.0,11090.0,10870.0,11050.0,5419
2025-12-08,11170.0,11170.0,10950.0,11050.0,11010
2025-12-09,11110.0,11280.0,11010.0,11220.0,5816
2025-12-10,11250.0,11250.0,10860.0,11120.0,5649
2025-12-11,11110.0,11120.0,10720.0,10800.0,4769
2025-12-12,11110.0,11120.0,10720.0,10790.0,4769
2025-12-14,10760.0,10900.0,10730.0,10870.0,6208
2025-12-15,10890.0,10940.0,10770.0,10860.0,3209
2025-12-16,10890.0,10990.0,10510.0,10590.0,3583
2025-12-17,10750.0,10940.0,10680.0,10770.0,13042
2025-12-18,10790.0,11090.0,10770.0,11090.0,8896
2025-12-19,10790.0,11090.0,10770.0,11040.0,8896
2025-12-21,11090.0,11200.0,11040.0,11150.0,3933
