Date,Open,High,Low,Close,Volume
2019-01-02,9.51,9.8,9.48,9.74,3899000
2019-01-03,9.65,9.66,9.38,9.4,8092500
2019-01-04,9.62,9.91,9.6,9.84,5925000
2019-01-07,9.89,10.06,9.89,9.94,3370000
2019-01-08,10.03,10.05,9.88,9.98,5165000
2019-01-09,9.96,10.03,9.86,9.99,3294500
2019-01-10,9.74,9.82,9.7,9.82,5335000
2019-01-11,9.78,9.82,9.75,9.8,2955000
2019-01-14,9.74,9.75,9.66,9.68,3679500
2019-01-15,9.93,10.03,9.92,9.97,4929000
2019-01-16,9.92,9.98,9.9,9.92,4404000
2019-01-17,9.81,9.95,9.77,9.9,3543500
2019-01-18,10.02,10.07,9.96,10.04,4447000
2019-01-22,9.81,9.83,9.64,9.69,4509000
2019-01-23,9.8,9.82,9.62,9.69,4016000
2019-01-24,9.63,9.68,9.6,9.67,4434500
2019-01-25,9.79,9.8,9.73,9.75,3911000
2019-01-28,9.7,9.79,9.64,9.77,3719000
2019-01-29,9.81,9.82,9.73,9.76,3371000
2019-01-30,9.76,9.85,9.66,9.84,4610500
2019-01-31,10.01,10.11,9.94,10.02,7918000
2019-02-01,10.0,10.01,9.02,9.23,34814000
2019-02-04,9.18,9.28,9.16,9.26,9886000
2019-02-05,9.24,9.24,9.15,9.17,8047500
2019-02-06,8.9,8.93,8.8,8.84,14112500
2019-02-07,8.59,8.63,8.49,8.61,15245500
2019-02-08,8.88,8.9,8.73,8.86,10392500
2019-02-11,8.9,8.94,8.84,8.92,10224500
2019-02-12,8.81,8.9,8.81,8.86,5770500
2019-02-13,8.91,9.07,8.9,9.01,7351000
2019-02-14,9.0,9.08,8.99,9.02,3650500
2019-02-15,9.11,9.21,9.1,9.16,7227000
2019-02-19,9.24,9.3,9.22,9.24,8314500
2019-02-20,9.49,9.5,9.33,9.38,11134000
2019-02-21,9.57,9.61,9.49,9.53,11075000
2019-02-22,9.58,9.63,9.56,9.58,5948000
2019-02-25,9.71,9.75,9.68,9.69,4984000
2019-02-26,9.63,9.67,9.6,9.64,6528500
2019-02-27,9.67,9.7,9.63,9.69,4332000
2019-02-28,9.64,9.65,9.58,9.6,4004500
2019-03-01,9.56,9.61,9.54,9.58,4845000
2019-03-04,9.56,9.57,9.45,9.52,6154500
2019-03-05,9.55,9.58,9.51,9.53,3191500
2019-03-06,9.54,9.56,9.5,9.51,3427000
2019-03-07,9.4,9.4,9.23,9.28,6801000
