Date,Open,High,Low,Close,Volume
2024-04-10,2351.0,2500.0,2300.0,2300.0,1119
2024-04-11,2400.0,2600.0,2400.0,2600.0,1309
2024-04-12,2450.0,2600.0,2400.0,2600.0,809
2024-04-15,2200.0,2400.0,2200.0,2350.0,232
2024-04-16,2100.0,2300.0,2100.0,2300.0,1854
2024-04-17,2300.0,2440.5,2182.0,2182.0,132
2024-04-18,2050.0,2300.0,2050.0,2300.0,177
2024-04-19,1950.0,1950.0,1760.0,1920.0,20625
2024-04-22,1718.0,1727.0,1530.0,1700.0,4906
2024-04-23,1715.5,2067.5,1712.0,2035.0,5238
2024-04-24,1900.0,1919.0,1710.0,1870.0,1550
2024-04-25,1799.5,1924.0,1671.0,1888.0,912
2024-04-26,1881.5,1900.0,1815.0,1900.0,1019
2024-04-29,1900.0,2005.0,1806.0,1856.0,2837
2024-04-30,1856.0,1928.0,1824.0,1841.0,706
2024-05-02,1995.0,1995.0,1829.0,1829.0,823
2024-05-03,2115.5,2190.0,2010.0,2100.0,3372
2024-05-06,2175.0,2400.0,2175.0,2312.5,3447
2024-05-07,2210.5,2253.0,2120.0,2181.0,3530
2024-05-08,2045.5,2181.0,1946.0,2181.0,2508
2024-05-09,2161.0,2245.0,2119.0,2230.0,1680
2024-05-10,2188.5,2188.5,2036.0,2105.0,1160
2024-05-13,2195.0,2349.0,2144.0,2280.0,17817
2024-05-14,2817.5,3037.5,2510.0,2779.0,24180
2024-05-15,2650.0,2650.0,2284.5,2408.0,17925
2024-05-16,2475.0,2600.0,2199.5,2272.0,5315
2024-05-17,2339.0,2382.5,2215.0,2260.0,8145
2024-05-20,2200.0,2279.5,2111.0,2224.0,25130
2024-05-21,2188.5,2327.5,2170.0,2277.0,6809
2024-05-22,2302.0,2450.0,2250.0,2295.0,11079
2024-05-23,2381.5,2390.5,2195.0,2310.0,3386
2024-05-24,2201.5,2221.5,2145.0,2199.0,9133
2024-05-27,2150.0,2175.0,2100.0,2170.0,1399
2024-05-28,2282.5,2675.0,2282.5,2523.0,22387
2024-05-29,2300.0,2414.5,2218.0,2380.0,8626
2024-05-30,2302.0,2302.0,2115.0,2180.0,20279
2024-05-31,2150.0,2335.5,2150.0,2230.0,9479
2024-06-03,2240.0,2393.5,2240.0,2325.0,3984
2024-06-04,2300.0,2500.0,2255.0,2320.0,8033
2024-06-05,2280.5,2315.0,2200.0,2310.0,1518
2024-06-06,2300.0,2302.5,2200.0,2200.0,2848
2024-06-07,2224.5,2332.0,2180.0,2266.0,1835
2024-06-10,2272.0,2286.5,2145.0,2157.0,7766
2024-06-11,2157.0,2420.0,2051.0,2326.5,7589
2024-06-12,2326.5,2337.0,2205.5,2250.0,5399
2024-06-13,2040.0,2040.0,1860.0,1949.0,57326
2024-06-14,1925.0,1925.0,1705.5,1765.0,30742
2024-06-18,1765.0,0.0,0.0,1748.0,0
2024-06-19,26000.0,27000.0,26000.0,25990.0,17
2024-06-24,25000.0,25000.0,20000.0,23400.0,7528
2024-06-25,23549.5,24000.0,22600.0,23000.0,5746
2024-06-26,23778.0,24300.0,22000.0,24300.0,533
2024-06-27,24300.0,24300.0,23000.0,23900.0,622
2024-06-28,23800.0,23800.0,22200.0,22790.0,110
2024-07-01,22800.0,23071.5,21804.5,22260.0,200
2024-07-02,23160.5,23382.5,22300.0,22871.0,154
2024-07-03,23200.0,24900.0,21500.0,22050.0,337
2024-07-04,21300.0,22350.0,20600.0,21850.0,230
2024-07-05,21800.0,23785.0,21764.0,22808.5,434
2024-07-08,23840.0,24308.5,21600.0,22000.0,669
2024-07-10,20100.0,22000.0,20000.0,20700.0,228
2024-07-11,20750.0,23000.0,19675.0,23000.0,1297
2024-07-12,22350.0,23975.0,22350.0,23000.0,960
2024-07-15,21500.0,21500.0,19500.0,19900.0,1396
2024-07-16,20000.0,20725.0,19250.0,20725.0,115
2024-07-17,21000.0,21000.0,18500.0,18775.0,1263
2024-07-18,18900.0,18950.0,17300.0,17500.0,570
