Date,Open,High,Low,Close,Volume
2021-03-07,1476.0,1476.0,1420.0,1421.0,145
2021-03-08,1489.5,1524.5,1481.0,1499.0,2772
2021-03-09,1510.0,1585.5,1457.0,1477.0,2602
2021-03-10,1486.0,1600.0,1477.0,1578.0,1604
2021-03-11,1600.0,1600.0,1475.0,1506.0,2093
2021-03-14,1513.0,1541.0,1481.5,1536.0,2089
2021-03-15,1580.0,1590.0,1522.0,1542.5,2481
2021-03-16,1526.5,1560.0,1476.0,1552.0,3405
2021-03-17,1495.5,1495.5,1450.0,1471.5,3343
2021-03-18,1475.0,1499.0,1453.0,1471.5,383
2021-03-21,1507.5,1507.5,1478.0,1480.0,1870
2021-03-22,1480.0,1486.5,1414.5,1427.5,1686
2021-03-24,1401.5,1401.5,1273.5,1352.0,1793
2021-03-25,1395.0,1395.0,1311.5,1347.0,447
2021-03-28,1360.0,1360.0,1294.0,1320.5,1714
2021-03-29,1334.0,1363.0,1332.0,1362.5,721
2021-03-30,1380.0,1443.5,1380.0,1430.5,1137
2021-04-04,1461.5,1474.0,1440.0,1454.0,2833
2021-04-05,1513.0,1544.5,1500.0,1526.5,1984
2021-04-06,1516.0,1527.0,1488.0,1513.5,2022
2021-04-07,1540.0,1540.0,1504.5,1522.0,1089
2021-04-08,1508.0,1518.5,1495.0,1510.0,2246
2021-04-11,1499.0,1517.0,1465.5,1503.0,1468
2021-04-12,1530.0,1602.5,1524.5,1593.0,3818
2021-04-13,1600.0,1600.0,1536.5,1551.5,2919
2021-04-14,1569.0,1633.0,1569.0,1624.5,2332
2021-04-15,1633.0,1633.0,1570.5,1583.5,1440
2021-04-18,1589.0,1589.0,1510.0,1516.0,1507
2021-04-19,1514.0,1514.0,1456.5,1481.5,1063
2021-04-20,1478.5,1478.5,1430.0,1440.5,2773
2021-04-21,1450.0,1493.0,1446.5,1451.0,1256
2021-04-22,1510.5,1565.0,1510.5,1560.0,3402
2021-04-25,1515.5,1660.0,1515.5,1654.5,2929
2021-04-26,1624.0,1643.0,1581.0,1633.5,4583
2021-04-27,1541.0,1541.0,1437.0,1446.5,47038
2021-04-28,1481.0,1499.0,1472.0,1494.0,24669
2021-04-29,1503.0,1503.0,1424.0,1426.0,12797
2021-05-02,1451.0,1465.0,1407.0,1438.0,8856
2021-05-03,1390.0,1390.0,1338.0,1370.0,14864
2021-05-04,1377.5,1403.5,1350.0,1376.5,12026
2021-05-05,1325.0,1375.0,1312.0,1346.0,12712
2021-05-06,1362.0,1394.5,1349.5,1368.0,6412
2021-05-09,1340.0,1340.0,1285.0,1296.5,9649
2021-05-10,1295.0,1311.0,1260.0,1289.5,5474
2021-05-11,1300.0,1308.0,1263.5,1275.0,6183
2021-05-12,1276.0,1303.5,1217.5,1243.0,3762
2021-05-13,1250.0,1278.0,1235.0,1275.0,4605
2021-05-16,1280.0,1286.0,1230.0,1280.0,4084
2021-05-17,1286.0,1319.0,1283.5,1288.5,3350
2021-05-18,1215.0,1285.0,1215.0,1284.0,1641
2021-05-19,1287.0,1352.5,1287.0,1349.5,5228
2021-05-20,1356.0,1365.0,1340.0,1358.5,6289
2021-05-25,1399.0,1406.0,1370.0,1399.0,6751
2021-05-26,1400.0,1429.0,1387.0,1407.0,3894
2021-05-27,1432.0,1450.0,1412.0,1418.0,4126
2021-05-30,1446.0,1446.0,1413.5,1426.0,646
2021-05-31,1430.0,1438.0,1408.0,1424.5,6987
2021-06-01,1432.0,1437.0,1410.0,1427.0,12801
2021-06-02,1419.0,1419.0,1320.0,1376.5,8490
2021-06-03,1383.5,1420.0,1377.0,1399.5,2759
2021-06-06,1415.0,1443.0,1405.0,1438.0,5598
2021-06-07,1447.5,1470.5,1426.5,1439.5,2722
2021-06-08,1440.0,1445.0,1400.5,1404.0,1
