Date,Open,High,Low,Close,Volume
2025-05-30,7320.0,7360.0,7150.0,7310.0,1329
2025-06-02,7320.0,7370.0,7150.0,7360.0,9650
2025-06-03,7380.0,7530.0,7340.0,7530.0,29734
2025-06-04,7570.0,7600.0,7490.0,7540.0,24916
2025-06-05,7500.0,7650.0,7290.0,7380.0,18108
2025-06-06,7670.0,7680.0,7520.0,7630.0,56098
2025-06-09,7630.0,7690.0,7560.0,7650.0,33284
2025-06-10,7670.0,7730.0,7600.0,7730.0,22652
2025-06-11,7800.0,7820.0,7580.0,7650.0,20330
2025-06-12,7680.0,7760.0,7630.0,7670.0,5920
2025-06-13,7500.0,7670.0,7390.0,7410.0,28992
2025-06-17,7590.0,7660.0,7360.0,7400.0,10107
2025-06-18,7400.0,7470.0,7310.0,7340.0,3278
2025-06-19,7340.0,7600.0,7100.0,7390.0,1180
2025-06-23,7420.0,7640.0,7270.0,7630.0,8999
2025-06-24,7700.0,7870.0,7700.0,7840.0,22547
2025-06-25,7940.0,7940.0,7780.0,7920.0,6878
2025-06-26,7990.0,8140.0,7990.0,8150.0,5259
2025-06-27,8140.0,8270.0,8070.0,8210.0,19472
2025-06-30,8300.0,8480.0,8240.0,8420.0,13692
2025-07-01,8400.0,8620.0,8300.0,8590.0,14967
2025-07-02,8590.0,8720.0,8590.0,8720.0,19211
2025-07-03,8800.0,8930.0,8800.0,8920.0,13546
2025-07-04,8930.0,9240.0,8710.0,9140.0,5260
2025-07-07,8840.0,9010.0,8810.0,8930.0,88402
2025-07-08,8920.0,8970.0,8810.0,8830.0,13529
2025-07-10,9010.0,9180.0,8960.0,9140.0,11778
2025-07-11,9090.0,9090.0,8970.0,9000.0,12717
2025-07-14,9000.0,9290.0,8970.0,9290.0,30692
2025-07-15,9330.0,9370.0,9030.0,9020.0,8484
2025-07-16,9020.0,9110.0,8770.0,9100.0,18098
2025-07-17,9150.0,9340.0,9070.0,9300.0,49971
2025-07-18,9310.0,9390.0,9270.0,9330.0,29125
2025-07-21,9490.0,9580.0,9330.0,9330.0,11927
2025-07-22,9240.0,9290.0,9090.0,9220.0,5204
2025-07-23,9260.0,9420.0,9220.0,9380.0,5803
2025-07-24,9500.0,9580.0,9430.0,9510.0,17031
2025-07-25,9560.0,9770.0,9530.0,9740.0,12595
2025-07-28,9740.0,9810.0,9700.0,9790.0,50159
2025-07-29,9910.0,9910.0,9630.0,9660.0,45047
2025-07-30,9720.0,9940.0,9650.0,9790.0,8947
2025-07-31,10100.0,10325.0,9930.0,10050.0,14058
2025-08-01,9520.0,9740.0,9390.0,9570.0,36344
2025-08-04,9750.0,9950.0,9070.0,9930.0,24498
2025-08-05,9930.0,9970.0,9660.0,9670.0,23328
2025-08-06,9700.0,9870.0,9620.0,9780.0,5835
2025-08-07,9990.0,10050.0,9630.0,9740.0,15770
2025-08-08,9930.0,10050.0,9830.0,10000.0,10823
2025-08-11,10025.0,10100.0,9840.0,9870.0,15664
2025-08-12,9990.0,10225.0,9960.0,10225.0,13495
2025-08-13,10250.0,10350.0,10150.0,10225.0,15802
2025-08-14,10100.0,10275.0,10025.0,10200.0,8604
2025-08-18,10100.0,10125.0,9960.0,10000.0,12447
2025-08-19,10000.0,10075.0,9790.0,9880.0,13419
2025-08-20,9850.0,9890.0,9550.0,9820.0,13834
2025-08-21,9740.0,9840.0,9660.0,9780.0,12714
2025-08-22,9940.0,10375.0,9930.0,10375.0,36727
2025-08-25,10350.0,10525.0,10300.0,10450.0,22370
2025-08-26,10400.0,10525.0,10275.0,10525.0,9962
2025-08-27,10500.0,10675.0,10500.0,10625.0,16681
2025-08-28,10625.0,10650.0,10450.0,10600.0,20000
2025-08-29,10500.0,10500.0,10200.0,10475.0,15767
2025-09-01,10700.0,10700.0,10200.0,10700.0,2669
2025-09-02,10175.0,10375.0,10075.0,10300.0,12967
2025-09-03,10375.0,10500.0,10350.0,10425.0,44017
2025-09-04,10550.0,10825.0,10475.0,10850.0,43039
2025-09-05,11025.0,11050.0,10600.0,10725.0,62511
2025-09-08,11540.0,11540.0,11130.0,11290.0,12940
