Date,Open,High,Low,Close,Volume
2024-04-10,5950.0,6153.5,5600.0,6000.0,1408
2024-04-11,5760.0,5800.0,5612.5,5800.0,4387
2024-04-12,5820.0,6100.0,5600.0,5600.0,2530
2024-04-15,5800.0,5898.5,5696.5,5700.0,2413
2024-04-16,5800.0,5800.0,5660.0,5700.0,1001
2024-04-17,5750.0,5800.0,5500.0,5800.0,1117
2024-04-18,5551.0,5700.0,5400.0,5700.0,641
2024-04-19,5578.0,5600.0,5500.0,5600.0,3275
2024-04-22,5200.0,5290.0,5200.0,5256.5,3651
2024-04-23,5384.0,5384.0,5150.0,5309.5,1887
2024-04-24,5250.0,5400.0,5200.0,5400.0,4115
2024-04-25,5226.0,5377.0,5200.0,5375.0,2053
2024-04-26,5443.0,5475.5,5360.0,5400.0,3373
2024-04-29,5450.0,5650.0,5350.0,5650.0,4615
2024-04-30,5599.5,5599.5,4856.0,4981.0,6334
2024-05-02,4750.0,5000.0,4700.0,5000.0,12102
2024-05-03,4971.0,4997.0,4906.0,4990.0,38194
2024-05-06,4928.5,4970.0,4808.0,4970.0,22290
2024-05-07,4888.5,4888.5,4770.5,4850.0,13518
2024-05-08,4737.5,4737.5,4620.0,4685.0,38654
2024-05-09,4685.0,4780.0,4685.0,4725.0,25930
2024-05-10,4950.0,4999.0,4700.0,4999.0,10127
2024-05-13,4900.0,4990.0,4800.0,4949.0,3182
2024-05-14,5000.0,5070.0,4910.0,5070.0,3093
2024-05-15,5070.0,5097.0,5000.0,5096.0,1539
2024-05-16,5000.0,5054.0,4900.0,5035.0,2246
2024-05-17,4989.0,5018.0,4950.0,5000.0,3470
2024-05-20,5000.0,5076.0,4780.0,5050.0,16085
2024-05-21,5040.0,5300.0,4900.0,5500.0,1200
2024-05-22,5150.0,5580.0,5062.0,5500.0,882
2024-05-23,5500.0,5636.5,5350.0,5450.0,272
2024-05-24,5452.0,5623.5,5357.0,5500.0,1573
2024-05-27,5600.0,5800.0,5553.5,5709.0,391
2024-05-28,5672.0,5700.0,5500.0,5699.5,4533
2024-05-29,5420.0,5420.0,5220.0,5350.0,1270
2024-05-30,5300.0,5454.0,5200.0,5600.0,2067
2024-05-31,5750.0,6000.0,5360.0,5850.0,3563
2024-06-03,5591.5,5791.0,5351.5,5769.5,1514
2024-06-04,5798.5,5798.5,5510.0,5690.0,3365
2024-06-05,5500.0,5980.5,5500.0,5950.0,39749
