Date,Open,High,Low,Close,Volume
2019-01-02,63.05,65.6,63.05,64.6,366014
2019-01-03,64.5,64.5,62.55,63.5,252022
2019-01-04,64.0,67.35,63.7,66.3,538908
2019-01-07,66.0,69.2,65.9,67.3,1007060
2019-01-08,67.3,68.8,64.2,65.6,423981
2019-01-09,65.8,70.0,65.8,68.6,880374
2019-01-10,68.8,71.4,68.0,71.35,1027211
2019-01-11,71.35,71.6,69.7,71.3,619420
2019-01-14,71.3,71.75,70.1,70.6,199606
2019-01-15,71.6,71.6,68.5,69.6,402938
2019-01-16,70.0,71.9,69.6,69.85,464044
2019-01-17,69.5,70.2,68.0,69.85,451154
2019-01-18,70.5,72.2,69.3,71.5,559077
2019-01-21,71.5,73.0,71.0,72.85,117972
2019-01-22,72.0,72.0,67.85,68.0,949644
2019-01-23,69.15,70.85,68.15,69.85,448845
2019-01-24,70.1,71.8,69.75,70.25,617945
2019-01-25,70.3,71.5,69.3,69.55,421373
2019-01-28,69.55,72.8,67.4,72.7,733418
2019-01-29,72.75,74.4,71.5,74.05,497876
2019-01-30,74.5,77.5,74.5,77.15,1038913
2019-01-31,77.55,79.4,75.8,77.7,1574652
2019-02-01,77.9,80.0,76.35,79.6,935005
2019-02-04,80.0,84.7,79.9,84.15,1549955
2019-02-05,84.95,85.8,82.1,84.6,1260920
2019-02-06,85.0,85.0,80.0,81.05,1021503
2019-02-07,81.0,81.0,77.1,79.3,1338147
2019-02-08,79.05,82.5,78.05,82.35,757615
2019-02-11,82.45,83.85,81.2,81.85,394442
2019-02-12,81.7,84.55,81.7,83.95,469778
2019-02-13,84.0,84.9,81.0,81.5,337067
2019-02-14,81.75,82.7,79.5,81.9,423303
2019-02-15,82.0,82.7,80.1,81.5,213375
2019-02-18,81.0,81.5,80.0,81.25,198426
2019-02-19,81.5,81.7,77.6,77.7,995318
2019-02-20,80.0,81.95,76.0,77.3,2599501
2019-02-21,77.5,77.7,74.3,74.4,1253669
2019-02-22,75.0,78.4,75.0,77.7,1451480
2019-02-25,79.15,80.45,75.0,75.65,1086882
2019-02-26,75.0,76.2,73.8,76.0,482648
2019-02-27,77.0,77.0,72.05,72.75,860092
2019-02-28,73.0,73.0,68.7,69.0,1078107
2019-03-01,71.0,71.75,65.5,67.0,2613903
2019-03-06,67.0,67.0,61.3,61.45,1363306
2019-03-07,61.65,65.5,60.5,63.5,1219754
2019-03-08,63.9,66.6,61.55,63.5,886597
2019-03-11,65.5,66.0,62.05,62.95,935876
2019-03-12,63.6,63.7,61.65,62.0,794753
2019-03-13,62.3,63.7,61.05,61.55,848407
2019-03-14,61.55,61.9,59.15,59.95,362858
2019-03-15,61.0,62.6,60.1,61.1,1329821
2019-03-18,62.9,64.45,61.7,64.05,636809
2019-03-19,66.0,66.45,60.65,60.85,1702654
2019-03-20,61.7,62.4,59.9,60.3,1090962
2019-03-21,61.0,61.5,58.5,58.6,678364
2019-03-22,57.5,58.2,54.9,55.25,1364658
2019-03-25,56.1,57.5,55.0,55.65,1445227
2019-03-26,56.4,57.3,53.2,53.4,1349761
2019-03-27,52.0,53.95,51.0,52.95,953826
2019-03-28,54.0,54.5,52.55,53.85,550308
2019-03-29,54.5,55.0,52.75,53.0,1061945
2019-04-01,53.0,56.0,52.4,52.5,547151
2019-04-03,53.0,53.0,49.2,49.4,688999
2019-04-04,50.0,51.7,50.0,50.75,585942
2019-04-05,50.9,53.95,50.9,52.55,855528
2019-04-08,54.1,55.9,53.45,55.55,978839
2019-04-09,54.5,54.5,50.35,52.05,1606617
2019-04-10,52.7,52.75,50.8,51.25,1278399
2019-04-11,51.0,51.55,49.5,51.35,1264782
2019-04-12,51.65,52.1,49.7,50.4,1036088
2019-04-15,50.4,51.7,50.0,51.35,556919
2019-04-16,52.95,53.0,51.0,51.6,388884
2019-04-17,51.15,52.8,50.7,51.2,869728
2019-04-22,49.8,49.9,47.5,47.7,771233
2019-04-23,48.15,50.2,47.85,47.9,696092
2019-04-24,47.0,47.0,44.0,44.25,1054907
2019-04-25,41.3,47.5,40.5,47.15,1766855
2019-04-26,48.55,48.9,45.7,46.75,806271
2019-04-29,45.95,46.9,44.85,44.95,591839
2019-04-30,45.35,45.8,44.15,44.85,633691
2019-05-02,47.0,48.25,46.05,48.1,1408446
2019-05-03,49.9,51.8,49.0,51.55,1105428
2019-05-06,50.65,52.75,49.8,52.0,847865
2019-05-07,50.5,50.5,48.55,48.9,1302580
2019-05-08,49.0,50.9,49.0,49.95,1188783
2019-05-09,49.45,51.25,48.7,49.95,796255
2019-05-10,51.0,51.7,48.3,48.55,862354
2019-05-13,47.8,49.0,46.5,47.0,417524
2019-05-14,47.95,48.7,46.5,47.45,577498
2019-05-15,48.9,49.75,48.0,49.65,335839
2019-05-16,51.0,51.4,50.0,50.85,609068
2019-05-17,50.8,50.8,48.65,48.75,425555
2019-05-20,48.75,49.85,47.05,49.7,335194
2019-05-21,51.5,55.35,51.0,54.7,1142246
2019-05-22,55.0,55.0,52.9,53.1,442701
2019-05-23,53.1,53.95,51.6,52.2,253363
2019-05-24,52.5,53.7,52.0,52.7,389650
2019-05-27,53.1,53.9,52.35,53.4,228020
2019-05-28,53.4,54.8,52.85,53.9,1423440
2019-05-29,53.0,54.1,50.8,54.0,809686
2019-05-30,54.7,55.7,53.3,53.95,1035076
2019-05-31,53.3,55.4,52.25,52.35,712600
2019-06-03,52.2,52.75,50.05,50.45,517731
2019-06-04,51.5,54.45,50.15,54.0,645563
2019-06-05,55.0,56.25,53.8,55.4,874641
2019-06-06,55.4,56.2,54.5,55.8,696747
2019-06-07,56.0,56.05,54.0,54.35,888693
2019-06-10,54.35,56.6,54.35,56.45,903355
2019-06-11,58.0,65.95,57.15,65.0,2017946
2019-06-12,68.2,71.5,67.0,68.55,3176849
2019-06-13,65.95,69.3,64.0,67.1,1195056
2019-06-14,67.0,67.15,64.8,65.4,1479208
2019-06-18,65.6,66.9,64.2,64.5,623970
2019-06-19,64.8,65.5,60.5,60.9,745722
2019-06-21,62.2,63.8,62.1,62.4,789560
2019-06-24,62.4,63.35,61.65,63.05,1327307
2019-06-25,63.15,63.5,62.0,62.7,1753169
2019-06-26,63.0,64.2,60.5,61.2,1036755
2019-06-27,61.0,63.6,60.95,63.5,881645
2019-06-28,64.45,67.5,64.0,67.2,972798
2019-07-01,68.0,69.55,66.15,66.85,1013815
2019-07-02,66.4,69.55,65.55,69.05,1758599
2019-07-03,69.55,69.95,67.9,69.55,910230
2019-07-04,69.95,70.0,68.5,69.75,293574
2019-07-05,68.75,70.0,68.25,69.5,742428
2019-07-10,72.0,72.6,70.3,71.3,1948343
2019-07-11,71.95,72.85,69.75,69.95,1445548
2019-07-12,70.45,70.95,69.1,69.25,1047233
2019-07-15,68.9,69.4,66.4,66.8,981386
2019-07-16,66.8,69.3,66.8,67.75,924906
2019-07-17,68.0,70.7,68.0,69.15,954178
2019-07-18,68.8,69.55,65.15,66.6,1507097
2019-07-19,67.0,67.2,63.9,64.4,1372023
2019-07-22,61.65,62.8,60.8,60.9,1174755
2019-07-23,61.2,62.0,59.0,60.7,2027245
2019-07-24,60.0,62.5,60.0,61.75,618350
2019-07-25,61.6,63.0,60.2,61.85,566081
2019-07-26,62.35,67.0,62.35,66.55,1583384
2019-07-29,66.1,69.45,64.85,67.65,1049790
2019-07-30,67.0,68.3,66.5,67.2,397130
