Date,Open,High,Low,Close,Volume
2024-11-29,101.8,101.8,100.25,100.4,16108760376
2024-12-02,101.25,101.8,100.25,100.4,19531289749
2024-12-03,100.75,103.0,100.25,100.45,13124413297
2024-12-04,100.9,101.8,99.9,100.0,14498363325
2024-12-05,100.4,100.4,98.75,99.3,12242018709
2024-12-06,101.0,101.2,100.25,100.8,21530333455
2024-12-09,100.2,101.3,100.2,100.95,8158832520
2024-12-10,101.4,101.4,100.3,100.7,3967936574
2024-12-11,100.85,102.75,100.5,102.65,39553961278
2024-12-12,102.95,103.0,102.0,102.7,65618772732
2024-12-13,103.0,104.8,102.9,104.5,29507065769
2024-12-16,104.5,106.5,104.0,105.15,28469445182
2024-12-17,106.7,106.7,103.9,104.7,34000181145
2024-12-18,105.5,105.75,104.0,105.1,17312260744
2024-12-19,105.0,105.5,104.3,105.45,12175903020
2024-12-20,105.8,107.55,105.5,105.9,16546096850
2024-12-23,106.25,107.0,105.6,106.15,14079247555
2024-12-24,107.6,107.6,106.0,106.7,253857239
2024-12-26,107.25,107.5,106.1,106.2,13386356139
2024-12-27,106.8,108.3,105.8,106.15,6297648885
2024-12-30,106.15,108.2,106.0,107.55,9405571212
2025-01-02,108.3,109.75,107.5,109.4,10210664891
2025-01-03,110.3,110.95,108.3,110.2,26632152702
2025-01-06,110.0,110.8,109.5,109.75,15876268052
2025-01-07,110.2,110.5,109.5,110.2,25106134121
2025-01-08,110.3,113.3,109.35,110.5,28959766153
2025-01-09,111.0,111.5,110.2,111.05,20885131675
2025-01-10,112.2,112.2,110.7,111.3,18105461362
2025-01-13,112.0,112.45,110.0,110.95,13116094089
2025-01-14,112.0,112.0,110.5,111.15,26151682857
2025-01-15,112.0,112.0,110.5,111.5,24018557833
2025-01-16,110.55,111.6,110.1,110.45,34126152843
2025-01-17,111.0,111.0,109.6,109.8,8969534747
2025-01-20,110.95,110.95,109.4,110.25,23089503931
2025-01-21,111.0,111.05,110.4,110.75,15209100727
2025-01-22,110.5,110.8,109.5,109.7,46214077848
2025-01-23,110.3,111.75,109.6,110.45,34579692081
2025-01-24,110.9,111.5,110.0,111.35,15600567681
2025-01-27,111.4,111.6,110.75,111.1,12600875263
2025-01-28,111.0,111.8,110.85,111.35,13641481289
2025-01-29,111.6,111.6,110.85,111.2,15799789630
2025-01-30,111.45,111.45,110.6,111.25,30886114436
2025-01-31,111.6,112.5,111.15,111.7,22221562385
2025-02-03,111.7,111.95,110.0,111.4,11991106911
2025-02-04,111.55,111.55,110.25,111.2,13654754664
2025-02-05,111.85,111.85,110.0,111.4,17715081932
2025-02-06,111.6,111.7,110.85,111.55,15029626977
2025-02-07,111.85,111.95,111.3,111.6,6497786057
2025-02-10,111.6,111.8,111.1,111.25,8946953122
2025-02-11,111.4,111.4,110.2,110.5,10733453542
2025-02-12,110.5,110.65,109.95,110.4,8861450845
2025-02-13,110.3,111.45,110.25,110.75,42413881875
2025-02-14,111.45,112.1,110.1,111.9,22586008528
2025-02-17,111.9,112.1,111.0,111.7,27692879648
2025-02-18,111.85,113.4,111.65,112.3,29863384588
2025-02-19,112.6,113.4,111.8,111.85,20164928267
2025-02-20,111.9,112.2,111.8,111.85,14079561940
2025-02-21,111.85,112.2,111.25,111.8,11995425432
2025-02-24,111.3,112.9,111.3,111.5,7464766401
2025-02-25,111.75,112.05,111.3,111.85,8044238320
2025-02-26,112.3,112.3,111.4,111.8,8163101841
2025-02-27,112.0,112.0,110.55,110.75,13880949823
2025-02-28,110.75,111.4,110.3,110.6,13257772751
2025-03-05,111.45,111.45,109.7,109.8,7602712620
2025-03-06,109.8,110.15,108.45,109.0,43430201420
2025-03-07,109.0,110.1,108.65,109.6,36344822600
2025-03-10,109.65,110.65,108.7,109.0,13151409644
2025-03-11,109.0,112.1,108.85,109.15,36388074995
2025-03-12,109.5,111.0,109.0,109.9,30731829082
2025-03-13,109.4,111.5,109.4,109.7,17267604469
2025-03-14,109.7,111.5,108.65,109.4,12856296925
2025-03-17,109.3,111.0,108.75,108.8,12751354773
2025-03-18,110.15,110.15,104.6,105.7,18118124238
2025-03-19,106.9,109.25,104.2,108.9,20267356172
2025-03-20,109.25,109.9,107.0,107.5,10997596655
2025-03-21,108.0,108.45,105.05,105.75,31352732042
2025-03-25,105.9,106.15,104.55,105.0,9997335995
2025-03-26,105.9,106.45,105.0,105.5,20182710794
2025-03-27,107.0,107.0,105.0,106.05,41777939625
2025-03-28,105.5,107.25,105.15,106.4,16562132684
2025-03-31,106.35,106.4,103.5,105.85,16539717787
2025-04-01,106.1,108.0,105.85,107.5,37418887861
2025-04-03,107.5,107.8,107.0,107.4,12674412060
2025-04-04,108.4,108.4,105.0,106.0,35903649106
2025-04-07,106.5,106.5,102.5,103.35,31980177416
2025-04-08,103.5,107.05,100.0,103.4,52557425245
2025-04-09,103.4,107.7,102.0,102.5,72646571086
2025-04-10,103.0,105.5,100.0,102.9,44507539085
2025-04-11,103.0,107.7,101.6,105.75,41495452539
2025-04-14,108.75,110.9,107.0,109.0,28841426918
2025-04-15,110.95,111.0,108.4,108.9,7697916452
2025-04-16,110.95,112.8,106.05,111.7,31049738697
2025-04-21,111.8,113.4,111.0,111.9,30706615892
2025-04-22,113.8,113.8,111.15,112.4,26431
2025-04-23,112.4,113.7,110.15,112.1,19155621059
2025-04-24,112.0,113.4,111.85,112.75,7906598132
2025-04-25,113.0,113.85,111.0,113.45,7898327205
2025-04-28,113.85,114.3,113.1,113.7,5910164558
2025-04-29,113.7,114.3,113.2,113.3,6792997623
2025-04-30,113.35,114.0,112.65,113.65,10007499845
2025-05-05,113.9,114.0,112.15,113.35,14755064632
2025-05-06,114.0,114.4,112.5,113.8,8318621135
2025-05-07,113.2,115.7,113.2,115.0,27004539626
2025-05-08,115.8,116.85,115.25,115.9,31352422906
2025-05-09,115.9,116.7,114.7,115.9,10499303981
2025-05-12,117.75,117.75,114.9,115.85,9837534036
2025-05-13,117.0,117.0,114.6,115.85,20534284774
2025-05-14,115.5,117.0,115.5,116.7,24600405864
2025-05-15,116.0,117.9,116.0,116.85,24137543538
2025-05-16,117.8,117.8,115.9,116.7,15360287729
2025-05-19,117.9,117.9,116.3,117.7,15112502814
2025-05-20,118.0,118.35,116.8,117.75,16625041014
2025-05-21,118.25,118.25,117.0,117.0,13614008420
2025-05-22,116.5,117.7,114.3,116.85,8887894806
2025-05-23,116.9,117.5,115.85,117.2,8393256187
2025-05-26,117.3,117.85,117.1,117.5,15288988455
2025-05-27,117.1,118.25,117.1,118.05,9492515414
2025-05-28,118.35,119.0,117.7,118.5,25154096239
2025-05-29,120.4,120.4,117.65,118.6,11269090640
2025-05-30,118.6,119.55,118.1,119.3,22424630464
2025-06-02,119.7,120.2,118.75,119.85,17436449355
2025-06-03,121.0,121.0,119.1,120.1,12356447757
2025-06-04,120.2,120.5,119.65,119.75,12687410671
2025-06-05,120.45,120.45,119.15,119.8,7198449090
2025-06-06,119.4,120.0,119.4,119.8,3877187581
2025-06-09,120.0,120.5,119.6,120.15,14866262594
2025-06-10,120.35,121.25,119.8,120.15,6843333064
2025-06-11,121.5,121.5,119.55,119.8,7235348782
2025-06-12,120.5,120.9,119.8,120.35,22869392335
2025-06-13,121.25,121.7,120.4,121.15,13047526954
2025-06-17,121.2,121.2,118.5,120.1,6071911216
2025-06-18,119.3,120.5,116.8,119.45,22355644541
2025-06-19,120.65,120.65,119.65,120.2,9642834051
2025-06-23,120.7,120.7,119.05,119.3,24939200388
2025-06-24,120.0,120.2,118.6,119.55,23145117008
2025-06-25,119.55,119.9,118.85,119.0,15787324975
2025-06-26,119.2,119.8,117.0,118.0,6125614736
2025-06-27,118.75,120.0,118.1,119.3,21396736986
2025-06-30,119.2,122.0,118.5,119.2,12331302684
2025-07-01,119.3,119.9,117.75,118.25,7970758690
2025-07-02,119.75,121.45,117.25,119.8,16729604427
2025-07-03,120.0,120.9,119.2,119.8,12638682956
2025-07-04,119.8,121.45,119.7,120.0,9110062951
2025-07-07,120.2,120.85,118.1,119.6,10145351082
2025-07-08,119.5,120.95,118.85,120.4,16200926838
2025-07-10,121.4,121.8,120.1,121.15,13415063826
2025-07-11,121.15,122.0,121.0,121.7,15792662406
2025-07-14,122.0,122.6,121.35,121.4,31332242444
2025-07-15,122.2,122.2,119.05,119.9,28477089118
2025-07-16,120.25,120.5,118.55,119.6,16967404095
2025-07-17,119.95,120.45,117.8,118.1,28584157066
2025-07-18,118.2,118.85,117.0,117.1,16508530071
2025-07-21,118.0,119.75,115.05,116.0,24349400166
2025-07-22,116.0,117.4,115.0,116.55,54201621743
2025-07-23,117.3,121.5,116.3,117.5,62757947559
2025-07-24,118.0,119.9,117.6,118.45,41721393562
2025-07-25,119.65,119.65,117.0,117.2,20644891348
2025-07-28,118.6,118.6,115.95,116.4,21813730385
2025-07-29,116.6,117.45,115.45,116.2,20869579639
2025-07-30,117.9,119.85,115.55,116.95,73335747871
2025-07-31,117.3,119.5,116.5,119.1,39242845173
2025-08-01,120.9,120.95,118.55,119.4,19201271567
2025-08-04,120.0,120.75,119.35,119.95,45333159620
2025-08-05,121.0,125.0,120.0,120.5,37285796708
2025-08-06,120.7,120.7,119.4,119.6,35776474405
2025-08-07,119.5,120.2,117.0,117.75,40195593313
2025-08-08,118.9,118.9,116.9,118.0,12851716573
2025-08-11,117.9,119.45,117.0,117.4,12508641563
2025-08-12,117.4,118.75,116.9,117.65,15937046899
2025-08-13,117.8,118.65,117.0,117.5,20136084700
2025-08-14,117.85,117.85,115.4,116.3,19757808763
2025-08-18,117.0,117.9,115.6,116.0,17964308625
2025-08-19,117.45,117.7,115.7,114.5,18767204635
2025-08-20,116.1,117.3,114.0,114.75,20117336425
2025-08-21,115.15,117.25,112.6,117.1,157958683362
2025-08-22,118.0,118.5,115.65,117.0,15163170752
2025-08-25,116.0,116.9,113.5,114.4,26999213017
2025-08-26,114.35,117.35,113.1,117.05,473299755986
2025-08-27,118.0,118.0,115.3,115.95,19785118436
2025-08-28,117.9,119.4,116.0,118.35,24802166893
