Date,Open,High,Low,Close,Volume
2025-01-31,102.0,102.0,100.2,100.3,10680543185
2025-02-03,101.0,101.0,100.0,100.3,3407296895
2025-02-04,100.7,100.7,100.1,100.15,1120547706
2025-02-05,100.75,100.75,100.0,100.45,2131305788
2025-02-06,100.5,100.5,100.0,100.3,4131441760
2025-02-07,100.8,100.8,100.05,100.3,279144398
2025-02-10,101.2,101.2,99.9,100.0,790470461
2025-02-11,100.9,100.9,97.05,99.45,1347196444
2025-02-12,100.3,100.3,98.5,100.0,2298306402
2025-02-13,100.4,100.65,98.8,100.45,2337102101
2025-02-14,101.4,101.4,100.0,100.35,1087241225
2025-02-17,99.8,101.05,99.8,100.0,1309705442
2025-02-18,102.15,102.15,100.2,101.5,3276412566
2025-02-19,101.3,102.15,100.5,100.75,2699258396
2025-02-20,101.25,101.25,100.5,100.8,6395380
2025-02-21,101.25,101.25,100.5,100.75,45473881
2025-02-24,101.3,101.8,100.1,100.15,275794209
2025-02-25,100.0,100.75,100.0,100.3,44904684
2025-02-26,100.8,100.8,100.0,100.2,400299032
2025-02-27,99.8,100.7,98.8,100.05,205126908
2025-02-28,100.45,100.5,98.51,99.0,755738344
2025-03-05,99.0,100.5,98.01,98.55,648194223
2025-03-06,99.5,99.5,95.05,96.39,2898990038
2025-03-07,95.45,97.49,95.07,96.4,134292286
2025-03-10,95.2,98.75,95.2,95.21,986400419
2025-03-11,96.9,96.9,94.93,95.55,2301835950
2025-03-12,96.5,96.84,95.26,95.6,7128682317
2025-03-13,95.6,96.5,94.75,95.75,3735919850
2025-03-14,95.0,96.0,94.8,95.0,171896769
2025-03-17,94.1,95.9,94.0,93.2,1685823620
2025-03-18,93.5,94.0,89.85,89.85,1488059599
2025-03-19,92.0,93.04,87.31,93.0,2218728881
2025-03-20,94.86,95.5,91.75,92.0,5145066323
2025-03-21,94.5,94.5,89.0,89.9,11768519195
2025-03-25,90.4,91.5,88.0,89.75,1354640311
2025-03-26,92.25,92.25,88.5,89.87,3268143885
2025-03-27,91.0,92.2,89.5,90.05,7111769474
2025-03-28,91.5,91.5,89.67,89.77,3448183106
2025-03-31,90.33,90.33,88.02,90.0,646258428
2025-04-01,91.0,92.2,89.02,90.25,7831140245
2025-04-03,90.5,92.2,88.9,89.08,180336608
2025-04-04,90.3,90.3,85.05,86.5,2857615008
2025-04-07,85.0,88.0,82.1,83.15,739479916
2025-04-08,84.99,85.0,79.0,82.55,5246421666
2025-04-09,85.0,85.79,81.0,82.5,7374900149
2025-04-10,84.75,87.0,80.11,82.0,5989769228
2025-04-11,84.5,93.0,82.0,89.5,15142480813
2025-04-14,102.0,102.0,91.0,95.24,1984849212
2025-04-15,95.05,100.0,94.51,96.0,831652466
2025-04-16,98.44,104.5,96.0,101.4,1717903846
2025-04-21,101.5,107.0,99.25,101.85,2647176894
2025-04-22,103.0,107.0,99.4,101.5,273
2025-04-23,104.0,104.0,99.6,101.2,1026377154
2025-04-24,100.0,101.5,95.9,101.0,1096481207
2025-04-25,100.0,102.1,100.0,101.0,1242037737
2025-04-28,99.35,102.3,97.51,100.0,1328963838
2025-04-29,98.0,101.0,98.0,99.65,447610624
2025-04-30,100.0,101.0,98.01,100.75,729133538
2025-05-05,98.55,104.0,98.55,99.7,231580877
2025-05-06,101.0,101.0,98.2,99.65,142526011
2025-05-07,99.5,101.95,99.0,101.6,4277349771
2025-05-08,101.95,103.0,100.55,101.8,2651514962
2025-05-09,101.75,103.9,101.1,102.85,1923280396
2025-05-12,102.45,106.0,102.45,104.0,315608769
2025-05-13,105.0,105.0,103.0,104.1,1206131481
2025-05-14,102.0,104.9,102.0,104.5,1226891895
2025-05-15,106.0,106.0,103.65,104.85,80404864
2025-05-16,105.8,105.8,103.6,104.85,1488719452
2025-05-19,105.0,106.0,103.35,104.2,288637275
2025-05-20,106.0,106.0,103.8,104.85,2471207772
2025-05-21,104.2,107.75,102.0,104.6,609310279
2025-05-22,104.05,105.85,103.6,105.0,1405284770
2025-05-23,105.7,105.7,102.3,103.5,2840796163
2025-05-26,104.85,104.85,103.0,104.0,1781172752
2025-05-27,104.55,105.5,103.5,105.25,1525180436
2025-05-28,105.9,107.0,103.7,106.8,2490919818
2025-05-29,110.0,110.0,105.55,106.55,1117400321
2025-05-30,109.5,109.5,105.5,107.5,1025455567
2025-06-02,108.65,109.0,106.9,108.15,1802228487
2025-06-03,107.4,109.0,107.4,109.0,4720070385
2025-06-04,108.0,109.5,108.0,108.1,714759301
2025-06-05,108.45,108.95,107.6,107.9,130576994
2025-06-06,108.6,109.5,106.7,107.3,1281428687
2025-06-09,108.0,108.3,106.9,107.95,1787301885
2025-06-10,108.0,111.8,107.6,107.85,3151462239
2025-06-11,108.95,108.95,107.0,107.0,1427819122
2025-06-12,107.05,110.0,107.0,109.1,2027992451
2025-06-13,110.9,110.9,107.75,109.9,817932034
2025-06-17,108.4,110.1,107.2,109.25,236647990
2025-06-18,110.3,110.35,106.5,107.85,2080132063
2025-06-19,107.1,108.8,106.5,107.65,2110806121
2025-06-23,108.05,108.05,106.05,106.3,234928842
2025-06-24,107.85,107.85,103.5,105.25,1251934096
2025-06-25,106.0,106.0,104.55,105.1,384554134
2025-06-26,105.9,105.9,104.1,104.2,1442436774
2025-06-27,104.95,105.9,102.85,104.95,2577960438
2025-06-30,105.0,105.5,103.4,103.9,1973781313
2025-07-01,105.0,105.0,102.3,102.95,1949543927
2025-07-02,103.3,103.7,101.95,103.35,4223215982
2025-07-03,103.4,104.7,103.4,103.9,569898329
2025-07-04,103.95,105.1,103.95,104.4,448666262
2025-07-07,105.75,105.9,103.85,103.9,1072522354
2025-07-08,103.45,105.5,103.45,105.05,2637313749
2025-07-10,105.05,106.6,105.0,106.15,1655248181
2025-07-11,109.0,109.0,106.2,106.8,4580249692
2025-07-14,106.8,108.65,105.7,106.85,9724794070
2025-07-15,107.8,109.7,103.5,105.2,3735078213
2025-07-16,105.95,105.95,103.9,105.4,917819733
2025-07-17,106.45,108.8,104.25,105.45,236985533
2025-07-18,104.85,107.5,104.05,105.0,1413312807
2025-07-21,104.5,105.1,102.0,102.4,939535979
2025-07-22,102.7,103.05,100.6,102.7,515231200
2025-07-23,103.35,104.95,102.7,103.7,331851253
2025-07-24,104.0,104.8,103.0,104.65,770297235
2025-07-25,104.95,105.2,103.2,104.0,405183714
2025-07-28,104.15,104.95,102.8,102.8,169944520
2025-07-29,103.75,103.8,101.5,102.9,144140177
2025-07-30,102.2,103.25,101.9,102.3,1711463463
2025-07-31,102.65,108.0,102.6,106.3,6816126937
2025-08-01,104.3,109.45,104.25,106.8,1389655521
2025-08-04,107.05,107.7,106.05,106.7,473622008
2025-08-05,107.65,107.65,106.15,106.35,211788786
2025-08-06,107.5,107.5,104.05,105.65,1668155887
2025-08-07,105.95,106.0,105.15,105.5,417968977
2025-08-08,105.85,105.85,104.2,104.9,326745586
2025-08-11,105.15,105.15,103.1,104.3,131550844
2025-08-12,104.45,105.1,104.1,104.15,124667798
2025-08-13,104.15,105.0,103.2,104.7,918970200
2025-08-14,106.45,106.45,102.1,103.2,248195354
2025-08-18,103.15,103.8,102.2,102.6,646624204
2025-08-19,102.6,104.4,102.0,101.75,225411873
2025-08-20,103.0,103.75,101.0,102.0,236717723
2025-08-21,102.65,102.65,98.5,100.75,1176379878
2025-08-22,101.75,101.75,99.9,100.1,1097181631
2025-08-25,100.95,100.95,96.25,97.5,809688352
2025-08-26,97.5,99.0,96.51,97.3,682073836
2025-08-27,99.5,99.5,96.18,97.65,864454344
2025-08-28,98.98,100.45,97.4,99.8,746053517
2025-08-29,99.02,101.0,97.0,98.95,277977016
2025-09-01,99.94,99.95,96.16,97.1,244801051
2025-09-02,96.43,98.29,92.0,96.03,655977544
2025-09-03,96.01,98.89,96.0,97.3,344103650
2025-09-04,96.35,98.92,94.57,96.0,794755270
2025-09-05,95.04,98.5,95.04,96.95,142625460
2025-09-08,94.97,97.89,87.01,92.45,679309651
2025-09-09,94.5,94.9,90.61,91.9,188918504
2025-09-10,92.79,93.97,92.0,92.45,679536876
2025-09-11,93.95,96.99,92.6,93.5,7165722109
2025-09-12,93.0,97.87,92.3,93.95,2282158559
2025-09-15,95.0,95.0,88.25,92.5,3599276203
2025-09-16,92.9,95.5,92.2,92.5,3997548981
2025-09-17,93.0,93.89,90.55,90.62,195349960
2025-09-18,93.0,93.0,84.5,86.0,4287855510
2025-09-19,89.5,89.5,79.5,82.5,1836945463
2025-09-22,88.87,92.14,83.51,90.54,654613348
2025-09-23,86.52,94.0,86.52,92.7,325743679
2025-09-24,93.25,97.86,93.25,94.0,858807758
2025-09-25,93.4,95.5,90.41,91.21,209370992
2025-09-26,91.21,91.6,88.6,91.7,3205076130
2025-09-29,93.49,93.5,89.0,90.5,1123161318
2025-09-30,89.0,92.99,82.5,86.52,1325477661
