Date,Open,High,Low,Close,Volume
2024-10-14,103.0,103.95,102.3,103.5,12404524965
2024-10-15,105.0,105.0,103.1,103.15,8743474915
2024-10-16,103.5,104.0,102.2,103.45,9734033631
2024-10-17,103.9,104.7,102.7,104.2,7178589864
2024-10-18,105.2,106.25,104.7,105.95,8751738652
2024-10-21,106.2,107.55,105.1,106.7,14268079889
2024-10-22,108.5,108.5,106.1,106.2,4476903795
2024-10-23,106.5,107.9,105.0,105.95,4996848851
2024-10-24,106.7,108.0,105.7,107.05,13827845534
2024-10-25,107.9,108.9,107.1,108.0,22310639016
2024-10-28,108.65,112.5,108.1,110.8,12465732779
2024-10-29,111.0,112.45,110.6,112.15,19947424746
2024-10-30,114.0,114.0,109.9,111.8,4002390338
2024-10-31,111.0,113.95,111.0,112.3,7231830115
2024-11-01,113.0,117.0,113.0,114.35,2805724385
2024-11-04,115.5,115.5,113.75,114.85,2566971618
2024-11-05,115.9,116.75,114.0,114.5,1467972285
2024-11-06,115.25,117.0,114.65,115.25,5778803076
2024-11-07,115.25,117.5,114.9,115.85,3884654210
2024-11-08,115.25,118.9,115.25,116.95,11849779689
2024-11-11,118.0,119.0,116.75,117.15,2716593385
2024-11-12,120.0,121.9,117.4,120.2,5464307527
2024-11-13,121.7,123.8,120.5,122.25,5679385602
2024-11-14,124.4,124.4,121.1,121.75,5484002613
2024-11-15,124.0,124.0,120.1,121.5,6492454668
2024-11-19,121.5,123.0,120.25,121.45,3151037158
2024-11-20,122.75,122.75,121.05,121.45,4300849399
2024-11-21,120.4,122.5,120.2,120.4,6165449331
2024-11-22,120.7,121.55,120.05,120.85,904270342
2024-11-25,120.85,121.45,120.15,121.25,1888544431
2024-11-26,121.3,121.3,119.8,120.15,5883259936
2024-11-27,120.6,121.0,117.0,120.4,7489611864
2024-11-28,120.95,120.95,119.8,120.25,14875619292
2024-11-29,121.0,121.0,119.5,120.0,3026295115
2024-12-02,121.0,121.0,118.3,119.85,8656109897
2024-12-03,120.5,123.0,119.4,119.4,2139130530
2024-12-04,119.85,123.0,118.5,118.8,3517475857
2024-12-05,118.8,119.85,117.7,118.5,9887462852
2024-12-06,118.5,122.1,118.5,120.8,12475156007
2024-12-09,122.0,122.0,120.5,120.7,3799478003
2024-12-10,121.65,121.65,120.15,120.5,4105395440
2024-12-11,119.75,123.0,119.75,123.0,4961412958
2024-12-12,123.0,127.9,122.25,123.5,5615055566
2024-12-13,123.0,124.8,122.95,124.5,7720846253
2024-12-16,125.5,125.65,124.65,125.05,6157833380
2024-12-17,126.25,127.55,123.75,124.5,3154766267
2024-12-18,128.0,128.0,123.0,125.3,9471489154
2024-12-19,126.55,127.1,123.9,125.65,11843941424
2024-12-20,126.85,127.4,126.05,126.4,6349596086
2024-12-23,126.5,128.0,125.0,126.5,1700879109
2024-12-24,125.15,127.85,125.15,127.3,26579298
2024-12-26,127.45,128.7,125.6,126.4,626925266
2024-12-27,125.45,127.15,124.1,125.55,1466020787
2024-12-30,125.5,128.95,125.45,126.7,4537055064
2025-01-02,126.7,129.2,126.0,129.0,4442704393
2025-01-03,132.4,132.9,128.25,130.4,7149819292
2025-01-06,131.25,131.25,129.05,130.4,1646134031
2025-01-07,131.25,132.0,129.05,130.55,2891097738
2025-01-08,131.2,131.75,130.65,131.0,8044154806
2025-01-09,131.65,131.65,130.1,131.35,9414288500
2025-01-10,132.05,132.55,131.45,131.95,5116081258
2025-01-13,132.4,132.5,130.0,131.1,5227838534
2025-01-14,131.35,132.35,130.5,131.4,3984328442
2025-01-15,131.95,132.7,130.25,130.75,5874653175
2025-01-16,132.5,132.5,130.2,130.7,2655961297
2025-01-17,130.1,131.6,129.8,130.15,2364437341
2025-01-20,130.2,131.45,130.2,130.6,5333904985
2025-01-21,130.6,131.6,130.6,130.95,1626429618
2025-01-22,131.55,132.45,131.4,131.8,16659508898
2025-01-23,131.7,132.25,131.0,132.05,25319730598
2025-01-24,131.25,134.7,131.25,133.45,5907665251
2025-01-27,134.2,134.65,132.0,133.0,1667293521
2025-01-28,133.6,133.95,132.05,133.0,7831314270
2025-01-29,134.0,134.0,132.0,132.55,826706051
