Date,Open,High,Low,Close,Volume
2025-10-31,107.0,107.0,103.35,103.8,37662658444
2025-11-03,104.7,104.7,101.75,102.95,23806663028
2025-11-04,103.45,103.45,101.5,102.35,8058528068
2025-11-05,103.35,103.75,102.3,103.15,8197729642
2025-11-06,104.45,104.45,102.65,102.7,698281128
2025-11-07,103.4,103.4,101.5,102.6,30318818501
2025-11-10,102.75,103.7,102.7,103.65,32014364499
2025-11-11,104.65,104.65,102.7,104.25,42701420900
2025-11-12,104.85,104.9,103.6,104.15,59711808536
2025-11-13,104.6,104.65,103.75,103.95,32261871875
2025-11-14,104.45,104.5,103.95,104.3,28058628089
2025-11-17,104.6,104.7,104.05,104.2,13663112795
2025-11-18,104.2,104.5,103.75,103.95,11150583920
2025-11-19,104.0,104.35,103.45,103.65,16864705265
2025-11-20,104.4,105.35,103.9,104.35,33941594059
2025-11-21,104.75,104.75,104.2,104.45,116207426
2025-11-25,104.5,104.7,103.75,103.75,14242025640
2025-11-26,104.15,104.5,103.65,103.7,13942741498
2025-11-27,103.75,106.45,103.0,103.5,75904357707
2025-11-28,104.0,105.95,103.5,104.25,30359497855
2025-12-01,104.7,104.7,104.0,104.1,27967864802
2025-12-02,104.7,104.85,104.15,104.7,69966959908
2025-12-03,105.0,105.35,104.95,105.2,49219519671
2025-12-04,106.05,106.05,104.9,105.1,47887152720
2025-12-05,106.15,106.15,105.25,105.4,24293574535
2025-12-09,105.95,106.0,105.35,105.5,7465583398
2025-12-10,105.75,106.95,105.5,105.9,45972739258
2025-12-11,106.25,107.6,105.7,105.95,35842164106
2025-12-12,106.35,107.7,106.1,107.35,75343051404
2025-12-15,107.35,108.45,106.35,107.1,50565107426
2025-12-16,107.1,107.75,105.65,107.3,54817935485
2025-12-17,107.3,107.75,107.05,107.2,40882223835
2025-12-18,107.3,108.2,106.85,107.15,40011713519
2025-12-19,107.85,108.0,107.1,107.45,44296659262
2025-12-22,107.85,109.0,107.5,107.9,45278425599
2025-12-23,108.5,108.65,106.55,107.35,38503200068
2025-12-24,107.9,107.9,107.0,107.4,89109875
2025-12-26,107.6,107.9,107.0,107.45,6257264193
2025-12-29,107.95,107.95,106.5,106.75,5554050200
2025-12-30,107.2,107.2,106.2,106.5,4800777961
2026-01-02,106.8,107.0,105.8,106.2,15010142317
2026-01-05,106.6,107.0,106.5,106.7,28754426549
2026-01-06,107.05,107.05,106.25,106.4,20189409188
2026-01-07,106.4,107.0,105.9,106.8,12978368483
2026-01-08,106.8,107.05,106.3,106.85,26558472807
2026-01-09,107.0,107.5,106.8,106.85,10260798584
2026-01-12,107.3,107.5,106.55,106.7,14155912342
2026-01-13,106.7,107.0,105.85,106.15,11935184511
2026-01-14,106.15,106.75,105.6,106.7,24490987709
2026-01-15,106.8,106.9,106.1,106.75,22156915973
2026-01-16,106.75,107.3,106.2,106.95,20285949589
2026-01-19,106.95,107.4,106.4,106.85,4343171906
2026-01-20,106.85,107.4,106.25,106.75,12608559863
2026-01-21,106.75,107.4,106.25,106.25,14587402037
2026-01-22,106.25,106.75,106.1,106.65,17371770432
2026-01-23,107.2,107.75,106.4,107.5,7957691094
2026-01-26,107.0,107.8,106.65,107.3,11011938581
2026-01-27,107.3,108.65,107.3,108.5,25189749656
2026-01-28,109.2,109.2,108.0,108.55,8072173005
2026-01-29,109.4,109.4,107.5,108.4,18336341676
2026-01-30,108.9,109.8,108.4,108.7,9276721106
2026-02-02,109.2,109.2,108.1,108.25,5581914676
2026-02-03,108.7,108.7,107.9,108.35,34330154944
2026-02-04,108.7,108.9,108.0,108.75,26730526248
2026-02-05,109.4,109.4,107.25,108.25,23126455941
2026-02-06,108.05,108.9,108.05,108.85,8258736823
2026-02-09,109.0,109.05,106.9,108.5,20993606002
2026-02-10,108.7,108.9,108.25,108.8,22513862983
2026-02-11,108.25,108.9,108.25,108.65,9290389087
2026-02-12,108.65,109.0,108.4,108.9,11209107545
