Date,Open,High,Low,Close,Volume
2025-01-17,101.5,101.5,100.3,100.3,39893263344
2025-01-20,102.8,102.8,100.4,101.2,26926521145
2025-01-21,102.1,103.25,101.4,101.65,13408696054
2025-01-22,101.2,102.5,100.4,100.6,65698682258
2025-01-23,100.75,100.95,100.6,100.8,24459917581
2025-01-24,101.45,101.95,100.9,101.55,23071618670
2025-01-27,102.0,102.35,101.5,101.6,15280529436
2025-01-28,102.2,102.2,101.45,101.65,9286467008
2025-01-29,101.9,102.0,101.0,101.2,7158843946
2025-01-30,102.0,102.0,100.9,101.2,22666557494
2025-01-31,102.45,102.45,101.2,101.6,27604685096
2025-02-03,102.2,102.2,101.1,101.55,2606582054
2025-02-04,101.9,101.9,101.1,101.2,6782457319
2025-02-05,102.0,102.0,100.85,101.3,5111319649
2025-02-06,101.85,101.85,101.35,101.65,11481049678
2025-02-07,102.15,102.15,101.4,101.6,2213209750
2025-02-10,102.1,102.1,100.9,100.95,6673781550
2025-02-11,101.0,101.35,100.0,100.45,3661710726
2025-02-12,99.51,101.1,99.51,100.3,1325869818
2025-02-13,100.5,101.9,100.3,100.9,11618020840
2025-02-14,101.45,101.9,100.9,101.8,6149379289
2025-02-17,101.3,101.9,101.0,101.4,7561405420
2025-02-18,102.1,102.1,100.95,102.0,8199892271
2025-02-19,102.35,103.1,101.6,101.9,21583055806
2025-02-20,102.3,102.3,101.7,101.8,8647544989
2025-02-21,101.8,102.35,101.15,101.75,13538997025
2025-02-24,101.55,102.3,101.1,101.55,5054384738
2025-02-25,101.45,102.0,101.45,101.8,2145707474
2025-02-26,101.5,102.1,101.1,101.5,2246991283
2025-02-27,101.3,101.7,100.2,100.65,2695821680
2025-02-28,101.0,101.0,100.0,100.55,3239638069
2025-03-05,100.0,102.05,99.15,99.9,569962395
2025-03-06,99.15,100.35,97.2,98.25,4200211212
2025-03-07,97.41,99.7,97.41,98.5,7733661140
2025-03-10,99.24,99.25,97.44,97.97,407588053
2025-03-11,98.85,99.0,97.14,98.19,15969537207
2025-03-12,99.15,99.48,97.54,98.5,6941187997
2025-03-13,98.5,99.4,98.11,98.4,4943940777
2025-03-14,99.4,99.4,97.1,97.93,11372053452
2025-03-17,98.74,98.75,96.41,97.05,4974750740
2025-03-18,97.4,97.4,93.06,93.5,4036725455
2025-03-19,93.61,96.4,90.85,95.9,18025481011
2025-03-20,98.75,98.75,94.26,95.15,8071229761
2025-03-21,95.15,97.65,93.26,93.59,5889647231
2025-03-25,95.95,95.95,92.4,92.8,3309847209
2025-03-26,93.4,95.2,92.51,93.15,9446694848
2025-03-27,94.25,94.25,93.0,93.95,7075368130
2025-03-28,95.74,95.74,93.2,94.5,4325158559
2025-03-31,95.0,95.0,93.1,93.82,4669814998
2025-04-01,94.0,96.48,94.0,95.1,12181659836
2025-04-03,93.05,97.0,93.05,94.95,5252013316
2025-04-04,97.0,97.0,92.7,94.0,2579020924
2025-04-07,93.99,94.0,89.46,90.5,19163261204
2025-04-08,93.0,94.0,85.88,90.15,20214780008
2025-04-09,92.8,92.8,86.6,90.0,15327837854
2025-04-10,91.5,94.99,87.26,90.3,20134419308
2025-04-11,90.0,95.9,90.0,95.08,11967006348
2025-04-14,98.01,103.0,95.0,96.9,11717676996
2025-04-15,96.9,98.25,95.9,96.51,7987470008
2025-04-16,97.5,104.3,97.5,100.35,6368229122
2025-04-21,103.0,103.9,101.1,101.55,15535761930
2025-04-22,102.25,102.85,100.5,102.0,486
2025-04-23,102.25,102.3,100.5,101.2,13217175037
2025-04-24,100.0,102.1,100.0,101.9,7906571418
2025-04-25,100.5,103.05,100.05,101.65,7406006272
2025-04-28,102.8,102.8,100.2,101.6,6526565471
2025-04-29,101.05,102.7,101.0,101.8,4699599325
2025-04-30,102.7,102.7,101.1,102.05,3345994846
2025-05-05,102.95,102.95,100.5,101.45,1293535179
2025-05-06,102.65,102.65,101.3,101.9,5212590397
2025-05-07,103.0,104.5,101.95,103.0,5220698392
2025-05-08,103.0,105.25,103.0,104.35,3834316722
2025-05-09,105.3,105.45,103.7,105.5,11236676390
2025-05-12,105.0,106.2,104.5,104.7,10788167908
2025-05-13,104.55,105.1,104.45,104.85,9877593976
2025-05-14,103.0,105.95,103.0,105.6,17595861752
2025-05-15,106.45,106.45,105.55,105.65,6186038372
2025-05-16,106.3,106.35,105.3,105.5,1727708114
2025-05-19,106.7,106.7,105.25,106.15,6914208279
2025-05-20,106.65,107.1,106.3,106.85,7511489417
2025-05-21,106.5,107.2,104.0,105.7,6213277863
2025-05-22,106.3,106.3,103.0,105.6,4718483516
2025-05-23,106.0,106.3,103.5,105.25,8890147566
2025-05-26,105.3,106.75,104.3,105.4,8898642652
2025-05-27,105.4,107.0,104.6,106.9,17090610677
2025-05-28,106.55,108.3,106.25,107.8,13340917885
2025-05-29,107.15,108.0,105.9,107.6,15229680407
2025-05-30,108.15,109.75,107.7,108.7,17512446058
2025-06-02,108.75,110.05,108.7,109.15,7854407503
2025-06-03,110.0,110.0,108.75,109.7,13005815251
2025-06-04,109.95,110.2,108.85,109.1,3853937613
2025-06-05,109.2,109.6,108.15,109.1,5478968745
2025-06-06,109.0,109.75,108.25,109.1,3168744090
2025-06-09,108.7,109.9,108.45,109.2,7355679560
2025-06-10,109.75,110.35,109.25,109.75,14366507121
2025-06-11,110.4,110.4,108.9,109.35,6951893242
2025-06-12,109.9,110.8,109.15,109.75,5250593810
