Date,Open,High,Low,Close,Volume
2023-08-10,108.5,109.0,108.3,108.4,30278734
2023-08-11,109.0,110.0,109.0,109.0,417337716
2023-08-14,108.0,108.5,107.5,107.5,1093886
2023-08-15,109.5,112.0,109.5,111.0,73510957
2023-08-16,111.0,113.2,111.0,113.2,30000332
2023-08-17,112.1,116.5,112.0,116.5,480609
2023-08-18,117.0,117.0,116.5,116.5,32000
2023-08-22,116.15,116.15,116.15,116.15,210243
2023-08-23,115.6,121.15,115.0,116.75,2714707
2023-08-24,118.25,118.25,117.0,117.0,96034245
2023-08-25,117.5,119.0,117.5,118.5,1627732529
2023-08-28,119.25,120.5,119.0,120.5,526317838
2023-08-29,121.9,127.35,121.3,126.55,784325189
2023-08-30,127.75,127.75,124.1,125.0,151792157
2023-08-31,124.5,126.75,124.5,125.9,463152305
2023-09-01,125.5,127.5,125.5,127.5,405163748
2023-09-04,126.3,128.0,126.1,127.75,227076678
2023-09-05,127.8,127.8,125.5,125.5,270101500
2023-09-06,124.3,126.0,121.0,124.0,37299548
2023-09-07,125.0,125.0,123.5,123.75,150030013
2023-09-08,126.0,128.0,124.75,125.0,979547193
2023-09-11,126.5,127.1,123.5,124.0,29131246
2023-09-12,122.8,127.0,121.85,123.7,904729
2023-09-13,127.0,128.0,121.3,125.65,45391
2023-09-14,124.4,126.0,123.5,124.0,26431887
2023-09-15,126.45,126.5,122.0,122.75,134019689
2023-09-18,123.0,126.0,121.8,123.4,61292434
2023-09-19,122.2,123.25,121.1,121.35,5307392
2023-09-20,122.25,123.2,122.2,123.1,268371565
2023-09-21,122.5,125.0,122.5,123.9,1539944007
2023-09-22,123.0,125.75,123.0,124.1,292102353
2023-09-25,124.1,124.85,124.0,124.25,759205703
2023-09-26,126.0,126.0,123.2,124.6,172666729
2023-09-27,124.0,126.1,124.0,124.95,100110911
2023-09-28,127.0,127.0,117.5,118.0,19164384
2023-09-29,116.9,122.0,113.3,118.05,430761193
2023-10-02,115.0,120.0,114.0,117.75,2616380628
2023-10-03,116.6,117.0,110.7,117.0,307632807
2023-10-04,115.9,115.9,111.55,112.75,66558479
2023-10-05,111.7,115.0,108.6,113.55,5062104
2023-10-06,112.5,117.0,110.2,115.95,1346419672
2023-10-09,113.0,120.0,113.0,116.75,485558789
2023-10-10,115.6,117.0,112.05,115.25,10284874
2023-10-11,115.0,119.0,113.5,117.5,1348318
2023-10-12,119.0,119.0,112.0,116.5,11680822
2023-10-17,115.4,116.95,111.75,112.0,14992006
2023-10-18,112.0,120.0,112.0,120.0,74377774
2023-10-19,119.0,129.15,119.0,120.0,0
2023-10-20,127.3,130.0,126.0,126.1,36834108
2023-10-23,129.5,149.0,129.5,148.0,75538807
2023-10-24,146.6,147.55,136.6,140.0,67990342
2023-10-25,138.6,139.5,130.0,138.25,151327184
2023-10-26,136.9,140.0,134.5,140.0,56736675
2023-10-27,138.6,144.0,129.1,143.8,3948698
2023-10-30,140.0,143.5,135.2,135.3,25674
2023-10-31,137.0,143.0,137.0,142.0,1757711
2023-11-01,145.0,145.0,141.0,141.0,1434479
2023-11-02,139.6,147.75,139.6,146.25,101360796
2023-11-03,148.0,149.0,145.0,148.0,53066823
2023-11-07,148.0,151.85,145.45,147.6,41231673
2023-11-08,152.0,152.0,139.25,139.25,946878
2023-11-09,139.0,145.0,139.0,144.0,174954
2023-11-10,147.5,147.5,145.25,145.3,79666312
2023-11-13,145.3,148.2,140.5,148.15,68755
2023-11-14,146.7,151.5,145.0,151.0,88422977
2023-11-15,150.0,152.0,144.5,147.0,139298
2023-11-16,145.6,151.0,144.5,149.0,600032255
2023-11-17,151.35,151.4,147.75,151.4,335174358
2023-11-21,155.0,155.15,135.0,150.0,34036868
2023-11-22,148.5,155.0,147.0,153.0,747130753
2023-11-23,152.0,156.5,151.5,156.5,386096252
2023-11-24,157.25,174.0,157.25,169.0,41538793
2023-11-27,167.4,172.0,158.5,167.0,97808342
2023-11-28,165.4,173.0,162.55,170.5,2825418
2023-11-29,171.0,172.5,171.0,172.0,34484168
2023-11-30,172.0,180.0,166.9,178.0,114244342
2023-12-01,182.75,190.0,180.0,188.5,97605362
2023-12-04,194.0,205.9,193.1,199.0,330469912
2023-12-05,198.9,209.0,197.3,202.25,778482602
2023-12-06,200.3,208.0,200.3,205.0,947800475
2023-12-07,211.0,225.0,203.0,208.0,286761635
2023-12-11,209.0,225.0,200.0,210.0,103893487
2023-12-12,216.0,230.0,207.9,210.0,44798186
2023-12-13,225.0,275.0,225.0,248.7,74872581
2023-12-14,251.2,295.0,240.25,295.0,773295940
2023-12-15,292.1,299.0,249.6,255.0,550979865
2023-12-18,255.0,256.75,220.0,220.0,43274751
2023-12-19,220.0,229.0,210.35,216.0,145858988
2023-12-20,216.0,226.0,203.85,226.0,194206880
2023-12-21,226.5,265.0,226.5,256.2,248714794
2023-12-22,256.2,264.0,250.0,253.0,27700662
2023-12-26,251.0,270.0,251.0,261.0,163119244
2023-12-27,261.0,285.0,258.5,283.0,294498958
2023-12-28,283.0,305.0,269.9,277.0,215174202
2023-12-29,274.3,297.0,264.0,286.0,25277422
2024-01-02,291.0,310.15,284.0,310.0,50663876
2024-01-03,310.0,319.0,302.1,315.5,500056166
2024-01-04,315.0,325.0,305.0,306.0,713646893
2024-01-05,310.0,317.5,280.0,292.0,50296746
2024-01-08,289.5,292.05,260.45,273.0,155138008
2024-01-09,270.5,300.0,262.5,290.0,171137193
2024-01-10,291.5,310.0,290.0,292.0,56884964
2024-01-11,289.5,302.0,271.5,289.0,425794412
2024-01-12,289.0,302.5,286.5,296.5,120155608
2024-01-15,294.0,307.95,294.0,303.4,19185204
2024-01-16,303.4,320.0,291.5,320.0,134717158
2024-01-17,320.0,327.0,307.2,324.0,6086643
2024-01-18,320.8,336.0,318.0,328.0,124173137
2024-01-19,325.0,332.0,318.0,326.0,440323635
2024-01-22,333.0,333.0,304.0,318.9,53027647
2024-01-23,315.8,318.9,293.5,312.0,120333916
2024-01-24,309.0,316.45,299.8,305.0,559715385
2024-01-25,302.0,305.0,287.0,287.0,42940176
2024-01-26,290.0,290.0,260.0,266.0,19473219
2024-01-29,268.0,280.0,256.0,280.0,99894880
2024-01-30,277.5,302.0,276.0,292.0,5312102
2024-01-31,289.5,290.0,278.0,285.0,43446088
2024-02-01,282.5,288.0,277.65,285.0,125434261
2024-02-02,286.0,290.0,274.7,289.9,62305254
2024-02-05,295.0,297.9,285.0,294.0,29533510
2024-02-06,291.5,305.0,291.5,301.8,244367780
2024-02-07,301.0,306.9,292.8,302.5,171204295
2024-02-08,299.5,318.0,295.0,312.0,49890851
2024-02-09,309.0,318.0,305.0,308.9,136006279
2024-02-14,308.9,308.9,295.0,308.9,31794544
2024-02-15,306.0,323.0,300.0,312.0,235405766
2024-02-16,316.8,316.8,298.0,313.5,15363238
2024-02-19,310.5,325.0,310.5,318.5,95613879
2024-02-20,318.5,327.0,318.0,325.0,42532974
2024-02-21,328.0,328.0,312.0,324.0,358730635
2024-02-22,320.8,330.0,318.45,330.0,13062788
2024-02-23,333.0,339.9,320.5,326.3,2631523
2024-02-26,330.0,330.0,316.6,322.0,50123639
2024-02-27,320.0,330.9,320.0,324.0,99621625
2024-02-28,328.0,330.5,321.0,322.0,355720818
2024-02-29,318.8,328.0,316.0,325.3,33517596
2024-03-01,322.5,329.0,318.0,324.2,6106421
2024-03-04,325.0,330.5,315.0,322.0,43982805
2024-03-05,318.8,324.5,316.5,322.4,117731433
2024-03-06,319.5,325.2,317.0,320.0,122067782
2024-03-07,320.0,326.0,311.6,320.0,8372705
2024-03-08,325.0,325.0,295.0,312.5,88910337
2024-03-11,312.6,335.0,310.35,330.5,301988467
2024-03-12,338.0,370.0,332.25,340.0,278080654
2024-03-13,337.0,355.0,330.0,348.1,311923188
2024-03-14,348.0,365.0,331.1,360.0,295768845
2024-03-15,368.0,375.0,365.0,374.0,372690084
2024-03-18,374.0,400.0,374.0,381.9,32713033
2024-03-19,381.9,390.0,373.5,381.0,42570415
2024-03-20,382.0,395.0,373.5,377.0,94104626
2024-03-21,373.5,390.0,365.0,381.0,12498636
2024-03-22,380.0,395.0,373.5,395.0,80186473
2024-03-25,399.0,410.0,370.0,382.2,18277170
2024-03-26,388.0,392.0,378.7,382.5,28816843
2024-03-27,384.0,390.0,370.0,382.5,119740459
2024-04-03,382.5,385.0,374.0,379.0,22186589
2024-04-04,382.0,383.0,363.7,380.0,311424924
