Date,Open,High,Low,Close,Volume
2023-11-22,36050.0,36050.0,36050.0,36050.0,1156967
2023-11-23,51500.0,51500.0,51500.0,51500.0,20000
2023-11-24,53000.0,53000.0,50000.0,50000.0,1000153
2023-11-27,51000.0,52000.0,51000.0,52000.0,2219839
2023-11-28,53560.0,53560.0,51500.0,51500.0,501930
2023-11-29,52500.0,52500.0,52500.0,52500.0,215177
2023-11-30,53500.0,55555.0,53500.0,55555.0,1047993
2023-12-01,56250.0,57000.0,56250.0,56750.0,149250
2023-12-04,57850.0,57850.0,57000.0,57000.0,15810
2023-12-05,58710.0,58710.0,58500.0,58500.0,26594
2023-12-06,59500.0,59500.0,59250.0,59250.0,86074
2023-12-07,59500.0,60500.0,59250.0,60200.0,354769
2023-12-11,60300.0,62000.0,60300.0,61500.0,3823
2023-12-12,61700.0,66300.0,61000.0,66300.0,207193
2023-12-13,70000.0,70000.0,66300.0,67000.0,42304
2023-12-14,68200.0,71000.0,67000.0,68500.0,1013433
2023-12-15,69500.0,75000.0,69500.0,75000.0,374826
2023-12-18,77200.0,77200.0,70000.0,73500.0,116508
2023-12-19,73000.0,73000.0,70500.0,71500.0,97
2023-12-20,70100.0,71500.0,68500.0,71500.0,21134
2023-12-21,73000.0,75000.0,73000.0,75000.0,50797
2023-12-22,75000.0,77200.0,75000.0,77200.0,1500816
2023-12-26,75000.0,77200.0,75000.0,77200.0,0
2023-12-27,75000.0,76000.0,75000.0,76000.0,337
2024-01-02,81000.0,82000.0,81000.0,82000.0,1231
2024-01-03,82000.0,82000.0,78000.0,80000.0,77889
2024-01-04,81000.0,85000.0,81000.0,85000.0,561254
2024-01-05,86000.0,86000.0,85000.0,85500.0,361
2024-01-09,82000.0,88900.0,82000.0,88900.0,350
2024-01-10,88900.0,91900.0,88900.0,90000.0,2249
2024-01-12,92500.0,92500.0,90000.0,90050.0,50560
2024-01-15,91000.0,91000.0,91000.0,91000.0,6
2024-01-16,91500.0,91500.0,91500.0,91500.0,403
2024-01-17,91500.0,92500.0,91500.0,92500.0,6950
2024-01-18,95000.0,95000.0,95000.0,95000.0,36
2024-01-19,97800.0,100100.0,97800.0,100100.0,320
2024-01-22,100150.0,100150.0,100050.0,100050.0,2270
2024-01-23,100000.0,100000.0,99950.0,100000.0,21922
2024-01-24,100000.0,100000.0,96500.0,97500.0,116889
2024-01-25,97500.0,102500.0,97490.0,101000.0,11908
2024-01-26,100000.0,111000.0,100000.0,110000.0,23372
2024-01-29,113000.0,115000.0,110000.0,115000.0,4364
2024-01-30,115000.0,121000.0,111600.0,111600.0,1338
2024-01-31,112000.0,112000.0,109000.0,110000.0,22950
2024-02-01,110000.0,110000.0,106000.0,106000.0,3606
2024-02-02,109000.0,109000.0,108000.0,108000.0,1632
2024-02-05,108000.0,108000.0,107500.0,107500.0,591
2024-02-06,110000.0,110000.0,110000.0,110000.0,27788
2024-02-07,113300.0,113300.0,99000.0,100000.0,2848
2024-02-08,103000.0,103000.0,103000.0,103000.0,920
2024-02-09,103000.0,103000.0,98000.0,100100.0,1519
2024-02-14,103000.0,103000.0,98000.0,98000.0,9316
2024-02-15,95100.0,98990.0,92500.0,97100.0,5748
2024-02-16,96500.0,96500.0,91000.0,91000.0,1626
2024-02-19,92500.0,99900.0,92500.0,99890.0,22666
2024-02-20,100100.0,100400.0,100000.0,100350.0,3517552
2024-02-21,100400.0,100500.0,100290.0,100290.0,1080074
2024-02-22,100100.0,100150.0,99980.0,100000.0,1527489
2024-02-23,99480.0,99480.0,95000.0,95000.0,262
2024-02-26,92000.0,92500.0,86500.0,92000.0,224637
2024-02-27,92100.0,92110.0,91000.0,91490.0,86816
2024-02-28,91800.0,96250.0,91800.0,94000.0,1060150
2024-02-29,94050.0,98000.0,94050.0,98000.0,618813
2024-03-01,97500.0,98000.0,96000.0,96010.0,519220
