Date,Open,High,Low,Close,Volume
2025-05-15,5430.0,5490.0,5430.0,5480.0,36
2025-05-16,5520.0,5570.0,5500.0,5520.0,276
2025-05-19,5350.0,5360.0,5290.0,5330.0,231
2025-05-20,5320.0,5370.0,5320.0,5350.0,297
2025-05-21,5340.0,5340.0,5250.0,5180.0,26
2025-05-22,5220.0,5220.0,5150.0,5150.0,181
2025-05-23,5090.0,5130.0,5060.0,5130.0,140
2025-05-26,5090.0,5130.0,5060.0,5130.0,0
2025-05-27,5240.0,5270.0,5210.0,5300.0,789
2025-05-28,5320.0,5360.0,5280.0,5350.0,649
2025-05-29,5370.0,5370.0,5170.0,5200.0,225
2025-05-30,5270.0,5310.0,5230.0,5340.0,813
2025-06-02,5140.0,5250.0,5140.0,5230.0,243
2025-06-03,5260.0,5320.0,5180.0,5390.0,53
2025-06-04,5450.0,5450.0,5350.0,5390.0,110
2025-06-05,5540.0,5640.0,5490.0,5580.0,1066
2025-06-06,5580.0,5580.0,5480.0,5450.0,149
2025-06-09,5500.0,5520.0,5440.0,5500.0,138
2025-06-10,5480.0,5480.0,5390.0,5420.0,2389
2025-06-11,5360.0,5380.0,5120.0,5120.0,2859
2025-06-12,5060.0,5140.0,5040.0,5020.0,623
2025-06-13,5050.0,5080.0,4975.0,5010.0,1839
2025-06-17,5060.0,5110.0,5000.0,4995.0,359
2025-06-18,4900.0,4925.0,4825.0,4890.0,797
2025-06-19,4900.0,4925.0,4825.0,4890.0,0
2025-06-23,4815.0,4910.0,4790.0,4845.0,258
2025-06-24,4925.0,5050.0,4925.0,5080.0,137
2025-06-25,5140.0,5140.0,5040.0,5040.0,40
2025-06-26,5070.0,5070.0,5070.0,5090.0,2
2025-06-27,5220.0,5280.0,5130.0,5180.0,411
2025-06-30,5220.0,5240.0,5140.0,5270.0,516
2025-07-01,5340.0,5470.0,5280.0,5500.0,231
2025-07-02,5440.0,5490.0,5340.0,5470.0,360
2025-07-03,5640.0,5690.0,5580.0,5660.0,1443
2025-07-04,5660.0,0.0,0.0,5660.0,0
2025-07-07,5680.0,5900.0,5680.0,5840.0,1901
2025-07-08,5910.0,5980.0,5820.0,5860.0,2165
2025-07-10,5510.0,5600.0,5440.0,5440.0,3956
2025-07-11,5400.0,5400.0,5060.0,5090.0,3255
2025-07-14,5180.0,5320.0,5180.0,5320.0,1575
2025-07-15,5350.0,5350.0,5130.0,5120.0,554
2025-07-16,5050.0,5190.0,5050.0,5140.0,76
2025-07-17,5210.0,5300.0,5200.0,5180.0,398
2025-07-18,5220.0,5370.0,5220.0,5380.0,3262
2025-07-21,5400.0,5460.0,5320.0,5330.0,5411
2025-07-22,5350.0,5500.0,5340.0,5310.0,3356
2025-07-23,5430.0,5540.0,5430.0,5470.0,1004
2025-07-24,5390.0,5420.0,5330.0,5400.0,754
2025-07-25,5500.0,5600.0,5500.0,5550.0,725
2025-07-28,5590.0,5590.0,5510.0,5590.0,387
2025-07-29,5640.0,5640.0,5460.0,5480.0,1063
2025-07-30,5530.0,5570.0,5460.0,5500.0,245
2025-07-31,5550.0,5680.0,5520.0,5520.0,2293
2025-08-01,5370.0,5440.0,5300.0,5310.0,779
2025-08-04,5360.0,5410.0,5310.0,5370.0,655
2025-08-05,5350.0,5400.0,5270.0,5320.0,584
2025-08-06,5380.0,5380.0,5240.0,5280.0,50
2025-08-07,5290.0,5290.0,4820.0,4860.0,4625
2025-08-08,4940.0,4940.0,4745.0,4780.0,1860
2025-08-11,4710.0,4860.0,4475.0,4490.0,812
2025-08-12,4580.0,4640.0,4450.0,4470.0,464
2025-08-13,4410.0,4605.0,4400.0,4625.0,646
2025-08-14,4570.0,4585.0,4510.0,4590.0,1303
2025-08-18,4635.0,4700.0,4625.0,4700.0,2516
2025-08-19,4690.0,4690.0,4570.0,4620.0,967
2025-08-20,4640.0,4645.0,4550.0,4630.0,980
2025-08-21,4635.0,4635.0,4570.0,4635.0,386
2025-08-22,4835.0,4880.0,4765.0,4850.0,301
2025-08-25,4850.0,4915.0,4845.0,4910.0,255
2025-08-26,4890.0,4895.0,4750.0,4750.0,990
2025-08-27,4950.0,5020.0,4925.0,4980.0,2702
2025-08-28,5030.0,5100.0,5000.0,5090.0,12616
2025-08-29,5030.0,5160.0,5030.0,5100.0,1541
2025-09-01,4980.0,5340.0,4870.0,5290.0,592
2025-09-02,5130.0,5130.0,5000.0,5030.0,741
2025-09-03,4960.0,5040.0,4950.0,4985.0,554
2025-09-04,4860.0,4995.0,4825.0,4935.0,5948
2025-09-05,5100.0,5130.0,5020.0,5110.0,1809
2025-09-08,5100.0,5305.0,5100.0,5270.0,1570
2025-09-09,5300.0,5590.0,5300.0,5545.0,3333
2025-09-10,5570.0,5575.0,5280.0,5295.0,1398
2025-09-11,5400.0,5495.0,5375.0,5415.0,1075
2025-09-12,5450.0,5510.0,5430.0,5485.0,622
2025-09-15,5545.0,5545.0,5465.0,5555.0,282
2025-09-16,5500.0,5535.0,5380.0,5390.0,1693
2025-09-17,5500.0,5600.0,5460.0,5475.0,1369
2025-09-18,5510.0,5610.0,5435.0,5580.0,2438
2025-09-19,5580.0,5645.0,5560.0,5630.0,1193
2025-09-22,5330.0,5395.0,5050.0,5205.0,24160
2025-09-23,5075.0,5080.0,4787.5,5010.0,1282
2025-09-24,4967.5,4967.5,4847.5,4870.0,1009
2025-09-25,4755.0,4852.5,4750.0,4825.0,1217
2025-09-26,4790.0,5235.0,4790.0,5195.0,1210
2025-09-29,5215.0,5275.0,5175.0,5255.0,958
2025-09-30,5145.0,5230.0,5070.0,5245.0,1043
2025-10-01,5405.0,5405.0,4980.0,4980.0,21087
2025-10-02,5020.0,5085.0,4942.5,5010.0,3121
2025-10-03,5000.0,5000.0,4892.5,4880.0,1088
2025-10-06,4850.0,5105.0,4807.5,4850.0,18290
2025-10-07,4862.5,4980.0,4765.0,4982.5,3395
2025-10-08,5030.0,5080.0,4922.5,4937.5,6888
2025-10-09,4900.0,4912.5,4560.0,4547.5,12091
2025-10-13,4430.0,4570.0,4300.0,4570.0,2741
2025-10-14,4565.0,4927.5,4565.0,4925.0,3298
2025-10-15,4942.5,4942.5,4615.0,4657.5,6844
2025-10-16,4792.5,4795.0,4690.0,4727.5,2301
2025-10-17,4745.0,5000.0,4730.0,4990.0,18069
2025-10-20,5070.0,5260.0,5070.0,5265.0,8856
2025-10-21,5330.0,5820.0,5280.0,5810.0,59354
2025-10-22,5855.0,5885.0,5730.0,5775.0,8141
2025-10-23,5755.0,5755.0,5410.0,5450.0,15503
2025-10-24,5470.0,5485.0,5390.0,5430.0,12920
2025-10-27,4880.0,5520.0,4000.0,5250.0,3970
2025-10-28,5130.0,5220.0,5125.0,5220.0,5485
2025-10-29,5185.0,5185.0,4985.0,5060.0,2885
2025-10-30,5060.0,5220.0,5050.0,5070.0,19984
2025-10-31,5100.0,5455.0,5100.0,5450.0,23265
2025-11-03,5500.0,5705.0,5355.0,5660.0,5668
2025-11-04,5635.0,5685.0,5200.0,5355.0,7235
2025-11-05,5365.0,5370.0,5110.0,5150.0,4681
2025-11-06,5145.0,5230.0,4882.5,5035.0,20653
2025-11-07,4900.0,4975.0,4842.5,4900.0,1263
2025-11-10,4955.0,5000.0,4830.0,5025.0,2626
2025-11-11,5025.0,5175.0,4957.5,5040.0,8153
2025-11-12,5040.0,5040.0,4790.0,4850.0,3557
2025-11-13,4735.0,4930.0,4735.0,4820.0,263
2025-11-14,4782.5,4900.0,4782.5,4842.5,1491
2025-11-17,4767.5,4807.5,4600.0,4602.5,1196
2025-11-18,4562.5,4675.0,4562.5,4607.5,1268
2025-11-19,4670.0,4717.5,4600.0,4632.5,777
2025-11-20,4607.5,4720.0,4540.0,4575.0,1796
2025-11-21,4540.0,4665.0,4507.5,4625.0,1040
2025-11-25,4707.5,4887.5,4617.5,4847.5,1277
2025-11-26,4850.0,4897.5,4730.0,4845.0,1915
2025-11-27,4835.0,5400.0,4615.0,4950.0,735
2025-11-28,4740.0,4932.5,4732.5,4940.0,1851
2025-12-01,4837.5,4997.5,4715.0,4895.0,747
2025-12-02,4897.5,5075.0,4882.5,5025.0,976
2025-12-03,5065.0,5065.0,4950.0,5025.0,318
2025-12-04,5130.0,5130.0,4947.5,5050.0,1560
2025-12-05,4925.0,5275.0,4925.0,5150.0,2482
2025-12-09,5215.0,5215.0,5040.0,5120.0,860
2025-12-10,5105.0,5200.0,5105.0,5200.0,1349
2025-12-11,5225.0,5270.0,5165.0,5230.0,514
2025-12-12,5205.0,5260.0,5145.0,5175.0,692
