Date,Open,High,Low,Close,Volume
2019-01-02,118.95,119.0,114.1,116.0,14634
2019-01-03,116.0,116.0,111.0,111.6,12909
2019-01-04,111.5,116.95,111.5,115.8,75751
2019-01-07,115.0,115.0,110.25,110.5,38393
2019-01-08,111.25,115.5,110.0,115.0,45129
2019-01-09,116.0,119.5,115.0,117.0,56471
2019-01-10,115.0,120.0,115.0,119.95,105557
2019-01-11,119.9,122.25,115.0,118.2,70538
2019-01-14,118.2,122.0,116.75,118.3,65089
2019-01-15,117.5,120.95,117.5,119.5,63870
2019-01-16,117.75,127.0,117.75,122.7,46204
2019-01-17,125.0,127.0,122.5,125.0,54828
2019-01-18,129.95,129.95,123.15,123.3,44333
2019-01-21,123.0,123.3,121.0,122.0,9244
2019-01-22,122.0,123.5,121.0,122.05,74380
2019-01-23,122.0,125.0,119.05,120.4,144882
2019-01-24,120.4,124.5,118.0,122.1,42643
2019-01-25,122.0,123.95,119.1,121.0,28708
2019-01-28,120.0,122.0,115.0,121.0,105651
2019-01-29,122.0,124.0,117.0,123.65,131027
2019-01-30,122.5,125.95,121.0,123.6,80112
2019-01-31,123.0,124.0,121.0,123.8,26702
2019-02-01,123.8,125.0,122.0,124.35,20095
2019-02-04,124.35,124.9,122.5,123.05,19173
2019-02-05,120.0,123.8,120.0,123.35,19913
2019-02-06,123.2,124.0,118.0,118.5,10377
2019-02-07,118.05,123.5,118.05,119.65,39471
2019-02-08,119.65,122.9,119.5,122.2,39198
2019-02-11,122.2,125.0,122.1,122.2,21165
2019-02-12,122.0,124.5,121.05,124.45,39376
2019-02-13,122.05,124.65,121.5,122.9,44722
2019-02-14,122.9,125.0,122.0,124.1,28505
2019-02-15,124.45,124.45,121.15,123.75,28175
2019-02-18,122.9,125.0,122.0,124.95,5363
2019-02-19,124.95,124.95,119.0,119.0,8475
2019-02-20,119.0,124.0,119.0,119.05,44002
2019-02-21,119.55,122.9,119.05,121.95,60830
2019-02-22,122.0,123.45,120.0,121.5,17954
2019-02-25,123.95,123.95,117.0,118.4,18329
2019-02-26,118.4,119.0,117.55,118.9,21771
2019-02-27,119.0,119.15,115.5,117.0,31697
2019-02-28,117.0,119.0,115.0,116.95,207619
2019-03-01,117.0,124.25,117.0,117.1,50185
2019-03-06,119.0,123.8,118.0,118.2,113231
2019-03-07,123.0,127.5,118.55,125.9,82868
2019-03-08,125.9,125.9,121.0,121.4,17077
2019-03-11,122.0,127.0,122.0,125.2,24530
2019-03-12,125.2,127.0,124.5,127.0,26678
2019-03-13,127.0,129.0,124.05,126.1,38866
2019-03-14,126.0,126.0,122.2,123.9,5951
2019-03-15,122.35,125.9,120.0,124.55,31451
2019-03-18,121.05,125.0,121.05,124.15,46313
2019-03-19,124.0,127.0,124.0,125.7,48432
2019-03-20,126.0,128.0,126.0,126.5,77791
2019-03-21,127.5,128.75,126.0,126.0,22194
2019-03-22,126.0,128.0,122.35,125.0,38268
2019-03-25,125.0,129.0,122.3,127.5,170817
2019-03-26,127.3,129.3,125.5,127.0,75955
2019-03-27,125.0,125.0,119.0,121.6,66251
2019-03-28,122.25,127.0,122.25,127.0,10032
2019-03-29,123.8,127.0,123.8,126.8,37795
2019-04-01,126.8,127.0,125.0,125.7,16700
2019-04-03,122.0,123.5,122.0,122.4,14226
2019-04-04,122.0,123.5,120.0,122.05,23171
2019-04-05,123.0,126.0,123.0,123.5,19601
2019-04-08,123.0,125.3,123.0,124.5,28073
2019-04-09,124.5,125.0,121.6,124.4,69968
2019-04-10,123.6,124.2,121.7,123.8,29244
2019-04-11,125.0,125.0,120.0,122.0,14317
2019-04-12,120.0,122.2,118.5,120.8,34896
2019-04-15,118.05,123.0,118.05,121.2,137364
2019-04-16,121.2,126.5,121.2,126.3,42098
2019-04-17,125.0,130.0,123.0,127.0,25112
2019-04-22,126.95,126.95,119.9,122.0,7547
2019-04-23,121.0,124.9,119.55,121.5,49987
2019-04-24,121.5,125.8,119.5,125.0,133091
2019-04-25,124.5,124.5,114.5,120.9,143322
2019-04-26,122.0,124.0,120.0,124.0,18938
2019-04-29,125.45,125.5,117.6,118.55,239205
2019-04-30,118.55,120.0,116.0,118.6,127871
2019-05-02,119.0,121.5,119.0,121.0,182129
2019-05-03,118.3,122.5,118.3,122.5,63321
2019-05-06,122.1,129.0,122.1,129.0,46440
2019-05-07,129.0,135.0,126.65,133.45,76286
2019-05-08,129.0,142.0,129.0,141.7,151561
2019-05-09,140.0,146.0,140.0,142.3,67267
2019-05-10,140.0,140.0,133.0,134.9,66892
2019-05-13,140.0,140.0,129.5,131.8,50524
2019-05-14,132.05,133.0,130.0,131.25,55591
2019-05-15,131.0,135.1,131.0,133.3,164819
2019-05-16,133.0,138.75,133.0,137.75,86595
2019-05-17,139.0,140.5,134.0,136.9,93276
2019-05-20,136.45,136.5,133.0,133.75,59621
2019-05-21,134.15,138.5,134.15,138.0,94981
2019-05-22,141.0,145.9,139.5,141.45,98818
2019-05-23,135.6,142.0,135.55,140.9,39751
2019-05-24,142.0,144.9,137.0,143.05,155881
2019-05-27,143.05,144.8,138.0,143.85,17669
2019-05-28,144.0,147.3,137.0,140.7,106432
2019-05-29,134.0,138.75,132.0,133.1,52958
2019-05-30,134.0,134.75,128.25,130.35,52814
2019-05-31,131.05,139.1,131.05,132.6,51955
2019-06-03,132.6,137.5,123.7,133.55,255105
2019-06-04,133.55,134.0,127.5,132.55,149631
2019-06-05,132.4,140.1,132.4,139.95,98182
2019-06-06,141.0,141.0,138.0,138.0,54258
2019-06-07,139.2,140.9,136.0,137.5,153151
2019-06-10,141.0,142.5,137.55,141.05,23111
2019-06-11,141.0,144.0,140.0,141.9,63150
2019-06-12,145.0,155.0,145.0,153.6,166286
2019-06-13,155.0,155.0,148.0,151.5,222124
2019-06-14,151.0,153.0,148.0,152.5,116708
2019-06-18,155.0,156.5,152.0,153.5,123579
2019-06-19,153.6,157.5,151.0,151.2,124040
2019-06-21,151.6,157.95,151.6,153.65,72228
2019-06-24,153.65,153.65,147.0,149.8,126837
2019-06-25,149.0,152.5,149.0,150.35,116764
2019-06-26,150.95,152.0,147.05,147.65,172737
2019-06-27,147.65,150.95,145.15,150.3,38814
2019-06-28,150.05,153.9,147.0,152.0,225582
2019-07-01,151.0,152.2,147.75,149.0,16009
2019-07-02,150.75,152.0,149.0,150.1,18758
2019-07-03,150.35,151.05,146.0,146.95,12250
