Date,Open,High,Low,Close,Volume
2019-09-20,1515.0,1520.0,1480.0,1480.0,3162
2019-09-23,1490.0,1490.0,1428.0,1462.5,52333
2019-09-24,1442.0,1442.0,1340.5,1380.0,52688
2019-09-25,1380.0,1380.0,1339.0,1364.0,68589
2019-09-26,1340.0,1341.5,1307.0,1329.5,60559
2019-09-27,1361.0,1370.0,1324.0,1350.0,71764
2019-09-30,1355.0,1355.0,1325.5,1348.5,181545
2019-10-01,1355.0,1401.0,1348.0,1389.0,100579
2019-10-02,1370.0,1385.0,1342.0,1354.0,108002
2019-10-03,1370.0,1370.0,1332.5,1339.5,153327
2019-10-04,1345.0,1373.0,1334.0,1358.5,136536
2019-10-07,1370.0,1377.0,1332.0,1337.0,261814
2019-10-08,1350.0,1369.0,1322.0,1363.0,185271
2019-10-09,1385.0,1385.0,1353.0,1377.0,71325
2019-10-10,1415.0,1415.0,1382.5,1407.5,105765
2019-10-11,1425.0,1471.5,1425.0,1451.5,23380
2019-10-15,1500.0,1500.0,1425.0,1429.5,10800
2019-10-16,1461.0,1461.0,1428.0,1435.0,9383
2019-10-17,1458.5,1540.0,1440.0,1520.0,10339
2019-10-18,1530.0,1564.5,1515.0,1532.5,15491
2019-10-21,1532.5,1577.0,1532.5,1568.0,9481
2019-10-22,1590.0,1690.0,1572.0,1660.0,18244
2019-10-23,1660.0,1695.0,1570.0,1628.5,12781
2019-10-24,1629.0,1656.5,1550.0,1642.5,16701
2019-10-25,1700.0,1717.0,1640.0,1675.5,25600
2019-10-28,1710.0,1790.0,1706.0,1724.5,5359
2019-10-29,1750.0,1750.0,1606.0,1633.5,13061
2019-10-30,1638.5,1640.0,1571.0,1623.5,20161
2019-10-31,1624.0,1643.0,1580.0,1625.5,18759
2019-11-01,1687.0,1792.5,1687.0,1766.5,19545
2019-11-04,1765.0,1844.5,1751.0,1770.0,17568
2019-11-05,1760.0,1770.0,1743.0,1762.0,9514
2019-11-06,1760.0,1765.0,1701.0,1764.5,4789
2019-11-07,1765.0,1780.0,1717.5,1724.5,3504
2019-11-08,1720.0,1750.0,1698.0,1734.0,5768
2019-11-11,1733.5,1735.0,1645.0,1705.0,3638
2019-11-12,1720.0,1720.0,1660.0,1687.0,4454
2019-11-13,1690.0,1697.0,1643.0,1655.5,3482
2019-11-14,1665.0,1684.5,1645.0,1659.0,1701
2019-11-15,1659.0,1690.0,1642.0,1660.5,2991
2019-11-19,1640.0,1660.0,1600.0,1625.0,6128
2019-11-20,1600.0,1630.0,1600.0,1606.5,5667
2019-11-21,1615.0,1665.5,1600.0,1602.5,1911
2019-11-22,1606.5,1650.0,1606.5,1633.5,3100
2019-11-25,1644.5,1644.5,1598.0,1607.0,2435
2019-11-26,1607.0,1610.0,1571.0,1580.0,2846
2019-11-27,1570.0,1595.0,1565.5,1595.0,3829
2019-11-28,1595.0,1619.0,1595.0,1610.5,1253
2019-11-29,1625.0,1647.0,1555.0,1620.0,4694
2019-12-02,1618.5,1618.5,1530.0,1586.0,9701
2019-12-03,1518.0,1575.0,1518.0,1548.0,3603
2019-12-04,1560.0,1615.0,1560.0,1612.0,4149
2019-12-05,1625.0,1715.0,1625.0,1713.0,6116
2019-12-06,1750.0,1750.0,1711.0,1736.0,6117
2019-12-09,1759.0,1759.0,1650.0,1680.0,2511
2019-12-10,1740.0,1740.0,1645.0,1647.5,5667
2019-12-11,1652.0,1700.0,1650.0,1692.0,3011
2019-12-12,1700.0,1720.0,1657.5,1669.0,11416
2019-12-13,1698.5,1698.5,1640.0,1659.0,5274
2019-12-16,1725.0,1740.0,1687.0,1710.0,3479
2019-12-17,1710.0,1750.5,1670.0,1705.0,7384
2019-12-18,1749.0,1749.0,1635.0,1648.0,9664
2019-12-19,1648.0,1668.5,1580.0,1646.5,6574
2019-12-20,1700.0,1700.0,1624.5,1625.0,6283
2019-12-23,1650.0,1650.0,1619.5,1639.0,9613
2019-12-26,1630.0,1680.0,1630.0,1653.0,9907
2019-12-27,1630.0,1665.0,1630.0,1652.0,6244
2019-12-30,1658.0,1687.5,1653.5,1687.0,3589
2020-01-02,1690.0,1718.0,1685.0,1693.0,4461
2020-01-03,1712.0,1761.5,1712.0,1761.0,12372
2020-01-06,1770.0,1790.0,1751.0,1789.5,4982
2020-01-07,1794.0,1831.0,1783.0,1825.0,22016
2020-01-08,1835.0,1835.0,1793.5,1825.0,0
2020-01-09,1834.0,1850.0,1786.0,1825.0,6278
2020-01-10,1850.0,1850.0,1803.0,1844.5,4601
2020-01-13,1844.5,1860.0,1835.0,1853.5,1560
2020-01-14,1820.5,1841.5,1819.0,1839.0,3949
2020-01-15,1869.5,1869.5,1802.0,1831.0,1416
2020-01-16,1856.0,1856.0,1823.0,1839.5,4592
2020-01-17,1840.0,1870.0,1825.5,1829.5,3460
2020-01-20,1829.0,1859.0,1810.0,1859.0,929
2020-01-21,1865.0,1870.0,1820.0,1831.5,5636
2020-01-22,1869.5,1869.5,1821.0,1842.0,1441
2020-01-23,1864.0,1899.0,1820.0,1876.0,2001
2020-01-24,1855.0,1900.0,1855.0,1859.5,1589
2020-01-27,1820.0,1830.0,1770.0,1805.5,3119
2020-01-28,1824.5,1837.0,1797.5,1823.0,3041
2020-01-29,1825.0,1869.5,1825.0,1842.0,1616
2020-01-30,1828.0,1828.0,1762.5,1781.0,2089
2020-01-31,1776.0,1776.0,1750.0,1759.0,1570
2020-02-03,1760.0,1770.0,1700.0,1705.0,2669
2020-02-04,1705.5,1770.0,1705.5,1749.0,2111
2020-02-05,1750.0,1790.0,1750.0,1770.5,2899
2020-02-06,1777.0,1780.0,1760.5,1773.5,2546
2020-02-07,1718.5,1741.0,1718.5,1730.0,3016
2020-02-10,1734.0,1739.0,1722.0,1733.0,2466
2020-02-11,1739.0,1782.0,1739.0,1756.0,2930
2020-02-12,1734.5,1802.5,1734.5,1760.0,2330
2020-02-13,1760.0,1760.0,1740.0,1750.0,2213
2020-02-14,1755.0,1761.0,1715.5,1728.0,1191
2020-02-17,1720.0,1725.0,1700.0,1720.0,1663
2020-02-18,1719.0,1719.0,1650.0,1652.5,3676
2020-02-19,1660.0,1682.0,1650.0,1678.0,4695
2020-02-20,1652.0,1730.0,1652.0,1711.0,8700
2020-02-21,1710.0,1711.0,1635.0,1640.5,2082
2020-02-26,1580.0,1580.0,1513.0,1516.5,4679
2020-02-27,1500.0,1517.0,1470.0,1490.0,5700
2020-02-28,1430.0,1495.0,1430.0,1492.0,3321
2020-03-02,1481.5,1520.0,1465.0,1507.0,3132
2020-03-03,1520.0,1540.0,1470.0,1479.0,3217
2020-03-04,1480.0,1485.0,1445.0,1465.0,5139
2020-03-05,1450.0,1450.0,1401.0,1425.0,6540
2020-03-06,1400.0,1409.0,1371.0,1373.5,6086
2020-03-09,1286.0,1286.0,1097.5,1116.0,34707
2020-03-10,1150.0,1150.0,1068.0,1122.5,12467
2020-03-11,1095.5,1095.5,1058.0,1072.5,7866
2020-03-12,975.0,1020.0,910.5,956.0,18937
2020-03-13,990.5,1025.0,940.0,983.5,13326
2020-03-16,900.0,935.5,855.0,910.0,6901
2020-03-17,885.5,937.5,874.5,898.0,2474
2020-03-18,941.5,961.0,840.0,846.0,7168
2020-03-19,916.0,975.5,914.0,975.0,5550
2020-03-20,980.0,996.5,918.0,935.0,4367
2020-03-25,999.0,1031.0,970.0,1009.0,3941
2020-03-26,1059.0,1073.0,1040.0,1054.5,6884
2020-03-27,1054.0,1063.0,1025.0,1025.0,1170
2020-03-30,1025.5,1043.5,1020.0,1033.0,1916
2020-04-01,1018.0,1060.0,1018.0,1032.0,2818
2020-04-02,1070.5,1105.0,1058.0,1081.0,4493
2020-04-03,1080.5,1118.0,1080.5,1103.0,2680
2020-04-06,1159.0,1162.0,1130.0,1159.0,5022
2020-04-07,1210.0,1220.0,1173.0,1186.0,3036
2020-04-08,1190.0,1258.5,1172.0,1242.0,5525
2020-04-13,1250.0,1315.0,1230.0,1311.5,10871
2020-04-14,1372.0,1465.0,1352.5,1409.5,10019
2020-04-15,1396.0,1396.0,1345.0,1385.0,7593
2020-04-16,1400.0,1400.0,1252.5,1311.5,3570
2020-04-17,1339.0,1339.0,1280.0,1304.5,3500
2020-04-20,1290.0,1304.5,1262.0,1291.0,1931
2020-04-21,1287.0,1305.5,1275.0,1304.5,1882
2020-04-22,1306.0,1365.0,1306.0,1363.0,3788
2020-04-23,1400.0,1450.0,1380.5,1410.0,4543
2020-04-24,1450.0,1450.0,1373.5,1407.5,3786
2020-04-27,1433.0,1500.0,1403.5,1499.5,1785
2020-04-28,1500.0,1550.0,1470.0,1540.5,6017
2020-04-29,1560.5,1562.0,1490.0,1550.0,5408
2020-04-30,1550.0,1588.0,1530.0,1562.5,4601
2020-05-04,1550.0,1562.5,1494.5,1539.0,1794
2020-05-05,1569.5,1631.5,1565.0,1601.0,3365
2020-05-06,1600.0,1607.0,1541.5,1545.0,3283
2020-05-07,1560.0,1593.0,1560.0,1578.0,1008
2020-05-08,1578.0,1635.0,1578.0,1620.5,5305
2020-05-11,1600.0,1600.0,1549.5,1585.5,5295
2020-05-12,1585.0,1585.0,1520.5,1582.0,5119
2020-05-13,1543.0,1582.0,1505.0,1553.5,5444
2020-05-14,1500.0,1564.0,1498.0,1525.0,4574
2020-05-15,1550.0,1561.5,1492.0,1528.0,2291
2020-05-18,1581.0,1618.0,1566.0,1602.5,6747
2020-05-19,1550.0,1575.0,1470.0,1477.5,24989
2020-05-20,1500.0,1525.0,1486.5,1517.5,2660
2020-05-21,1549.5,1549.5,1450.0,1476.5,6065
2020-05-22,1471.0,1471.0,1384.0,1413.5,8528
2020-05-26,1416.0,1460.0,1345.0,1417.5,4988
2020-05-27,1498.0,1498.0,1387.5,1405.5,2788
2020-05-28,1447.0,1490.0,1405.0,1459.5,4513
2020-05-29,1440.0,1460.0,1390.0,1450.0,3330
2020-06-01,1533.5,1533.5,1482.5,1510.0,2312
2020-06-02,1535.0,1570.0,1526.0,1569.0,6642
2020-06-03,1605.0,1698.0,1600.0,1675.0,22284
2020-06-04,1683.0,1717.0,1674.0,1713.5,2753
2020-06-05,1750.0,1785.0,1729.0,1784.0,4848
2020-06-08,1845.0,1850.0,1810.0,1849.0,4450
2020-06-09,1740.0,1830.0,1740.0,1808.0,3277
2020-06-10,1790.0,1790.0,1740.0,1758.0,1565
2020-06-11,1680.0,1680.0,1565.0,1632.0,4234
2020-06-12,1700.0,1700.0,1525.5,1560.5,7318
2020-06-16,1660.0,1660.0,1610.0,1613.0,967
2020-06-17,1660.0,1660.0,1505.0,1516.5,3937
2020-06-18,1501.0,1535.0,1480.0,1527.5,1397
2020-06-19,1550.0,1555.0,1482.0,1545.5,2922
2020-06-22,1550.0,1620.0,1503.5,1565.0,4261
2020-06-23,1565.0,1565.0,1500.0,1523.0,5760
2020-06-24,1455.0,1475.0,1420.0,1462.0,7503
2020-06-25,1462.0,1462.0,1420.0,1432.5,1823
2020-06-26,1450.0,1450.0,1380.0,1403.5,1599
2020-06-29,1403.5,1480.0,1360.0,1399.0,2251
2020-06-30,1399.0,1399.0,1316.0,1385.0,1801
2020-07-01,1408.5,1430.0,1335.0,1381.5,631
