Date,Open,High,Low,Close,Volume
2019-01-02,56.0,57.85,53.2,56.55,186966
2019-01-03,56.4,56.45,54.6,55.1,78940
2019-01-04,55.3,59.1,55.3,58.15,215765
2019-01-07,58.2,62.0,58.2,61.3,121913
2019-01-08,62.0,62.3,59.0,61.3,148658
2019-01-09,61.2,63.2,60.3,62.7,214428
2019-01-10,62.4,63.3,60.4,63.0,133109
2019-01-11,63.0,63.9,61.0,63.6,75954
2019-01-14,63.9,65.5,63.1,65.1,73926
2019-01-15,65.2,66.0,64.0,64.9,73935
2019-01-16,64.9,66.1,64.0,66.0,101984
2019-01-17,64.7,66.1,63.8,66.0,55244
2019-01-18,66.0,67.4,65.1,65.2,79481
2019-01-21,65.2,66.5,65.0,66.4,324067
2019-01-22,66.3,66.9,63.5,64.0,90335
2019-01-23,64.5,66.0,64.2,65.4,172357
2019-01-24,65.0,65.9,64.8,65.1,78153
2019-01-25,65.2,66.0,63.2,63.7,46195
2019-01-28,64.3,64.3,60.6,63.0,89010
2019-01-29,63.0,64.8,62.5,64.7,58976
2019-01-30,64.9,67.0,63.0,65.9,104498
2019-01-31,65.8,67.2,65.0,66.7,444331
2019-02-01,67.0,69.5,66.7,69.5,922814
2019-02-04,69.6,71.7,69.4,71.3,653289
2019-02-05,71.3,72.9,69.2,70.0,236700
2019-02-06,70.0,70.0,67.8,68.7,150655
2019-02-07,68.4,69.0,66.3,66.8,151051
2019-02-08,66.7,68.5,66.7,68.2,157403
2019-02-11,68.4,71.0,68.1,69.1,40846
2019-02-12,70.0,70.0,68.2,69.6,81741
2019-02-13,70.0,70.0,68.1,69.1,43532
2019-02-14,69.3,69.8,68.2,69.5,37682
2019-02-15,68.8,69.9,68.8,69.4,80239
2019-02-18,69.4,69.4,68.0,69.2,41615
2019-02-19,69.1,69.1,66.2,67.5,115801
2019-02-20,66.0,70.0,65.3,67.2,266407
2019-02-21,67.2,68.2,65.0,67.8,102379
2019-02-22,68.7,71.7,66.5,71.5,113201
2019-02-25,71.0,72.5,70.2,71.8,128067
2019-02-26,71.7,72.5,69.8,71.8,51830
2019-02-27,71.8,72.5,70.3,72.2,175168
2019-02-28,71.0,72.0,69.2,70.8,150038
2019-03-01,70.8,71.4,67.6,69.0,110154
2019-03-06,68.0,68.0,63.5,65.4,134844
2019-03-07,65.5,70.4,64.0,69.5,173230
2019-03-08,69.4,70.8,68.0,68.7,100579
2019-03-11,70.5,70.5,68.0,69.1,278473
2019-03-12,70.0,70.7,67.3,69.4,318913
2019-03-13,69.4,70.3,67.5,70.1,116316
2019-03-14,70.1,70.1,67.7,69.5,61882
2019-03-15,69.6,70.5,69.0,69.9,443357
2019-03-18,71.0,71.0,68.3,70.2,149416
2019-03-19,71.0,71.0,68.0,68.5,164251
2019-03-20,68.5,68.8,66.5,67.3,149125
2019-03-21,66.6,70.0,64.0,67.8,104789
2019-03-22,64.5,70.0,62.5,68.3,127144
2019-03-25,67.0,68.2,66.4,67.0,198698
2019-03-26,67.0,67.7,63.3,64.0,108443
2019-03-27,63.0,65.8,59.3,63.5,391519
2019-03-28,64.0,65.9,62.1,65.1,79226
2019-03-29,65.0,66.4,64.2,64.8,194230
2019-04-01,65.0,66.4,62.1,62.6,146307
2019-04-03,61.0,62.0,60.0,60.9,125876
2019-04-04,60.9,60.9,58.0,59.2,77330
2019-04-05,59.9,60.5,58.0,58.7,37360
2019-04-08,59.0,60.0,57.2,57.5,66729
2019-04-09,57.8,58.8,53.1,53.3,213444
2019-04-10,53.5,56.0,52.9,54.0,189886
2019-04-11,54.2,57.8,52.9,55.4,897923
2019-04-12,55.4,58.0,54.7,56.4,515918
2019-04-15,56.5,58.0,56.0,56.4,123900
2019-04-16,53.0,54.5,50.7,51.0,724718
2019-04-17,51.8,51.8,48.1,50.9,367663
2019-04-22,50.9,53.4,47.0,51.8,290556
2019-04-23,52.8,54.8,51.7,52.0,371888
2019-04-24,50.0,51.1,49.2,50.7,376592
2019-04-25,49.95,53.5,47.0,51.4,466377
2019-04-26,52.0,53.0,50.0,51.8,161659
2019-04-29,50.6,52.3,50.0,51.1,103440
2019-04-30,51.0,53.4,50.9,53.3,987830
2019-05-02,55.0,55.0,53.5,54.1,501020
2019-05-03,55.0,58.4,55.0,57.6,912315
2019-05-06,57.5,60.4,55.1,59.5,173558
2019-05-07,59.6,60.4,57.0,60.0,123685
2019-05-08,60.0,63.4,59.6,63.1,222477
2019-05-09,63.0,66.0,61.3,65.6,117838
2019-05-10,65.6,67.0,64.0,66.0,191845
2019-05-13,65.4,67.5,63.2,66.9,115008
2019-05-14,66.5,67.0,65.6,66.8,83782
2019-05-15,66.8,69.0,65.1,68.0,136515
2019-05-16,68.0,68.5,66.7,68.2,76936
2019-05-17,68.0,68.8,66.5,67.8,83332
