Date,Open,High,Low,Close,Volume
2019-01-02,111.0,113.25,109.65,111.15,63004
2019-01-03,112.0,112.0,106.9,108.8,37921
2019-01-04,108.5,117.75,108.5,116.5,196294
2019-01-07,119.0,120.0,116.0,117.25,155548
2019-01-08,118.0,118.0,113.25,114.5,88327
2019-01-09,114.5,120.0,114.5,118.0,181654
2019-01-10,119.75,119.75,116.5,118.4,246138
2019-01-11,118.0,120.5,116.25,118.35,149284
2019-01-14,118.0,122.9,117.9,118.85,101400
2019-01-15,119.0,122.0,119.0,120.0,199943
2019-01-16,121.0,124.45,121.0,122.9,99373
2019-01-17,121.5,125.3,121.45,124.8,114743
2019-01-18,125.5,127.0,123.0,124.8,140796
2019-01-21,124.8,125.8,123.0,124.05,36087
2019-01-22,123.4,123.4,116.8,122.0,115718
2019-01-23,121.0,126.0,121.0,123.35,70243
2019-01-24,124.0,124.8,121.0,123.4,58982
2019-01-25,124.4,125.0,121.0,121.15,145068
2019-01-28,121.15,123.0,119.7,122.0,143948
2019-01-29,120.0,124.4,120.0,123.85,89418
2019-01-30,124.1,126.7,124.1,125.6,215218
2019-01-31,125.5,126.5,122.75,125.85,207823
2019-02-01,125.8,126.5,123.05,124.45,91976
2019-02-04,125.0,125.75,122.0,123.45,160090
2019-02-05,123.45,126.6,122.0,125.45,157771
2019-02-06,125.45,126.2,121.0,122.25,142479
2019-02-07,122.25,122.25,117.75,118.6,154825
2019-02-08,117.5,121.0,117.0,119.25,85741
2019-02-11,119.5,125.95,119.5,125.3,204334
2019-02-12,125.45,128.0,125.45,126.9,99265
2019-02-13,126.0,127.0,122.8,123.5,75433
2019-02-14,122.5,124.4,121.5,123.95,78048
2019-02-15,123.95,124.2,121.0,122.3,102302
2019-02-18,123.0,123.0,119.5,120.8,30980
2019-02-19,121.0,121.0,114.2,115.05,271625
2019-02-20,115.5,122.5,115.5,116.9,368679
2019-02-21,117.0,117.45,113.55,113.75,133216
2019-02-22,114.2,119.8,114.2,119.4,251811
2019-02-25,120.25,122.65,118.5,122.35,160647
2019-02-26,122.6,123.9,117.2,119.8,159629
2019-02-27,119.5,121.0,116.0,116.5,120944
2019-02-28,116.6,118.0,113.5,114.5,130261
2019-03-01,115.0,117.5,110.0,111.5,85957
2019-03-06,111.0,113.0,106.0,106.65,365777
2019-03-07,106.0,113.95,106.0,111.5,271320
2019-03-08,112.0,116.95,112.0,116.4,149641
2019-03-11,117.9,120.4,117.9,119.95,124519
2019-03-12,120.5,120.5,116.75,116.75,86013
2019-03-13,118.0,120.0,117.0,117.3,117307
2019-03-14,117.0,117.3,114.0,115.5,84393
2019-03-15,117.0,119.6,115.6,116.65,126741
2019-03-18,117.3,121.5,117.3,121.05,456061
2019-03-19,121.05,123.0,117.25,117.55,484754
2019-03-20,117.9,119.5,117.9,118.95,211595
2019-03-21,118.7,118.75,114.5,117.0,49625
2019-03-22,115.0,117.5,113.0,113.35,193558
2019-03-25,113.0,115.5,109.0,112.65,168243
2019-03-26,113.1,115.5,109.5,111.05,358615
2019-03-27,111.15,111.5,107.5,109.1,313254
2019-03-28,109.1,114.0,109.1,113.0,293222
2019-03-29,113.2,115.5,113.1,114.1,146855
2019-04-01,115.0,120.0,113.0,115.0,114541
2019-04-03,111.0,111.5,107.1,107.35,247640
2019-04-04,107.5,108.9,106.5,107.05,142992
2019-04-05,107.0,109.0,104.9,106.65,150943
2019-04-08,108.5,110.0,106.5,109.9,114967
2019-04-09,109.0,109.0,101.5,102.2,178736
