Date,Open,High,Low,Close,Volume
2019-01-02,114.68,116.529999,114.68,116.279999,169900
2019-01-03,115.849998,116.279999,114.290001,114.650002,309500
2019-01-04,117.940002,120.169998,117.510002,119.730003,307500
2019-01-07,120.709999,122.18,120.32,121.279999,156100
2019-01-08,123.160004,123.480003,121.959999,122.309998,150400
2019-01-09,122.849998,123.300003,122.389999,122.919998,139800
2019-01-10,123.709999,124.580002,123.269997,124.489998,202900
2019-01-11,125.010002,125.519997,124.879997,125.07,135500
2019-01-14,124.540001,126.099998,124.489998,125.389999,156600
2019-01-15,126.150002,126.639999,125.459999,126.279999,172300
2019-01-16,126.059998,126.370003,125.599998,125.660004,171400
2019-01-17,124.489998,125.290001,124.019997,124.919998,138700
2019-01-18,124.889999,125.790001,124.870003,125.349998,158600
2019-01-22,124.0,124.349998,123.059998,123.599998,159800
2019-01-23,123.07,123.279999,121.910004,122.470001,130600
2019-01-24,122.639999,123.07,122.309998,122.830002,90400
2019-01-25,123.739998,123.989998,123.459999,123.720001,80000
2019-01-28,122.260002,122.57,121.860001,122.480003,132000
2019-01-29,122.480003,122.830002,122.190002,122.269997,85300
2019-01-30,122.099998,123.489998,121.690002,123.040001,132300
2019-01-31,122.699997,123.379997,122.330002,123.169998,108500
2019-02-01,122.43,122.650002,121.650002,122.0,152700
2019-02-04,122.440002,122.940002,121.940002,122.900002,104000
2019-02-05,123.519997,123.720001,123.209999,123.470001,120300
2019-02-06,121.720001,122.010002,120.580002,121.050003,271200
2019-02-07,119.239998,119.410004,117.379997,118.110001,310700
2019-02-08,117.279999,117.32,116.400002,117.309998,206100
2019-02-11,117.889999,117.889999,117.0,117.150002,167500
2019-02-12,119.040001,119.830002,119.040001,119.779999,207600
2019-02-13,119.959999,120.059998,119.360001,119.629997,111200
2019-02-14,119.080002,119.5,118.629997,119.25,235600
2019-02-15,120.349998,121.230003,120.209999,121.150002,164900
2019-02-19,120.519997,121.769997,120.519997,121.489998,104100
2019-02-20,122.309998,123.360001,122.290001,122.790001,173000
2019-02-21,121.739998,121.980003,121.089996,121.239998,173100
2019-02-22,121.940002,122.019997,121.449997,121.82,105000
2019-02-25,122.709999,122.949997,122.400002,122.410004,119400
2019-02-26,122.75,123.650002,122.75,123.230003,102400
2019-02-27,122.699997,122.760002,122.089996,122.32,132900
2019-02-28,121.300003,121.440002,120.540001,121.040001,124800
2019-03-01,120.400002,120.599998,119.629997,120.339996,211500
2019-03-04,119.019997,119.029999,117.959999,118.419998,240300
2019-03-05,118.5,118.5,117.919998,118.260002,149800
2019-03-06,118.110001,118.309998,117.879997,117.980003,153000
2019-03-07,118.239998,118.260002,116.809998,117.239998,138500
2019-03-08,116.809998,117.730003,116.809998,117.709999,100200
2019-03-11,118.5,119.360001,118.5,119.129997,134700
2019-03-12,119.18,119.199997,118.580002,118.760002,79000
2019-03-13,118.650002,119.660004,118.559998,119.309998,61500
2019-03-14,117.900002,118.110001,117.449997,117.699997,139800
2019-03-15,119.0,119.199997,118.75,118.970001,150900
2019-03-18,118.940002,119.599998,118.809998,119.510002,106300
2019-03-19,119.940002,120.489998,119.639999,119.730003,85700
2019-03-20,120.32,120.43,118.959999,119.669998,140500
2019-03-21,119.620003,120.489998,119.260002,120.440002,127200
