Date,Open,High,Low,Close,Volume
2019-01-02,83.0,83.0,83.0,83.0,0
2019-01-04,83.0,83.0,83.0,83.0,0
2019-01-07,83.0,83.0,83.0,83.0,0
2019-01-10,83.0,83.0,83.0,83.0,0
2019-01-11,83.0,83.0,83.0,83.0,0
2019-01-15,83.0,83.0,83.0,83.0,0
2019-01-16,83.0,83.0,83.0,83.0,0
2019-01-17,83.0,83.0,83.0,83.0,0
2019-01-21,83.0,83.0,83.0,83.0,0
2019-01-22,83.0,83.0,83.0,83.0,0
2019-01-23,83.0,83.0,83.0,83.0,0
2019-01-24,83.0,83.0,83.0,83.0,0
2019-01-25,83.0,83.0,83.0,83.0,0
2019-01-28,83.0,83.0,83.0,83.0,0
2019-01-29,83.0,83.0,83.0,83.0,0
2019-01-30,83.0,83.0,83.0,83.0,0
2019-01-31,83.0,83.0,83.0,83.0,0
2019-02-01,83.0,83.0,83.0,83.0,0
2019-02-04,83.0,83.0,83.0,83.0,0
2019-02-05,85.0,85.0,85.0,85.0,9600
2019-02-06,85.0,85.0,85.0,85.0,0
2019-02-07,85.0,85.0,85.0,85.0,0
2019-02-08,85.0,85.0,85.0,85.0,0
2019-02-11,85.0,85.0,85.0,85.0,0
2019-02-12,85.0,85.0,85.0,85.0,0
2019-02-13,85.0,85.0,85.0,85.0,0
2019-02-14,85.0,85.0,85.0,85.0,0
2019-02-15,85.0,85.0,85.0,85.0,0
2019-02-18,85.0,85.0,85.0,85.0,0
2019-02-19,85.0,85.0,85.0,85.0,0
2019-02-20,85.0,85.0,85.0,85.0,0
2019-02-21,85.0,85.0,85.0,85.0,0
2019-02-22,85.0,85.0,85.0,85.0,0
2019-02-25,85.0,85.0,85.0,85.0,0
2019-02-26,85.0,85.0,85.0,85.0,0
2019-02-27,85.0,85.0,85.0,85.0,0
2019-02-28,85.0,85.0,85.0,85.0,0
2019-03-01,85.0,85.0,85.0,85.0,0
2019-03-06,85.0,85.0,85.0,85.0,0
2019-03-07,85.0,85.0,85.0,85.0,0
