Date,Open,High,Low,Close,Volume
2019-01-02,46.0,47.5,43.4,47.0,316108
2019-01-03,47.0,47.95,45.9,47.3,380861
2019-01-04,47.45,49.0,47.45,48.6,492933
2019-01-07,48.6,49.75,48.0,49.55,376154
2019-01-08,49.55,50.6,48.5,50.4,536994
2019-01-09,50.3,51.8,49.8,51.4,539446
2019-01-10,51.0,53.4,50.0,53.3,656190
2019-01-11,52.6,54.3,52.5,52.9,517623
2019-01-14,52.9,54.7,51.1,54.0,342706
2019-01-15,54.2,55.0,53.5,53.9,404695
2019-01-16,54.0,55.2,54.0,55.0,409220
2019-01-17,55.4,55.9,54.0,55.5,281948
2019-01-18,55.6,56.8,55.5,56.1,277903
2019-01-21,56.2,57.5,55.6,56.2,259520
2019-01-22,56.0,56.9,55.0,55.8,460871
2019-01-23,55.5,57.2,55.5,56.5,485258
2019-01-24,56.5,57.6,56.5,57.1,270630
2019-01-25,57.0,57.9,56.1,56.7,170926
2019-01-28,56.5,56.5,54.4,55.6,247816
2019-01-29,55.0,56.6,55.0,56.5,79376
2019-01-30,57.0,58.0,55.5,57.1,351878
2019-01-31,57.1,58.0,56.1,57.1,161877
2019-02-01,57.0,59.5,56.0,58.9,290991
2019-02-04,59.0,59.1,58.0,58.7,265853
2019-02-05,58.2,59.8,57.5,59.7,226785
2019-02-06,60.0,60.5,58.0,59.3,203022
2019-02-07,58.5,59.5,56.6,57.2,363852
2019-02-08,57.1,59.9,56.0,59.5,152782
2019-02-11,59.5,60.9,58.4,59.6,61274
2019-02-12,60.4,60.4,58.6,59.9,178230
2019-02-13,59.9,60.4,58.6,59.3,139128
2019-02-14,59.0,59.9,58.3,58.8,124690
2019-02-15,59.0,59.0,58.2,58.5,420815
2019-02-18,58.5,59.0,57.6,57.7,58726
2019-02-19,57.2,57.5,55.3,56.0,202743
2019-02-20,56.0,57.9,54.5,55.2,365703
2019-02-21,54.4,54.9,54.2,54.5,417911
2019-02-22,54.5,56.0,54.5,55.7,505598
2019-02-25,56.8,56.8,54.9,55.5,163980
2019-02-26,56.0,56.0,54.0,55.4,95175
2019-02-27,54.5,55.1,54.2,55.0,124809
2019-02-28,54.9,55.4,53.4,55.0,325996
2019-03-01,55.8,55.8,53.2,54.0,164684
2019-03-06,54.0,54.0,50.0,50.9,412987
2019-03-07,50.0,52.9,50.0,50.6,245170
2019-03-08,50.2,51.8,50.1,51.0,65848
2019-03-11,51.3,52.8,51.1,52.3,211987
2019-03-12,53.0,53.2,51.0,51.9,131570
2019-03-13,52.0,52.8,50.5,52.1,166894
2019-03-14,52.5,52.5,50.7,51.7,131783
2019-03-15,52.0,52.5,51.0,52.5,276865
2019-03-18,52.7,53.5,51.6,53.4,401296
2019-03-19,53.5,54.4,51.6,51.8,175126
2019-03-20,51.6,52.4,50.2,50.5,228527
2019-03-21,50.5,50.9,48.9,49.8,218800
2019-03-22,49.8,49.8,47.0,47.9,375115
2019-03-25,47.75,48.5,46.0,46.7,340815
2019-03-26,46.9,47.5,44.0,44.55,622260
2019-03-27,44.6,45.0,42.0,44.0,747503
2019-03-28,45.7,46.45,44.0,45.85,1005643
2019-03-29,46.1,46.6,45.5,46.15,404797
2019-04-01,47.1,47.15,43.5,44.55,143997
2019-04-03,44.6,44.95,41.5,41.9,750731
2019-04-04,41.6,42.5,40.5,41.95,189643
2019-04-05,42.5,43.0,41.0,41.8,135482
2019-04-08,42.1,42.7,40.8,41.2,145978
2019-04-09,41.3,41.3,38.05,39.05,485940
2019-04-10,40.0,40.0,38.3,39.0,551574
2019-04-11,39.5,40.4,38.4,39.4,1127097
2019-04-12,40.0,40.35,38.0,38.7,181967
2019-04-15,39.0,40.2,38.55,40.05,406807
2019-04-16,41.0,41.4,39.1,39.8,414605
2019-04-17,39.7,40.8,38.2,39.85,577923
2019-04-22,39.7,39.7,37.3,39.4,482176
2019-04-23,38.6,41.0,38.6,39.8,442468
2019-04-24,38.6,39.0,37.6,38.3,284090
2019-04-25,37.0,43.0,35.0,38.85,1170845
2019-04-26,39.25,41.0,39.0,39.1,375388
2019-04-29,39.15,40.05,38.35,38.65,349752
2019-04-30,38.7,40.4,38.5,39.25,489491
2019-05-02,40.0,40.45,39.35,40.05,1407867
2019-05-03,41.0,43.15,41.0,42.95,1496103
2019-05-06,42.9,46.1,41.0,45.45,414994
2019-05-07,45.3,45.3,43.2,44.85,453930
2019-05-08,45.1,46.9,45.1,46.3,863425
2019-05-09,46.85,47.25,46.0,47.1,484457
2019-05-10,47.95,47.95,46.0,46.55,532133
2019-05-13,46.55,47.3,44.25,46.55,563073
2019-05-14,41.65,41.65,38.55,39.1,408451
2019-05-15,40.0,40.0,38.7,39.1,401840
2019-05-16,39.0,39.6,37.9,39.05,233914
2019-05-17,39.0,39.45,38.0,38.2,215127
2019-05-20,38.3,39.6,37.7,38.65,399638
2019-05-21,40.0,40.2,38.75,39.2,625713
2019-05-22,39.5,40.0,38.5,38.8,742405
2019-05-23,38.9,38.95,37.7,38.4,781633
2019-05-24,38.75,39.5,37.5,39.5,4276522
2019-05-27,40.0,40.3,39.15,39.8,391530
2019-05-28,39.75,40.0,39.0,39.75,272325
2019-05-29,39.75,40.0,38.5,39.8,180537
2019-05-30,40.1,40.4,39.0,39.2,461277
2019-05-31,39.2,39.5,38.05,38.65,386520
2019-06-03,38.4,38.95,37.3,37.55,175983
2019-06-04,38.0,38.2,37.0,37.75,1033491
2019-06-05,38.8,38.8,37.25,37.9,1665851
2019-06-06,38.0,38.3,37.5,38.0,143255
2019-06-07,38.05,38.5,37.25,37.35,128632
2019-06-10,37.25,38.45,37.1,38.0,302582
2019-06-11,38.5,39.45,38.1,38.95,1571163
2019-06-12,40.3,41.35,40.3,41.15,3311426
2019-06-13,41.15,44.45,40.0,42.35,5538764
2019-06-14,42.75,44.95,42.75,44.3,1406297
2019-06-18,43.75,45.3,42.9,44.5,1976486
2019-06-19,44.5,44.75,42.55,42.85,889910
2019-06-21,43.0,43.15,40.9,41.15,599739
2019-06-24,41.0,41.7,40.2,41.25,318562
2019-06-25,41.25,42.0,41.0,41.95,177725
2019-06-26,41.95,42.9,40.9,41.1,270275
2019-06-27,41.0,43.25,41.0,42.95,388249
2019-06-28,43.85,43.9,42.5,43.4,354173
2019-07-01,43.9,44.4,42.8,43.2,296741
2019-07-02,43.2,43.5,41.9,42.5,572070
2019-07-03,41.95,42.3,41.05,42.1,484206
2019-07-04,41.95,42.15,41.2,42.1,324333
2019-07-05,42.1,45.2,41.4,43.9,1151995
2019-07-10,44.7,44.8,43.6,43.85,927109
2019-07-11,44.0,45.7,44.0,45.3,1151799
2019-07-12,45.3,46.45,45.0,46.25,357052
2019-07-15,46.5,46.6,43.9,44.0,764740
2019-07-16,43.05,44.8,42.9,43.65,393769
2019-07-17,43.7,44.2,43.0,43.4,264646
2019-07-18,43.4,44.35,41.6,44.0,490053
2019-07-19,44.0,44.0,43.0,43.75,171976
2019-07-22,43.0,43.75,41.95,43.0,454755
2019-07-23,42.75,43.6,42.4,43.25,276846
2019-07-24,43.0,44.1,42.85,42.85,296667
2019-07-25,42.85,43.8,42.8,43.6,263989
2019-07-26,43.85,46.1,43.75,45.85,510476
2019-07-29,45.85,46.8,45.5,46.1,359151
2019-07-30,46.0,46.8,45.95,46.45,848903
2019-07-31,46.5,47.15,45.1,46.55,304345
2019-08-01,47.0,47.6,45.6,45.65,468589
2019-08-02,45.0,46.95,44.85,46.65,148856
2019-08-05,46.0,46.6,44.5,46.5,139753
2019-08-06,46.4,47.0,45.5,46.75,235411
2019-08-07,45.8,47.0,45.15,46.1,335570
2019-08-08,46.2,46.5,44.7,45.0,584425
2019-08-09,45.5,47.7,45.0,47.6,860966
2019-08-12,34.5,34.5,22.0,24.1,2310550
2019-08-13,29.0,27.0,23.70000076,24.39999962,1164205
2019-08-14,25.3,25.5,21.3,21.7,1837773
2019-08-15,22.8,23.35,22.0,22.1,1196110
2019-08-16,23.6,24.4,22.2,23.4,1854267
2019-08-20,22.7,23.75,21.45,21.85,799633
2019-08-21,22.15,23.3,22.0,22.5,1192520
2019-08-22,23.5,23.5,22.1,22.1,416178
2019-08-23,22.0,22.3,20.55,20.6,430463
2019-08-26,21.0,21.75,20.55,20.55,173059
2019-08-27,20.6,20.6,17.7,18.4,741416
2019-08-28,18.85,19.2,17.15,18.7,727637
2019-08-29,18.4,18.4,17.2,17.55,1103144
2019-08-30,17.55,18.2,16.8,17.15,787619
2019-09-02,18.0,18.6,17.3,18.15,370163
2019-09-03,18.95,18.95,15.0,15.3,1001489
2019-09-04,16.4,16.45,14.85,15.25,1096579
2019-09-05,15.9,17.2,15.55,16.85,954675
2019-09-06,17.5,18.35,17.25,18.25,865535
2019-09-09,19.45,19.6,18.25,18.5,513363
2019-09-10,18.75,20.9,18.7,20.65,786802
2019-09-11,21.0,21.6,20.65,21.2,659704
2019-09-12,21.5,22.95,21.3,22.9,539522
2019-09-13,22.95,25.0,22.95,23.85,957808
2019-09-16,24.4,25.05,23.85,23.95,357280
2019-09-17,24.5,25.0,21.8,23.55,719687
2019-09-18,24.0,24.0,22.4,23.65,397740
2019-09-19,24.0,24.0,22.9,23.6,284976
2019-09-20,23.6,23.95,23.3,23.75,148500
2019-09-23,23.85,23.85,21.9,23.05,481427
2019-09-24,23.0,23.0,21.0,21.25,281752
2019-09-25,21.1,21.7,20.3,21.4,303333
2019-09-26,22.45,22.45,20.0,21.3,208904
2019-09-27,20.9,21.9,20.9,21.6,138366
2019-09-30,22.0,22.0,20.5,20.95,215389
2019-10-01,21.0,22.1,21.0,21.6,207738
2019-10-02,21.6,22.35,21.35,21.95,258126
2019-10-03,22.1,22.8,21.5,21.95,369837
2019-10-04,21.95,22.9,21.95,22.9,277948
2019-10-07,22.85,23.7,21.6,21.7,432704
2019-10-08,22.2,22.2,20.7,21.75,255537
2019-10-09,21.6,22.4,21.1,22.25,180172
2019-10-10,22.3,23.15,22.2,23.1,369388
2019-10-11,23.15,23.45,22.4,22.45,330980
2019-10-15,22.45,22.55,21.5,22.5,234973
2019-10-16,22.5,22.5,21.3,21.55,332231
2019-10-17,22.25,22.25,21.0,21.8,684808
2019-10-18,21.15,21.95,20.65,20.75,699572
2019-10-21,20.9,20.9,19.7,19.9,855775
2019-10-22,20.0,20.35,19.6,20.0,641537
2019-10-23,20.0,20.3,19.0,19.1,443629
2019-10-24,18.9,19.75,18.25,19.55,438046
2019-10-25,19.5,20.25,19.4,20.05,1026030
2019-10-28,19.1,21.45,18.5,19.2,618456
2019-10-29,19.7,20.0,19.2,19.9,329156
2019-10-30,20.3,21.15,19.5,21.0,409484
2019-10-31,21.0,23.0,21.0,21.9,1248039
2019-11-01,22.4,22.95,21.0,21.95,1545794
2019-11-04,22.3,23.2,22.3,23.2,966511
2019-11-05,23.6,23.75,22.5,22.85,776094
2019-11-06,23.0,23.1,22.2,22.75,294023
2019-11-07,23.2,24.25,22.75,23.9,2433213
2019-11-08,24.25,24.9,22.05,22.15,815544
2019-11-11,22.4,22.4,20.9,21.25,398041
2019-11-12,21.2,22.0,20.15,21.85,733483
2019-11-13,21.8,21.85,20.75,20.85,256686
2019-11-14,20.6,21.3,19.05,19.5,351971
2019-11-15,19.75,20.3,19.05,19.6,301265
2019-11-19,19.5,20.1,19.05,19.9,205118
2019-11-20,20.4,21.8,20.25,20.5,1023230
2019-11-21,20.95,20.95,20.2,20.2,452528
2019-11-22,20.5,21.7,20.25,21.2,497815
2019-11-25,21.7,22.7,21.2,22.6,758865
2019-11-26,22.6,22.95,21.2,21.95,931203
2019-11-27,21.85,23.1,21.3,23.0,1565562
2019-11-28,23.05,23.45,22.35,23.3,281931
2019-11-29,23.4,23.5,23.0,23.05,214794
2019-12-02,23.05,23.7,22.5,22.9,168496
2019-12-03,23.1,23.1,21.9,22.2,154132
2019-12-04,22.4,23.0,22.2,22.85,207045
2019-12-05,22.95,23.35,22.1,23.2,413193
2019-12-06,23.45,23.9,23.2,23.5,424816
2019-12-09,23.9,24.0,23.05,23.9,545361
2019-12-10,23.9,23.9,22.3,22.45,298780
2019-12-11,22.45,22.85,21.2,22.1,557883
2019-12-12,22.1,22.7,21.0,21.4,565448
2019-12-13,21.5,22.7,21.2,22.25,683414
2019-12-16,22.7,23.7,22.7,23.45,507158
2019-12-17,23.3,23.45,22.0,22.3,395316
2019-12-18,22.9,23.4,22.2,23.0,364511
2019-12-19,23.0,23.65,22.95,23.2,140555
2019-12-20,23.35,23.5,22.5,23.0,336464
2019-12-23,23.0,23.75,22.5,23.4,414914
2019-12-26,23.6,26.9,23.4,26.8,1254092
2019-12-27,27.2,28.1,24.0,26.7,692027
2019-12-30,27.0,28.45,25.3,26.0,577916
2020-01-02,26.0,27.0,25.0,25.35,236666
2020-01-03,25.5,25.55,24.5,24.95,229283
2020-01-06,25.6,26.6,24.2,26.05,359995
2020-01-07,27.0,27.0,25.6,26.5,365285
2020-01-08,26.5,26.95,25.5,26.2,208091
2020-01-09,26.2,26.9,25.7,26.5,454862
2020-01-10,26.75,27.0,26.0,26.1,440261
2020-01-13,26.3,26.45,26.0,26.15,179580
2020-01-14,26.2,26.2,24.5,25.05,356769
2020-01-15,25.2,25.95,25.0,25.35,215389
2020-01-16,25.9,28.0,25.3,27.75,873684
2020-01-17,29.0,30.0,28.45,29.65,1340917
2020-01-20,30.0,30.95,29.95,30.75,666507
2020-01-21,31.15,31.15,28.5,29.7,1034109
2020-01-22,29.5,30.25,28.6,30.0,417034
2020-01-23,30.0,30.6,28.6,30.2,405761
2020-01-24,30.75,30.75,28.3,28.65,266405
2020-01-27,28.45,28.45,26.65,28.15,746567
2020-01-28,28.3,29.7,28.15,29.5,479683
2020-01-29,30.0,30.4,28.65,28.75,275244
2020-01-30,28.75,29.4,28.0,28.75,478287
2020-01-31,29.4,29.4,28.0,29.3,101466
2020-02-03,29.5,29.9,28.7,29.8,307125
2020-02-04,30.0,30.35,28.6,29.3,157423
2020-02-05,30.0,30.0,28.5,28.65,388304
2020-02-06,28.5,29.0,28.1,28.7,43082
2020-02-07,29.0,29.05,27.75,27.85,171824
2020-02-10,27.85,28.8,26.9,27.15,148807
2020-02-11,27.05,27.1,25.75,25.8,377863
2020-02-12,25.8,26.5,25.3,25.9,282849
2020-02-13,25.7,25.7,23.85,25.3,376019
2020-02-14,25.5,25.95,24.05,24.7,378987
2020-02-17,24.95,25.15,24.4,25.0,154387
2020-02-18,25.2,26.0,24.95,25.9,369470
2020-02-19,26.0,26.4,25.7,25.85,179701
2020-02-20,25.85,26.45,25.4,25.9,93161
2020-02-21,25.9,26.75,25.05,25.2,115056
2020-02-26,24.0,24.0,22.75,22.85,578827
2020-02-27,22.7,23.2,21.3,21.5,307962
2020-02-28,21.9,22.9,20.2,22.75,304876
2020-03-02,23.3,23.9,22.35,23.85,309687
2020-03-03,24.0,24.9,23.9,24.15,481517
2020-03-04,24.15,25.1,24.15,25.0,133352
2020-03-05,25.0,26.7,24.0,25.5,417555
2020-03-06,24.95,25.5,23.95,24.0,210304
2020-03-09,22.65,22.9,20.0,22.1,311543
2020-03-10,23.0,23.75,22.25,23.25,445663
2020-03-11,22.85,23.1,21.65,21.95,159493
2020-03-12,20.5,20.5,19.5,20.0,185670
2020-03-13,19.5,21.0,19.1,19.75,130425
2020-03-16,18.8,18.8,17.0,17.95,299422
2020-03-17,17.15,19.5,17.1,19.15,213200
2020-03-18,18.75,18.95,15.35,15.8,198476
2020-03-19,16.1,16.9,15.2,15.65,183252
2020-03-20,16.05,17.5,15.75,16.3,197978
2020-03-25,17.5,18.0,17.0,17.85,203057
2020-03-26,18.3,18.95,16.95,17.0,245788
2020-03-27,16.8,16.8,16.35,16.7,160007
2020-03-30,16.5,17.5,16.0,17.35,147023
2020-04-01,17.8,17.8,17.0,17.75,144992
2020-04-02,17.8,18.6,17.8,18.25,134467
2020-04-03,18.25,19.05,17.9,18.6,195059
2020-04-06,19.0,19.6,18.0,19.25,227277
2020-04-07,19.5,20.55,19.5,19.75,259377
2020-04-08,20.0,20.45,19.85,20.35,100451
2020-04-09,20.0,20.45,19.85,20.35,100451
2020-04-13,20.35,20.45,19.4,20.15,199788
2020-04-14,20.15,21.0,20.0,20.7,215376
2020-04-15,20.45,21.3,19.4,21.15,307150
2020-04-16,21.95,21.95,20.05,20.1,184094
2020-04-17,21.0,21.0,19.9,20.1,128542
2020-04-20,20.6,20.8,19.2,20.25,125121
2020-04-21,20.25,20.25,19.6,19.75,134553
2020-04-22,19.85,20.6,19.8,20.25,213543
2020-04-23,20.5,20.5,19.7,20.25,139997
2020-04-24,20.3,20.3,19.2,19.45,151129
2020-04-27,19.45,20.3,19.05,20.15,178840
2020-04-28,20.15,22.3,20.15,21.7,528070
2020-04-29,22.35,22.7,21.3,21.85,437005
2020-04-30,21.5,23.2,21.5,23.05,406031
2020-05-04,23.0,24.8,22.4,24.55,304802
2020-05-05,24.95,25.2,24.0,24.75,565399
2020-05-06,24.7,28.2,24.05,27.95,1024129
2020-05-07,27.95,28.35,26.1,27.7,1017147
2020-05-08,27.7,28.2,27.0,27.25,516715
2020-05-11,27.45,28.15,27.0,27.8,442214
2020-05-12,28.0,29.0,28.0,28.7,544312
2020-05-13,28.0,28.7,26.6,27.65,505754
2020-05-14,27.65,29.05,27.65,28.9,347529
2020-05-15,29.0,29.6,28.05,29.45,226992
2020-05-18,30.0,30.45,29.0,29.55,286328
2020-05-19,29.55,29.55,28.6,29.45,353799
2020-05-20,28.65,29.45,27.8,28.4,796174
2020-05-21,28.4,29.0,28.0,28.35,546552
2020-05-22,28.5,28.7,27.1,27.75,309891
2020-05-26,28.0,28.5,27.0,27.85,223748
2020-05-27,28.15,28.3,26.85,27.85,242120
2020-05-28,27.7,28.0,26.5,26.75,158826
2020-05-29,26.75,27.15,25.0,25.9,142186
2020-06-01,26.0,26.95,26.0,26.45,825063
2020-06-02,27.0,28.0,27.0,27.4,214094
2020-06-03,28.0,28.7,27.2,27.55,316556
2020-06-04,27.25,27.8,26.3,27.3,367487
2020-06-05,27.5,28.2,27.5,27.7,383975
2020-06-08,28.5,30.2,28.3,30.0,1001408
2020-06-09,29.7,29.85,27.9,28.4,517888
2020-06-10,28.15,28.9,27.1,28.3,446595
2020-06-11,28.4,28.4,24.65,25.95,611277
2020-06-12,26.25,27.45,25.2,26.0,275392
2020-06-16,26.1,27.5,26.1,26.6,417286
2020-06-17,27.5,27.5,25.9,26.0,159098
2020-06-18,25.0,25.0,23.0,24.1,300335
2020-06-19,25.0,25.5,23.4,24.8,352027
2020-06-22,25.45,25.45,24.0,24.05,317932
2020-06-23,24.3,25.0,23.3,23.45,613371
2020-06-24,23.7,23.7,22.75,22.8,144520
2020-06-25,23.2,23.65,22.95,23.55,254046
2020-06-26,23.6,23.9,23.0,23.1,89195
2020-06-29,23.0,23.75,23.0,23.2,113606
2020-06-30,23.3,24.0,22.0,22.1,198970
2020-07-01,22.15,23.1,21.7,22.35,248829
2020-07-02,22.95,22.95,22.0,22.2,167510
2020-07-03,22.25,23.0,22.2,22.8,479373
2020-07-06,23.9,25.3,23.7,25.2,766199
2020-07-07,25.75,25.75,24.55,25.1,676728
2020-07-08,25.1,26.95,25.0,26.75,746258
2020-07-13,27.5,27.85,27.0,27.3,684951
2020-07-14,27.3,27.8,26.2,27.8,351439
2020-07-15,27.8,28.0,27.05,27.45,396124
2020-07-16,27.45,27.45,26.0,27.1,217344
2020-07-17,27.5,27.6,26.3,27.25,430768
2020-07-20,27.25,27.25,26.6,26.75,363978
2020-07-21,26.75,27.3,26.6,27.15,343387
2020-07-22,27.3,28.1,26.9,28.05,600071
2020-07-23,28.0,28.7,26.5,27.5,754610
2020-07-24,27.55,27.6,26.1,27.5,634306
2020-07-27,27.6,27.9,26.5,26.95,1053545
2020-07-28,26.9,27.35,26.1,26.35,515657
2020-07-29,27.0,27.0,25.55,26.05,383319
2020-07-30,26.0,26.7,25.1,26.5,298550
2020-07-31,27.0,27.05,26.1,26.6,147262
2020-08-03,26.3,27.9,25.2,27.85,1250922
2020-08-04,28.7,29.75,27.2,28.6,1468887
2020-08-05,29.3,29.3,27.45,27.7,368722
2020-08-06,27.9,28.2,27.0,27.8,194605
2020-08-07,28.0,28.1,27.05,27.65,305808
2020-08-10,27.75,27.9,27.2,27.8,306413
2020-08-11,27.85,27.95,27.35,27.55,220602
2020-08-12,27.35,27.75,25.2,26.65,578724
2020-08-13,26.7,27.1,26.6,26.95,284738
2020-08-14,26.95,27.3,26.35,26.8,187414
2020-08-18,26.8,26.8,25.45,26.0,170147
2020-08-19,26.35,26.35,25.25,26.15,175641
2020-08-20,26.15,26.7,26.0,26.6,108010
2020-08-21,26.95,27.15,26.5,26.75,442919
2020-08-24,26.75,26.75,25.8,25.95,263993
2020-08-25,25.7,25.9,25.05,25.3,349951
2020-08-26,25.35,25.5,23.0,25.1,172666
2020-08-27,25.1,25.3,23.4,23.55,290765
2020-08-28,23.9,24.5,23.15,24.35,422185
2020-08-31,24.85,24.9,24.0,24.2,309532
2020-09-01,24.7,24.7,23.9,24.25,122173
2020-09-02,24.2,24.25,23.75,23.8,76649
2020-09-03,24.1,24.1,23.4,23.7,85426
2020-09-04,23.85,23.95,23.0,23.4,204148
2020-09-07,23.5,23.85,23.35,23.75,162004
2020-09-08,22.9,24.8,22.6,24.75,206948
2020-09-09,25.0,25.4,24.55,25.25,308616
2020-09-10,25.1,25.85,25.1,25.8,267909
2020-09-11,25.8,26.1,24.8,25.2,144706
2020-09-14,26.2,26.2,24.6,24.7,93432
2020-09-15,25.0,25.0,23.65,24.1,119286
2020-09-16,23.85,23.85,22.2,22.55,355860
2020-09-17,22.2,22.5,20.95,21.0,253619
2020-09-18,21.0,23.4,20.8,22.9,360106
2020-09-21,22.0,23.4,21.7,23.4,196319
2020-09-22,23.8,24.0,22.5,23.4,238867
2020-09-23,23.8,23.8,22.3,23.4,265306
2020-09-24,23.3,24.1,23.3,24.0,242643
2020-09-25,24.05,24.9,24.0,24.85,197462
2020-09-28,24.9,25.0,24.2,24.75,121019
2020-09-29,24.6,24.95,23.5,24.7,199208
